class 	 arrive hotel cold sunday afternoon greet friendly staff , free steaming hot chocolate marshmellow . great way warm room functional , clean comfortable . great view , return Chicago would hestate stay . staff incredibly attentive polite , business centre free internet access big plus . 
 Oct 6 2004 	 Crowne Plaza ... breath fresh air ! 	 stay Best Western River North previous night , CP breath fresh air ! although major conference go city everyone sell , CP manage get we day request . although room small quaint , love room decoration . bed awesome . bathroom fresh difference standard restroom hotel . also love personal welcome message get room 's voicemail check ! complaint room directly across elevator . hall noise elevator & quot ; ding & quot ; little annoying , able sleep . sleep CD cute additive , little worthless person talk get nerve . last complaint & quot ; inadvertantly & quot ; charge item bar room . notify front desk , remove charge . overall , would stay CP . wonderful location cute , clean quaint . 
 Sep 29 2004 	 ' Guest Friendly ' Hotel 	 book reservation online thru Priceline , state would 3 guest . upon arrival give room one queen bed . request room 2 bed clerk say would pay additional $ 29 per night extra bed . hotel full , clerk not interested make customer happy . son end sleep floor 3 night . also , park Allerton $ 36 per night , seem outrageous . staff act indifferent rarely see smile greeting , except concierge , always smile greet guest warmly . think stay somewhere else next visit Chicago . 
 Aug 17 2004 	 Old World Hotel Great Location 	 great hotel single person . stay three night able check - in little early ( 1:30 pm ) . pretty good work - out room ( wish free weight ) small guest room , not matter since alone . clean , tastefully decorate lay well -- good pillow , sheet mattress , etc . friendly staff , great location -- easy walk shop , transit , etc . well worth low price receive on - line reservation site . 
 Aug 9 2004 	 visit 	 recently book two room Allerton party , quote one price conformation state another . upon bring attention staff , change make . two room specify connect , upon check 5 floor apart nothing could do due sell . elevator room like match box car . although bathroom decent size , one adult , fitting toilettrie counter quite impossible . individual meet we hotel , sign difficult spot , especially unfamiliar area urban traffic . though bump road may seem minimal , put time , effort , hard earn dollar stay somewhere , want good experience return . 
 Aug 7 2004 	 great location good hotel 	 book two room last weekend July 2004 , one adult child , Chicago visitor ' area website get rate much low advertised major booking agency ( Orbitz , Expedia , Hotels ) hotel 's website . keep call make sure hotel hold two room , hotel keep see one record . interestingly , although pay price room , one quite bit large different room lay - out . room small , well view . good bad , good first . staff kind previously mention . room ready 3 , surprising consider generous noon check - out time , desk clerk give we voucher free drink . bar give we extra two free drink adult child . not even flinch order $ 9 chocolate martini . also good -- location close everything , trolley Navy Pier , Gold Coast , subway , river tour , magnificent mile . be shopper , will like . although not tub , shower marble chic . bed comfortable supply free relaxation cd kit , interesting relaxing . good -- lobby third floor two elevator get , whereupon board another set elevator get room . often take stair get lobby wait long . hotel kid . pool , surprised , four - star hotel . room decorate okay , chair badly stain corner one room . could not see pay full price room unless business pick tab . 
 Aug 1 2004 	 great old hotel 	 great old hotel , locate nice corner Michigan Ave Huron . ( little noisy , sleep fan , help ) staff kind try hard meet travel need . would warn anyone think stay , though , less expensive room small , upgrade suite , nice , course , expensive . nice . nice bed ever sleep , far hotel go . not tv watcher , small room would okay , like watch tv , disappoint , cause strange reason , put tv 's side bed ....... not know , like get cover surf chanel night , would break neck watch tv stay small room . suite tv locate end bed , make much sense nice neck ! also , restaurant hotel nice breakfast , not order dinner . UGH . really nice old hotel , gear old adult , much little one teenager , old adult like old hotel great location ... place . stay , time , know order suite ! 
 Jul 19 2004 	 great time Allerton 	 get back stay Allerton like lot . early check get room small normal hotel room two people nice . pleased remoldele look hotel . although minor problem not concerned could happen anywhere ( ie . forgotton washcloth , delivary towel wrong room ) . read review testify elevator small 3 elevator 20 something floor ... thankfully 6th floor could take stair 3rd floor lobby elevator ground . hotel central everything want close ... Free Trolly , several mall , shop , food , Walgreens ( come handy 2 am ) , much . would stay . 
 Jul 3 2004 	 Gem Mag Mile 	 arrive Allerton , upgrade suite Priority Club member . kind man check we desk lobby listen preference find perfect room . book online hotel 's site receive excellent rate , find upgrade pleasant surprise . the service exceptional bellman extremely helpful pleasant . I ' m partial old hotel remodel . Allerton much character may come small room elevator . be worth it . we love 17th room marvelous distant view Water Tower Lake Michigan . well think detail . great location step away many restaurant . would return . 
 Jun 21 2004 	 Disappointment Windy City 	 though location good get room hotel clean appealing , room small , elevator service inconvenient road noise loud . 
 Jun 14 2004 	 Good Time ! ! 	 return workshop Allerton Crowne Plaza . husband stay along two kid . give handicap accessible room include sleeper sofa second tv separate area . would consider mini - suite layout . big plus w/ 2 kid . since workshop , able sample food excellent . also , highly recommend room service pizza . overall , great place stay . elevator service bit slow hear fellow workshop attendee complain small room ; good time would hesitate return . 
 Apr 27 2004 	 thick ! ! ! 	 start finish good deal ! good service sensational location ! room & amp ; elevator small side - however walk thick Mag Mile exceptional ! robe bathroom advertise . all room amenity average -cleanliness room - cd - hotel staff restaurant ! would stay heartbeat ! 
 Apr 5 2004 	 perfect 	 hotel right middle magic mile . near lake , countless restaurant , hancock building ( highly recommend night viewing ) , attraction within walking distance . also near train . staff courteous , quite helpful assistance local info -- especially bellman . hotel beautiful . room quite small , big enough bed , small desk , tv , still nice , view water window . regret -- bring car . not need one , be $ 20 - 35 per day park anywhere downtown . next time will fly , will back allerton . 
