robbed 	 place horrible . service terrible first arrive actually rob middle night sleep . think someone staff door lock . report incident follow morning , ignore security actually tell us hope & quot ; money may return & quot ; . could . never stay . money lose . could stay somewhere way well . 
 review pretty much right 	 good reason stay Imperial Palace location - pretty much heart strip middle everything . price main reason stay . would prefer stay somewhere nice , money , hotel good deal . whole lot - nightlife pretty much non existent IP , hotel close always something . room decent - nothing spectacular mean , shower hot water pressure really good . noise level okay unless someone loud hallway ( be Vegas 's go happen ) . room pop machine get little perturb someone fill 7 ! say - & quot ; get pay & quot ; be will get IP . 
 love place .. money 's great 	 right middle BIG casino 's .. be worth ! different kind room everytime go .. can not decide one like good ! be one w/ huge tub .. year stay one w/ & quot ; living room & quot ; ( couch tv ) bedroom do not ' door tho . can not guest . lol 
 good value heart strip 	 read mixed review even advise friend stay Imperial Palace , however get great flight / hotel deal thought would give go . arrive Thursday , check take 5 minute , walk room . inspection room , even check bed bug , thing lack little bit hair bathroom floor . next day clean lady clean bathroom . hotel outdate , restaurant worth eat minute much well restaurant Margaritaville , etc . pool decent get pack small . weekend hit , hotel full elevator line get alittle long , never long 5 - 10min wait know way around hotel could find alternate route room tricky , finally master shortcut day 3 . location ideal , also bus stop right outside hotel . plan spend hotel instead outside enjoy strip hotel suit need . look hotel want stay play without leave , upgrade different hotel ! 
 Bed Bugs Imperial Las Vegas Beware 	 stay 6 night , second night itch third fourth day show clean lady tell lady must develop allergy show back leg . agony week ask new sheet , blanket , bedspread , day would ask something new . look sign see nothing . come home see MD next day say bed bug bite . call hotel look . want stop rent room refund money . respond yet . shocked let manager know hotel ! ! ! many people sabby bed bug cleaning lady say , allergy must develop . besides want man see , embarrase even complain clean lady show bite claw self try get relief . shy post help someone else . tell friend OH got BED BUGS . 
 cheap rate good location nothing . 	 Booked IP quick one - night stay low rate . not expect much , still disappointed . probably uncomfortable bed ' ve every experienced . room , hallway , casino wear dirty . front desk staff casino personnel seem fairly competent . would ' ve miserable extended stay . tip : stay , request room far away Rockhouse Bar , otherwise will hear thump bass early morning . 
 Hey be Vegas .............. get to love ! 	 hey get back Vegas wonderful time . six we go stay Imperial Palace . 4 we regular room friend repete customer compe penthouse ! staff great , room comfy clean restaurant good . can not beat location price . town Sunday CFL play West & amp ; East final Grey Cup . GO rider ! Wynn say would play game us sport bar ....... ....... mandalay Bay conference 2000 Canadians stay would play game either . ask RockHouse IP say bet . 4 tv go , 2 1 drink special we treat we like royalty ! Thry aslso go play Grey Cup Sunday anyone donwn . go see great bunch ! Annie waitress even wear Rider Jersey ! go see Terry Fador Mirage , great showman lot fun ! would go back IP , like sixe place , treat well enjoy right middle everything ! 
 May 5 2009 	 old comfortable great location . 	 stay 4 night last week pleasantly surprise first impression . room clean basic balcony overlook Harrah 's pool bonus . find difficult sleep noise A / C ( least work ) outrageous volume music Harrahs . enjoy Casino dealer entertainer professional , shortage waitress bring free drink ( do not forget $ tip tho ) . swimming pool good chill shortage towell bed . Best Restaurant go Voga Flamingo transform seem basic meal menu gastro delight . & quot ; Legends Concert & quot ; Hurrahs brill suggest buy ticket , show , one many 1/2 price ticket booth find along Strip . overall , IP cheap cheerful place stay . 
 May 5 2009 	 great value money - ideal location 	 hotel locate ideal location right heart Vegas strip ( opposite Ceaser 's Palace ) . 's true room little date worn , however stay clean every day good standard . may good place stay be romantic getaway partner , ideal place come be group friend want make Vegas nightlife . this certainly luxury hotel however overall rating reflect value money think place offer . 
 may 4 2009 	 dump ! ! 	 probably bad hotel ' ve ever stay . one step prison . hotel old rundown . décor really outdated . probably consider fashionable open 50 year ago . hotel damp , smell . make bad , tub drain showering . take shower water ankle . bed pretty uncomfortable . positive location , right middle strip . front desk staff pleasant well . people stay 25 crowd need somewhere store luggage partying . 
 May 4 2009 	 bargain rate outstanding location 	 Stayed IP group friend 4 night 5th April . bit concerned reading review , however seem true base unrealistic expectation . anyone Europe Australia concern stay . room good condition , clean $ 27 night excellent value . location hotel simply fantastic . contrary report site problem wait elevator , long check - in , dirty room , dirty sheet expectation coffee machine etc room . people expect $ 27 night . Quite simply would stay IP future visit Vegas . ip good hotel , never claim . seem well locate , bargain rate hotel excellent mid - strip location . 
 May 4 2009 	 terrible experience 	 dimond member first time stay Imperial Palace . would never recommend friend anyone stay . promise rep exit great strip view room . totally exit can not wait , get , thing totall different offer never fullfille satisfaction . unfriendly staff , frontdesk supervior helpful , apoligize . look room like go thru maze . elevator take we 5 - 9 minute get . room dirty , small delux suit double queen bed small TV . give tremondous credit celebrity dealer though . work really hard put show every night . 
 May 2 2009 	 great experience 	 stay week April 26th . want good inexpensive clean place stay good location , could afford many Vegas experience possible ! location wonderful ! locate mid strip , next Harrah ' . problem complaint . room right size , clean , comfortable . staff friendly helpful . plan see Vegas , sit room . never make pool experience amenity . six elevator near us three around corner , morning pack visitor way check . later day , never wait . room quiet . room face strip may hear noise street . music play several nearby location street . hey , Vegas ! great experience ' wait go back . 
 May 2 2009 	 not Bother unless want cheap ! 	 update room not bad service Imperial Palace hotel staff poor . mess reservation showing check day early rebooke room someone else . come back hotel find someone sit room wait friend get room rebooke . ' m glad everything room not steal . offer $ 40 dinner not even cover food liquor room throw .. good location strip though . 
 may 2 2009 	 second stay imperial palace would stay . 	 stay Imperial Palace April 26th thru 30th . second stay Imperial Palace would definately come back . room clean , staff courteous helpful . ask room vier Strip advise would noisey . appreciated information say would not bother we give room 16th floor view . thing 16th floor Imperial Palace sign view limit . previous stay 13th floor view much well . however think could well choice eating place Imperial Palace . limited choice choose eat elsewhere . enjoy breakfast Tea House . whenever Las Vegas make Imperial Palace choice place stay . 
 Apr 30 2009 	 Old run hotel good location ! 	 wish would start make reservation . hotel old 20 year ago stay not think anything do since . look cheap place stay everything elsewhere , may mind stay old slow not bother you . from time arrive luggage tow leave constantly harass staff push Tahiti Village . every time pass booth go elevator ask . get old fast ! try bribe show ticket sign tour sale pitch , typical time share stuff . the elevator slow , luckily stay weekday crowd . Buffet cost much ( $ 18.99 ) , however prime rib excellent , especially not go look forward seafood , serve ice . the room outdate mirror ceiling Luv tub big bathtub jet , ask ahead time . bathtub miss caulk appear mold grow corner . we go downtown Freemont Experience decide value offer would stay downtown next time , much activity fun ! 
 Apr 29 2009 	 surprize .... really OK 	 arrive check 9:30 . line check . reserve 1 smoking 1 nonsmoke room decide would rather adjoining room . ' m smoker would give could together . accomodate we Got smoke room 18144 & amp ; 46 face pool . room ok . pretty generic . old tv cable good picture . Carpet wear small stain . really could not tell smoking room . balcony slide glass door love -- nothing like fresh air . one bad thing - look bedspread & amp ; saw appear either dry mustard puke . housekeeper hall ask come & amp ; see yellow stuff . freak - yelled & quot ; oh god , oh god . another shift . oh god . & quot ; immediately pull bedspread & amp ; replace clean one - apologize prufusely . bathroom - clean . water pressure good . main elevator slow go past gift shop escalator ( toward monorail station ) another escalator 2nd floor- another set elevator alot fast . yes really maze- like worth . room close set elevator really not wait whole trip . casino fun . not think dark smokey . think Harrah 's smoky casino go . waitress service good . pool clean spacious . always plenty chair available . hot dog hamburger grill pool . $ 3.79 1/4 lb hot dog - good , . eat brunch buffet . ok bad ok . stay room compe offer $ 100 Macy Gift Card . location great . would stay ? probably , free room could get part strip . ask late check @ 2 pm get . casino host print boarding pass we . service good everyone pleasant . 's old hotel really show 's age . expect alot bad really ok . get pay ! want cheap ? not afraid stay IP . really ok . 
 Apr 29 2009 	 Motel 6 Vegas Strip Hotels 	 first time IP , Harrah 's property Vegas . definitely low quality hotel ever stay Vegas . stay Excalibur , Harrah 's , Pallazo , Mirage , & amp ; NY / NY . definite ; case & quot ; get pay & quot ; case not pay . little luxury property , dirt cheap strip hotel . lobby casino date much appeal . restaurant nothing brag , would avoid room service head 24 hour burger joint , be cheap . pool nice service courteous & amp ; towel clean fairly good quality . LOCATION , LOCATION , LOCATION ! ! ! pay IP . middle strip easy access Caesars & amp ; Mirage across street well Venetian / Pallazo street . Metro back property also convenient . stay / sleep gamble Harrah 's properie & amp ; casino get money 's worth . hotel serve virtually function . 
 Apr 29 2009 	 never 	 stay part good package deal - pay bit another hotel . stay 16th 18th floor , try get room upper floor . elevator always pack take forever . lady restroom casino level flood tell go 3rd floor ! casino least two restroom - one side ! friendly staff either . fun spite stay Imperial Palace - not eve acknowledge birthday check ! go back , stay Casino Royale , casino quite dumpy folk . stay everyone nice room redone . 
 Apr 29 2009 	 find somewhere else stay ! ! ! ! 	 arrive group 25 woman enjoy strip much need Girl Time . front desk reservation screw insist give charge card number , even though room pay organizer . restaurant leave whole lot desire . end eat hotel , Denny 's , Panda Express , McDonalds , anywhere . roommate 11th floor , elevator not slow ( 15 - 20 minute wait ) break , actually take stair . guess say & quot ; loud & quot ; side house . two druken bridesmaid be decide 3am perfect time argument escalate fight outside room . positive friendly housekeeper ask something already room . 
 Apr 28 2009 	 Great Location decent room lousy food awful elevator ! 	 hotel great location - center strip ! could complain ? ? ? & quot ; noisy & quot ; side truly & quot ; noisy & quot ; . family friend stay 16th Floor . big mistake . elevator SLOW crowded time . find 3 set elevator could easily wait 10 minute get . buffet suck ! spend money . midwest south , get hot crab leg whole one . never serve cold crab leg slice half . venture Harrah 's well food ! 
 Apr 27 2009 	 bad thought would 	 well say ... location prime ! consider cheap hotel . say , old hotel . lot thing need update : room , elevator , restaurant . food cafe poor quality . eat else . room average , basic necessity . stay room 909 . bathroom dire need remodeling horrible . get room face strip get ready lot noise day night . see , Carnival Bar locate right , anyone try get sleep definitely wake . window not stop noise come flip side balcony walk watch party bar . elevator bad part hotel . sometimes wait 20 min elevator sometimes wait next elevator elevator one run . chance would never stay anyone stay do - able . would say elevator bad part entire stay . 
 Apr 26 2009 	 stay away ! ! ! 	 Nasty , tacky hotel . get room free Harrahs reward point . would prefer pay room else - where . rough sheet , rough towel , old shower - love tub combo curtain ! tacky mirror everywhere ! shower , bed . . . front desk will not even answer phone . world 's slow elevator - literally wait 5 - 10 minute elevator open . not bother take stair every single floor lock . flea - market quality shop lobby . never ever stay hotel ! Hope place get demolish soon - 's time make way high class hotel . 
 Apr 25 2009 	 get pay ! 	 travel agent book we excited price come find , many people know stay say place stay Vegas . tell we old hotel , clean , cared , mention location , picky people ! however , really disappointed ... take lot disappoint we ! ! first day move sewage back bathtub STUNK ! ! ! management gracious move we , however next room move not great plumbing either .... sink / bathtub not drain . carpet stain cigarette butt outside door hallway three day not get pick ... YUCK ! goes show cleanliness housekeeping staff ! ! also bad experience watistaff floor . husband & amp ; play slot almost hour not waitress , cash seek service tell shift change , understandable , however , waitress take order follow back sure gambling stand behind watch make sure put voucher back machine like child ( ' m late 30 ) ! ! appal ! ! ' ve stay Excalibur prior visit IP would definitely prefer stay IP comparison value , mention entertainment IP ! pool open second week April , pool season Vegas ! pack bathing suit reason ! prefer stay hotel thing go would prefer cleanliness , would not recommend hotel ! 
