fantastic 	 stay Michelangelo past Sat . night ( 11/28 ) . hotel inviting , service timely , atmosphere warm elegant . room extremely comfortable , clean quiet ! bed / pillow / linen exceptional . bathroom suite fantastic . everyone assist we doorman concierge helpful , friendly pleasant . morning coffee good , along w/ croissant / scone . would definitely stay without hesitation . convenient location . 
 Thanksgiving NYC 	 daughter ( 23 yrs old ) go NYC Thanksgiving holiday choose Michelangelo Hotel recommendation friend . love five day stay lovely hotel . beautiful , nice room , great location entire staff create atmosphere comfort , safety luxury . conceirge , James , treasure . take care reservation give we great & quot ; inside & quot ; NY tip . hotel take care area guest watch Macy 's Parade Thanksgiving -- -we soooo grateful , event go NY see . thank Jefferey ! ! doorman always helpful cab direction . luggage porter great upon arrival departure . really could walk Rockefellar Center , Broadway , Times Square , NBC studio , Radio City , Central Park shopping . Michelangelo make NY trip special . 
 Jun 19 2004 	 First Time Michelangelo 	 daughter stay 4 day Memorial Day weekend 2004 . pick hotel base review another travel board . pay $ 199 regular ( superior ) room w / king bed . ask quiet interior room read review hear noise btwn . room . quiet , hear people next door openign closing door . nice furnishing , bose stereo , 3 phone , small tv bathrm . ( would rather coffeemaker ) , nice deep tub , great soaking , handheld showerhead . try get upgrded could . room big one Essex House Sheraton Manhattan Westins stay . good housekeeping service ( bring iron baord promptly ) take robe every day not replace , call every day get new one bring back . big CON : ROOM service ! ! would stay pleasure business due . call three time room service two different meal , never pick ! front desk pick say Rm Service busy would call back . wait 40 minute , call back either time , get dress go eat time . huge bummer , part hotel leisure stay w / my daughter treat room service , free breakfast dinky really want breakfast bed one day . other note , free breakfast worth , except get coffee , frankly would rather coffee room go try find dirty place sit little tiny lobby area set pastry coffee , let take cup coffee hotel room , table take dirty go . also , minibar break ( entire locking mechanism fall floor ) not get fix although report , leave worried getting charge thing not use . go back Sheraton Manhattan next time , club level reopen breakfast- real breakfast w / Starbucks coffee , kind fresh fruit berry , fresh cereal / granola , kind bagel toast , etc . $ 199 , Michelangelo ok , room service problem seal future fate hotel . one care say something check out- clerk say & quot ; yeah , get busy room service & quot ; . good part location- step theater go . 
 Jun 11 2004 	 Michelangelo Hotel NYC 	 daughter stay hotel weekend end May . wonderful hotel . Henry , good doorman ever , give we wonderful recommendation restaurant close . 5th floor right 6th avenue noise bother us street . turndown service much appreciate hard day sightseeing shopping . minor problem pastry coffee breakfast . 12 year old daughter like coffee expresso pay 4.50 small glass orange juice ! ! 
 Jun 10 2004 	 nice overrated 	 hotel highly rank many site , , indeed , thing recommend . location perfect : near theater district , hubbub Times Square . lobby gorgeous , service friendly . executive room spacious ; however , furnishing could charitably call eclectic , a / c unit noisy keep awake , one small window overlook air shaft provide little light like live 24 - hour darkness . even hotel 's fan admit complimentary breakfast coffee dry pastry unimpressive . 
 Jun 8 2004 	 good romantic getaway 	 husband make Michelangelo getaway . stay dozen time always wonderful expereience . the european feel take another place . we always try stay different room different ! staff friendly efficient location fabulous . hotel great find ! 
 Jun 3 2004 	 can not wait Return 	 return June 1 trip New York stay 2 4 night Michelangelo . stay numerous hotel New York , overall good . location fabulous -- near 5th Avenue , great restaurant . Times Square , Subway entrance even Broadway easily walk distance . staff accommodate room tastefully decorate , large incredible bathroom facility -- N.Y. hotel room small , case Michelangelo . highly recommend definitely stay . 
 Jun 3 2004 	 Personal Appreance make break stay 	 past weekend stay Michelangelo good friend . first trip New York want make memorable . location great hotel beautiful , complaint . bathroom amazing shower make feel like enetered heaven , choclate pillow night also nice . however , stop . friend check even though bellhop doorman , door open we carry luggage upsraire , service offer we . next day walk outside hotel get cab walk corner get one , service , offer we . upon check arrogant desk assistant claim charge mini bar , could tell we . ask find ( ofcourse make extra work ) bag peanut . explain tht take anything . instead take word make we wait contact housekeeping . keeper rporte miss available say guess would take . check two professional check greet completely diffrent manner greet bell hop take two bag stair . upon leave ask receipt tell could give one since book line travel agent . ( book always get receipt ) ask total bill would charge tell could give information . attempt way go way see could get information . ask card number could contact someone tell nothing . exit hotel see another professional woman exit ask need cab , bell hop step street call one . would never go back . friend late 20 's law school work many corporate client . dress vacation relaxation , work . prepare treat upon age appreance . never treat poorly hotel spend good deal money stay . you could probaly find elegance anothet hotel treat respect . 
 May 25 2004 	 nice hotel well locate 	 Michelangelo nice , small well - locate hotel . staff , without exception , nice friendly . go way make sure happy comfortable offer upgrade room without miss step . large room share teenaged son several night . actually two king - sized bed comfortable , linen beautiful , towel huge amenity lovely . ( chocolate turn - down bed night remind old day Plaza ! ) complimentary NY Times cappuccino brioche bonus every morning . would highly recommend hotel . 
 May 12 2004 	 elegant 	 fantastic hotel ! gorgeous room , polite , friendly staff , location beat . first time New York Michelangelo make sure will not last . lovely serene place relax hustle bustle city . price ( $ 189 per night ) dollar definately competitive even consider current strength dollar ! highly recommend . 
 May 12 2004 	 Fantastic ! 	 spend 5 night recently thoroughly enjoy stay . Times Square Broadway doorstep location could well . room beautiful , bath tub huge complimentary shoe shine nice touch . first introduction NYC - wow ! 
 May 10 2004 	 Nirvana Michelangelo 	 book room 12 woman yearly retreat ... woman difficult group please ! everyone praise Michelangelo time check say goodbye staff , could helpful . room beautiful comfortable . bed linen joy return every night . bathroom clean upscale marble granite . insist daughter husband stay Michelangelo October visit NYC . Hooray ! ! ! hotel call HOME ! ! ! 
 May 10 2004 	 beautiful italian ! 	 husband celebrate 20th wedding anniversary trip ny . stay May 8 , 2004 . ask early check arrive 11:45 room ready anniversary upgrade suite extra charge . room beautiful , modern , large . bose cd Stereo player room , tv phone bathroom ! spotless . everyone friendly . validate $ 33.00 overnight parking also perk . morning complimentary cappucino , espresso bake good comfortable lounge . bartender lounge night Vittorio friendly make great martini ! great , great location . walk everything . not use car . Times square , theater , St. Patrick 's Sunday mass . love stay hotel . trust we ! 
 May 5 2004 	 highly recommend 	 return long w / e stay Michelangelo want say impressed aspect hotel . room massive anyone 's standard immaculate , staff courteous , lobby elegant location excellent . round pleasant stay . minor downside underwhelming breakfast ( include price ) . not let deter , book hotel . 
 Apr 29 2004 	 like 	 room quite ready arrive cocktail Bar . bartender nice generous . tell room upgrade wait . room quite large nice . complaint bed sink middle bit still comfortable . room also sofa two chair coffee table . large walk - in bar something photograph know everyone back home would not believe thing . also entry hall book shelf . go free breakfast one morning crowd decide eat elsewhere . would say stay positive would stay . 
 Apr 23 2004 	 Gorgeous 	 beautiful cosy hotel . spend 2 wonderful night make love Bose CD player . recommend stay . try capuccino bar lobby . 
 Apr 17 2004 	 absolutely amazing experience ... 	 partner book hotel , base picture find online , review read site . long story short , stellar choice . location beat . lobby gorgeous . front desk , concierge , staff helpful , attentive , friendly . room spotless , beautifully decorate , veeeeeery spacious , especially New York 's standard . well worth spend 25.00 - 50.00 night , completely positive experience . downside , room little , almost seem shame top notch space . , without doubt , stay Michelngelo future NY trip . BOOK ROOM ! ! ! ! ! ! ! ! ! ! 
 Mar 16 2004 	 little disappointing ... 	 staid hotel weekend March 12 , 2004 . although lobby beautiful staff friendly enough , disappointed appointment room . staid junior suite large 2 king bed plenty room - however , bathroom one bad design ' ve see - decent light , one small sink , etc , bed uncomfortable , view pile rubbish construction material scaffold outside window . say , service good - exceptional . hotel restaurant good play loud rock music throughout although decor try create ambiance - music kill . expect high degree service luxury base have read . stay Westin month ago $ 100 less per night comfortable bed equal amount service luxury . 
