sospa 	 hire spa group six us corporate entertainment event . everyone fantastic time . build beautiful . staff knowledgeable helpful . lunch good . successful day experience definately repeat . many thank SoSpa . the rating base cleanliness , location , service value not see room 
 8/10 	 struggle find top quality hotel London honeymoon night everywhere seem booked hotel ridiculously price £ 500 . previously stay one top central London hotel year ago , Swissotel , Howard Embankment , would prove benchmark hotel stay . pay £ 320 2004 top quality room swissotel , overlook river separate living room area massive bathroom . pay £ 500 + 5 * Luxury Hotel London seem pretty silly , see standard room , offer breakfast room look tiny photo . in end , decide go last minute.com secret hotel option coincidentally Sofitel select luxury room . quite happy luck day rang Sofitel directly tell luxury room fully book date ring back confirm reservation day , say last minute cancellation ............ hmmm ! anyways , tell special occasion arrive , receptionist inform upgrade junior suite delight wife . we take upstairs show room also champagne ice letter management , welcome we ...... say letter , mean compliment slip thought count . the room bathroom small thought would Junior Suite . would luxury room like wonder ? Toiletries Hermes brilliant rain shower . bed incredibly soft review describe . order room service , , expect , overpriced - club sandwich £ 16 + service charge delicious almost justify price tag . as stay one night , say breakfast option .... know be think & quot ; 's guy 's wedding night ... cheapo & quot ; would think £ 26 per person breakfast ...... starbuck job £ 3 pop 's 500 central London . sofitel simple thing well : staff friendly helpful , room exceptionally clean , bed brilliant food . however , beg belief top central London hotel cost much hate think tourist think price choose book . guess less , especially hotels bang central London . yes hotel bang central London , minute walk Piccadilly yet £ 450 + room ( remember book luxury room get free upgrade ) astronomical - not think stay would good give small , luxury room . however , get pay ; question top quality hotel term service receive , food cleanliness room room big enough not expect much basic accommodation option . come conclusion large proportion pay location . everything damn expensive place yet anything complain be treat kindly make feel welcome . would stay though think well hotel , offer well room space luxury money . 
 Apr 30 2005 	 well value 5 - Star Hotel 	 comfortable quiet hotel . could hear little street noise inside room ' ve find unusual London hotel . staff extremely helpful friendly . eat breakfast hotel ( good ) restaurant decent menu . price reasonable £ 120 exclude breakfast Sunday . 
 Apr 27 2005 	 Excellent Hotel - definitely return 	 definitely return hotel , excellent location two minute piccadilly circus less ten minute oxford st , able walk everywhere do not need taxis tube . hotel 5 star , large classy room , lovely bathroom extra strong shower , bathrobe , slipper , everything might need . trouble organise late check , extra hanger , nothing problem . come back night clean room second time , empty bin etc , turn bedsheet leave slipper bottle evian guest , nice touch ! newspaper deliver room morning.we book online get classic room stg £ 130 per night , think excellant considering stay expensive london hotel turn horribly substandard ( Grange Holborn , Jurys Kensington . ) fantastic value money definitely return . the negative would mention breakfast extremely expensive stg £ 23 . choose eat instead can not actually say whether would worth ! 
 Apr 24 2005 	 Great Hotel ! 	 spend 3 night last week , select hotel base early comment forum . be absolutely fantastic property ! great location , room quite posh money - excellent bed , nice amenity throughout . couple block picadilly Circus tube link everywhere . would highly recommend hotel - unsure room would large enough usual US standard - 's absolutely big enough couple regular room ! large bathroom excellent fixture great soak bathtub good toiletry ! travel extensively , hotel absolutely exceed expectation . 's one hotel nice , touch luxury , pretentious . hard balance hotel maintain - yet hotel definitely well ! highly recommend hotel be plan vacation London . 
 Apr 12 2005 	 Excellent Centrally Located Hotel 	 stay Sofitel St. James one week near Easter . hotel excellent . clean , comfortable , great service , great plumbing ( comparison London hotel ) , reasonable price accomodation , otherwise First Class . would stay . 
 Mar 26 2005 	 wonderful location hotel 	 stay 2 night weekend March 2005 . pay 140 Euros excl vat . nice room - small - ish , feel uncomfortable cramped . Par course London . the room quiet , beautifully decorate ( especially bathroom ) . bistro style restaurant downstair nice theatre dinner menu good value well plain good . location excellent - especially west end . be travel light , Piccadilly Circus tube station literally 3 minute walk away . plan stay next trip London . 
 Mar 21 2005 	 nice touch Sofitel 	 please stay Sofitel NYC last month decide give Sofitel St. James London go . live hour outside London stay Sofitel St. James 3/11/05 - 3/13/05 getaway weekend . hotel superb say , begin like chain much like four Seasons group . mean 5 - star , definitely worth price pay £ 125 per night . the small , beautiful lobby inviting . floral arrangement pretty . also apple basket . little one help apple every time go lobby . upon check - in give free drink card son give lovely double - Decker bus metal toy carry every go . gesture sure sign child welcome . as room , # 116 . room great view face sort atrium roof . room good enough size feel cramp cot son . another nice touch dry fig large glass bottle Evian . maid also buy two bottle turn service night . bed heavenly amazingly quiet night . desk drawer space ample . preferred decor bathroom London Sofitel NYC . husband appreciate heated towel rack . little touch add up . as food , pricey ( room service ) . service excellent , husband son enjoy meal think mine okay . american always quick order pancake see menu Europe . 9 10 time buttermilk pancake , thus lead disappointment . otherwise , coffee bread basket excellent choice . the bar bit small cramp , enjoy free drink . either cocktail day glass champagne . go cocktail day good Cosmopolitans . make sure sign Sofitel Privilege card go . besides free drink , also late checkout much spend convert point . point accrue add quickly already entitle 200 euro certificate . Rose Tea room seem popular always crowd . the hotel excellent location . walk distance Piccadilly Circus , Trafalgar Square , Mall many sight . 
 Mar 16 2005 	 High Standards maintain - worth every penny 	 second time stay luxury hotel ( recommendation choice London ) really live high rating Tripadvisor . wish could stay long . Pristine level cleanliness area maintain since last time stay ( open nearly 2 year ago ) . bedroom spacious large comfortable bed - head back mattress day ' shopping , evening theatre , etc treat . could eaten meal bathroom , spotless towel feel like new . staff friendly efficient public area classy - floral arrangement particularly beautiful . hotel popular business traveller week weekend quieter number continental visitor . breakfast include room rate - high standard . opinion would still worth even pay ( agree ) extortionate standalone charge - 's hotel ! location hotel perfect - c. 500 yard Piccadilly Circus Trafalgar Square yet reasonably quiet . stay number luxury hotel Sofitel St. James compare other - can not recommend enough . exception stay soon reopen , renovate Browns , would happy stay hotel every time come London . 
 Feb 24 2005 	 Superb hotel honest staff 	 stay base tripadvisor view exceed expectation . check give first floor street face room expect would noisy - quadruple glaze ( 4 pane window ) super quiet . also mislay wallet one night business center use internet - return early next morning cash ( £ 100 ) still - honest friendly staff . great hotel excellent value money . 
 Feb 6 2005 	 Great Sleep 	 stay January eight night . book hotel read Trip Advisor . sure & quot ; five star & quot ; luxury hotel definitely pleasant establishment . really great sleep , good hotel experience . staff accommodate helpful , especially concierge . location beat . near everything , St. James 's Park , Tr . Square , Piccadilly , Covent Garden , tuck away end Regent Street around official building quite civilized . adverse smoke would advise bar specialize variety cigar sense permeate public area hotel . minor kink & quot ; newer & quot ; hotel criticism . otherwise , one expect read review . would definitely stay . 
 Jan 30 2005 	 Best Bed London ! ! ! 	 wonderful experience ! ! ! not really want say great would love keep little secret ! ! staff amazing - front desk , concierge restaurant . wonderful bar - gentleman club style beautiful pink & quot ; Rose & quot ; tearoom . restaurant lovely meal great - really enjoy night ! room - wow ! ! upgrade stays sleep get amazing . bed name & quot ; Bed & quot ; sooooooo comfortable feel asleep straight away ! ! ! bathroom gorgeous massive bath seperate power shower . the lobby gorgeous also - show historical artefact . hotel formerly bank incorporate . location amazing -can see Houses Parliament outside hotel . 150 yard Piccadilly tube station , 5 minute Traf Square 10 minute walk Covent Garden . love hotel always return stay London ! ! ! ! ! ! ! ! ! ! 
 Jan 22 2005 	 Top Notch 	 ' ve stay hotel 5 6 separate occasion Sofitel St. James main reason look forward go London . location unbeatable , room always top shape staff anything make sure trip pleasant . admittedly expensive stay ( even company pick tab ) , worth splurge even stay night two . finally , highly recommend breakfast Brasserie Roux ( fact would go even stay another hotel ) patisserie french roast coffee . 
 Jan 21 2005 	 nice little touch loyalty programme member 	 reserve hotel office street Jermyn street . hotel nicely locate good oldie feel inside . though look small size compare Indian 5 star hotel . room samll good ( think London hotel small room type ) . loyalty card holder u get express checkin , welcome drink voucher , free newspaper , free mineral water even orange ! like small touch like make bed ready sleep evening dim light slow music run . breakfast damn expensive decided eat . otherwise nice hotel . already go back . 
 Jan 15 2005 	 love stay . 	 room comfortable . staff helpful . feel welcome . I book internet , make mistake room size . staff front desk fix we new room , check two hour early . nothing nice whole thing . one good hotel ever stay . 
 Dec 29 2004 	 great ! love ! 	 Perfect location ! bed super nice , hotel beautiful staff nice accomidating . husband would highly suggest stay look lovely place stay London . 
