way 	 hotel street surround residential building get real feel would like live area . find great diner nearby ( Joe Junior 's ) become regular breakfast place , laundry deliver , bar corner ( mumble ) great scallop restaurant , block Union Square 's shopping , restaurant subway . room ensuite glad week . second floor , could walk , good lift seem slow . amazingly quiet ( although air conditioning could rival jet engine noise , not ue ) clean enough . bed little hard double , would not hesitate go back location real star . 
 good value location 	 nice , quiet location near Union Square . hotel attractive facade , lobby room decent . share bath ( least corridor ) close room extremely clean , room comfortable quiet . desk clerk staff member saw , seem pretty detached . absolutely fine , might bother . would hesitate book room . 
 Apr 22 2004 	 good price 	 boyfriend stay Hotel 17 five day good deal price location . room big , one queen size one normal bed , bathroom right across hallway . the staff nice could lock luggage last day free charge . problem toilet though , plumb . fix quickly though . it´s nice , every single toilet house work . complaint . 
 Mar 31 2004 	 great NY experience 	 first time NYC go w / my boyfriend cousin . two room average size . hotel clean , bathroom clean ! hallway smell little weird , ( elevator ) . like hotel get great price , location Awesome , close everything . hotel 17 New York flavour . Cool Place . picky person , stay ! hotel Adventourous Type . great cafe nearby serve delicous breakfast . eat breakfast last day snow fall . beautiful ! ! ! first time see Snow ... Loved NYC ... Great Place visit ... much ... oh one thing cool place go w / friend ... 's romantic .. Overall Pretty Chill Hotel 
 Mar 21 2004 	 will Back 	 daughter spend 5 night Hotel17 . little nervous stay unfamiliar city unfamiliar hotel . need worried . neighborhood great , even find decent mexican food restaurant corner . Close Union Square farmer 's market . room small cozy , share bath always keep stock clean . noise issue staff extremely nice . complaint odor part third floor . smell like dog urnine , small area . not know would stay anywhere else consider price . 
 Mar 19 2004 	 great price good safe location 	 stay friend . staff accomodate , safe location . room luxury , clean , iron burn carpet , water stain ceiling , worth $ 65 night two bed NYC . location really good , close Union Sq , 2nd Ave . would stay budget . 
 Mar 15 2004 	 could not disagree Bad Reviews 	 first , first visit New York , first plane ride certainly first time book hotel online without see first . absolutley love . three friend read review prior leave get little scared , get realize bogus . hotel staff kind we even helpful . room plenty warm , freeze outside , bathroom always immaculate never occupy . love room & quot ; cozy & quot ; sink room big help ( travel two guy ) . could not find well location .. right smack dab middle union square ... price ... awesome ! plan return , soon , would definitley stay Hotel 17 . staff , city New York , thank ! see soon ! 
 Mar 2 2004 	 nice place stay 	 think nice place stay not care service hotel . price cheap , location great , room beautiful different standard hotel ( small ) although share bath not sound good , bath extremely clean always available . People reception friendly , keep seven luggage hour day leave . negative thing say room hot possibility adjust temperature ( well air conditioning system machine rather noisy ) . 
 Mar 2 2004 	 fantastic 	 stay & quot ; Hotel 17 & quot ; ( New york ) 16th 25th feb 2004 . read review ( site ) good bad naturally concern quality would like . the hotel fantastic ( safe ) location close Union Square . come party five people three lady two guy way Ireland . & quot ; Us & quot ; ( girl ) share small adequate non smoking room 7th floor . thankfully lift come useful long hard day sightseeing . room equip tv , sink , hairdryer alarm clock . clean , warm comfortable , maybe little squashed three we not mind . as Bathroom facilite , although share always spotlessly clean immaculate . reception staff friendly , often go way make we feel home . morning make sure ask we everything satisfaction . ' m plan stay would certainly recommend small yet friendly hotel anyone budget not mind share bathroom facilite . 
 Mar 1 2004 	 Staff Hotel highly recommend 	 trip New York tight budget friend , decide check net cheap hotel . find Hotel 17 check trip advisor review find 70 % review hotel favourable . I decide take chance . all say ' m thrilled do . the staff nice friendly we , always ask we everything like . the room share bathroom spotless heat agreeable temperature ( kind tropical really welcome minus 11 degree celsius outside ) .The room small cramp tv , alarm clock , washbasin , hairdryer etc . -everythe would need . hotel 2 block subway ( 14th st Union Sq ) really safe area , great cafe nearby breakfast . we stay 8 night hotel , good time be plan go back August another week - ' ve even invite manager 's birthday party ! ! top notch A+++ - 's Waldorf Astoria , care price friendliness . 
 Feb 26 2004 	 want spend much sleep .... 	 ' m go NYC , come spend money shopping party ! ! ! hotel 17 good place stay want spend much rest take shower . room find friend . noisy room clean ( bit small say ) . except shared bath . take quick shower runaway 'cause cool . least , never wait , line . well locate . good experience 'cause city day ( like week - end ) time stay room long period , action outside anyway .... 
 Feb 13 2004 	 Eeeeek ! 	 place scary . maybe ' m & quot ; use NY & quot ; , enough time , never feel dirty hotel . not even take bedspread bed ; rather put towel top go sleep . suppose share bathroom relatively clean , something enjoy . whole hotel smell really stale musty , staff not friendly . suppose thing good price . case , definitely get pay . 
 Jan 27 2004 	 stay away Hotel 17 	 love funky , quirky , cheap , historic hotel terribly hard please Hotel 17 huge disappointment every aspect except one -- share bath nicely remodel , super clean always available . book room two night New Years . queen bed book Orbitz turn double ( although confirm phone know sharing bed brother ) , room teenie weenie ( think cabin cruise ship ) , furniture in - room sink cheap run , bed side light even overhead light good enough read . front desk staff ... look , wait minute round personal call not make wait 10 minute , , twice , three time . choose Hotel 17 location price . could get price several much well hotel little uptown next time . 
 Jan 13 2004 	 happen Jamie 's staff 	 back 2001 , totally good stay ever New York . Jamie Hotel Manager , & quot ; ULTIMATE pr DIRECTOR & quot ; Manny take we trendy place NYC offer ! ! ! Revisit NYC September 2003 , Jamie Company go . hotel 17 long fun , fab , flat RIP ! ! ! ! allure 17 Hotel Jamie awesome & quot ; goodlooking & quot ; Desk staff . try Gershwin day ! ! 
 Jan 13 2004 	 great value Hilton 	 hotel good deal . stay twice 2003 , feel gettig good value money , consider New York City . location fantastic - Union Square / Gramercy great area good restaurant , fantastic subway connnection . hotel keep clean . share bathroom fine - almost never anyone , almost always clean . room nicely decorate range size adequate good sized , sink . 8 permanent resident bit problem : one tv day night quite loudly . encounter , ask moved , sympathetic problem since nothing move people . be get Hilton price , get something clean , comfortable well - locate . would hesitate return 17 . 
 Jan 8 2004 	 nice Europen Style Hotel 
 Jan 7 2004 	 bad Thought 
 Dec 27 2003 	 Awesome deal ! 
 Dec 26 2003 	 cool 
 Dec 24 2003 	 not believe read 
 Dec 15 2003 	 pretty good deal 
 Nov 1 2003 	 well expect 
 Sep 12 2003 	 quiet dreamy romantic Hotel 17 
 Jul 20 2003 	 tidy hotel Great Location 
 Jun 11 2003 	 Hotel 17 score 17 100 . 
 Oct 21 2009 	 Schön zentral 
