great 	 world travel gay couple rarely find homophobia . upon arrival hotel greet young lady front desk . ask we three time correct want king size bed . assure correct sneered look like go ill . maybe , defense . warm greeting . the next day ask concierge time TKTS discount broadway ticket booth Times Square open say idea walk . stun we . later day different concierge hand helpful . room huge , comfortable clean . location can not beat . recommend hotel friend probably stay somewhere else next visit NYC . 
 like home 	 really really like hotel , nice place , easy reach mean ; service perfect , price effordable worthy people gentle . 
 Beautiful Hotel RUDE Front Desk Personnel get low mark 	 hotel surprisingly beautiful woman front desk horrible . misdirect room go hotel trying find , keep insist direction accurate . take colleague notify direction flaw even notice still not apologize look computer . later need call front desk person answer - quickly interrupt conversation response hang . beautiful hotel staffer work MOTEL , hotel . recommend hotel mindful rude staffer 
 apparently many folk think be Leona Helmsley 	 stay past ( 2009 ) Thanksgiving complaint whatsoever . the room ( king smoke 14th floor ) large comfortable clean . my good tip ? * * roosvelt deli west end block . cheap , friendly ( ! ) , open 24/7.i think 's safe assume property renovate part Holiday Inns ' & quot ; makeover . & quot ; , ask two cent ' worth , would bring two things:1 ) bright lighting , 2 ) ice machine every floor -- currently be stagger . meanwhile , must say like . travel would prefer , would definitely stay property . 
 Basic Accomodations .... get pay 	 bad hotel mean ... basic run . decor old drab , location mean great . however , far Columbus Circle , Central Park choice , right . unfortunately , get stick hotel Hotwire . sometimes get good , sometimes get bad .... time drab . 
 Aug 17 2004 	 nice clean room Tower 	 help site , decide stay Holiday Inn Midtown July 5 - 9 , 2004.excellent Value $ 149.00usd.the room Tower renovate , nice furniture , bedding . bathroom miss renovation . ok.our family 4 feel safe walk late 11:00 pm night area . yes , Morning Star Restaurant good nothing really rave about . try Pizza Villagio 57 street dinner , awesome value great food ! pool clean lifeguarde . close 6:30 pm . lobby brand new lay carpet , work night . free safety deposit box front desk valuable . we good service front desk staff chambermaid . would highly recommend stay Holiday Midtown , NYC . 
 Aug 3 2004 	 cheap show . 	 stay two night . rude front desk staff . Felt put ask question . room clean , bed spread smell badly . ask replacement . change ... smell like foot . room much sere sightseeing .... thank god . ok value go use room much . 
 Jul 18 2004 	 Good Hotel Value 	 ( wife , sister - in - law , two child , ) stay four night early July . room clean quiet . room unusally large manhatten standard -- - plenty space even two double bed , desk , chair . Front desk personnel efficient maid nice . hotel 2 block subway . 2 - 3 block west Broadway / Carnegie Hall tourist area , area around hotel residential feel enjoy . Holiday Inn strongly recommend anyone -- - particularily good traveler kid want large room pool ( easy find NYC ) . eat breakfast first morning Morning Star restaurant ( corner 57th 9th Avenue ) due positive review site , return every morning = = = good food , excellent value , good service . 
 Jul 13 2004 	 satisfactory 	 room large knob keep fall bathtub door bathroom stick badly ( badly two 12 year old hard time get ) . extend stay front desk forgot update hotel card key lock . basically stay enjoyable hotel maid great . ask towels coffee even not room service would oblige immediately . not give postcard front desk mail . give mail front desk Monday next Monday one person receive . mail 20 card . sure eat Morning Star across street ( good place town ) . gym downstairs really nice . pool nice close 6 pm . gift shop reasonable . would stay . 
 Jul 12 2004 	 Great Value ! ! 	 stay Holiday Inn Midtown past weekend happy ! stay girlfriend , wife , get engage find price way average New York City . like stay find great rate 149 great bargain ! be beginning find many travel city lot hotel rate either share bathroom , rat problem simply run - down , ! hotel spacious lobby , clean , good restaurant , parking reasonable , roof - top pool room big middle class hotel city ! highly recommend Holiday Inn Midtown ! 
 Jul 2 2004 	 treat ! 	 impressed Midtown Holiday Inn . check late , clerk apologize room available second floor , street side . say would noisy , . however , also tell we call 10 next morning , could move another room . time get one seventh floor , face tower hotel . much quieter . also room rollaway bed , son could bed . pay $ 149 night , plus $ 15 rollaway , seem reasonable location . room coffee maker , 's D'Agostino 's market across street , first couple morning go Morning Star cafe ( tasty inexpensive breakfast ) buy breakfast food market eat room , help we save time get see sight . Columbus Circle subway station easy walking distance . buy one week pass $ 21 , use subway get everywhere . trouble use subway , many people helpful . watch cab ride way back airport . city mandate cost $ 45 way airport Manhattan , 's meter way back . cabbie drive we Times Square ( congested area , day night ) 2:30 afternoon tell we rush hour ( yeah , right ) . $ 55 would take we shortcut . agree , not tip , cost come trip direction tip . 
 Jun 18 2004 	 Holiday Inn Midtown fabulous ! ! 	 price , Holiday Inn Midtown large clean room great location ! hear lot horror story NYC motel , especially size cleanliness . pleasant surprise ! 
 May 30 2004 	 Clean Convinient Roomy . 	 could not believe review hotel New York . seem though top dollar able stay clean hotel . ' ve search search . sis not recomend staying hotel - she claim picture decieve . would definitely recomend hotel anyone interested stay New York . carpet clean ( vacume everyday ) , large room , nothing old room bathroom newly tile . hotel keep standard holiday inn , say many privately own hotel New York . conviniently locate middle everything want see . street away Central Park ( good / clean side ) . two block away find store like Hugo Boss , Diesel , Channel many other would not risk put business unreputable part town . grocery store , pharmacy , subway , eatery within block radius . hotel fairly large loby inn , fully equip bar banquet halls.-that go show 's size . would definitely stay ! ! ! 
 May 21 2004 	 great hotel stay - can not wait go back ! 	 friend stay last September nice convenient place stay ! pay $ 140 / night room include 2 double bed . 's great price consider location , midtown great place stay . room huge , easily fit 4 people room . nice location within walking distance everything Midtown ! comparison -We ' ve stay 8 various city Europe vacation past 4 year , hotel can not compare size comfortability hotel ( ' ve stay supposedly 4 star hotel , expensive ) ! staff hotel friendly , people NY friendly also ! thouroughly enjoy stay NY back next year ! 
 Apr 26 2004 	 Glad Check .... 	 stay ( believe , enough ) four night could wait get place . someone warn New Yorkers lay back Floridians god , staff place take arrogance new height . when check have give wrong room - have ask double room king bed give one two queen bed good job not bring cat , could not swung round . probably first hotel room ever could touch four wall every limb . ask change room would book ( pay extra ! ) expect receptionist pull revolver shoot we least judging look give . and go , downhill way - whether staff mark X anyone 's name complain anything , level service establishment lack anything remotely associate manner . awful , not go ! 
 Apr 23 2004 	 worth ! ! 	 really good stay Holiday Inn . Receptionist Concierge friendly efficient . room big spacious ( lot room store shopping ! ! ! ) . location good get taxis place fare reasonable ! not miss Morning Star across road breakfast sooooo nice ! overall Holiday Inn nice stay worth money ! 
 Mar 2 2004 	 NYC room big 	 ' ve stay one hotel NYC . hotel much expensive Holiday Inn . moder fixture , near size Holiday Inn . Holiday locate nice residential street , within walk distance restaurant , shopping . fancy hotel , roomy comfortable . 
 Feb 24 2004 	 first hotel stay ny ok ... 	 stay Tower B , 6th floor . not know go room , via elevator ( info post ) , remodel take placeon 1st thru 5th floor . ask construction would disturb we , front desk assistant , respond would . needless say , approximately 8:45am , hear drill hammering . fortunately , check noon . also , sheer curtain hang window , make little uncomfortable dressing room , since window face couple building . other , pleasant stay . 
 Jan 20 2004 	 Great Value Dollar 	 husband stay hotel October . 2003.he attend function another hotel book . choose hotel . this good location grat buy . the room large clean . stay new part hotel . I would stay ! 
 Jan 15 2004 	 Good Value Dollar 	 good choice be try keep room rate $ 200 per night . Tower B 3 night early January $ 120 [ er night . mention everyone , room large comfortable . furnishing nice clean . bathroom nothing special , dirty either . Maid service dependable friendly . Nearest subway stop 2 block away . walk Times Square take anywhere 15 20 minute . Central Park nearby . many site within walk distance walk thing . otherwise bus subway close . good choice cost conscience . 
 Jan 13 2004 	 Big room 	 stay 10 night special deal , 2nd trip Manhattan . room big , big average Manhattan hotel . service fine , though Room Service trouble australian accent ! room service first 2 day , call complain take care straight away . time stay , hotel use Aer Lingus cabin crew seem book night . busy hotel european traveller . overly friendly , standard complaint . do not CNN stay , will not go reason . 
 Jan 12 2004 	 large room Great Price Clean 	 ' ve stay hotel number time never bad experience . room large , especially NYC standard price bargain . last visit , staff go way find even large room ( host party ) . two tower property - Tower Tower B . request room Tower furniture new . two minor complaint . first , although street sound minimal , soundproof room good , say sound room hall . secondly , wait elevator , especially checkout time , seem like eternity . luggage , be much well take stair . would suggest eat reasonably price restaurant 9th Ave . , south West 57th Street . Ninth Ave . around corner . 
