ask 	 first positive ... short walk Grand Central Station . upon enter 70 Park Avenue not get & quot ; Kimpton & quot ; scent Kimptons ( sorry think Kimpton propertie distinct fresh scent ) . lobby check - in area cramp feel claustophobic . dog lover purposesly stay Kimptons pet friendly , find odd ask front desk person dog not know ask front door man ? check request fish bring room . six hour later , still fish , place phone call transfer manager 's voicemail , politely leave message request fish would like one bring room Wednesday . upon check - out Friday never see fin friend Room 709 , way would never stay . room locate right near elevator door use constantly housekeep staff open close make sound someone knock door . apparently hotel housekeeping closet storage . whole three day line hall right outside room various cart towel , etc . television room serious malfunction . set temperature room 65 , consistent 75 ? ? never use room service think breakfast average $ 24 worth . silverleaf lounge offer customary Kimpton Happy Hour $ 5 drink 5 - 7 p.m. nightly . tell live music lounge , not hear not start time advertize . love Kimpton hotel , definitely stay one one NYC next time . 
 Jan 26 2005 	 Home Away home 	 great hotel come right expectation . I stay 70 Park Ave 2 week Jan 2005.minus point : Room Size : queen deluxe room small , would recommend start ; least king deluxe , move premier room category possible . WiFi Connections : still need work kink here . zero point : bathroom : small , even large room , bathroom quite small . Linen Cart : hallway , little disconcertinggym : suffer Jet Lag want use gym 5 , . plus point : staff : friendly , attitude , look . service : room service , House Keeping , Complaints attend immediately , friendly smile . design : Modern yet warm . 42 & quot ; flat screen , every room , regardless size . Bring / Rent DVD 's CD 's - nice surround sound . comfort : bed , pillow , sheet , blanket - cosy . clean , great amenity . expand mini bar . quiet : room face away park ave , never hear honk . inter room disturbance becuase thin wall either . bottom line : stay , want home away home , splurge large room , place stay ny . 
 Jan 22 2005 	 nice trendy 	 friend stay 70 Park Ave fall 2004 long weekend Toronto . NYC several time not sure expect since always stay large chain hotel . pleasantly surprise Park Ave . hotel trendy zen feel . room two double bed 12th floor great view Park Ave . complaint washrooms small , afterall NYC . staff friendly since small , intimate , get personal service . first day stay come back shopping , walk lobby greet glass wine since welcome drink nice touch . find classy definitely not get hotel even big name . would recommend hotel couple romantic getaway single business traveller , not suggest hotel family , especially small child , anyone travel group someone need space . overall , location great , central , within walk distance subway station . 
 Jan 21 2005 	 LOVE 	 can not believe much loved stay 70 park . not understand anyone could complain room . NYC standard , be insanely large . mention incredibly comfortable . tempt tear apart bed see brand sheet , pillow , mattress use ! ( email hotel instead . ) important thing note QUIET . least room . request quiet room definitely get one . small thing NYC . amenitite fixture perfect -- tasteful , high - quality , aesthetically pleasing right way . course room service dinner salad sandwich $ 55 hey expect manhattan . exhausted get could not bring go -- need really , really rest . completely able . many thank 70 park . ' ve stay soho grand ( fine ) , tribeca grand ( faux hip doubletree , yuck ) , 60 thompson ( wonderful ) would pick 70 park . 
 Jan 4 2005 	 friendly hotel employee room not measure 	 recently stay 70 Park Avenue Hotel business trip New York City . summary review , . people want detail post , include commentary certain Kimpton Inner Circle benefit hotel , be even personal travel blog , mention end review . check : check front desk professional . Kimpton & quot ; Inner Circle & quot ; elite level guest , entitle upgrade good room available check : present choice book Deluxe room high floor upgrade King Premier room low 4th floor . upon request , hotel staffer escort see room could compare make decision . book Deluxe room not great : view high floor uninspire bathroom quite possibly small bathroom ' ve see hotel ( include variety New York City hotel ) . simply put , cramp bathroom Deluxe room would unacceptable - consider book one room advise . upgrade King Premier room essentially Deluxe room except bathroom somewhat large ( although still small acceptable ) bath tub jacuzi jet . concerned possibility hear street noise low floor room - hotel staffer 's assurancethat would not problem , decide upgrade room . my ROOM : be good , bad ugly upgrade King Premier Room : good : * 42 & quot ; Flat Screen tv ( sweet ! ) , plus DVD / CD player surround - sound system * clean * nicely furnish * comfortable bed pillow * lot mirror * Candella nightlight unique create nice atmosphere room * plush terrycloth bathrobe * Bathtub standard size tub jacuzi jet nice bonus ( compare well deep soak tub Hotel Monaco Washington D.C. ) * Curved shower rod similar Westin * Thymes Limited bath amenity * speak Thymes , like instead mint pillow turn service , leave packet Thymes & quot ; Sleep Well & quot ; lotion pillow . nice touch ! bad : * street noise problem 4th floor . despite early assurance hotel staffer , street noise problem morning , near constant honking taxi horn wake . context , live downtown Seattle use city noise . level noise unacceptable . * power strip near desk . come , ' ve get 42 & quot ; flat screen tv -- power strip near desk laptop ? standard unacceptable power strip near desk . * slide door bathroom hard move . door keep get stuck could not get bathroom without great effort . * not like brown wood panel wall room 70 Park Avenue Hotel . compare botique hotel ' ve stay , room not nice . sorry , wood panel look rather ugly remind wall finish basement parent ' 1970' - build house . * directly outside room , linen cart entire duration stay . ask front desk move cart say normal 70 Park Avenue Hotel store linen cart middle hallway due lack space - would move linen cart elsewhere . cart never move . distinctive hotel store linen closet outside room linen cart . not want walk linen cart every time leave room return . ugly : * high speed internet ! 70 Park Avenue feature WiFi high speed internet access throughout hotel . 's great theory , laptop not connect WiFi . upon request , hotel send bridge router , never able connect high speed internet even bridge router . call Kimpton 's toll free tech support number tech support say problem not laptop something local hotel -- amazingly say & quot ; busy work & quot ; ( be direct quote ) . context , next botique hotel stay , problem connect via regular direct line high speed Internet . summary : high speed internet important - want work ; 70 Park Avenue Hotel , waste time headache , customer service unacceptable . SPECIAL amenity : 70 Park Avenue Hotel , like Kimpton property , evening wine hour , guest socialize . really like concept . HOTEL STAFF MANAGEMENT : hotel manager chat lobby friendly professional . staff front lobby elevator friendly helpful . people speak give 70 Park Avenue Hotel personal touch often lack New York City . check : fast efficient . when BOOKING ROOM : decide stay 70 Park Avenue , avoid Deluxe room not get impossibly tiny bathroom . also , sure get high level room avoid street noise morning . the VERDICT : like hotel employee meet , ' m big fan room 70 Park Avenue Hotel . expect stay 70 Park Avenue next trip New York City . must confess prefer W Hotel Times Square , despite shortcoming ; platinum level upgrade Starwood generally well room . # # people want lot detail , include commentary certain Kimpton Inner Circle benefit hotel , be even personal travel blog athttp : //insider.blogs.com / travel/2005/01 / review_70_park_.html 
 Jan 3 2005 	 Hotel bad service lack 
 Jan 1 2005 	 uncomfortable stay 
 Dec 16 2004 	 New - Rehabed 
 Dec 1 2004 	 will not stay 
 Nov 4 2004 	 Erratic Service 
 Nov 2 2004 	 love ! 
 Oct 15 2004 	 great Columbus Day Weeken 
 Sep 19 2004 	 special trip 
 Aug 23 2004 	 70 Park Avenue Kimpton Hotel 
