smart 	 return long weekend London stay Place2Stay . first choice usual B & amp ; B fully book find someplace else . modern clean . well run comfortable room , excellent shower , efficient elevator . free WiFi room . downside , expensive usual B & amp ; b hotel serve breakfast room nicely equip kitchen nook complete tableware , complimentary tea coffee , kettle , microwave refrigerator . location bit far away Theatre district Oxford st./covent Garden / Soho , customary haunt , convenient Earls Court underground station . Buy Oyster card convenient bus tube travel . overprice London , would say hotel represent decent value would hesitate recommend adult without child . 
 Great Hotel Great Location 	 really enjoy stay . room little small , however still big enough , well appoint extremely clean . service require excellent . great location couple minute walk Earls Court Station . Earls Court Road quiet feel safe night . would stay back London . 
 stay . 	 beginning walk door , base2stay great . staff extremely friendly go way help . location hotel central 2 minute walk tube . taxi 's need . room clean comfortable . modest sized double room suit need tour day . would suggest look large room plan spend lot time chill room bed take majority floorspace , desk , lounge chair bathroom . however tour London , would perfect . the bathroom clean generous size compare many hotel . the staff assist we day tour available , offer assistance wherever could polite . pay £ 243 2 night worth . overall , hotel modern , comfortable , centrally locate staff great . would certainly stay strongly recommend other . 
 modern clean convenient affordable ! 	 pleasantly surprised base2stay Kensington . staff member helpful courteous . double room reasonably price , really small . not big deal since really need sleep , hang . modern decor charming old Kensington neighborhood . good closet space nice kitchenette mini - fridge hide behind closet door . receive 20 % coupon local restaurant front desk . hotel short walk Earl 's Court tube station able travel around London great ease . would definitely stay next visit London ! 
 Jun 22 2008 	 can not wait stay ! 	 previous reviewer write , enjoy hotel , feel far . husband choose base2stay week long stay March feel location superb . one , hotel street underground station . since fly in / out Gatwick , bit trip make . however , choose use tube Victoria catch Gatwick Express to / from airport . could quicker easy , even suitcase classic London weather . the Kensington area full food option . problem find breakfast / lunch / dinner day stay . addition , close tube ( Earls Court ) , ride city center quick painless . course , one look touristy thing , Kensington might first choice . 's neighborhood quiet chill vibe . however , husband specifically look hotel would away tourist area quiet , livable area . certainly disappoint . the hotel wonderful . besides fact front desk really warm friendly upon arrival , always greet we enter leave building . additionally , housekeeping staff attentive nice throughout stay . also appreciate fact vend machine reasonably price . without doubt , stay base2stay next trip London . wish could find States ! : ) 
 Jun 21 2008 	 quite happy 	 base hotel 's website , review TripAdvisor , choose base2stay recent visit London . disappointed . room clean , single quite snug , everything need . especially enjoy kitchenette feature , could sleep bit , late breakfast schedule . maid would wash every day . also appreciate beautiful shower , high ceiling . curtain rod make excellent place dry laundry . the room come booklet fill information & quot ; mod con & quot ; work , also , information local resource , supermarket . especially like new Sainsbury 's -- be huge . the hotel block Earls Court tube stop , discover stair walk Picadilly platform , great be tote luggage way Heathrow . the keyboard use access internet little tricky , eventually get hang . email friend family almost every day , simply convenient . also like listen BBC Radio telly . my room overlook mew , enjoy watch local come go home there . when check room , discover window would not close , maintenance man come quite quickly fix . may nail shut permanently . know feel safe . also trouble card key , time , zap front desk could get room . the hotel quiet . could hear people move talk sometimes , nothing loud . several restaurant neighborhood , be another tube stop ( Gloucester Road ) block away . definitely consider base2stay next visit London ! : ) 
 Jun 20 2008 	 Perfect price 	 stay base2stay three time May / June find perfect London accommodation many reason . 's block Earl 's Court underground station , link directly Heathrow airport via Picadilly line [ much cheap Heathrow Express taxi , 's elevator station carry suitcase up / down stair ] . 's Marks & amp ; Spencer food store , drugstore , laundromat , pub , restaurant store station . good hotel - clean room helpful staff . room small [ Europe , ) , everything pristine white windows huge 's lot light ( window open heavyweight blind curtain ) . bathroom ( large shower ) lot room toiletry towel big thick . 's compact kitchen every room microwave , fridge , sink , dish , plus kettle instant coffee real milk . flat screen tv come keyboard free internet access ( fave ! ) . 's safe , hairdryer , phone alarm clock . reception cleaning staff friendly , professional always ready help . 's downside ? room tight 2 people lot stuff ( closet small , 's space bed suitcase ) . 's food service ( restaurant breakfast room ) . could use separate room hold luggage before / after check in / out ( hold though , reception area ) .I run Manager ( pleasant , talkative man ) tell much like hotel . say new concept low price depend give client good essential cut high - cost item like food service . work friend mine recommend hotel . plan make regular ' base 2 stay ' London ! 
 Jun 17 2008 	 clean far far everything 	 stay base2stay 2 night April . we lose lot time stick traffic hotel spot . theather attraction end town . room clean , nice quiet . supermarket starbuck 2 min . walk distance hotel great breakfast . another thing ask front desk call we cab go town checking , since carry luggage us hotel side town want go airport instead cab call private car we cost 3 time regular cab charge . nice , beware . 
 Jun 13 2008 	 highly recommend ! ! ! 	 stay London never great . room BASE2STAY wonderfull , stylish furniture , comfortable bed everything clean tidy . pleasure stay hotel . power - SHOWER room excellent busy day . really sleep well comfortable , quiet room . staff friendly , ! hotel first choice London ! ! ! highly recommend place ! FELIX 
 Jun 2 2008 	 great hotel 	 daughter come back London stay base2stay . London many time live everything Hostels 5 star hotel , well far ! first trip daughter first abroad make choice hotel important ever . want Piccadilly line access Underground line make whole travel around thing easy possible . want safe neighbourhood , grocery shop close , great bed , nice clean room importantly really good shower ( hard expect find London ) . , get ! get room low ground floor disappoint we first nice enough . small be talk London : ) also , space use perfect way bunk bed ( daughter choice ) , one closet , mini kitchen , desk , two chair fantastic shower . good thing enough space bed put suitcase . the staff friendly professional helpful ! thing like air conditioning . either ice cold turn become hot . , get bed times night either switch ( horrible cold time sleep crucial ) . folder work say automatic control stop reach certain temperature . also tell staff could help ( least day leave next day ) .anyway , go back London autumn son stay hotel again . oh another thing .. daughter happen spill Coke bed linen cleaner change side instead change bedding . biggie still . 
 May 30 2008 	 Loved ! 	 stay Base 2 stay May 18th 23rd one bunk room . room small side , perfect . bathroom large spotless modern amenity . hotel staff polite helpful one first time stay somewhere actually look forward go back hotel night . would recommend hotel anyone matter age look forward next stay ! 
 May 30 2008 	 Expectations exceed ! 	 monitor review base2stay TripAdvisor two month . give hotel staff high mark previous guest provide . Comfort , value , amenity location -- -- look quiet property lift comfortable bed . base2stay choice . stay hotel total eight day month satisfied room hotel staff . Vinny help we restaurant plan etc follow make sure visit enjoyable . staff also professional responsive . one travel alot , highly recommend base2stay anyone think make plan stay Kensington area .............. 
 may 27 2008 	 fantastic hotel 	 husband really enjoy time base2stay . stay five night standard double room begin May . room well design beautifully decorate clean simple way . size room not bother we expect room London small . favourite feature mini - kitchen fact clean daily . hotel convenient area many restaurant Earl 's Court tube station street . also find nearby Marks & amp ; Spencer Simply Food Boots pharmacy really handy . the member staff polite , friendly , helpful . help we understand train information dial number UK . 
 may 24 2008 	 Perfect Stay 	 wonderful stay 4 night fantastic hotel . room spacious immaculate . location great short distance Earl 's Court underground station many great pub restaurant area . also many grocery store area take advantage mini - kitchen hotel room . good , staff friendly , courteous , professional . not appreciate difference make experience opposite . arrive late morning expect leave bag walk around area room ready . room ready , Manuel find comparable room available check - in immediately . another gentleman volunteer information 24 hour grocery store locate without ask . can not say enough good thing stay Base2stay definitely stay future visit London . 
