feel 	 Platinum Ambassador chain really expect take care give notice celebrate wife ' 40th . get upgrade executive king room impress room . bathroom 5feet 7feet . mould water leak wall . light dull dressing table hair dryer socket situate WC wife stand infron toilet curl hair dull light . toilet seat numerous chip look awful . cup coffe fancy new coffe maker afterwards discover allow one coffee day , ( ) , free coffee would charge $ 3 plus tax . bring back kettle free coffee , tea hot choc please . first night exhausted go bed 1830 surprised doorbell rang 2130 . clean want check room . 0230 morning back home shatter . never visit late rang complain . tell fault put disturb sign . room 8th floor could see sky . room dark gloomy . bed comfy mtress topper . ask room change bright room never happen . drink expensive . vodka coke JD coke $ 20 2 breakfast $ 65 . breakfast buffet quite extensive expect , thing cold . good thing eat cold bagel salmon cream cheese freshly make omlette . ask 5 time juice one morning end go pick caraffe . waiter come snatch hand . foyer impressive music play guitarist evening quaint . concierge service keen assist help thing may gain commission unhelpful issue . online concierge service work tv either . gym unsupervised go first morning steam sauna find turn . rang maintenance came show turn . emergency stop button timer activate service . way alert anyone distress service change room remote . fitter say alarm sound service get hot . require sauna need turn hour go . street noice loud glass garbage truck wake we around 5 - 5.30 . New York brilliant enjoy everything . would go New York would stop Barclay . 
 Fab Time Barclay Intercontential 	 nine us girl stay Barclay 20th 23th Nov great time . could fault hotel staff room service first rate . arrival check within second , luggage take room immediately , room immaculately clean , staff could helpful . the hotel well situated get around next Grand Central Station , short walk Rockafeller Centre Times Square . I would definately recommend hotel anyone . 
 old dirty expensive staff attitude 	 barclay locate conveniently walk distance 5th Av UN building . however , would advise anyone stay hotel . lack ( friendly ) staff , room old , dirty expensive . with two staff check entire week ( rest staff hiding office behind check ) , start bad . check almost take hour , tell reserve early check room ready . , two hour later wait 45 minute get key . unacceptable . the room small ( expect NYC ) , urgent need thorough clean complete renovation . furniture dusty greasy , bathroom feature mould , hair , strange stain . ask housekeep clean bathroom , indicate would happen next day ( conveniently check ) . complain reception impossible , busy . bed ok . AC , noisy air recycling system . Windows open , noise outside much . good side , room quit , room next elevator without noise . wifi room , wifi reception area free . breakfast good . weekend buffet , week omelette station ( good one actually ) . breakfast expensive though , buffet usd 39.00 ( ex tax service ) . add usd 9.00 ( ! ) espresso . indicate , lack staff staff extremely rude arrogant . actually think rude self - defence , otherwise would able cope many complaint . since wifi available reception area , spend time watch one person complain possibly everything one could complain . , old dirty room amenity cost around usd 450 per night wonder people disappointed demand improvement . 
 Oct 31 2007 	 Barclay Intercontinental -- daze confuse ... 	 first stay Barclay IC couple year ago thing go well room terribly overprice time , try March 2007 . thing go well except unable use point stay , figure ok , least will get point . checkout though , $ 1,200.00 add bill room service order party ( literally ) occupy room check . take three month get charge remove credit card . promise upgrade suite next stay , try past weekend , able use point one night . stay split & quot ; point & quot ; one night pay one night , two reservation make . begin web confusion involve beingable gain access room two occasion . first time , go front desk , twenty minute wait line , tell long room , someone else room stay long -- ? ? belonging room ( hope ) since hotel & quot ; move & quot ; guest another room without notify ? tell worry , bellman would assist . point ... ( besides , delay get intomy room day walk , etc exhausting , upon arrival day , wait b / t 30 - 40 minute luggage arrive via bellman tell would arrive almost soon get room . ) tell front desk person would willing move another room room greatly reduce rate . reply & quot ; move less expensive room , change rate pay & quot ; . People next line point amuse deskperson 's total lack perception situation . FINALLY ! announce could return room , reactivate key card . ask question , gratefully return room , change clothe go back theatre . delay make go dinner show impossible , grab bite show retune room 11:45 pm . guess ! key work . fortunately , line front desk , apparent reason card work , reactivate able get room , really -- place leave hand not seem know right hand . past two stay , go luggage storage area findmy luggage whatever system use apparently ineffectiveis retrieve luggage . singular exchange concierge make feel concierge concierge another time place -- totally nonfunctional . Heed event stay elsewhere -- room though , pure luxury -- bed heavenly , housekeeping staff excellent . 
 Oct 31 2007 	 absolutely pathetic service 	 lot travel generally stay nice hotel since company not type restriction . tire four Seasons , NY Palace , etc . lack point program ( yes , point junkie ) . decide try Intercontinental . unfortunately hotel , even old adage & quot ; get pay & quot ; does't apply . cost other ( charge $ 600 / night tiny king room , much small size room get $ 600 / night hotel ) service not even compare . first , wait 30 min check - in . two people front problem reservation not employee help ! evening try order room service . honestly conversation go ( finally record last half mp3 player ridiculous ) . dial , get put hold room service busy , hold 5 min automatically transfer guest service . Guest service tell need call room service food , explain get transfer guest service . guest service transfer back . another 5min hold period , get transfer back guest service exact conversation person guest service ( name refrain listing since 's pawn system anyway ) . back hold room service 3rd time transfer back guest service . time tell leave vmail room service . try tell wait long enough hold go vmail , even though 3rd time automatically transfer back hold long ! terrible service say least would expect Holiday Inn , let alone place charge $ 600 / night . needless say , next time back ny ( often ) , go back NY Palace forego reward point ( stay Sheraton , Hyatt WHotels 1/2 price intercontinental least comparable room level service . 
 Oct 16 2007 	 Bad Smell 	 book hotel last minute Priceline.com pretty happy turn Intercontinental Midtown Manhattan . not last long . arrive late night get room encounter bad smell . complain early next morning change room find next room ( 617 instead 817 ) not much well either . sure must nicer room horrible experience even nice lobby can not make . addition room pretty run stain carpet wall . would recommend stay Barclays go pay full fare get one upperclass room . 
 Oct 14 2007 	 Classy place ! 	 Intercontinental Barclay New York one classy hotel ! reminiscent european luxury hotel 's grand lobby , service decor . the room extremely comfortable plush bedding , high quality furniture beautiful italian marble bathroom . continental breakfast ( include ) outstanding . travel world work , return place next time NYC . highly recommend . oh yeah , pay $ 180 thre Hotwire ! 
 Oct 12 2007 	 Terrible Hotel 	 ok , usual preamble ; frequent traveller , 120 night year hotel across globe , usually corporate credit card usually top tier hotel Peninsula Hong Kong , Four Seasons New York George Vth Paris . also stay fair share Express Holiday Inns Comfort Inns , acute sense make good hotel . I normally stay NYC every month Four Seasons favourite , Ritz Carlton Central Park , full , head Barclay , think Ambassador Priority Club membership would land nice upgrade review okish . stay year 20 Manhattan hotel trendy Soho Grand spectacular ( wallet well ) Mandarin Oriental , thought would give Barclay try . the car pull two bell boy watch struggle bag step . check front desk nice efficient lobby area typical large New York hotel . intimacy Four Seasons RC , smart elegant nevertheless . I upgrade executive room . quite sure difference regular deluxe room . New York quite large , two window . bathroom tiny whole place look little tired . mark carpet bathroom tatty , crack basin bath . wallpaper bit ragged place , bed linen fine . I log internet fix LAN temperamental ( travel two laptop know ) try local wireless could pick up - but slow give . front desk keep tell nothing wrong system , despite problem report number guest . then guest room next door room return . interconnect room conclude insulate room paper , could hear everything next door room . mean everything ! include detailed financial discussion bank . I put IPOD try ignore , bed , manage get sleep - despite terrible noise road ( seem particular problem hotel ) . awake cough 3 am , give sleep . the next day , return work , weary tired , room clean utterly stank sewage ! open window two hour , ' log , simply enough call front desk . annoyance compound new guest room next door , hear wedding plan ( seem like go nice ) wall . demand move room . meet grunt ' guest service ' . eventually , four call , track Manager , move side hotel . this regular room ok , street noise deafening , décor get grubby internet occasional art good . apology manager skip fast could next day . this five star hotel . hardly bad four star . service terrible , technology break , room shabby , bathroom small , insulation paper service non existent ! 
 oct 9 2007 	 thank goodness doorman ! 	 want go New York since small child look appeal bright light sky scraper . finally manage go 2004 . husband tell Valentines day go week later 14th March 2004 could hardly sleep excitement ! arrive JFK airport evening excite unfortunately time get hotel tear ready go home thank extremely rude security staff airport . queue two hour get security although not problem understand agree strict security policy , officer rude everyone , time turn go next available officer qiute frighten intimidate , minute icy stare able proceed immigration , queue another hour ! outside airport get yellow cab , head city , excitement start quickly draw halt taxi ride hell , honestly like something movie , swerve traffic car thumping ( shock something ) driver bang fist door like someone derange , make even nervous see husband bit boy racer hold take hand ! arrive hotel would not tip lunatic driver know do thing way would gave anyone tip terrify we , sharp word say husband , lovely doorman hotel come rescue see upset . great , get we check help we everything go eat . stay Barclay Intercontinental lovely , room good , comfy bed food great especially breakfast . love go breakfast watch breakfast meeing take place really like another world ! sight see thing . good thing would recommend take bus tour drop want ' e finish hop next one take next place interest . also night time tour city breathtaking March still extremely cold need wrap warm . apart bit chaotic start trip thoroughly enjoy even manage bump people hometown starbuck one day ! good part trip walk Central Park snow magical beautiful go Plaza Hotel hot coffee ! would thorougly recommend New York need prepared hiccup holiday . secretly plan trip take daughter 21st birthday January . 
 Oct 8 2007 	 not live 5 * expectation 	 arrive find huge queue guest try check . two people reception ( third decide ' hide ' back queue get long ) . two couple book two Queen bed room . one couple give Queen bed room King . question later tell could Queen bed room want . explanation offered not give book first place . room generally clean bed comfy sheet occasion hole . Shower trickle water despite stay three night report problem first day nothing do . view window hotel opposite loading bay 6 am loud noise could heard truck deliver hotel . some staff reception bell team rude . want enquire something would continue paperwork whatever would not even look ask could help . deem look ( minute ) response surly . this standard expect hotel rate one well certainly return . 
 Oct 7 2007 	 Great experience 	 booking via priceline ( $ 150 per night ) read several negative review bite nervous hotel . fortunately experience fantastic . encounter friendly helpful staff fabulous room . would stay without hesitation . 
 Oct 7 2007 	 nice hotel 	 stay one night fiancé . hotel old - fashioned nice gorgeous lobby . staff friendly & amp ; helpful . large room 16th floor , comfortable King - size bed , tv , sofas , mini - bar , fire placefor decor ! unfortunately view , face office build . bathroom small , clean tidy great amenity kit . great location , lot big attraction nearby . close subway , Rockefeller Centre , Grand Central Station , 2 block Times Square . recommend Intercontinental Barclay 
 Oct 2 2007 	 wow Treated well despite Low Rate 	 First book hotel hotwire $ 180 Saturday night high expectation . stay 15 hotel New York figured price pay give we open snow pea pod would acceptable . arrive early around noon room available check anyways avoid 3:00pm rush . arrive back check use desk towards elevator . wait 15 minute agent help another person sit apologize take long kind . figure wait justify give time day . agent upgrade we one bedroom suite charge amazing room character personality . large window opening outside also great rare New York hotel . room clean perfect . pay $ 500 suite Hudson impress Intercontinental . minor issue television engineering arrive room 10 minute . later evening deliver bottle wine cheese tray . hello anymore especially consider pay full rate room treat beyond call duty . matter pay reduce rate customer happy business . would recommend Barclays Intercontinental anyone . rank top top 3 hotel experience New York . on Sunday book another hotel via Hotwire locally feel like care give we room would give anyone else discount . ask Intercontinental another night Sunday 's seem litte slow . for lunch go greek seafood restaurant east Lexington 48th 1 minute walk . remember name think might begin M … , contract want additional info find receipt . 
