go 	 stay four time past 3 year , recent Thanksgiving weekend . unless special occasion warrant well hotel , place stay go Vegas . property nice room huge , clean , relatively nice , cheap . real complaint separate $ 10 nightly resort fee tack check . cover free wi - fi public area , pool gym use , parking . include fee rate like hotel ( even bump rate ) make optional not need use amenity . seem kinda bait switchy . anyway , good - to - know stuff : - join free member club , mail coupon , time get we $ 25 nightly rate Thanksgiving oppose $ 59 rate otherwise . still pay resort fee though ! - wall thin . first 2 time stay , people walk room we keep we awake night . since request top floor noise not problem . - Marilyn 's Cafe good . walk small , smoke - fill casino get though . little pizza / hot dog place decent , too.- kitchen area sink , stove , fridge . without pot pan , good stove ? provide microwave instead . - parking challenge night . might park far away walk dimly light lot and/or pathway get build ( never feel unsafe though ) . - not expect perfection . old school television room slightly fuzzy every time ' ve stay . always manner patchwork bathroom , like poorly fix tile , visible screw hold vanity together , loud vent , etc . last time , remark lack padding carpet ( seriously , like walk cement ) take offense sign bathroom warn we would charge take towel ( kinda low rent tacky opinion ) . may thing , , box spring look like see well day ... lot traveler ! - room lay like big open box . sleep , living , kitchen area together bathroom separate . prefer suite sleep area separate privacy homey feel . , Tuscany still good value though . will back ! 
 Bogus charge bill 	 overall ok stay . room huge stale smell . the bad experience check 3 bogus charge refund one right away hassel tell would refund 2 ( long distance call never even make ) ! get credit card bill never refund 2 charge ... ridiculous . 
 Jun 16 2004 	 love Tuscany ! ! ! ! ! ! 	 first trip Vegas let say last . absolutely love Tuscany play big role ! everyone hospitable , especially J.P. need anything room . the trip anniversary gift boyfriend leg work . everyone talk tell must stay strip . look around much price range seem decent strip except Tropicana . stumble upon Tuscany web search happy . boyfriend amazed price get room quality receive . visit Tropicana relieve go instinct stay Tuscany rather Tropicana . the short walk strip bearable ( 10 min ) even 109 degree heat . 5/31 - 6/9 man hot . room spacious everyone hotel wonderful . eat restaraunt find food good affordable ( 99 cent breakfast 11pm-7am ) . casino small , nice change pace big casino strip . the pool nice cocktail server friendly . Wednesday night great pool party band play steel drum cheap drink ... terrific ! ! actually glad little strip good get away crowd ready settle . go back Vegas stay Tuscany ... would recommend place anyone . 
 Jun 15 2004 	 comfortable 	 room large , clean functional ... , spend hour sleep , change , shower .... time enjoy Vegas activity . be quite close strip ... 10 minute walk get us centre town ... necessity ... fridge , tV , clock , kitchenette separate bath ... worth cost , definetly ! staff bite anonymous , ok we ... thing . 4 day would like another trip future ... accomodation cost - base . 
 Jun 9 2004 	 Tuscany Suites - value . 	 arrive Monday afternoon , stay thru Friday . it great ! Clean Large Room , without large price . problem find laundry room . 
 Jun 9 2004 	 good bad point 	 Tuscany fairly new hotel , 18 month old . 's 1/2 mile strip , probably , taxi service pretty hit miss . couple time wait 10 minute taxi ( eternity , compare anywhere strip ) walk strip , be much see along part E Flamingo , hot , sticky 10 minute walk . room spacious , compare Vegas hotel , find pleasant comfortable . meal hotel . food average , expensive . find staff , part , helpful courteous . overall , tuscany pleasant enough place lodge , , personally , next time will opt one Hotels strip . p 
 Jun 6 2004 	 good place Vegas veteran 	 stay 7 night Tuscany . hotel excellent value -- big room fridge , microwave & amp ; coffee maker . excellent service throughout property . eat restaurant delicious low price . terrific cocktail service weither play nickel dollar . small casino slot / vp/ table game would want . good slot club -- compe room food give $ 60 cash back . 5th trip ' ve do everything -- tuscany great place stay get away strip crowd , close enough go want . great place ! 
 Jun 2 2004 	 Excellent Vegas Holiday ! 	 well not know expect go Las Vegas , first time America choose party gambling capital ! absolutley thrill , good holiday far . we stay Tuscany Suites strip . 3 * hotel gorgeous , room massive well maintain . hotel staff accomodate always get us taxi soon walk door . we cram could 4 short day , 3 hour sleep not time . we take plane ride Grand Canyon ( top head can not think go anyone need name please email certainly find ) . trip cost $ 169 include pick hotel , plane ride 7 seater sesner , really strange experience pretty cool . get drop indian reservation cook lunch , fly back . whole trip 6 hour so . my favourite club Vegas Studio 54 MGM Grand Ghostbar , top hotel ( Rio think ) 54 story high glass floor , advice do not look bevvie , nearly see again . on last night decide make biggun , way one see chippendale ! oh GOD ! ! ! man sooooooooooo gorgeous , great body really good dance routine . sit front eye one really sexy man rip shirt give , heaven ! I m easily pleased . also english man seem love we , keep ask we speak , get lot free drink way . anyway wicked holiday planning go back later year . 
 May 24 2004 	 great 	 stay Tuscany weekend 05/21 - 05/23 girlfriend ( we mid 20 's ) . plus see place room really big . besides , nothing else really impressed . service employee great . rude . room good walk casino . take forever get taxi ' m assume since distance strip . go Vegas 2 week ago stay Westin far well stay Tuscany . not anything = ( 
 May 15 2004 	 nervous 	 nervous stay read review hotel not want trip end bad hotel experience . can not say enough Tuscany . very friendly staff , huge room clean bathroom . pool area lovely - like mini tropical island . not problem chair , towel sprinkler go like people report . nice come back quiet small place day large , smokey , noisey hotel . recommend friend would definitely return . 
 may 9 2004 	 Great Hotel 	 stay week , room huge , food great , pool clean , staff friendly , weather hot . five star 
 Apr 15 2004 	 everything could want 	 wow . family spend eight day / seven night Tuscany could not ask . staff great . price right . everything terrific quality . hotel close everything . good , be manageably small family - friendly . really feel home hate leave . would go back Tuscany , go back soon . 
 Apr 8 2004 	 bad good 	 first good . room large well furnished . it seperate bath shower . bad . stringent 3:00pm check do not get early . first thing find exhaust fan hang wall . ( loud ) along electrical wall socket TV . ever someone else let door close picture wall shake . sound proof nil . hear people walk around . food reasonable price average quality . slot loose . stay two night March 2004 . will not stay . Las Vegas alot nicer place stay . 
 Mar 17 2004 	 great convention 	 come Vegas every year stay two week set work convention . tuscany favorite trade show . first , rate excellent . secondly , be quiet away strip not walk mile casino get room . third , room huge comfortable , 's plenty room spread work . want car stay , like hotel strip , cab come often ( cab Vegas expensive ! will save money long run rent car ) . hotel year old , long keep room top shape , will stay . be town two week , casino get old really fast . tuscany different , much nice . 
 Mar 14 2004 	 REVIEWS SAY ! 	 spend four night Tuscany . 3 P.M. , check - in time , people desk still take least 45 min . get check . even though make reservation 2 month advance , unable find three available room . finally send we room tell we one clean moment would not available minute . reach room , one cleaning say one show 1/2 hour later . three we sit hallway floor waiting room hour 15 minute . another time toilet overflow get ready leave . call plunger tell would send one right . not come . call 4 5 time next hour half ... entire time seven people wait we dinner . finally husband go manager office complain get snotty walk knock one answering . it take we two day get alarm clock keep say come housekeeping housekeeping would not bring one . I , personally , think food awful restaurant front desk staff unpleasant unhelpful ask question . housekeeping staff maintenance speak English unable communicate they . the room clean large , dish , napkin , utensil , etc . use kitchenette . one room suppose smoke not one room work air conditioner . call complain usually get promise take care 5 min . nothing . eventually know well 5 min . thing get joke entire group . would tell we 5 min . burst laugh . I ' m hard please person , motel expect review page . large clean room , impressed . service time low ! 
 Feb 25 2004 	 tuscany ? never ! 	 stay last year ( 2003 ) love size room . HUGE spacious . everything new , bathroom humongous riddled touch paint could tell place hastily build book . leave girlfriend realize leave key clothe room call airport see anything turn spend three hour battle security response recieve : & quot ; procedure housekeeping turn anything leave room , nothing turn therefore leave nothing . & quot ; thank guy , understand suppose turn stuff , fact remain get new car key , house key , key work housekeeping staff . advice , check room twice leave make sure anything valuable safe ! ! overall could not pay stay . year be go Imperial Palace . 
 Feb 18 2004 	 get taxi- impossible 	 place locate behind Balleys block . registration go well though check 5:30pm not popular time check . ticket show MGM Grand 8:00pm . go front get cab 7 pm . people wait 20 minute cab decide go Bally 's . guess 2/14 busy busy night . not cab either . hard time entire time get cab . room huge . ice elevator nosiy turn heat / cooling make much noise tv loud hear . ask get switch another room unable accomodate 3 pm take room smoking room , smoke blg . pretty bad . heating / cool room bad without additonal ice elevator noise . pool ground beautiful hot tub huge though open till 10 pm . wait 15 - 20 minute taxis major problem . would stay see well time . would car . 
 Feb 11 2004 	 excellent hotel back 	 say everything get america big room get tuscany really big . stay recently recent trip around west coast usa truly impress tuscany . go back certainly consider stay ther suit huge everything would want . food restaurant good value staff friendly helpful.as govenor would say will back . 
 Feb 5 2004 	 small smart friendly big room food good price good hey want 	 small smart friendly big room food good price good hey wantmy review title say 
