great 	 4th trip Vegas , 1st stay Mirage . will not last . bed heaven . bathroom little small american standard . complaint . give BLT wide berth , deli well option . liked fact security Lifts night , hotel do away . location strip great , much clean end , lot less hassle . enjoy great stay Mirage without fear . 
 mostly good 	 stay last 3nights 5 day stay , first 2 night four Queens obviously room definite improvement , hotel large time easy find way around . definetely use bell - hop take bag room , quite hike lobby plus go casino . BB king open good . store room elevator pricey , $ 6.59for large bag chip ... stock get want munchie . pool area nice . secret Garden well worth time , dolphin amazing , purchase photo take entry $ 23.00 , seem like good souveni time get shove drawer first day back . love excellent . 
 absolutely wonderful experience 	 husband travel Las Vegas twice year . opportunity stay Mirage first time ever absolutely pleased stay . room recently renovate beautifully outfit large flat screen tv , dock station ipod , iphone mp3 player , work station seem wire anything , guest robe , safe minibar . lucky book visit $ 15 resort fee start cardio center amenity free we . husband absolutely enjoy spa facility Mirage . use sauna , full gym , jacuzzi tubs related amentie well worth 3 day package $ 35 . BB King Blues Club fun additional Mirage . food wonderful live band awesome . check - in smooth . arrive 4:00 get room right away . room type want , King - Smoking , not available high floor go Queen - smoking pleasantly upgrade strip view room close elevator ! every staff member encounter helpful friendly exception one person player Club counter . 
 Mirage gamble ! 	 travel Vegas parent 79 & amp ; 83 yrs young . wanted & quot ; central & quot ; location , nice accomodation ... solid 4 star receive Mirage . everything good room ( book deluxe view ) recently update .. food ( parent love buffet ) entertainment service . nice casino also gamble slot near tropical area bright air flow nice - feel like smokey casino ..... complaint arrive around noon wait 4:00 pm ck .. room ready early hope . would happy return hotel recommend ! 
 Fun Sun 	 beautiful room , good service , great show , good food & amp ; great pool ! ! ! 
 right well vegas 	 reserve King non smoking room strip view , arrive leave king smoke two queen bed non smoking . take two queen . room modern , tv large flat screen , bed ( even queen ) extremely comfortable . one great thing fairly large safe room . pool area large beautiful ( unfortunately temp high 50 's F get use pool ) .The clean staff great job . room spotless . never see always come wonderful job . when play tv notice could check hotel bill . see charge $ 30 taking item fridge . since even open fridge complain take amount bill . make sure look bill . one negative room door soundproof . could hear everything go hallway . another issue though room wi fi , $ 15 charge 24 hour use . perhaps big negative hotel casino . get old . distinct smell smoke get hotel , feel dark less appealing . eat Buffet breakfast . rather plain , acceptable price pay . also eat steak restaurant name Stacks . expensive good steak ever eat . could cut fork . highly recommend . entertainment , chance see Beatles Love . fantastic experience . performance less acrobatic dance normal Cirque . dance Beatles music magic . to sum nothing terribly wrong MIrage next time think try another Hotel . 
 Exceeded Expectations 	 great hotel good location bang middle strip . check simple & amp ; wait 5 min . room 19th floor different set lift different area hotel wait second lift come . room ( room 103 ) really spacious massive flat sceen tv ( time watch ! ) & amp ; massive Queen Size bed not even realize share anyone big ! bathroom nice & amp ; shower adequate . Room & amp ; hotel spotlessly clean & amp ; bed make daily . ring UK room phone ! ! rung home couple time without realise cost we $ 20.00 per minute ! ! yes 20 dollar per minute ! outrageous & amp ; room list much phone call . Carniage Deli hotel great breakfast & amp ; cake ' Cravings ' Buffet & amp ; good value money . Beatle ' Love ' show well worth see . pool good & amp ; clean & amp ; warm ( go Nov ) first trip Vegas & amp ; visit hotel stay , one good , although like look MGM & amp ; would stay next time change . will not disapointe stay - not use room phone ! 
 Jun 2 2009 	 still nice take step update ... 	 lot free time hand take Mirage email Volcano Rate special , book long 10 day trip.- check minute wait ( Sunday around 5:30pm ) bad , turn find reservation immediately know room type select , nightly rate would book at.- Room ( Deluxe ) great , clean - bedding stray hair stain ( review comment ) . bathroom clean , faucet drain work fine ( note power vent strong enough remove steam shower ) . hair dryer good multiple setting . - tip housekeeping staff every day ( go $ 5 / day give recession , great deal get room ) get large size bath soap well multiple shaving kit . - Check go fine , use electronic check . nice feature also let review bill stay , double - check charge correctly service ' ve use , etc . gambling : typically play poker . poker room staff great bunch , look forward see 1 - 2 year . waitress typically quick , sometimes catch wave shift change confusion , wait bit service , not slacker aim please , bit patient hit be step . poker room comp : every day , get 8 + hrs one day , give $ 15 food voucher . ( poker room offer poker room rate book . must average 6 / hrs night Su - Th , 8 / hrs night Fr - Sa , fair amount play . day find comparable rate online ) .I also play table game Pai Gow time . dealer friendly , rooted customer - always nice . waitress time there . the buffet ( actually breakfast / brunch . brunch , breakfast 5 - 6 time ) good . may extensive variety higher price buffet option , be provide prepare well taste great . find staff pleasant time take minute two get initial drink order . ( trip find staff respond & quot ; thank appreciate & quot ; tip ) .pros : great location . refurbish room nice . nice pool . temporary Con : work improvement around set elevator take room . mean 3 elevator service week . cause problem Saturday Sunday late afternoon early evening . hotel take action route people service elevator ( bit hard get , lead ) . later week shift work area 4 6 elevator service , long backup . pro / con : ( not affect trip ) pool 's waterfall shut . guest upset , enjoy waterfall theory , must say make seat area near lot quieter . con : drink price pool expensive . bud beer $ 8 . bucket five Buds $ 32 . find frozen drink little alcohol . find bathroom bit small . know bathroom Mandalay Bay Bellagio big , high price room Mirage . I dinge service elevator issue - think could plan well , elevator service even area work on . Noteworthy : ' ve add indoor / outdoor bar , well Starbucks , amenity store ( front ) . ( would early add BLT burger restaurant front tiger cage ) . ( already nice coffee shop rear store , be still open ) . not stop either bar Starbucks typically go , outdoor bar space look like nice place chill good use space . tip : recommend breakfast buffet staying restaurant . Pricewise make sense . order coffee / tea , juice , egg side cafe ( etc ) , be $ 15 anyway ( breakfast buffet 15.03 w / tax ) . buffet not overeat , want . additionally , personally really like brunch w / alcohol option ( available Sat Sun ) . many property restaurant offerre happy hour dining special . not get chance try , sound nice . local eat : want cheap breakfast run across street McD . ' ve add Chipotle across street well , another great light ( filling ) meal option . favorite option Outback across street - like Margaritas well Margaritaville . 
 Jun 1 2009 	 Renovation rule 	 upon time Mirage elite hotel Strip , set standard customer service luxury accomodation . sadly , long case . Mirage still nice property , step hotel like Wynn , Encore , Venetian . for weeklong stay , girlfriend book room & quot ; private & quot ; access floor . unfortunately , one two elevator servicing floor close several day renovation elevator lobby . result occassional long wait elevator , crowded ride elevator show . pool area crowd . help fact portion pool area close renovation . also mean waterfall feature operate , turn acclaim Mirage pool typical Las Vegas resort hotel pool . ' m curious renovation repair not complete pool close & quot ; season & quot ; .On positive side , recently renovate room quite sharp comfortable . bathroom large clean . 42 inch flat screen tv nice . staff member courteous pleasant . hotel offer nice mix shop , restaurant service . on downside , although check - in line short , service slow ( 15 minute ) . concierge staff indifferent , one time refer hotel Business Center , center long closed day . room door slam rather forcefully upon closing . food certain restaurant like Carnegie Deli unexpectedly expensive . look cheap drink ? Mirage , one waitress confide we drink price & quot ; outrageous & quot ; . still drink ... much . overall , opinion level service quality slip MGM / Mirage management . vibe hotel change . witness shirtless 20 something short past butt baseball cap cock sideways strut around casino floor , wonder would ' ve make past security 10 year ago . , 7 - 11 's will not even serve without shirt ..... Mirage not bad hotel .... be long great Las Vegas hotel . 
 Jun 1 2009 	 would stay agin great locatio price service 	 go vegas atleast 1x per year , never stay mirage . upon arrival check immediatley . ask desk person strip view room say could get one want wait hour .. deciede friendly accomodating , mirage pool great , adult pool bare worth pay gurantee seat waitress service . staff bare great ! regular pool nice fill quick bar bathroom far away depend u get seat . eat carnige deli 2x portion huge food good . still cheap split something pay extra $ 3 rather waste leave over . burger bar look great although go . rhumbar cool , sit outside drink ( frozen ) great well staff .... revolution lounge good spot drink go night club fun well ... evelator break 3 5 day cause line 30 min wait use . fix day ... dealer pit boss mirage seem friendly helpfull well ... room average , redone look nice , shower make noise ( care ) hot entire time . good part location price .. right across venetian center strip close bellagio , wynn etc , , , , if u like sushi even veggie sushi try social house next door TI great .. also Lavo Pallazzo one good meal ever , night club great well lavo . 
 Jun 1 2009 	 stay 	 locate right strip . book 4 night thru internet month advance get rate $ 90 / night . book 2- nignt extension day arrival get rate $ 135 / night . Lesson learn : book month advance possible . room spacious clean . bathroom also spacious clean . good size safe room , large enough hold laptop camera . fridge stock snack drink . not touch anything fridge unless willing pay outrageous price . pick item put back , charge . internet access available fee $ 15.00 / day . bed comfortable . buffet excellent , expensive . go Harrah 's buffet across street good well .. overall , nice hotel definitely stay visit Las Vegas . 
 may 31 2009 	 last time 	 ' ve big fan Mirage year , last 10 year fact . the location central . pool always well most . the room large comfortable other strip . I guess Memorial Day weekend bad time visit want sort calm . beyond chaos pool , hotel begin look run . despite room remodel last couple year . the dresser drawer handle break room scratch pattern across drawer front indicate problem time . every day , maid would stick handle back screw either screw handle strip come . low - light electricity go bathroom one day , part bathroom not ground fault switch . also hot water hotel one evening , see large hotel North America . elevator mind change direction partway floor . these thing hardly vacation breaker think book hotel , booking get cheap bed look Vegas experience promise . reality owner hotel heavily invest large complex build money spend . discount rate great attract different crowd hotel use service . there s much staggering vomit put . anyone 35 pretty much echoed sentiment there . if first time Vegas glitz likely distract much problem . be reasonably frequent visitor , wart show . despite cut back staffing , remain employee quite nice try hard , bad expansion greed crippled owner . 
 May 30 2009 	 Convenient Semi - luxurious 	 Stayed Mirage February 19 - 23 wedding . review little late , extremely busy , well late never . check quick arrive around 10:30 pm , upon inquire give upgrade room . room spacious , nicely decorate , bed extremely comfortable . hotel situate strip Caesar 's Treasure Island , block away Fashion Show mall , across strip Harrah 's . hotel nice rain forest atrium large aquarium lobby . eat buffet breakfast brunch excellent . deli burger place inside good , extremely expensive . will end pay $ 45 meal two either place . Mcdonalds Chipotle across street . pool open chilly not many people use pool . hotel large , extremely big would get lose . tram connect Mirage Treasure Island . nothing bad say hotel aside price . hotel price unable find deal . 
 may 28 2009 	 pool picture show 	 check fine.room okay.small small small bathroom ! ! soundproof , wake night ice machine partiers.booke mirage pool waterfall feature inquire twice arrive make sure construction go on.i misinformed arrive good portion pool close around non work waterfall feature mirage pictures.there gross sour smell pool afternoon.front desk initially ask speak phone pool.then say do not know pool issues.then say area waterfall area would closed ? ? ? ? do not seem concerned all.too bad . 
 May 27 2009 	 Great 	 stay Mirage Memorial Day weekend . suite not update ( unlike majority room ) . , crowd . spend day pool , beautiful . food CPK good , not recommend Caribe Cafe - think food mediocre selection limit , service fast . mirage average hotel - nothing special . like fact 's mega resort walk pool strip not take forever . however , would not spend lot money room . 
 may 27 2009 	 second time stay enjoy much first time 	 colleague travel Las Vegas convention rio travel agent . want stay strip get really good rate Mirage LVCVA - Certified Travel Agent . stay Mirage honeymoon Oct 2006 , love renovate room . Vegas Oct last year baby tiger dolphin bear get big ! really enjoy Mirage hopefully return Sept / Oct anniversary ! ! ! ! ! 
 may 26 2009 	 Mirage great choice 	 coworker recently travel Las Vegas work conference . although conference hold Rio , opt stay Mirage due great location strip . lobby area Mirage really nice tropical plant decor , huge aquarium behind check - in counter . go hotel undergo renovation wait get elevator , minor understandable due renovation . our room beautiful , great view strip ! could watch volcano erupt every night hotel room . lucky get room close elevator ice machine . large hotel really nice . Maid service wonderful . day come back room immaculate . bed Mirage comfortable person could ever sleep . comfortable brochure order bed want ! eat breakfast buffet one morning really good . I also love deli , good pickle ! ! little coffee shop huge pastry . big cinnamon roll think ever see ! 
 may 25 2009 	 GREAT hotel - stay go Vegas ! 	 hotel everything could want vegas hotel .... view breathtaking , staff helpful wonderful . room big , comfortable everything could want ! Mirage right middle everything strip . inside clean , atrium beautiful volcano awesome ! will go back Vegas & amp ; , be back Mirage ! ! : ) not forget Cirque Show , must ( Penn & amp ; Teller ! ) ! ! 
 May 24 2009 	 WOW ! great hotel love pool ... not like location 	 husband usually stay Monte Carlo , however , decide try hotel ( really good package deal ) last Aug . experience hotel awesome ! staff super nice accommodating - much well Monte Carlo 3 - star hotel . not think would make much difference Mirage staff treat we much well , really want we enjoy stay . hotel room nice clean . think pretty standard . clean service great . efficient good . casino good not think play lot . many high end restaurant not try ( much $ $ $ we ) . eat California Pizza Kitchen ( be pretty good ) Carnegie Deli - also pretty good . love pool ! ! pool area sunny shady area . salt water pool , chemical different nice . main pool huge even lot people , room swim around . August hot time year everyone pool really not feel overcrowded . 's sad read 2009 review people site waterfall work . nice feature , make scenery much tropical . hope bring back . also pool adult seclude area overcrowd many & quot ; excited & quot ; boy taste . hotel gym ( yes , work vacation ! ! ! ) - standard cardio machine , weight machine , free weight . pretty expensive buy spa deal get gym ( sorry not remember exact amount ) . location hotel right middle strip . walk 5 star hotel . however , drugstore close ( walk good distance get one ) . not rent car . hotel sell basic stuff double triple price add . overall , one good experience ' ve Vegas really not like location end pay usual many thing . 
