nice 	 husband sepnd three day NYC friend 's wedding ; Millenium Hilton chose hotel wedding party guest . first . plus : hotel elegant well appoint ; stay junior suite 21st floor , view Manhattan WTC construction site , well Hudson river - can not beat ! compare average NYC room , Millenium Hilton spacious room ; even bathroom large . bed comfortable . for minus : construction WTC site go overnight interruption - first night sleep ! addition unbeliavable construction noise , fact hotel facade completely open expose wind - strong gust wind - feel like window break . , despite comfy bed , sleep . thsi really ruin experience .... another ( small ) issue restaurant close 2 5 pm , time frame even room service - arrive 1:45 refuse service . minor point go local eatery , hurry get somewhare time spare . also , concierge recommend nearby italain restaurant fact close ( least know concierge ! ) would recomme hotel people bother loud , constant noise throughout night ; would suggest wait major contruction WTC ( couple year ? ) 
 Excellent Stay 	 happy stay Millenium Hilton , especially since get $ 130 per night Priceline Thanksgiving weekend . since holiday weekend , noise really issue we although jackhammere hour Friday afternoon . go day , see people would upset . hotel try make thing right - even check room , offer we sound machine earplug . think current price probably reflect noise inconvenience . the location fine easy take subway anywhere . Cortlandt Station right front hotel . also walk across Brooklyn Bridge , nearby . lot go area not really matter NYC since easy get part town . the tv remote annoying . first thought need new battery , turn hold certain angle change channel . would nice would something . small nitpick , love stay would happy stay . 
 Nov 11 2006 	 expensive beautiful 	 like stay Hilton beautiful certainly staff rediculous price . find one doorman nice , other would sit count tip infront we , flag we cab expect tip give we dirty look do not recieve one . also find food rediculously expensive even touch one food item dresser automatic charge , right especially since chocolate bar $ 8 . also do not want pay drink fridge pop $ 4 pop . purchase drink drug store put fridge taking drink . later night employee come room tell we take drink fridge put back come exact order would charge every drink fridge , be not pay enough stay , can not even cold drink unless pay hugely overprice amount one drink ! also tell we could fridge bring room additional $ 100 store drink , YA right . Anyways dissappointe hotel . although beautiful go back . 
 Nov 6 2006 	 Perfect 	 problem . room 47th floor take elevator 25 second get ( ear pop ) . Room overlook WTC , issue good avoid . staff pleasant helpful need . outside door subway , next door Century 21 , opposite PATH train get Newark Hilton , take 40 minute cost $ 8 , lucky connection mind . Plasma bonus , rubbish US tv advert every 5 minute mean never really watch though ! big point give day comfortable bed claim . never sleep comfortable bed puff . 
 Oct 31 2006 	 Best ever stay hotel world ! 	 room north east corner hotel hotel 48th floor factor think complete package make hotel well ever stay ! staff brilliant- friendly informative . room huge flat screen tv ( never actually come view good ! ) , radio attachment ipod , king size comfy bed , plenty nice toiletry , really well clean day , lot towel , fridge , mini bar , morning newspaper . ok lack tea/ coffe make machine be NYC be never far caffeine ! location actually find plus . ' ve lucky enough stay mid town brilliant away hassle . walk around South Street Seaport southern tip island give another insight city several subway line 20 yard hotel take time get uptown . the pool also brilliant long plane ride long day foot . bar also nice pre dinner drink . even different view would still give hotel top mark shop around get good price . look forward come back soon bank manager let ! 
 Oct 30 2006 	 Great Stay 	 book king view room find 48th floor stunning view Brooklyn Bridge one direction SoL WTC site though window . very quick check - in . have good meal restaurant one night . subway within 100 yds . staff friendly efficient . 
 Oct 23 2006 	 wonderful Hotel Couple Negatives 	 book 2 quad - accupancy room group we head NYC Labour Day long weekend . hotel upscale feel one fast elevator ever experience . both room locate east side building , face town hall Brooklyn Bridge , although later visible high floor visible we ( 31st 32nd floor ) . room well appoint , spacious large - screen plasma tv make view pleasure . several group stay mid - town previous trip enjoy staying & quot ; downtown & quot ; , away horde tourist congregate Time Square , Central Park 5th av . however , ghost - town white collar head home Friday , give somewhat depressing feel soul walk around early morning late evening . location across Ground Zero not really help much either ... compliment , two complaint . first , quad - occupancy room , bed small , make intimate sleeping encounter whether want . want possibility move around without fall bed ( accidently knock partner ) , well upgrade junior suite . secondly , flight delay , one group arrive hotel party already head uptown . although front desk assure we would problem provide access room absence , turn different story . half hour three attempt finally provide access key . all , wonderful hotel although several aspect keep great stay . 
 Oct 23 2006 	 good value NYC 	 wanting get away weekend NYC , book hotel many positive review tripadvisor , not think will stay NYC hotel . price hotel can not beat . interestingly , downside hotel location . 's way next WTC , mean 's tip southern Manhattan . 's ok hotel right outside entranceway WTC subway stop e train . wife arrive bus Penn Station ( also e line ) , stop later , door Hilton . plus , hotspot Manhattan serve blue ( , C , e ) line : Times Square , Columbus Circle / Central Park , Empire State Building , etc . can not beat convenience . service impeccable . ask room service send toothpaste , timely fashion , gentleman arrive door good . minute , get phone call housekeeping ask we toothpaste deliver . nice touch since first time ever experience follow - up call , ' ve stay many upscale hotel . we get king - size bedroom previous poster note , window view WTC construction site . unlike previous poster , could not hear thing outside window , 20th floor , high . noise problem . the room little small side , expect Manhattan . decor modern , plasma tv nice touch ( mention space saving ! ) . bathroom bedsheet clean ... complaint . I can not speak restaurant hotel food not eat hotel . would corner breakfast shop taste well cheap hotel fare ? spend day walk broadway will walk many shop restaurant pass hotspot low Manhattan / midtown . overall , hotel real find . one cheap hotel option Manhattan , one convenient , come away complaint . 's Ritz , Waldorf , Trump , not cost either . 
 Oct 19 2006 	 Timmy 's 40th Birthday stay 	 firstly , husband 's 40th birthday Sept. 16 , 2006 want plan something special - like get childhood buddy come home ( 1 FLA , 1 1 CA ) 40th b'day dinner City Hall Restaurant close ( foot ) Millenium Hilton . book 2 suite online call confirm speak w / a lovely representative make sure noted arrive hotel & quot ; special & quot ; ocassion . spectacular dinner City Hall Restaurant , 4 yr old son go one suite 38th floor FABULOUS ! husband pal follow rendezvous night cap follow dinner . staff helpful , knowledgeable quite friendly . room service great amenity wonderful - let alone view breath - taking ! ( pixs - mostly son look one window ) . husband buddy , pleased say least . reside NYC , please choose Millenium Hilton make husband 's 40th birthday bash memorable one , indeed : - ) recommend highly ! sincerely , Yvette Allen - Janis 
 Oct 14 2006 	 good choice NYC 	 hotel , across World Trade Center site , one good choice money NYC . ? 1 ) staff . friendly , helpful ' ve ever encounter ( say something , average 200 night / year hotel job ) 2 ) room : many cut mold , status Hilton ( available ) , will upgrade junior suite . 3 ) location : touristy mid - town / Times Square , convenient subway access / path train make . weekend , be almost nice escape busy part city stay downtown . relatively safe , though street appear deserted weekend night , good walk alone . I wish hotel not Hilton . 
 oct 9 2006 	 Smoker Beware 	 let begin say another nice stay hotel . room still small great staff friendly accomodating . smoker insist smoking room would better try another hotel . reserve smoke King room 2 month previously . upon arrival alas smoking room . evidently Hilton remove bunch smoking floor , course , let smoking guest know . 1 floor smoke 14 room . mean 14 569 room smoking room . even book one room guarantee get one per Manager hotel tell . odd pretty bad . otherwise be still fine hotel . review caution 22 % Americans smoke . 
 Oct 8 2006 	 good 	 PROS : clean comfortable room , friendly staff , widescreen plasma tv ( high - definition broadcast though ) , comfortable bed / pillow , excellent climate control , great view either side ( not mind look ground zero hudson river side [ refer over - look ground zero & quot ; city view & quot ; ] ) , pool excercise room , easy subway access everywhere . con : king bed face away ground zero , queen ( look like full size ) , construction ground zero 7 day week 6:00 3:00 pm ( muffle noise ) , coffee room ( go restaurant purchase coffee good hot ) , in - room refrigerator , charge high - speed internet access ( wireless room ) , wall sound - proof hotel ( fine unless noisy people next want sleep ground zero side ) .If hotel add minor ammenitie like free in - room coffee refrigerator free wireless internet access , would feel well construction noise price . way nickel dime surprised not charge use toilet . penny - wise pound foolish . overall comfortable , somewhat noisy average stay . C+ 
