affordable 	 stay Allegro Chicago 3 day thanksgiving break . book hotel priceline cheaply worried quality hotel . well , worry disappear soon walk hotel . large room family , spacious , clean , modern looking . hotel employee friendly housekeeping lady great job everyday ! ! impress control quality hotel low rate . recommend place travel family , significant other , etc . 
 great 	 minus hotel provide free morning coffee Kimpton hotel . great place stay theater rate say morning coffee . the robe room take long time ( hour ) great place . concierge excellent . 
 different side Chicago 	 want try little different hotel mega hotel Wacker Michigan Avenue area , via travelzoo , find excellent deal huge room Hotel Allegro . super location Theatre district , hotel boutique hotel upscale & quot ; neo & quot ; urban feel . funky decoration lobby , loud ( loud really ) new techno - type music , fast paced feel good service greet door . reason dinge service Restaurant 312 corner connect hotel bad service one day , otherwise bellman , desk people , housekeeper security great . trendy look lobby seat area , complimentary wine service early evening complimentary continental breakfast morning . hotel also lot old / historic charm recently undergo large scare upgrade . room well however . suite , great seat area 60 's style couch light fixture , inroom bar , flat panel HD tv ( not work great ) table sit one office work . bedroom large kind sized bed ( comfy ) , high end pillow , sheet mattress , huge armoire hd tv . bedroom view building , nothing special , great & quot ; blackout & quot ; blind . bath awesome giant , two person whirlpool tub . high end fixture , funky flooring decorate . different feel sure . great time friend would say fit top 5 Chicago hotel sure . thing would tell management -- -turn crazy euro - tech muszak ... exepecte see Hans Franz work lobby least skinny white guy dancing . 
 Jul 26 2004 	 Perfect Place stay Chicago 	 third good visit Windy City , Chicago far one favorite & quot ; Big City & quot ; destination ( ' ve travel world ) . Allegro make difference ! be easy 35 - min . ride four - minute walk & quot ; El & quot ; Midway Airport Allegro -- right heart city ( & quot ; Loop & quot ; ) be know Theater District . allegro close many fine famous shop , restaurant attraction . three - night / four - day visit , not spend one dime transportation ( $ 3.50 back airport ) . walk almost everywhere want go ! ( Cousin , Doug , kind enough take bit loop taste fantastic german food Second City Comedy Club . ) allegro : Comfy , comfy , comfy ! wonderful view 14th floor suite . many great amenity touch . service : superb ! allegro treasure sure . another plus : allegro step favorite breakfast place : & quot ; Corner Bakery & quot ; , leisurely sit read morning paper , & quot ; Chicago Tribune & quot ; enjoy scrumptious reasonably - price meal ... Chicago lovely stopover way New York City , thank allegro ! P.S . ' ve experience great city , say without doubt prefer Chicago NYC . 
 Jul 19 2004 	 Great Location Great staff great bar Great Stay 	 great hotel , check check experience quality service . good room cool styling , wi - fi high speed internet real plus . recomend hotel friend . plan back soon possible maybe next week , find new home Chicago . hilton , Mariotts , Hyatt .... Kimpton Hotels . 
 Jul 16 2004 	 Fantastic hotel 	 LOVED HOTEL ! overall theme hotel whimsical fun . decor room fantastic tie well theatre district locate . aveda product treat staff fantastic . ask direction local site checking , employee actually mapquest direction print we . would highly recommend hotel . 
 Jul 13 2004 	 Loved Allegro 	 go Chicago boyfriend see Cubs play Wrigley Field 4th July weekend decide book hotel Allegro . turn great idea . location excellent . catch Red Line Wrigley breeze . Corner 's Bakery , McDonald 's , Arby 's Ben Jerry 's Ice Cream shop close . also order classic deep dish pizza Gino 's East deliver right room . even though room small wall thin ( could hear next door neighbor 's conversation clearly one morning ) , room bathroom clean . decide take another trip Chicago , ' m sure book Allegro . 
 Jul 10 2004 	 usual hotel 	 stay Hotel Allegro October 2003 , first time visit Chicago . first thing love Allegro 's funky , unique decor . 's great stay somewhere character ! bore mismatch floral hideous wallpaper ! room small , ambience make ! dimmer light , funky bolster pillow , cool art , modern , pad headboard ! bathroom small , clean , shower work great . also elated find Aveda product bathroom . usually get no - name generic tolietrie , here- Rosemary - Mint Aveda ! nice surprise . staff pleasant nice , reasonable price , good theater - district locale , even block away el stop . room size big deal , not stay . find quality character much invite huge , yet non - descript bland chain room could ever . 
 Jul 7 2004 	 highly Recommend 	 stay one night Hotel Allegro Fourth July weekend rate $ 89 . amazing experience begin end . make reservation directly Hotel request room floor animal permit since husband allergic pet hair Allegro pet - friendly hotel . request well - receive accommodate . upon arrival soon cab pull door , attendant gather bag send reception desk , locate second floor . bell man bring bag room minute would open door . staff front desk hospitable helpful . check hour room guarantee ready give room comparable size . front desk attendant even go far tell dissatisfied room could always change back original reservation . room small comfortable clean . request additional towel via housekeeping ( kid ) someone knock door second later far towel expect . check breeze . attendant offer store bag need . plenty cab wait outside take we destination . would highly recommend . 
 Jun 28 2004 	 top notch downtown hotel ! 	 great hotel ! get reasonable rate double room ( be two double bed - hard find Chicago , least budget ) . hotel immaculate , offer service superior anywhere ' ve ever stay . elegant lobby worth hang , free wine daily , full service bellman , luggage storage arrive early leave late ( complete claim check ) WALK - in CLOSET room ! , be right middle everything . live jazz lounge low level , several theater within 2 block . do mention would consider & quot ; budget & quot ; hotel ? yet service guest focus seem superior Marriott friend . one caution - be guy ' weekend , theatrical decor may seem little frilly ... be normal human family travel business pleasure ... allegro great choice ! 
 Jun 21 2004 	 romantic funky hospitable hotel ! 	 want find memorable place stay Chicago going meet gentleman know five year ago . love ambiance hotel , entire staff amazing . doorman memorable ! wall little thin , bring cd 's will not able hear thing . small , intimate , funky room perfect romantic , fun weekend ! 
 Jun 8 2004 	 always great stay ! ! 	 always stay hotel whenever want spend weekend downtown . always get great rate Hotwire . can not beat free wine happy hour , comforter Aveda product . room little small side , 's minor price perk . 
 Jun 1 2004 	 wonderful hotel ! 	 spend 4 night Allegro Memorial Day Weekend love ! get free upgrade suite , room fun , service great . all - you - can - drink wine hour nice ; lounge cool everyone mix . wall thin , rude loud people next door ( one night ) , may hear . otherwise , quiet . room comfortable , everyone friendly helpful fun hotel . way well bore old basic hotel like Hilton Hyatt ! close L station easy walk everything = Good Locale . 
 May 30 2004 	 Super ! ! 	 Cozy sophisticated room lot amenity . enjoy happy hour staff extremely accommodating . location could not beat , well . 
 May 24 2004 	 Fantastic ! ! ! ! ! ! ! 	 four day Chicago great hotel fantastic . everyone helpful kind . room clean cozy . tad small not mind make lack space way . fantastic time Chicago helpful staff make enjoyable . would book heart beat ! ! ! ! ! 
 May 5 2004 	 Loved ! 	 Mother , aunt recently take trip Chicago stay , April 15th 19th , 2004 . wonderful time . room good sized amenity . hotel centrally locate , within walk distance good stuff , magnificent mile , Grant Park , Art Institute lot shopping restaurant . locate right next door Cadillac Palace Theatre lucky enough find 3 ticket Phantom Opera , must see . wonderful stay hotel concierge helpful polite . oh ya , wine hour really great ! 
 Mar 31 2004 	 Great Family Hotel 	 get back wonderful weekend Hotel Allegro . corner room , spacious enough husband two child . art deco room decor really fun love animal print bathrobe . husband enjoy wine taste 5 lobby child like free tootsie roll . especially impressed helpful hotel staff . concierge promptly e - mail response last minute pre - arrival question doorman give we great idea take child breakfast , great employee ! location perfect attend show nearby theater take cab public transport museum go shop Magnificent Mile . 
 Mar 16 2004 	 Nice hotelgood location 	 good location Hotel Allegro theatre district . nice lobby , friendly knowledgeable staff . room clean interior design different know hotel , nice . also like complimentary wine taste afternoon . dine restaurant 312 ( adjacent Hotel Allegro ) , nice place . husband would definitely recommend hotel restaurant example romantic weekend . good value . 
 Mar 3 2004 	 Hotel Allegro great location price . 	 Hotel Allegro great deal get low rate ( $ 100 ) spend lot time room . location great . heart theater district . expect good view . want view , look pricy hotel Mag Mile . likely pay least $ 200 view . several mode transportation available , include EL . room quite small . would strongly suggest two per room . bathroom also small . room decorate funky , modern style music motif . room service fairly efficient honor bar pricey good selection . one word warn : wall thin ... husband wake around 3 a.m. sound next room 's headboard slam wall ... need say . kid , prepare explain bird bee ! ha ! evening , complimentary wine lobby . staff really nice atmosphere great . hotel actually attach Palace theater , step great show . couple , student , budget - minded want great hotel great price great location , Hotel Allegro . another bit advice , find cheap rate hotel offer , hotel match rate upgrade well room , suite , book directly . 
 Feb 2 2004 	 lovely place 	 stay couple night ilast mid - November . room well - appoint , quiet , staff accomodate . pay $ 79 . night Priceline , make Allegro among least expensive hotel ever stay . nice place -- bravo Kimpton ! 
