small 	 stay club room find slightly small large enough rarely room . adequately clean club room come breakfast great , plenty fruit , yoghurt , bagel , toast , juice , cerial coffee . check quick staff always friendly . last day one group though lose passport hotel staff could not helpful , particularly Curtis . would definitely stay 
 Perfect location 	 book trip March 09 slightly worried review read say please people ! ! check service could not well show nice room 8th floor 2 double bed . massive room small mean clean sign bug ! service security good make we feel safe know people show room card use lift . all would definately go back Milford although maybe renovation price will not attractive , would shame could not got hotel well location . 
 good hotel excellent location 	 hotel close soon renovation approx two year want say superb hotel -friendly staff excellent location around corner time square 
 Old tired 	 even suppose ' upgrade ' corner room dumpy small old smelly furniture drape saggy mattress . would receive ' upgrade ' wait half hour check clerk try find reservation , file misspelling name . wait 15 - minute line check . ( always line front desk . ) bathroom clean internet room work well . the location good want near Times Square , not know would want stay . area mob tourist , line people mill around theater make difficult walk hotel point east . price , well choice . 
 value money 	 Milford Plaza fantastically base hotel around corner Times Square walk distance fifth avenue , rockafella empire state building walk . right middle Broadway look show hotel must . room bit small , bit grubby really warm , put air con November . downside room small side , smell musty way hot otherwise good base sleep leave belonging behind . safe bedroom find staff totally trustworthy , helpful really pleasant . Milford Plaza due close December 09 refurbishment though must say look bit tired could . would definately go back refurbish well worth visit . oh take notice comment bed bug cockroache definately none bedroom find linen clean , enjoy 
 friendly hotel excellent security 	 friend stop milford plaza 31 oct 5th nov 09 . 40 . read review already book 50/50 expect . pray have not make mistake needent worry arrival show room deluxe room 2 double bed 16th floor . expect room small review say . think room small need feel comfortable . even hairdryer bathroom great . also safe free u select password open . room clean daily . noise hear emergency service blaring past hotel . the security could well feel safe staying . show room key allow lift good make u feel even safe know body good would get past security man . underground station outside hotel much cheap getting taxi . use quite alot newyork . good thing though hotel location . right middle new york city . not forget theatre district . we ask security man new good restaurant go direct we one 9th ave call west side 5 10 min walkfrom milford u like pancakes place eat . local police also eat good sign good food . service top mark . orange juice lovely also . hotel though close 12 dec 18months 2yrs I ve hear renovation cousin live newyork tell goint build top milford plaza apartment . next time guess dig deeply ur purse stay , do not think budgit hotel much long hope I m wrong . also watch taxi driver airport get sting . airport milford cost we 64dollers that s man write paperwork give driver driver go wrong hotel mistook say charge we 84dollers . tell reception milford one set price matter drop we . goodluck need worry hotel be not dirty least floor . great hotel . great location . say xx Bridget coventry . 
 Jul 14 2008 	 Milford Plaza ... Overrated Opinion ... 	 HOTEL AWFUL .... definately need decorate total revamp altogether .... hall scary ... look like something scary movie hey hardly hotel . hotel security guard always smile , reception staff look depressed . hotel poor location good , centre Times Square ... regardless stay everything close anyway . New York amazing , definately go back asap . make sure bring extra cash tip ... will end leave many tip everyday . do EAT APPLEBEES TIMES SQUARE ... food disgusting ... everything wrong ! ! ! save belly ache visit RED LOBSTER .... lovely food . not mind listen music Hardrock Cafe another place visit ... food good . try eat pizza place ( Sbarro ) ... look well taste ... always busy strange reason ? ! aware lot walk trip time evening come foot tired anymore . try book least 5 - 6 day , 4days definately long enough . we visit madame tussuad ... ' ve one would not recommend go ... good great.shoppe we female good thought ( H & amp ; every block .. nearly ) .. unless go Woodbury Common ( definately worth trip ... go first ) unless buy endless amount make - up - yes , guilty ! shop guy really good , will spend everything ... probably more . I think Macy 's overrate ... unless guy . New York fashion London 's fashion ... clothe expensive woman New York London way around man . century 21 like Tk Maxx ... really look everything find something ... cheap tell , complete mess staff soooo miserable . Central Park amazing ... visit . natural History Museum much exciting London ... not waste money . FAO Swarchtz TOY SHOP also empty overrated . People New York friendly , find shop staff sit mobile phone whilst help customer ! ! ! odd say not bother . prepare 3hour wait plan visit Statue Liberty . China town sell nothing tat ... everything extremely tacky well price ... jus do not fool visit time . little Italy really little ... tiny ... thought would area ... clearly . Taxi be cheap , like we , cost split 4 ... otherwise pricey . overall ... would DEFINATELY go BACK HOTEL .... even though much time spend hotel would still rather much clean surrounding would pay bit extra . rate HOTEL 1 star New York . if would like anymore info review please get touch . hope nice time . bring NEW YORK 2009 ! 
 Jul 11 2008 	 Fine would not stay somplace else next time . 	 review Milford Plaza give friend : think fine , boyfriend hate . small , clean . wall thin hear everything people talk next door , sleep peacefully night . hold luggage arrive 9:00 a.m. could not check 3:00 p.m. the Milford Plaza right middle Broadway , nice ( see Morgan Freeman ! ) crowd , restaurant corporate chain . like five Friday 's , seriously ! walk 9th Avenue nice cafe / restaurant , $ 7.50 bottle beer automatically charge we 18 % gratuity ... total bill $ 75 $ 54 food ! near end stay find bar street towards 9th Avenue call Irish Roque $ 3.00 domestic bottle . if go , would stay Soho , Chelsea , Greenwich Village take subway upper Manahattan sight . everything less crowded area , food reasonably price , way quaint restaurant choose from . the Milford Plaza definitely close museum Central Park , etc ... subway easy navigate , experience dine Chelsea Soho seem way like & quot ; authentic & quot ; New York . 
 Jul 11 2008 	 horrible 	 agree hotel ideally place relatively inexpensive justify condition hotel . move room soon arrive - first filthy , particularly bathroom - second well . one housekeeping staff tell room state . feel like wipe foot leave building . while reception concierge staff generally polite , could say security staff . idea check key card prior enter elevator good idea , engage futile argument security man explain key card already son upstairs . rude arrogant . fact , experience NYC , particularly taxi trip airport - rip arrogant , foul - mouthed nutter - make London seem civilised . 
 Jul 10 2008 	 Great Location ... 	 arrive Milford wich stay 7 day 26th floor . the hotel renovation 's really big , find fantastic location , 8th av , behind Times Square . remember part city never sleep . in point view elevator system good security check everybody reach , make feel safe big place . I breakfast one day small coffee shop 1st floor hall , seem ok ( prefer Pizza Villa corner 8th Av 42nd street - everything fresh ) .about room , probably renovate 70' . I know maide go everyday try clean right front we , ceiling , corner , forget place year . the smell old thing without ventilation always welcome we every night . regard NY need place sleep , find bed ok , sheet clean , security confortable . ( stay 1 night Wellington , leave return hotel time without check confirmation ... ) bad concern location price , think 's reasonable option . 
 Jul 8 2008 	 Location location location 	 hotel good location everything want . right Times Square , footstep theater . subway station within two block great restaurant right around corner . room need upgrading bathroom dingy peel paint , television work properly , hallway smell musty . anount time actually spend room , problem big deal . one great thing security , like show room ID order get elevator . make feel secure . overall would stay would recommend anyone want right heart NYC ! 
 Jul 7 2008 	 right heart Manhattan ! 	 never NYC family . hear friend stay Milford Plaza hotel , although fancy , right heart everything . say pleasant experience last fall , take word , book they . we not disappoint . hotel room small adequate . bathroom small clean functional . everything clean happy . bed also comfortable could not hear noise outside , happy ! staff front desk helpful friendly . we surprise friendly everyone NY ! really enjoy stay , would recommend Milford Plaza highly . right next Theatre Row ; Phantom Opera round corner . good cafe across street , delicious cheap breakfast every morning . many place eat nearby , include restaurant Row 46th St. we fun ! 
 Jul 2 2008 	 good location problem ! ! ! 	 good location sight see shopping . book two bed confirmation e - mail well contact day arrival , find arrive 1 double bed ! ! ! ! assume 2 people would share bed ! ! ! know person change book plan ! ! ! room small hear neighbour talking . walk hallway , horrible smell come carpet . good part hotel experience staff . nice . bad hotel reflect . family agree future stay hotel ! ! ! ! 
 Jun 30 2008 	 Great Location Hotel Transition 	 return 5 - night stay Milford Plaza . stay Hotel 3 time previously . hotel undergo renovation work moment tell . however , location fantastic , around corner Times Square . first room give , window open would not close give alternative room straight away . room small comfortable . staff really helpful friendly . overall , would stay - ideal base explore amazing city . can not wait see look like renovation work complete . 
 Jun 24 2008 	 great place stay ! 	 great location terrific service everyone work hotel . must go know stay four - star hotel . look decent place sleep night reasonable cost , place go . 's true room could renovate , we not big deal . hardly room anyway . go NYC open mind take ! awesome first visit ! 
 Jun 20 2008 	 Great Location ..... 's ! 	 hotel perfect location ! be central ! be literally behind Times Square close Broadway Theatres . the room tiny , ask twin room american hotel give 2 double bed , get 2 single not impressed . could not even fit suitcase floor open they . on hand look cheap hotel New York budget find basically pay get ... would stay purely location will not find anything cheap well . 
 Jun 20 2008 	 great location acceptable room good deal NYC 	 wife stay Milford Plaza June 5 though June 9 , 2008 . booked room priceline $ 200.00 night . cheapest hotel could find theatre district far less room travel site . great trepidation prior arrival hotel base upon various prior traveler review . however , upon check pleasently suprise upgrade high category room . room locate corner build two window adjacent wall partial view Marriot Marquis theatre district . hotel old great location . step theatre times square close Subway . room refurnish adequate . furnishing bad day inn / la quinta type property . bathroom adequate closet huge . entire floor apparently redo old clean acceptable . service hotel ok although do not ask much . security seem good check ID time use elevator whcih incidentally go floor request . excellent stay much well would expect base upon fellow traveler review . hesitate stay price excellent . 
 Jun 20 2008 	 Perfect Location 	 hotel perfect location anyone go New York City see major tourist attraction . hotel clean , friendly . concierge great advice . location amazing . Hop Hop bus around corner great cheap way see city . option leave luggage check completely make trip . 
