MGM 	 beautiful room , great view , close much fun , include much need Walgreens & amp ; CVS Pharmacy . Nathans awesome & quot ; fast & quot ; food . pool gorgeous . Television City fun . casino crowd cool . negative free amenity ; mini - fridge , coffee pot , essential family . otherwise fantastic ! 
 Great Hotel ! 	 hotel great ! busy , always treat like value . bed extra comfy , show KA David Copperfield MGM see ! like MGM something every time day . great pool , huge casino , lot show , lion habitat , amazing ! would stay ! 
 good family 	 not come gambling nightlife , come chill end long road trip . although Vegas mad hard work find hotel relax pool complex fantastic . hotel 's location great low end strip monorail back bus stop front - would not bother monorail time ' ve walk back hotel could bus away strip . grand tower room ( clean v comfortable ) 29 , bit daunt first worthwhile view great get free wifi skyloft . 6yr old daughter love pool , ( sleep ) lion , Rainforest Cafe , New York fairy castle across road , good bellagio fountain 20 minute strip . 
 Grand 	 first trip Vegas book MGM high hope - take we around 30 min get check . seem enough front desk staff handle volume people come through . when get room disappointment - firstly smell damp ( possible Nevada ? ) . one kid immediately need restroom report back toilet clean . room miss coffee maker fridge old tube tv - feel 10 - 15 date . pay Internet $ 15 / night seem steep quite low speed . the Grand buffet disappointment breakfast - carbo heavy offering little fresh fruit cereal - display counter top cooking station clean several week judge thick layer dust . also poor Sudio Cafe breakfast - Denny 's quality $ 30 per head . the casino however one well play week . we stay 2 night happy move strip venetian order magnitude well . go somewhere else well money ................ 
 MGM good 	 First hotel huge ! something like 6,000 room . good part ton thing hotel without ever leave . , leave , right middle everything . highly recommend Ticketbooth block street . get ticket Cher $ 60 ! hotel , room nice bed comfy . stay regular room time try West Wing . not bother spend $ upgrade . room small bathroom room - door , shower next sink toliet . strange . regular room much well , large view ( West Wing bed window ) . third time MGM would stay . use trip advisor get great deal $ 25 day activity credit along $ 70 night rate . far good rate internet . thank trip advisor ! 
 watch wallet ! 	 MGM blatant corporate edifice . want coffee ? starbuck available , least 5 . catch movie ? nope . . eat reasonably ? ha ! really joke . free WIFI ? yes ... $ 14.95 / day . the whole experience depress . take 45 minute check . afraid take long , could check time . stay away MGM . 
 great stay 	 Awesome hotel / casino .... absolutely monumental size great value money . casino look far great rounder . superb food shopping , really friendly staff nicely present room 
 hotel meet Las Vegas requirement ! 	 glad book MGM 5 day Vegas . staff accommodate check check , room clean beautiful view . bed extremely comfortable . restaurant range plush plush special section McDonalds Nathans want something simple . starbuck add also . its also great place gamble good location . 
 Las Vegas MGM Grand 	 Top Notch Hotel ! please accomodation ! 
 Great Service - Lotsa Fun 	 thoroughly enjoy stay MGM . take lot walk around get bearing , moment arrive , impressed . massive hotel benefit Cirque , shop dining right doorstep . one thing , prepare cost dine one many restaurant within hotel . delicious , expensive dinner seablue . great bar plenty slot . would return . 
 Aug 16 2009 	 entertainment need 	 visit Las Vegas group cousin 's wedding . MGM offer everything could want entertainment . stay basic double room adequate size , quiet , stylishly decorate modern bathroom clean . Vegas room ! MGM good selection place eat bar , lively pool ( rather 8 pool ) include river float round , excellent show ( especially cirque de soliel - Ka ) course gambling could want . wedding day excellent - chapel tasteful service beautifully do . reception one suite brilliant , excellent view terrace great service barman . downside MGM locate one end strip 's long walk centre action efficient monorail take strain sightseeing ! 
 Aug 15 2009 	 ok 	 enjoy stay . however ask room change , front desk helpful . however let we late checkout charge . no free wi - fi room however near CBS studio get pool free wifi long walk room . mcdonald hide behind optical shop . little find soon would save we money . almost like hide . overall , good . comfortable bed . pool area crowd would not call lazy river lazy . actually get squirt lot way around people along . locker $ 1 surprised Vegas . we ride bus lot $ 7 24 hour . go strip even downtown . craftsteak delicious ! 
 Aug 15 2009 	 would stay away 	 lovely hotel large poorly manage . herd like sheep . check without activate telephone guest privilege unless ask . registration line bad LAX rush hour . room awful -- modern toilet stall look like public restroom . shower dark hard see . poorly design room shower next halldoor . hallway long football field . walk casino access room bad casino hotel MGM darn big . favor look smalll well manage property . future travel like , stay home . 
 Aug 15 2009 	 ok stay would consider someplace else 	 Vegas friend 's wedding . stay MGM Grand 's bride groom stay . MGM Grand big . read review prior going find accurate . parking free , be worth dollar tip valet . garage huge , spend time look car necessary . wait car valet long , many people use . get layout hotel / casino , be pretty easy get around . plan lot walk . elevator slow crowd , 23rd floor , walk not much option . & quot ; city & quot ; view , Strip blah . get see sunrise nice . exercise room fee , internet service . not use either . stay include Grand Buffet day access two . use breakfast , good . try one lunch one dinner good . food everyday . expensive everything Vegas . guess feel people go gamble waste money . ask concierge desk show worth see . long wait line talk someone , suggest Cirque .... KA show say see 4 time love . fight stay awake . last 1/3 interesting acrobatic , worth see whole show . disappointing . room large bathroom big . bed . king , comfortable . night drunken , loud people hall , otherwise quiet . housekeeping accommodate , extra towel lotion . one day housekeeping skip room completely . call mention ask clean towel , nothing say , bring towel . casino casino , smokey , bad . not gamble anyway , need walk casino get place hotel . check 10 minute wait . see long line time . check instant , line . still not understand someone would bring family Vegas . 's young child . see young mother father slot machine , hold infant . worth child 's lung subject smoke ? 
 Aug 13 2009 	 fabulous time 	 recently stay MGM promotion ( air + hotel package ) fantastic time . since meal include allow we spend money attraction hotel . staff ( busy ) helpful go way make we feel welcome . hotel large many occasion get lose say turn around . buffet mind boggle many choice . , MGM another promotion like , would flash . 
 Aug 13 2009 	 Great experience 	 stay 2 week July pleasant experience . hotel everything expect . slight downside room bit date , space doubt bed awesome . to honest think bathroom update HD tv would trick . the pool ammentie 1st class mjaority restaurant try especially japanese italian place opposite other . would stay depend ideal location strip . 
 Aug 13 2009 	 gross place stay 	 initially book hotel MGM Grand great room rate figure would not even room much since concert 's Vegas . greet unfriendly front desk staff start . give king room not reserve ( understandable ) horrible sewage problem . raw sewage seep shower drain . switch room room not west wing ( another zip code away ) smoking room . suck take smoking room soooo funky . cancel reservation go Wynn Hotel . feel like go hell Heaven . never stay . 
 Aug 13 2009 	 Diamond Strip 	 first time go Las Vegas stay Flamingo Hotel find not enjoyable time . last two time stay MGM , MGM great hotel due location strip . right center action take monorail access attractive hotel caeser 's palace . highlight MGM swimming pool ( pool 's ) , great family great newly turn 21 year old want hang get drunk pool sometimes play music waiter service drink bar bring sun bed . also several restaurant within complex Wolfgang Puck 's restaurant . personal favourite general hotel restaurant sell typical american food large portion . room extremely nice , small ( usually expect city hotel ) everything Vegas grand hotel certainly abide rule . room view Las Vegas strip , easy upgrade soon get . look hotel great shopping facility , hotel , good hotel shop caeser 's palace Bellagio . still shop center MGM mostly contain restaurant little tourist shop . well look staff without MGM think trip would satisfying , definate must - stay ! 
 Aug 13 2009 	 Nice - want sleep / quiet stay somewhere else 	 pro : Check / Room arrive Friday night 8/7 check breeze - room less 10 minute Grand Tower . room spacious , marble bath - nice . pool AreaIt big could always find chair even super crowded . adult pool plus ! Wet Republic day time party - would recommend go weekday ( Mon Thurs ) ) - free guest hotel - weekend $ 25 cover . restaurant one try excellent great service ! Craft Steak , Joel Rubechon Seablue . Breakfast Buffet also good - delicious fruit . CasinoCould always find table play - even certain area non smkoe always big plus . slot galore - even penny , nickel slot - something everyone . con : room super noisy - could hear one room next everything int hallway - slam door hour night - always treat ! a / c room even though high still enough . business center charge receive package also send one _ $ 14 time - craziness . business center someone need send fax $ 6 ( highway robbery ) . free wifi anywhere hotel - $ 14.95 access per day . would even print airline borading pass , go business center pay $ 1 per minute ( $ 5 minimum charge + $ 1 per page rpint ) even though large hotel - like never mind 10 minute walk get point point b mention review . would definitely choose stay somewhere else due noise level room ! ! ! 
 Aug 13 2009 	 everything want 	 first time Vegas , can not offer comparison hotel strip . however , really please MGM , love stay ! yes , be huge- not think hard navigate , people say . room clean bed ridiculously comfortable . the selection restaurant impressive . go Studio 54 great time , . casino pretty standard far casino strip go . only negative- not love location . 's end strip , across New York New York . long walk middle / other end strip . make sure look package deal . find package include buffet , free entry studio 54 , free drink , etc , great deal . definitely do not pay price list website- well . 
 Aug 13 2009 	 great hotel 	 MGM Grand Hotel Casino wonder bed ever sleep hotel . room king size standard room 25th floor beautiful , clean cleaning staff professional ! stay week find comfortable place stay . lazy river pool nice , water pressure shower awesome , great nightlife overprice buffet okay food nothing special . KA theater show awesome well . negative near end strip plenty area ! clean hotel child love Rainforest Cafe Lion Habitat . another negative , pay $ 15 use internet ! 
 Aug 12 2009 	 nice place ! 	 stay MGM July 11th thru July 15th receive email offer 3 - night free ( sign player card wherever go ! ) , pay $ 79 4th night . 4th trip Vegas , previous 3 - time stay Excalibur . the hotel huge , busy , great location . always use monorail ( versus taxi 's ) get around strip , nice close locate at . the food good , room nice . gamble also good ! would stay not compe ? ? ' m sure , Vegas hurt business not problem get room compe future . oh yeah , check - in nightmare ! fear nightmare check - out , use express checkout instead ! 
 Aug 12 2009 	 Amazing absolutely amazing ! 	 stay MGM Grand end July 2009 . husband getting marry . hotel huge lovely . stay Celebrity Spa Suite room gorgeous . problem stay . room , hallway , entire hotel clean . hotel crowd expect hotel Vegas , crowd . definitely stay . housekeeping staff awesome . whatever need go way get we ! make wedding / honeymoon vacation wonderful experience . 
 Aug 11 2009 	 hotel good location . 	 not spend much hotel room although cozy , cause except sleep hour stay Las vegas . 
 Aug 11 2009 	 Loved ! 	 stay MGM 3 night , love . get early , 9:30 , room not ready , excellent curb side service check bag . come back check room , service quick give we room view strip ask room locate . book reservation right away KA right MGM ( guest get big discount ) , utterly amazing , one true highlight trip . room nice , clean , bed extremely comfortable . wall must thick , room quiet . sleep like baby without drink ! overall atmosphere great vibe . honestly nothing negative say , would definitely stay MGM . 
 Aug 11 2009 	 good First Timers big crowd 	 8th time Vegas friend . time stay across street NY NY , MGM bit cheaper try . learn review Vegas hotel stay room locate hotel important . take 4th floor room 5 door elevator . really positive thing hotel go way we . not lock lose room key , risk wait long time get replacement . pool way crowd - although saturday . nobody check room key entrance typical Vegas Hotels . nickname shower room & quot ; elephant hose . & quot ; way strong 5 foot high , get everyone clean . & quot ; extras & quot ; annoy $ 35 / night rollout $ 15/24 hrs wireless - per computer . iphone 3 G spotty , get wireless last little . easily take bill complain . thing super crowd ok . casino also ok . lot table game reasonable minimum . drink service slow , even tip big . smell smoke linger even people around not smoke . planning playing lot , make sure get player card use . need eat charge everything room get compe . 's screwy system , be MGM way . never know be , play ton get 1 night free . give example , compe play $ 25 hand/12 hrs get squat . friend play $ 38 / hand 15 hour qualify us free room . stay small place strip get treat much well term comp . 
 Aug 11 2009 	 5 Star Resort Definetley Amazing Time 	 go stay expect 5 star service . issue check handle quickly . air conditioner work correctly . 3 call front desk maintenance guy come fix . need new motor . take 2 call get new filter . compe 2 free buffet meal ! pool breathtaking . 4 5 different pool . one pool waterfall also lazy river . hotel huge feel anything complain . spa , shop , different restaurant . would stay many hotel Vegas experience . 
