great 	 SF stay Holiday Inn around corner . opt Express price include breakfast : - ) amazing breakfast . plenty eat set we day . the bed truly amazing , comfortable choice pillow too . it great reception area could actually sit - many hotel not day . also conference facility barely noticable . hotel tend forget ' holiday ' guest do not . staff encounter friendly , polite helpful . the 2 pc 's + printer useful item . the room spacious ample space bathroom . great place stay go sightseeing - also purchase 3 day muni pass ( $ 18 ) - great saving - ( one cable car $ 5 one way ! ) good shopping / shopping centre easy get . 
 Apr 26 2005 	 three great day 	 stay three night 11th April 2005 . corner room 2 Queen bed - 2 adult 2 child - fine . room clean comfortable good tv bathroom facility . hotel superior adjoining Holiday Inn - cheap . ideally locate tram Fisherman 's Wharf / Pier 39 / Alcatraz facility - within short walking distance . plenty restaurant nearby . inclusive continental breakfast plentiful good quality . all good hotel - helpful staff free internet access lobby . would definately recommend use . 
 Apr 17 2005 	 Holiday Inn Express Fisherman 's Wharf ok 	 1 king - size bed room small . find space floor 13 - year - old son challenge . ( originally order roll - a - way . forget . place put . ) clean . Complimentary Continental breakfast many food plus . parking $ 30 / night , instead park overnight garage Hyde , south North Point $ 20 . convenient cable - car downtown . 
 Apr 17 2005 	 much nicer expect 	 Perfect location . would stay . hotel fairly new pleasant . room good size , comfortable , stylish . continental Breakfast quick convenient . cinnamon roll family favorite ! excellent value . 
 Mar 27 2005 	 would definitely stay 	 stay 4 night spring break ( March 2005 ) junior suite include microwave mini - frig . Safeway close pack lunch everyday tote around soda save money . room wonderful quiet even though room overlook street parking lot . location great near Wharf , plus near cable car several bus . big downside breakfast bar pack capacity every morning , probably 170 kid two group Spring Break trip . mean often watch like hawk get table many people not clue clean . however , breakfast great doughnut , hard - boil egg , fresh fruit , hot cinnamon bun , cereal , toast / english muffin . also not laundry facility onsite go next door Holiday Inn ( HI Express ) . awful since room dirty , one elevator break laundry detergent . Gino 's make great pizza deliver room . 
 Mar 23 2005 	 love experience 	 STAYED HOLIDAY INN EXPRESS free ACCOMDATION plan PROVIDED CARRIER , excellent though strike go managable staff ever polite friendly , we two year old area surround hotel safe , entire 3 day trip see one homeless person near hotel , 4 block . wise good place pier stay . walk distance pier , even baby stroller beautiful stay . walk . 
 Mar 18 2005 	 great 	 stay hotel btw 06mar-12mar . great , location really good.quiet yet far wharf area.the free breakfast cereal , fruit , muffin advantage , especially u travel kids.there 2 pc lobby free internet good b touch home mile away.the room clean , coffee machine room , whole staff friendly disappointed means.cable car stop , safeway walgreen 's nearby.i wld definitely recommend hotel everyone.the negative point one elevator order stay take age go down.by way , sfo great.i hope wld go sometime.i really leave heart . 
 Mar 15 2005 	 bring sticky bun ! 	 hotel hit spot . free internet access room travel laptop like . Free wi - fi lobby . free breakfast .... sticky bun , cereal , fruit , toast , coffee , juice . pleased . Killer showerhead . want stay day long . clean room . friendly staff . excellent location rate . and fairly quiet consider stay floor travel high school chorus student . my complaint : one 2 elevator entire stay . locked stairwell could walk stair , up . oh well . 
 Mar 14 2005 	 Holiday Inn EXPRESS Holiday Inn 	 stay hotel several time past year . reservation night later week . ' ve always pleased stay . negative review puzzle read word & quot ; pool & quot ; , know talk Holiday Inn street . 's easy confused , especially unfamiliar chain area . want clarify might unfamiliar hotel Fisherman 's Wharf . side expensive parking . least property . choose hotel gift weekend daughter San Francisco two friend 21st birthday . love location breakfast saving ! 
 Mar 13 2005 	 watch get bump sister hotel 	 arrive holiday inn feb 14th find room close due renovation transfer sister hotel round corner . 24hr denny 's downstair give idea good . hotel room fine , recently do size wise fine . book hotel pool gym sister hotel access . also lobby staff time ( 5 day ) . someone come interval check guest concierge security make feel uneasy . food dennys inedible . Spoke hotel manager offer immed transfer worth move 2 teenager unpack much stuff . offer complimentary breakfast discount limo airport ride . original hotel look nice facility breakfast buffet nice . moral move sister hotelOther , love san francisco . hotel location good end 2 trolley run easy get everywhere . also good restauarant nearby . 
 Mar 8 2005 	 Great Hotel ! great decor breakfast ! 	 get back 3nts hotel . decor contemporary delightful . location perfect fun along Wharf close trolley bus line . Walgreen 's kiddie corner block away anything forgot . hyatt across street Budget Rental Car desk rent drop car there . the hotel traditional fully stock HI Express breakfast . keep everything supply whole breakfast serve hour . upgrade junior suite check find room nicely decorate , clean comfortable . internet station lobby not laptop . perfect online checkin get airport . cost parking $ 28 per day cab to / from airport cost $ 45 . would not hesitate stay . 
 Mar 5 2005 	 Clean Bright Good Value 	 would recommend hotel anyone go city break San Fransicso . spotlessly clean , room pleasant feel like safe area ; walk hotel even late night pose problem . coffee machine room lift reliable . bar , porter room service wil cope luggage book trip go big & quot ; sister & quot ; hotel street . minor niggle . nice sportsbar across street night - cap Fisherman 's Wharf restuarant nearby abundance . lift reliable manage luggage big problem airport pick - up right outside hotel . much fault plenty praise . even use internet free can not stay offline day . good e - postcard home . 
 Feb 22 2005 	 all - around Outstanding 	 return yesterday 5 - night stay hotel . wonderful . would rate hotel definitely big step typical Holiday Inns , Hampton Inns even Courtyard Marriott . much nicer Quality Inn , Comfort Inn Ramada ( ugh ! ) ' ve ever stay . stay away Holiday Inns past , definitely consider Holiday Inn Express par hotel . the room absolutely spotless , bed extremely comfortable shower great . entire hotel clean , well - maintain , beautifully decorate . every staff member friendly helpful . suggestion right . need airport transportation request cab - order beautiful towncar we ( price cab ) . find cab cheap shuttle . child full - price go hotel ( special rule - nab tourist ! ) , shuttle would $ 60 . cab $ 40 - 45 . staff also provide escort ( security guard ) go Denny 's buy breakfast 4 take airport . never encounter friendly city . the breakfast buffet perfect - save we quite bit money , need since meal SF expensive . search place serve breakfast find . breakfast buffet item contributor mention , include fresh fruit delicious cinnamon bun . the variety food San Francisco contemporary eclectic . find difficult find food child would eat . favorite restaurant directly across street , Knuckles . serve american - type food find restaurant Applebees , Friday 's Bennigans . good restaurant immediate area Johnny Rockets ( burger , shake - good quick lunch ) , Rainforest Cafe ( expensive , however ) Cippino 's ( italian - good selection , reasonable price kid - friendly ) .The location excellent . not rent car not walk block catch one trolley , cable car bus . allow travel time - several time , wait bus . even driver friendly helpful . the hotel locate busy street noise bother , ask inside room . night , tired noise bus not bother we . all - around outstanding - beautiful hotel , convenient location , great deal price wonderfully helpful friendly staff . 
 Feb 22 2005 	 happy . 	 stay past weekend ( Feb 05 ) 3 night . suite not large suite stay Arizona , consider place .... SF large . small frig micro nice . queen bed pull bed sit couch - nice . breakfast convenient good . complaint would cable tv , 5 year old we much walking . & quot ; buy & quot ; movie 2 night order keep quiet entertained room . cable cartoon would nice get w / most motel . decor room adequate - nice . staff nice helpful . would say great place adult old kid - five star couple young child - four star . 
