pay 	 get cheap deal local travel shop 99 train hotel 2 night . arrive queue day night . 4 room 13 us 2 family 's room 3 small single bed camp bed kid refuse sleep . one room clean get look like someone party rang reception say would sort . great location tube bus 10 min away king cross . day come back around 10 pm room not do 5 kid is'nt ideal . breakfast horrendous like cold rubber staff really unfriendly go nearby cafe breakfast next day great . price pay did'nt complain pay full price something like 110 per room would happy 
 basic warm good location .... 	 book hotel ' weekend rail deal ' exactly get - deal ! room basic warm . hotel closely locate London 's sight seeing exhibit . want book somewhere impress would not reccommend , however , room book hotel . 
 like jail 	 simply price buy part good rate London BA.com . 's giant hotel right Russel Sq , convenient king X Piccadilly Line Tube . , be pretty much horrible stay . single bed suitable chlld 10 , adult . courtyard middle look like jailyard , miss weight . blanket drape hang window , wait fire start , especially drunk Belgian Standard Liege football supporter scream . take pub lobby courtyard lose Arsenal . heat room unbearable would not switch . sleep window open , hope noise drunken Belgians would soon go away . bathroom ok , pretty clean except towel stain . bring toiletry stay b / c will get 3 mini bar soap that s . be look bed hotel 's well locate , reasonable safe , cheap , stay . though , would recommend sister hotel , Tavistock Royal National . luxury missus definitely enjoy stay get lucky . thank goodness travel male friend , use place crash going drink London . convenient vist Arsenal Football Club . 
 try hotel side street 	 well arrive queue mile long book , every morning afternoon , wait half hour give key room . room adequate special , neither alot space . spend day come back 9 pm buy drink bar no - where sit go din area get kick drink unless buy hotel ? ? four we ask would need buy able sit din area almost empty , smile know get repeat automate statement ask much glass water ! ! say £ 5 agree say would ask leave . spoke manager reception say not dept ? ? go bed.8am get knock door house keeping .. & quot ; leave today ? & quot ; & quot ; er tommorow . & quot ; ok need clean room . go downstairs speak manager explain would well keep night bar sleep knock we 8 morning holiday , get bar becasue space . say would speak housekeeping , dept . go breakfast queue 3/4 hr room , actually get straight back room 10.15 not clean ? ? next morning thing happen again . so summary room small , great queue , slow book , broken lift , morning wake call clean wether need . one responsible not anyone dept.you buy drink drink . positive food good 's near station . would go , way ! ! accross road stay president , ambassador county hotel 100 % well , price much friendly . it would appear way make hotel change attitude let customer know alternative . 
 Mar 16 2008 	 pleasant . 	 book hotel part package British Airways deal . price value first consideration , also convenience neighborhood . say disappoint both . for one thing , unpleasantly large . travel group young people decidedly bare - minimum mentality , place feel like youth hostel hotel . bed low squishy roll around , make impossible lean back without bed shift . remind distinctly camp bed . bathroom oversize ugly ; tall grey wall dirty look floor , shampoo soap , one large towel per guest . hand towel provide . tea maker stand water look simply disgusting . pack sugar / tea / coffee use obviously open , sugar miss one . several hair bed , not feel could trust place clean , although aside tea maker nothing seriously wrong respect . control heating inside room , get rather stuffy unless window open . overall , bleak place . the continental breakfast also rather disenchant , consist cold toast ( lay pre - toasted , almost guarantee 's cold time reach anyone 's plate . ) instant - taste Orange Juice rather thick , strange tea . this place could easily well , seem completely without try . location , several block away British Museum , dirty busy part London . tube station easy walk , also less pleasant Tube . previously stay Pimlico area London ( near Tate Britain ) far major attraction , easy catch Pimlico Tube . overall , find convenience location improve experience , weigh noise general ugliness hotel . 
 Mar 16 2008 	 great 	 reading review hotel worry stay . hotel be not bad expect , large hotel lot school group stay . dissapointed staff , suppose get free evening meal first night part package book check staff say offer finish clearly state accomodation voucher offer valid 29 feb 2008 even point , tell wrong ! breakfast nice full english breakfast greasy , orange juice taste awful plate cutlery quite dirty . location excellent everything within easy reach hotel . if look good location London attraction look cheap hotel would reccomend long want spend room ? expect luxury accommodation will not find 
 Mar 15 2008 	 okay come back 	 read lot review hotel , almost terrified stay Royal National , London . stay teacher class student age 17 - 20 ( ' m 53 ) . would worry ! room bathroom clean enough , sheet clean change five night stay , towel etc change every day . big 1970 - ish , continental breakfast okay . usually stay Bonnington 's ( Park Inn ) London family , hotel okay stay student . would not stay holliday . want stay confortably can not cope european chineese student tour , pay stay somewhere else . 
 Mar 15 2008 	 good time London ? find another hotel ! 	 Royal National immense hotel factory many visitor , impossible employee welcome friendly . simply that . the hotel mainly use school London trips- kid ok fun , probably breakfast early see taste make of . we stay 6 days- soon find , nice place breakfast coffee look like . room small , impossible privacy , neighbour need shout hear , add noise echo wall court yard . nevertheless London good ever- even well , inner city far less traffic , pleasure walk enjoy park , musea more . wish happy stay- please find well place rn ... ! Eckart 
 Mar 15 2008 	 like youth hostel 	 hotel okay tight budget prepare sleepless night . hotel use lot large group young traveller world seem permanently noisy . room double glaze main road hear noise traffic night police siren . keep awake well till two morning scream kid run corridor bang door . breakfast area much like school canteen long table queue get food . on plus side staff friendly room quite large seem clean within walk distance British Museum West End . if want relax hotel , really class youth hostel hotel . 
 Mar 13 2008 	 cheap 	 stay Hotel 2 night . ideal location Euston Station , bus tube . arrival staff friendly . room clean tidy , book quad room 4th bed campbe luckily child . first night complimentary meal Tavistock Hotel- Wine Bar good . noise teenager run corridor shout disturb early hour . also room situate side street traffic noise keep awake night . breakfast good , staff quite sharp manner . departure day want take luggage us day train leave early evening pay concierge small fee keep bag locker room pick later day . 
 Mar 9 2008 	 average 	 hotel book part package see Hairspray Musical Superbreaks . Foyer decent corridor look clean well lit . room uninspire . well stay overnight 4 coathanger wardrobe . toilet roll open top toilet . yuk ! bathroom clean basic . bed horrendous . not even look like double size see husband decent proportion , make uncomfortable night . nothing nice special room ........ even box tissue pen paper . load youngster around , probably exchange student school trip . trouble see make reception area busy time . do not even stay breakfast Sunday queue stretch around block . our room second floor south tower overlook roof area . around 12.30 - 01.00 Sunday , sound like trumpet party seem strike nowhere ! window open room quite warm , look many other look ........ loud music could not locate suffer warm night , toss keep awake noise heat ! real positive central location , king Cross ( travel rail ) theatre district . it certainly not bad hotel ' ve ever stay would unlikely stay again . hairspray well ! 
 Mar 8 2008 	 huge horrible hostel 	 stay Royal National 3 night February 08 part package book British Airways . shock British Airways would back hotel - nightmare ! barely could call hotel , much like hostel . average guest age 21 , spend entire night listen drunk kid singe soccer song & quot ; courtyard & quot ; room slam door kid running hallway night shreike giggle . keep mind , ' m 25 ! hotel home youth tour group pass London . unless be look meet young , drunk traveler , avoid hotel ! top , room filthy ( big red stain wall , look like not vacuum ) mattress feel like slab cardboard sink - in middle . first negative review think ' ve ever leave TripAdvisor , not take lightly . go place want relax stay . 
 Mar 7 2008 	 Bad 	 stay one night 4th March , hotel part package see Tuttenkhamum First Emperor choice . I check review departure dread go , say definately ok . would pick hotel choice could find much wrong . yes room date . CLEAN , small bathroom , SPOTLESS load hot water . lot school kid , ( KIDS NOISY ) , breakfast full english , dining room bit like school canteen food ok trouble find table . it centrally locate , although slightly fade tired . having stay quite 4star hotel London ok one night . I take lot read pinch salt . 
 Mar 7 2008 	 give place break 	 daughter stay 2 night February , book quickly problem , room basic clean . overlook courtyard hear noise street little inside hotel . breakfast busy cook breakfast ok , 5 star not pay 5 star price either . leave luggage efficient problem check . bar wireless internet available free , staff speak polite pleasant . would definately stay 's cheap price excellent location . 
 Mar 4 2008 	 Nightmare Hotel 	 arrive back 5 Nights monstrosity . look Trip advisor booking ( learn hard way ) . hotel avoid cost unless wish return School Days . full hundred young teenager around Europe UK . generate lot noise tend block foyer dorrway , albeit relatively well behave . breakfast outright con . never seat search canteen , cold cooked breakfast hand , anywhere sit . tea disgusting . not try Orange juice . two breakfast go outside three , although pay five . housekeeping fine , room seem refurbish although bed keep roll round room . street noise annoying although could do without hammer drill Hotel midnight 2 am morning ( 4 March ) far bad Hotel ever stay . 
 Mar 3 2008 	 1935 Wallpaper 	 sort person enjoy cheap furniture , loud noise hundred age drinker hotel perfect place . arrive hotel personally greet hood dodgy look Londoners offer carefully price cider . accompany welcome reception , humour receptionist ' inability understand say . finally come form compromise hand Georgian style keying device attach describe ' beaty stick' . next make way lift game chance await colleague see 's lift stick first . eventually manage arrive room walk round probably circle delight see bed resemble small compost deposit decor manage survive Second World War . sensitive lighting purpose build industrial style light arrangement , ste eye softly night . also offer excellent selection tv channel consist mainly BBC 4 . television seek ability lean dangerously window make loud clever comment room opposite also . receive well short time hand pick selection sophisticated English youth feel need hang window exclaim number obscenitie make sure sleeping become enjoyable challenge . overall hotel prove excellent investment time money seem meet requirement please short break would happily recommend person interested quiet , short , country break away heart London . 
 Mar 1 2008 	 bad thought 	 reading review little tempt cancel hotel please . arrive seem 3 bus party pull think never get check , wait couple minute . the room small basic , clean warm . bar soap , clean towel . coffee tea room great hair dryer . we find staff helpful problem concern . main downside hotel large inpersonal , lot school kid stay breakfast , bad ever . choice veggie , except egg cook bean tea coffee like dishwater . the location hotel great central everything walk distance sight London . go London sit hotel room . 
 Feb 29 2008 	 good budget hotel 	 stay 3 night hotel . bad budget stay . breakfast pretty hopeless consisted toast , butter / marmalade / jam + cereal orange juice . nearby restaurant nearby though get proper english breakfast 5 6 gbp.room ok , although room smell like someone smoke . bed wheel - convenient clean stuff , quite inconvenient user since can not rest back wall . bathroom ok , soap available time .. however carpet come bath put foot floor.hotel free wireless internet lobby 2 pc terminal near elevator 1gbp per 15 min - bad want check email . proper internet cafe nearby - 2 min walk hotel.in hotel lobby also phone charge locker - never see hotel - convenient , 2nd floor there s room go iron clothe . staff helpful efficient call come low heating temperature , 5 min . luggage storage facility 0.50gbp per luggage . hotel central , somewhere around 10 15 min walk oxford street , want go back oxford street pick 7 bus russell square will pretty close.be sure close window curtain dressing room since opposite side street office ... might enjoy show though = ) 
