excellent 	 stay 7 night - 2 different room . room noisy morning hear people talk loudly slamming door . second room next room renovate may explain noise - sure first room . staff mostly ok except grumpy lady 30 awfully unhelpful . provide locker $ 2 per usage need leave bag hotel check - out . first room small second slightly big new . sell point hotel location 31st & amp ; Broadway 2min walk Macy 's 1min walk subway 1 stop Times Square . wife Thanksgiving could catch parade literally around corner . yes , need cab , get one street one , reception charge ridiculous price . room come free wi - Fi internet access LCD tv hd channel . 
 Jun 30 2004 	 Good Budget choice Midtown Noisy 	 stay Herald Square mid June 2004 Queen suite . hotel staff pleasant , friendly helpful . room fine standard size New York budget hotel . Maid service every day clean efficient . Herald former Life magazine build interesting history . 31 34 street good midtown location subway etc street around busy crowded . beware however look quiet hotel . 3 4 day generally adjust volume noise New York , however currently next door Herald Square hotel building site clear construction . New York 10 day move hotel feel adjust noise city , however even find particular spot noisy . check hotel booking plan stay one night , construction carry late start early . without construction would give hotel 3.5 star . iron board , hairdryer , tea coffee facility room . obtain iron , hairdryer front desk $ 20 deposit think not good customer service . would stay construction finish . require taxi airport go yellow cab use service one two porter hotel try get use . private company although say charge $ 50 driver dispute airport request nearer $ 100 toll charge , tip service fee . needless say tell go get airport , give $ 60 leave luggage , people however may want type problem holiday end . yellow cab fee aiport fix local law . 
 Jun 21 2004 	 budget traveler 	 due last minute business trip attend trade show Jacob Javits Convention center , stay Herald Square Hotel room two double bed $ 140 plus tax . every hotel NYC either sell want $ 260- $ 375 plus tax . could stay Jersey less , not want hassle morning commute city . room clean choice smoking room ' m non - smoker . great location , within walk distance Penn Station PATH station , right near Macy 's . like reviewer , need ask much time spend inside room . less time spend hotel , appreciate value . parking $ 21 per day , around corner ; compare $ 40.00 mid - town hotel . lots korean restaurant nearby adventurous Atkins diet ; try korean BBQ ! ! staff professional courteous . 
 Jun 8 2004 	 Quality budget hotel ! 	 go NYC last weekend 2 friend stay Herald Square . the location not good say , nothing much around block take around 25 - 35 minute walk Times Square . the subway station least 4 block away , quite walk consider size Manhattan . but hotel quite something . be clean , spacious , well - equip comfortable . if expect nice view be one thing not . otherwise , expect find necessity , tv , comfy bed , clean bathroom w/ bathtub , in - room safe , large closet lot lights.of course , budget hotel , staff can not polite one Plaza , advice useful efficient help guests.i would give hotel 4.5 could , 4 like consider location not good ppl say 
 Jun 3 2004 	 Herald Square ! ! 	 horrible start finish . horrible . Elvis alive today , would perform & quot ; Ghetto & quot ; live via satellite locale . good luck ! 
 May 5 2004 	 like Herald Square 	 Family memeber stay Herald Square number time ( past two year ) . say place good value money , clean , secure , well locate ... want . would also recommend Portland Square Hotel ( be since stay , last inspection outside look ok ) . please not stay place expectation 4 star . 
 Mar 29 2004 	 thing ! 	 spend evening March 2004 . originally have schedule 3 - day stay vacation plan change , walk hall first time , glad leave next day ! place intimidate - reception desk sheilde bullet - proof glass , grimy tile floor , dirty wall ( seem ) . fair , room clean newly paint ... not place relax long day sightseeing . the staff actually friendly cheap hotel New York . it be okay plan spend one night NYC , be stay long short fund , either get chain hotel hostel . 
 Mar 21 2004 	 good Alternative Homeless Shelter Cardboard Box 	 curiosity go tripadvisor hear people comment Herald Square Hotel . several year ago go New York around Christmas ( beautiful time New York City ) wish pay $ 200.00 night plus 20 % tax . Herald Square look decent online . bad could ? well location good ( alot korean business restaurant area ) . perfect location fairly central . ' ve never hotel clerk buzz door unlock could enter lobby . front desk behind bullet proof plexiglass . since room ready store bag locker ( like kind bus terminal ) definitely Plaza . upon wife enter room know go problem . tell bed go & quot ; French Double & quot ; ...... big people sleep sideways ! ! ! get really hot night since window open choice turn airconditioner window winter . take step enter bathroom like cruise ship . bathroom fixture certainly date . -- - day , wife whenever rate hotel always say & quot ; will be bad Herald Square & quot ; ! travel alot bad ! sound like european client happy hotel , yet Americans . pay $ 80.00 night plus tax . little stay one Best western maintain chain standard . 
 Jan 7 2004 	 great location look ! 	 stayed Herald Sqaure Jan 2003.we slightly disappointed arrive . the web site bit generous description . the location excellent say least . the fact comfortable reception make feel bit cold arrival . the room verge tiny . they clean & amp ; warm however . would pass name hotel friend , would clear expect . other might complacent . location 5 star , hotel debatable ! 
 Jan 5 2004 	 Bad Great 	 mixed feeling Herald Square Hotel . plus side , location central , front desk staff friendly , price hard beat . ( include taxis fee , pay $ 98 per night single room bath . ) room wear , clean . side : room absolute inferno , way open window . incessant noise ice machine hallway ( perhaps guest try douse cube cool room heat ? ) , will not pleasant be light sleeper . last morning , one hotel 's maintenance worker whistle loud hallway , think tv turn Andy Griffith show one guest check Uncle Remus & quot ; Song South . & quot ; , need place crash one two night tour city , would good deal . note management , please quiet symphonic janitor sunrise . 
 Dec 16 2003 	 Excellent location 	 stay 3rd - 7th December . room small clean , noisy central heating pipe cosy inside snow not mind noise . perfect location friendly staff . would definitely stay 
 Dec 15 2003 	 would stay 	 stay 4 night 4 - 7 December . room small clean , staff helpful & amp ; friendly . bed comfortable bathroom fine . handy location - third visit ny , first hotel recommend friend . would certainly stay again . trevor & amp ; Jessean Phillips 
 Nov 13 2003 	 Herald Herald Square Hotel 	 Hotel great price location , museum ! .... Original Life Magazine live ... picture , art work , history cover wall room hallway . great place stay 's experience . room everyone . clean , Safe , staff friendly oh helpful . friend recommend right ! ! BRAVO ! ! 
 Sep 26 2003 	 price right ! ! 	 great budget place stay New York . central location excellent , close Empire State , Madison Square Garden , 10 min . Times Square . room clean , staff friendly security front desk buzz great . look view room service , place stay . could pay way money stay somewhere else , be NYC , much time really spend hotel ? 
 Sep 12 2003 	 Yikes ! 	 read review hotel another website visit actual hotel website , decide try Herald Sqare November 02 . return New York November , HERALD SQUARE . book room four , upon arrival give room three ( ride small , scary elevator ) . give new room first floor . room black window , mattress sag middle keep awake night loud heating unit commotion hall way night . pay little extra try Red Roof Comfort Inn block ! 
