awkward 	 great place . August check move room 's hard - wire internet ( kind -- wireless ! ) not work . additionally air conditioning never get quite cool enough , shower / tub short , awkward nozzle not adjustable force stand drain , elevator small slow , business center tiny closet basement . though ask stay elsewhere time , be corporate room block . e - mail time hotel manager assistant manager various question . nice accommodating , staff ' ve encounter . staff wonderful - hotel need major makeover . speak , gym ( LA Fitness next door ) close renovation be buss guest another one block away . unfortunate timing . this time arrive excited get room 701 , top floor . room indicator , not room & quot ; -01 & quot ; . room awkwardly opposite elevator . door open right elevator lobby , without kind baffle foyer , people elevator , wait landing , look right room . noise ! talk / yell / whisper guest elevator notification ( & quot ; go ! & quot ; ) keep awake night . be move another room today ( additional 40 quid night ! ) hopefully well . 
 average hotel - 5 star 	 hotel situate great location - convenient Covent Garden theatre district . bed comfortable . staff friendly helpful however five star hotel . room average despite & quot ; deluxe & quot ; . look need decoration - attempt hide fact fancy light hang bed . bathroom spacious tatty - heating - supposedly hot towel rail freezing , shower lukewarm draft window . breakfast somehow manage lose hot breakfast order leave we sit 20 minute realise lose . wake drill hammer early final morning somewhere hotel - one bother warn we . check , staff never bother ask stay - seem interested get money . there plenty hotel area would advise people stay elsewhere - definitely five star hotel worth money . 
 Waldorf 	 book one night famous Waldorf Hilton Aldwych lastminute.com . know Waldorf ? rich , famous people use stay ; excellent positon near theatre museum poise edge City ; boast crown jewel ballroom , Palm Court . sound good . , fool history . Waldorf transform Hilton boring , mid range business hotel . lose every shred famous charm . , completely devoid character . still , five star rating belie poor quality service offer . I carry obviously heavy suitcase long flight stair reception , staff watch . Thirsty arrive room , invite spend GBP4 priviledge drinking bottle mineral water . room ostensibly double . two set prettily wrap bathrobe ( GBP40 buy ) lie conveniently bed . however , bed push wall like medieval box bed ; possible access second guest . desk lamp , wrong side desk read bed , work ; follow morning housekeeper confirm bulb go . even low setting , heating ventilation fiercely direct head height uncomfortable stand middle room . the tv remote menu facility , flick aimlessly around find news station want . bathroom tile floor ceiling clammy ; heating towel rail , remain cold throughout stay . bad , despite offer free wireless connection bedside literature , tell front desk way connect internet five star hotel purchase GBP15 24 - hour voucher would permit use hard wire cable desk drawer . Breakfast serve Palm Court , beautiful green palm remember film set remove . room large , cold decorate stiff , brown dry grass . food acceptable , stand middle room , , twice , attract attention staff get coffee . no Christmas decoration , warmth . luxury ? forget . advice : stay somewhere else . shame , Hilton , turn unique elegant hotel average , brown box . Mrs . Rehoboth 
 bitterly disappoint 	 book room celebrate anniversary surprise half disappointing experience ' ve long time . on check - in ( quite late , arrive around 23.15 ) wait receptionist get phone alone . get room key pretty much without one word ask breakfast ... welcome ... room disappointing - small clean 5 star standard . find tv work , call reception ( wait couple minute someone pick ) tell someone , take 15 - 20 minute . check say tv could fix would move leave . needless say one call we , call reception ( be talk well midnight stage ) tell would need contact engineer morning . say be stay night , apologise inconvenience offer we complementary breakfast . by stage really upset romantic mood completely vanish , want make fuss late work next day . oh , bed terrible , feel like spring going give way second . breakfast ask menu rather present . full English , one vegetarian oily tasteless . finish orange juice , never get refill . ask toast ... could believe 5 star hotel actually . so , awful experience . certain expectation , give name rating previous Hilton experience , would well stay home ! half say al least will definitely remember anniversary . unfortunately , memorie nothing like mind book . 
 oct 4 2005 	 Small well appoint 	 wife book Queen room . bed small queen honest , sure global standard measurement , like old fashioned English double . room like single room two - overlook backyard maintanance area aircon fan ... shut curtain pretend somewhere else . bed good though , big pillow duvet . large flatscreen tv wall - complaint international channel english selection poor . light quite trendy eclectic , although read light strangely . bathroom odd ... shower great , one multi - nozzle body function , sink big trendy .... take issue opaque door toilet . love wife take exception able see eachother use loo - privacy really quite awkward ( prudish way ... thing private opinion 's ) . wardrobe tiny - large enough overnight bag , stay one night will struggle kind storage space . Minibar empty too . basically like find old storage room window use good interior designer money buy , turn tiny space room ' for two ' . sure entirely successful honest . Aircon efficient neither quite noisy night people close door . leisure club close weekend due flood ( even pool close ironically annoyingly ) offer taxi people another health club free ... anyone really bother - point use pool hotel 's relaxing run straight upstairs afterwards ) . Valet parking overnight would cost around £ 40 bit steep . breakfast okay , good ' ve ever - although hangover may bias opinion . staff though friendly - however request repeat . willingly take order newspaper morning never arrive ... request 9 am car bring around 9.30 also take willingly , although car 9.35 lead repeat request finally receive key 9.55 . nice fitting , small room quite smooth running place . great location London though certainly bad hotel - quite trendy really . 
 Sep 26 2005 	 price ! small room 	 upon arrival impressed decor . staff welcome , although tend really listen yi say explain . room 6th floor small . fridge 2 bottle water drink . would nice bed push wall . another great addition would complimentary bath robe - but ! small box chocs & amp ; small bottle wine nice gesture bottle opener would even well . ring ask one never appear . breakfast excellent £ 22 per person ! drink bar far pricey . positive note hotel excellent location & amp ; staff polite . bed comfy , & amp ; room tempature & amp ; air con great . would stay . 
 Sep 21 2005 	 nothing special overprice . stay somewhere else . 	 book queen room beforehand agent . check ok enter room floor one , disappointing , dark drab . curtain draw window block scaffolding , type letter table say air conditioning working , bathroom awful double bed . go reception copy email show queen room tell pay double room even though say queen ? ? ! ! want change would pay another £ 40 ! confrontation , finally offer another room sixth floor . much nice welcoming , nice view , nice bathroom , work air conditioning queen bed . when go , receptionist sarcasticly say & quot ; happy ? & quot ; . new room , stay much well although nothing special . stay Radisson many time London , much cheap million time well room service . during middle night air conditioning break , apparently whole hotel . warm stuffy ( window not open ) restless night . Valet parking quick £ 37 24 hour . breakfast good although £ 22 try get include room tariff . summary - Nothing special , stay somewhere else ! 
 Sep 21 2005 	 comfortable bed ! 	 overnighte Waldorf 9/17/05 , happy incredibly fluffy , comfortable bed comforter , especially lumpy bed Paris hard mattress Rome . room 808 , deluxe queen room , think bit small price , quite long walk elevator . would recommend ask room close elevator hotel ! also , recommend 8th floor ; elevator go 7th floor bag must bring bellman separate elevator , take considerably long bag deliver , pick departure . bathroom fine , agree early review offer little privacy - frost glass door bathroom , partial door tub / shower clear glass . Decor hotel minimalistic , modern , chic nice . breakfast pricey 22 pound per person , absolutely excellent cold buffet - large selection , price include one hot item make order . beautiful dining room , superb dining room host hover , make sure lack nothing . large meeting room absolutely beautiful - great place wedding reception ! would definitely stay Waldorf London long period time . 
 Sep 20 2005 	 good .... .... Good 	 Waldorf Hilton Good Hotel . great mind .... good . the staff friendly ... basically helpful . room alright ... typical london hotel room . sense luxury hotel ... warm . feel like ... corporate hotel . 's ok . not get wrong ... not really problem .... 's think money ... could well & quot ; luxury & quot ; hotel get hard earn pound . 
 Sep 10 2005 	 Perfect blend comfort style 	 stay chic popular one Aldwych week , initially disappoint move hotel look somewhat aged stodgy outside . after four night , find actually prefer it . from outside , hotel impose impressive , look like one London 's classic old large hotel . inside front lobby , be sure think -- be nice seat area walk immediately , check area look pretty basic unimpressive . hotel appear undergo current renovation , get sense style lobby area not quite work yet . but 's room reason stay . room handsome sleek , hang flat screen tv , big fluffy cozy bed , really fun bathroom great shower , kettle drum - shape sink , large frosted glass door . room comfortable homey , touch cool . the public space hotel - namely grand staircase beyond lobby , restaurant & amp ; patisserie amazing ( LA Fitness ) gym - spot , make feel like something important place . as note , renovation painting - take away experience . renovation include new elevator , definitely good thing , one take incredibly slow . I love location 's Covent Garden , roughly 4 minute walk market area , 15 Soho center - 's ton restaurant , pub shop around . be also relatively quiet street , around corner heart action . all tell , really pleasantly surprised hotel , give blend style comfort , highly recommend . 
 Sep 7 2005 	 Dingy room slightly over - attentive Staff ! 	 Boyfriend stay Waldorf mid August 18th birthday . admire Hotel 's lovely decor , get check - wrong room ! bang door try keycards numerous time realise somebody already occupy room , go question reception . staff give we new keycard ( correct room ) apologetic - perhaps much , receive quite apologetic phone call reception regard situation settle room , find slightly unnecessary & amp ; annoying . room rather small dull tatty carpet . ( strange , hear recently renovate ) curtain also close initially enter room , open find close , unsightly scaffold friendly builder greet ! view not really bother , unfortunate leave curtain close , cause room even dingier . though , room quite clean , bathroom spacious ' ve see hotel , nicely decorate . upon check room , realise charge £ 32 valet parking - perculiar , neither we drive , reception staff sort without much fussing . conclusion , Waldorf average Hotel friendly staff ( little much ! ) pleasant enough atmosphere . however greatly disappointed room , nothing like see picture website . although enjoyed stay Waldorf , doubt return . 
 Sep 7 2005 	 nice choice beware bathroom 	 stay hotel four night early July happy . assign Waldorf Priceline , secured room $ 125 . steal , three us room one bed , upgrade large room would accomodate cot . hotel will we additional cost , high . hotel deceiving , look large picture outside , small , yet comfortable lobby , sort odd look . staff pleasant , bellhop bite overzealous , perhaps well . stay two different rooms- one early vacation one return Paris . first room top floor nice view city . large room , comfortably furnish large bathroom . second room nice- small little modern comfortable . frosted glass door bathroom provide much privacy . mention door right sink shower area completely open door gap wall . modest , might want skip hotel least ask see another room . lastly , fire alarm go one night 1 am evacuate , apologetic everyone , happen anywhere . location excellent , staff cheerful , like many people meet UK . hotel clean hallway common area immaculate . worth rate Hilton website though . 
 Aug 11 2005 	 Loved Waldorf Hilton 	 minute family step infront Waldorf , impressed . greet doorman , frendly grab ten bag deliver room . room little small room plasma T.V . . queen size bed , seem big enough king . bathroom nto bad everyone say . door bathroom see , shower door . breakfast everyday hotel , little pricey , hot food good waiter excellent . thing problem elevator , slow unpredictable . process instal new one . one thing pool hotel . pool locate L.A . fitness center hotel . family swimming pool , exercise pool . wonderful stay hotel would recomend everyone know . 
 Aug 11 2005 	 Great Location Friendliest Staff Overall recommend 	 stay 6 night 1st week August 05 . reward stay use Hilton Honors point . Got upgrade deluxe plus mini - suite due Gold Hilton card . room bathroom huge european standard . bed bed wonderfully comfortable . room US electrical outlet ( 1 bathroom one near desk ) , safe mini - fridge . two free bottle water day excellent touch . wife love robe slipper . business center internet access extremely helpful . still 1 elevator operation , find wait occasion . air conditioning & amp ; fan could pushed air , window open easily , warn , put scaffold interior perimeter building expect construction noise . experience first day try get nap afternoon arrive red - eye . hear construction noise morning evening , get late start morning . this hotel gorgeous interior location absolutely fantastic . consider Green Park Hilton regret choice . step Covent Garden shop & amp ; restaurant bus stop within short distance . find good mode travel since Temple Tube stop short walk Covent Garden station close due bombing . lot nice pub nearby ( recommend George Strand Edgar Wallace Essex St ) . staff truly fantastic , good ' ve ever encounter plan write Hilton tell . negative water pressure rain style showerhead insufficient huge showerhead practically nick shin tub spout get real close get water . would absolutely stay without least bit hesitation . 
 Jul 29 2005 	 pay way much get ... 	 husband book hotel last night 15 day trip England France ( yup , watch Lance take 7th time ! ) . stay moderate 3 star hotel throughout trip book Waldorf final treat end trip , pamper slightly cramp room just - ok accomodation . upon enter room immediately impressed - room spacious , large flat screen tv , modern touch , leather day bed addition comfy queen side bed ... initially please . take Eurostar back Paris need shower excited use frost - glass stall multiple head shower . impressed door , seem seal behind , assume leakage would issue ... however drain seem back partway shower ( take long usual dismal water pressure ) . notice water almost cover foot , decide open door tell huband call front desk ... open show door water freely pour onto entire bathroom floor main room . disasterous ! call front desk explain happen wait clean maintenance come . thirty minute pass assistance . call , question hurry , explain floor completely soak , shower unusable . another 15 minute pass maintenance worker come . call clean , informed reception . Eager let dampen trip call concierge ask book theatre ticket we . say would issue would call back shortly . never bother to . when leave next day husband step elevator stil debate would leave Heathrow bit early , grab lunch Covent Garden store luggage hour . lobby discuss , one staff member came try take luggage away . explain not sure necessary give we moment discuss . say want store think . say fine leave , practically force handle hand take suitcase , come quickly back luggage tag , wait tip ( provide ) .when finally leave Heathrow another hotel staffer try wrestle us luggage put cab . seem desperation tip . note displeasure agressive behavior quickly offer we travel advice . say take cab Paddington station take Heathrow Express would approx 40 quid , could arrange taxi take we direct Heathrow 45 flat . thought would great give nice tip help . get airport cabby charge 58 quid , tell we Waldorf bellhop arrange flat rate . whether take cabby , treat spitefully guy Waldorf not know ... either way overall service hotel terrible would advise other look elsewhere hotel ... give price far well option service priority . 
