great 	 travel world never stay hotel everyone sincerely nice , attentive , efficient , kind staff Hotel Chandler . room lovely comfortable people run hotel really know secret success make traveler feel comfortable cared . would never stay anywhere else positive experience . 
 first class hotel first class staff 	 wife , 2 friend stay Chandler 19/11/2009 23/11/2009 . time arrive time leave , staff friendly helpful , reception staff always hand help requirement , complete online check return flight . knowledgable New York , hand point we right direction helpful hint tip . hotel , quiet , sophisticiated feel , lack restaurant facility could see drawback , not stay New York eat hotel ! tidy little , welcoming , bar . location great turn leave walk hotel , 50 yard 5th Avenue , look right be stare Empire State . say be near perfect position explore midtown downtonw , place . room spacious plenty wardrobe space , nicely sized bathroom great walk shower . hot room , air conditioning hand , strike we odd warm November , weather whilst New York absolutely perfect , ' m sure whether Chandler take credit , want will let ! ! ! highly recommend will stay . 
 good location great room 	 eleventh visit New York first Chandler . stay many hotel city include big chain Novotel , Radisson well independent boutique . Chandler four star independent simply BEST hotel use New York . three minute walk Empire State Building Macy 's , close mid - town Manhattan pretty quiet location . room tenth floor immaculate really modern . bathroom new , contemporary spotless . bath big glass double shower cubicle . room not huge big enough plenty storage . good sized wall mount LCD tv good quality i - pod docking station . one breakfast free charge ok , usual thing - juice , cereal , bread , pastry etc . hotel provide free tea coffee make facility foyer day nice touch . we choose take breakfast morning deli around corner Park Avenue rather pay hotel price . find front desk staff really helpful , courteous polite . book request double room , non - smoking high floor exactly get upgrade without even ask pay . find hotel quiet , relax great condition throughout . genuinely feel good hotel use New York first choice ( inevitably ) return 2010 . HIGHLY RECOMMENDED.Dave Jacqui . 
 Jul 20 2004 	 definitely go room upgrade 	 spend two night July ' 04 friend 's wedding . location great : couple block Herald Square / Macy 's ( subway line ) . easy catch cab uptown ( Madison Ave ) downtown ( 5th Ave ) corner . splurge Deluxe room , well glad . room cozy , & quot ; Superior & quot ; ( read : standard ) room -- note fire - escape map peek housekeeping service -- truly tiny . room well - maintain well - decorate boutiquey blue taupe . small functional armoire include drawer , safe , hang space ; tv dvd player top separate cabinet , minibar underneath ; also nice - sized desk chair , easy - chair / table combo window side room . appreciate free ( rather limited ) video CD library front desk , save we pay on - demand movie price want kill little time muggy afternoon . the bathroom real jewel , like picture ! even nice room , easily nice NYC hotel bathroom ' ve ever see . decor feature white subway tile accent blue mosaic tile chair - rail height , around room , mosaic floor . cream crown mold bright silver fixture rounded period - appropriate look . cute vintage - style toilet pedastal sink ; glass shelf toilet deep windowsill ( easily 2 foot deep ) make lack counter space . water pressure rain - shower unbeatable ! good assortment Aveda amenity include shampoo , conditioner , lotion , body wash , sew kit , shoeshine kit , soap . Most room look fire - escape courtyard , less - unpleasant sound . would choose interior room -- presume room face street much noisy , 's much view . ( athough in - room info binder say & quot ; & quot ; room Empire State Building view , imagine be limited corner suite , one per floor . ) interact time nice , terribly outgoing , staff . typical NYC - style lobby , small bar street side . overall , feel good value price : pay $ 180 Expedia , upgrade $ 159 standard room . would definitely stay . 
 Jul 12 2004 	 good hotel great hotel 	 stay hotel week find good hotel great hotel , pretty central 2 minute walk Macy 's good shopping . small bit price . brekfast expensive staff could helpful . room clean decor modern . 
 Jul 8 2004 	 luxurious small dark bad location 	 stay hotel 3 day last mid June . room clean small dark . aveda bath product nice amenity . 's near Empire State building midtown location ideal walking distance Rockefeller Times Square . amenity : dvd player free rental title . reason return hotel : clean luxurious ; rain shower . reason return : bad location ; small room 
 Jun 29 2004 	 great location fault 	 upgrade superior room expedia $ 200 per night - room tiny - queen bed , desk , tv stand wardrobe furniture room open suitcase . foldup case stand wardrobe - that s place could fit . staff courteous could not help upgrade . two lift terribly slow . love bathroom / shower design fixture . location main reasion stay . 
 Jun 6 2004 	 friendly accommodate hotel ! 	 stay Le Marquis hotel New York one night May 2004 . pick review TripAdvisor 's 10 - minute walking distance Penn Station . hotel incredibly friendly accommodate . arrive New York 6:00 morning able check hotel soon arrive -- wonderful we , tired all - night flight , sometimes hotel make wait afternoon check . since could check early get extra hour sleep thus able enjoy rest first day New York . addition , check , hotel kindly hold bag we four day travel New England , also convenient we not carry luggage we . room relatively small nicely decorate super clean small size not bother we . & quot ; waterfall & quot ; shower head mount ceiling heavenly good ' ve ever experience hotel anywhere ! overall pleasant accommodate hotel convenient location . would stay . 
 may 19 2004 	 Great Place Stay ! ! 	 travel New York several time find hotel really small not expect whole lot . need check early attend conference need get dressed come right airport . really nice let check early . think room decorate nicely like mention really small . ask well view really light . bathroom nice clean warm robe provide . shower must say awesome Aveda product definate treat ! overall would say would recommend hotel . sushi lover not forget check sushi /seafood buffet right across street ! incredible ! 
 May 18 2004 	 Pretty Good 	 stay LeMarquis day U.S. Open ( tennis ) . overall think pretty good . clean quiet . problem . room clean day . location ideal , could walk Grand Central catch train match also walk Broadway . little interaction staff . room little small furnishing relatively new . overall quite comfortable . decorate hip sort way . 
 May 12 2004 	 Hotels online reservation system joke ! 	 write response review read . find hotel reservation manager rude unprofessional . give quote junior suite online request form , tell uncertain term go get room rate . not understand purpose online quote form not honor rate . would anyone want spend money hotel not appreciate business . patron beware ! 
 Feb 4 2004 	 Great Hotel ! ! 	 stay Le Marquis 4 night Jan 2003 , say one nice hotel stay . staff extremely pleasant helpful . room beautiful clean little small difficult open wardrobe bed way , bathroom great . huge shower , lovely Aveda product bath robe . great location round corner Empire State Building . not eat breakfast $ 15 think little steep Brooklyn Bagel Co block road great value . would definitely stay would recommend anyone . 
 Jan 13 2004 	 Nice hotel shame attitude 	 long flight , check Le Marquis tell credit card would accept ( use card many trip overseas ) . receptionist extremely rude tell would except card . card ( except dollar ) sure computer work card company explain sufficient credit . passport , alllowe check room take two day system finally except card . overall , think room small really well design excellent shower . like hotel design impressed staff attitude throughout stay . 
 Nov 26 2003 	 love stay Le Marquis ! : ) 	 absolutely love stay Le Marquis . stay Le Marquis 3 day pleased service . staff wonderful , polite tentative need . room , , cozy . really , bed comfortable warm room tidy neat . room small , want cozy comfort place . bathroom , goodness wonderful . get array free toiletry towel luxurious , robe behind bathroom door . really like bathroom ! clean , clean , clean . overall , experience extremely exhilarating . able relax comfortably . highly recommend Le Marquis ! 
 Jul 26 2003 	 not Miss ! 	 stay May 2003 . check late night delight greet someone carry luggage room . although room quite small , clean wonderful linen bathroom clean delightful . aveda product much appreciate long drive city . first class accomodation . wonderful chocolate turndown . staff cheerful , helpful friendly . much appreciate . would recommend hotel anyone come city . wish room little big easy get around amenity surely make lack space ! 
 Jul 8 2003 	 gem ! 	 thank review , steer away hotel choose one . great choice ! small , clean room , comfy bed nice linen , awesome bathroom fabulous shower Aveda toiletry . reserve online save ! 
 Jun 30 2003 	 Location location location ! 	 stay Le Marquis several night June 2003 . room small perfectly form , bathroom excellent . price reasonable . two outstanding feature , staff ( thank Bernadette ) location . right middle downtown Manhattan short walk numerous attraction . would thoroughly recommend Le Marquis . Brian Larkin . 
 Jun 20 2003 	 Pleasant Change 
 Jun 14 2003 	 Elegant overheat 
 May 21 2003 	 great thing come small package ! ! 
 May 19 2003 	 enjoy Le Marquis 
 Mar 31 2003 	 Good Service Small Hotel 
 Feb 17 2003 	 Loved New York 
 Feb 11 2003 	 small room beautiful bath 
 Jan 24 2003 	 nice place ! 
 Nov 23 2002 	 Top - Notch Hospitality Personalized Service 
 Aug 9 2002 	 Cooool place hot city 
 Nov 9 2009 	 enchantés du séjour et de l'hotel Chandler 
 Oct 7 2009 	 Gutes Stadthotel 
 Sep 20 2009 	 Volveré 
 Sep 7 2009 	 Piacevole e accogliente 
 Sep 1 2009 	 due passi dall'empire ... ! 
 Aug 29 2009 	 excellente prestation 
 Aug 10 2009 	 bien situé un peu bruyant personnel excellent 
 Jul 15 2009 	 Aaaaaaaaaahhhhh ..... schööööön ! ! ! ! 
 Jul 10 2009 	 Excellent 
 Jul 7 2009 	 Un hotel recomendable 
 Jun 29 2009 	 Excelente opcion en el centro de Manhattan . 
 Jun 23 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 May 28 2009 	 schöne Hotel super Lage 
