bad 	 first let say staff friendly , efficient pleasant . not bad word say . however - party 6 stay thistle prior conference nearby follow day . work NHS book single room save money prove vastly overpriced gastly experience . six room - one fully equip . mine , kettle work . another , hairdryer . several other either towel miss altogether one handtowel bathtowel , another shower work . lucky , two part hotel room prove nice quiet . colleague arrive later part hotel , one get decent night 's sleep . either due noise rain flat roof outside ( noisy apparently ) least one case due sound four generator outside window . say would not bad either , keep go woke . well , fact room hot stuffy . mine fan - tell ? room England fan November without ask one obvious problem . room tiny - less expect , also shabby . mine wallpaper start peel away wall dire need deep clean . one corner actually dust bunny skirt board , go bathroom still empty toiletry bottle rack bath . metal bath fitting rust stained bath , tap look ever shiny , mould grout sealant around bath . seal wall tile floor crack floor look dire need scrub around edge corner . one group evening meal hotel . far concerned fine . calf liver bacon red wine jus , follow ice cream . calf liver fine , probably little well cooked like liver pink not , nice tender . mash potato pipe hot green bean fine . thing spoil red wine jus not appear ever see grape highly salt . however enjoy liver . ice cream disappointment . 3 scoop terribly good ice cream chocolate , strawberry vanilla , sticky red sauce ( description give not like sticky red sauce ) obviously prepare put bowl long time put freezer , bowl . time ago stay Bewleys Hotel Leeds hesitation recommend hotel everybody . ice cream good quality , selection wonderful flavour , come brandy snap basket decorate fresh strawberry . contrast ! especially stay hotel leed much less expensive . overall meal Thistle certainly well , probably bad , could got Little Chef motorway service . my colleague horrendous experience little sleep leave conference early could face arrive home 9.00 p.m. get early train . this experience , experience Thistle hotel we past year , terrible instruction , whatever happen , book anyone thistle ever again . apology wonderful staff hotel . 
 4 * decent hotel 	 stay barbican 1 night meeting friend London . hotel quite big seem build business customer majority room twin . hotel spa two bar situate less 10 min walk Angel Station / Islington find lot shop , bar restaurant . river close although ' walk way ( see ' Gherkin Tower ' London Eye hotel ) . ' less 10 min walk either Angel Station Barbican . council building surround area ' make walk scary terrifying . certainly ' need take taxi , main road 2 min walk away ! fortunate enough upgrade premier room main building fab . gather main building date , friend stay annex quite ' outdated ' ' tired ' clean . breakfast nice , choice nice fry ( good quality sausage ! ) , different cereal croissant , roll bread . incredibly busy Sunday morning hotel fully book waiter seem bit overwhelmed go grab coffee instead waiting serve . overall nice hotel although maybe 4 * . would go back rate right . 
 friendly staff fantastic value 	 reading review doubious visit . book day 's leisure facility use beauty treatment two girlfriend fantstic time . special offer use facility free ( go thistle hotel website ) give deal beauty treatment group . treatment fantstic , staff could not welcome facility great - clean , perfect working order . change room lovely warm , clean . would highly reccomend . 
 Feb 20 2006 	 absolutely fine 	 girlfriend stay barbican friday till sunday.when get early staff say could leave bag everything would fine like . first go madame tussaud ask go good form transport.we get bus 205 take we outside 5 min oxford street . ahve read early review staff unfriendly can not understand all.they help time especially small guy call benji.what snob do not accounnt write work peanut get treat like idiot ppl think well are.the area agree be not nice would not recommend goin get bus nite.but get taxi west end £ 10 nothing really consider that s missen bus / tube stop offs.room lovely , sauna , steam room , jacuzzi pool great breakfast outstanding.if something central u pay couple hundred pound , fine trust . 
 Feb 18 2006 	 terrible 	 stay hotel one night one night many . customer service hotel practically non existent hotel manage obtain 4 star rating idea . staff rude unhelpful . would stay hotel ever even pay . 
 Feb 9 2006 	 Outstanding ! 	 fiancé go last weekend absolute fantastic service throughout . staff friendly helpful . facility , include room , outstanding , clean beyond expectation , read review . pay much lot less past ! area rough people make sound like ( London cry loud ! ) . not wish meet Londoners ( yes , mean second generation ! ) not go London ! would definitely recommend hotel , definitely go . 
 Jan 31 2006 	 Fobbed 	 partner book room Lastminute.com . book 4 * room double bed breakfast . arrive hotel walk council estate greet foreign receptionist tell we could double bed pay 20 quid upgrade fee ! show book confirmation say ' double bed ' say could basic single price pay . decide take single bed 1 night . morning go English Breakfast notice ticket say Continental could cold food . ok not eat cook breakfast partner fob . room give set 1 person 1 set shampoo stuff 1 set towel , 1 packet biscuit etc , definately fob book travel agent . could book hotel Kensington price wish ! 
 Jan 25 2006 	 great break 	 Thistle City Barbican provide great location recent break . the Hotel 10 minute walk away tube although Hotel offer shuttle bus busy time back . I realy surprised comment location , certainly good part London far bad , feel unsafe walk Old Street night . the bedroom pretty good , certainly worth £ 20 upgrade main building . the Leisure Centre great , real gem London . sauna steam room well pool . all Hotel great value money staff friendly ! 
 Jan 2 2006 	 welcome beirut 	 hotel middle large nasty Islington council estate . good area London tube station ten minute walk away need bravery sense adventure reach hotel ! go particularly night . guest follow similar approach we risk trip hotel ie keep head walk fast . reach hotel safely may wish not . take 30 minute check . room one towel two we ( dear not mind go second ) . breakfast take long coffee arrive get impression collect bean personally South America . reception staff not familiar set room key card yet lock we room one day stay two . invisible room service suppose open til 2 am . one night try order food 9 pm . ring usual not answer . try reception not answer either . ring hotel externally mobile phone ten minute answer . explain actually hotel could get speak someone ring externally want order food . tell we chef go home early sandwich ! gee thank guy . on plus side swimming pool health club nice room also good nicely present . 
 Dec 29 2005 	 Excellent rounder 	 book cheap night Barbican Lastminute celebrate boyfreind 's birthday November . get excellent deal compare actual hotel rate therefore slightly anxious might shove broom cupboard ! arrive early book able leave bag safely concierge wonder . return later afternoon , check without problem , go room . find room key card work boyfriend trundle back reception get different one , return , get we straight room . apparently sometimes key program correctly . room lovely . big , totally adequate need . tidy , clean , include tea coffee make stuff , bed comfortable . room corner build two large window make light . bathroom also nice ( marble tile ) GREAT shower . breakfast brilliant - think spent hour go back forth buffet , really set we day . staff helpful friendly , especially concierge . disappoint book hotel two night would definitely stay . side fact walk near tube ( Old Street ) fairly dark street would feel comfortable take man . if booking would specifically request room corner get light airy feel room . 
 Dec 20 2005 	 Mr Parker 	 ahve say little nearvous staying , get great deal not . check get nice surprise service quick friendly , room large clean . the restaurant serve nice dinner breakfast nice choice buffet . the location great 10/10i ask one staff hotel poor reputation tell new Manager Mr Parker start Novemeber start make real difference ! not put review give try thing certainly improve . 
 Dec 11 2005 	 thoroughly enjoy stay Thistle Hotel ! 	 stay hotel weekend 2 - 4th December 2005 . 4 we stay two twin room . arrival greet friendly helpful staff Reception area . assign neighbouring room ( ask ) building . hotel situate within ten minute walk Barbican Old St tube station . however pretty residential area . room clean surprisingly big . friend give well room . large sofa fan ! ( become apparent later ) bathroom typical find inner city hotel - small perfectly form . breakfast good include price - buffet style . large choice cereal , fruit , pastry cook breakfast option . tea coffee serve table restaurant staff attentive . the bar main building , expensive , serve good food drink . really nice atmosphere like many hotel bar . also make good use swimming pool sauna lovely . the real complaint hotel heat room . glad fan first night particular . would stay hotel again . a special mention Conscierge excellent - go way give much information possibly could . 
 Dec 4 2005 	 4 star ..... 30 year ago maybe ! 	 stay boyfriend 1 night booking via lastminute - pay £ 65 B & amp ; B , bargain think 4 star hotel London - know get pay ! hotel complete let , first go check partner attempt park car , tell could not double room book instead make twin fully book . unsatisfied partner come back hotel , speak different person front desk ask would prefer twin double ! get double book first place attempt number two . meanwhile tell hotel car park fully book would need park NCP 10 minute walk road £ 5 expensive per day - needless say recommend stay pre - book parkee possible . end parking street next hotel free 1.30 pm sit Monday morn - actually end save money lucky find space do not feel happy leave street . bring onto location , 10 min walk tube Ok area desirable , especially night - like would need anywhere - take necessary precaution . ... room - small , dark date . scuff mark paint chip wall . bathroom smell musty tiny - room sit loo ! loo do not seem fully flush , maybe due attempt hotel save water . breakfast average much choice waiter service poor , almost finish breakfast time ask would like tea / coffee ! Needless say bed night nothing think reason dissappointe stay much much nice 3 star B & amp ; Bs , 4 star expectation much high - could not wait get . 
 Nov 19 2005 	 Poor Hotel 	 main problem hotel property , rather operation staff . bad thing happen : - try call front desk , conceirge room service phone would ring ring ( frustratingly happen throughout whole week stay . ) - wake - up call 45 minute late two morning . - staff surprisingly rude , espcially concerige seem irritated assist ! - remote location make eat transportation tedious . - day hot water , day none.- hear everything neighbour ... overall , really poorly run hotel likely make stay unpleasant . would recommend stay hotel , matter low price go . 
 Nov 17 2005 	 pathetic excuse hotel 	 London dozen time far bad hotel experience ever city . rate website 4 star Thistle Barbican not even one star . 2 star hotel near Paddington Bayswater way well deal . customer service pathetic . people rude , helpful unable even patch simple phone call room properly . fact harass caller . wall paper thin , little hot water , mattress clearly 20 year old . hotel bad part town one must walk least 10 minute nearest tube station , safe night . website states bus drop pick tube station every 10 minute , fact every 20 minute certain time day - only drop pick . many restaurant around hotel much else . hotel total rip job leave high spirit . stay elsewhere ! 
 Nov 10 2005 	 clean comfortable .... 	 first time hotel ... get deal last minute £ 59 twin room full english , actually great price London standard .. room clean comfortable ( like idea mini ironing board ! ) confusion restaurant first night pay 3 course meal package include glass wine - ask waitress wine option part package - bill came try charge extra wine .. waitress nowhere see manage get resolve ( albeit communication problem foreign waitressing staff ! ) however polite . have say sleep well atall stay traffic noise . breakfast buffet style enjoyable - food regularly replenish staff efficient .. ... bad £ 59 ! 
