good 	 location good , nearby many subway stop . shopping center Macy 's empire state building within walking distance . room comfortable clean , medium size fair size bathroom . give renovate room furniture bed good . room 34th floor view Manhattan incredible ! check smooth never get touch hotel staff : key room also pass hotel facility easy use . provide complimentary wireless connection room plus . try tick tock diner hotel property ` impressed service , clean standard food quality . write bill tip amount request ... needless say go . 
 Serves purpose 	 select hotel , stage grind Macy 's Day Parade . guess tourist advantage centrally locate slightly seedy part town ( especially night ) . staff accommodate , allow late check without problem . size room TINY . guess price expect something slightly big . queen size bed , 2 1/2 foot room side bed . . iron board ROOM SAFE- think odd . bed comfortable enough one night . Bathroom refurbish tiny . necessary toiletry . big complaint though noise alley way , street - 23rd floor . husband could sleep hurricane complain noise level next morning . hotel serve purpose - clean enough centrally locate thought bit expensive actually receive . 
 good hotel large room clean- shame certain unprofessional check - in staff 	 stay new yorker hotel 5 night november . on check course excited arrive NY look forward stay new yorker book 8 month advance . our excitment later turn anger way speak gentleman check we reservation department make book correctly . we book 8 month advance pay £ 100 extra double double room view- website state view city hudson river . when make booking request city view also email hotel 4 week visit request city view . on check advise view ' brick wall ' hotel full . tell person check unacceptable false advertising room state ' City view Hudson river view ' also fair concicdering book far advance request city view could not ignore . the gentleman check become rude totally unprofessional . at time apology understanding , hotel full 8 month ago book & amp ; upgrade room room view acceptable argue back customer . 20 minute fight corner finally offer 2 room , get send go view room . neither city view however one hudson view take room- could not offer first place . I think although job check resolve situation reservation do job properly first place problem would occur . request take concideration make someone booking importantly actually pay . advertise upgrade room say get view give view brick wall , ismisrepresentation , wheather hotel full customer problem sell room 8 month before . I should not argue case give room mine , pay for . our room double double room large , good wardrobe space , clean modern . the maid would come everyday keep room immaculate . the doorman lovely , friendly helpful . great job ! great see security shift 24/7 , always say hello direct area hotel ask . the tick tock diner great value lunch evening meal , porton generous staff friendly . overall happy stay new yorker , room hotel great shame do not good experience check reservation really let hotel . later speak manager apologetic greatly appreciate . would let incident stop stay new yorker future however would hope see reservation check staff improve . 
 Aug 1 2008 	 New Yorker Hotel experience 	 read many negative review hotel , husband take chance book week stay hotel .. take lot picture hotel , room Manhattan . all room newly renovate , stinky carpet , dirty paint curtain post old review . sparkle new ( allow see room review ) . stay 25th floor . room small nice . room good 2 people , quiet , AC noisy unlike one review ( due renovation ) . could hear pound man work , busy street . sensitive noise ( wake easily hear footstep several foot away ) . nice view Hudson river , watch sunset treat camera . towel sheet change everyday . great time explore New York City good night 's sleep hotel . location - wise , close Macy 's , Duane Reade , McDonalds ( open 24 hour ) , subway station try , taxis everywhere ( cheap rate surprised ) ... block hotel Empire State Building .. love walk ! hotel staff receptionist nice courteous . security manager even allow take lot picture hotel . feel safe , see lot people check weeekend . husband expect bad , honest . satisfied stay . love bed . bathroom bite small hey , be New York . as amenity , try gym husband go laundry room ( end go outside dry cleaning ) . husband like washing machine , half machine work , say . use flat iron ironing board , tuck away small closet . closet bit small lot clothe bulky luggage . husband 2 carry - ons ( 22 x 12 x 13 & quot ; , standard size Delta airline luggage ) , two personal item - I camera bag , tripod husband backpack . there vend machine near room , steady supply ice free , diet pepsi cost dollar not much we . we eat in - house restaurant want explore food dining . all , would recommend hotel people want get low price great stay .. look big space room , ready spend money . get pay . 
 Jul 30 2008 	 great upgrade location 	 book New Yorker long weekend stay late July . concerned room , hotel process renovate booked , complete time stay . room , 29th floor two double bed , roomy New York standard , cheap $ 239 night . renovation well do , preserve historic character building . business center nice well - maintain . staff friendly helpful . location great 34th 8th , one block Macy 's , two block Herald Square three block Empire State Building . also 10 - minute walk Times Square Subway location Herald Square convenient . 
 Jul 26 2008 	 enjoy stay New Yorker 	 Convenient location , great service , amenity . first trip New York pleasure staying . close subway , friendly attentive staff , consistently clean room . bar / restaurant , diner , business center , fitness center , coin - op laundry site . would stay recommend other . 
 Jul 24 2008 	 Fantastic Location 	 Fantastic Location , walk distance load place , fancy long strole , Central Park good walk , load place see way . hotel room small never not bother we , main thing clean tv huge ! side cost call room - rip , pick ! good thing staff near lift not recognise , show room key gain access - comfort security . diner nice , large choice . restaurant not much menu bit pricy . over , would def . stay recommend , location can not beat . 
 Jul 24 2008 	 great 1st trip ny 	 clean & amp ; secure hotel close major tourist spot subway train station . staff helpful , tip see get . room somewhat small restroom 's thing NY . remodel room , A / c work great , flat screen hd tv free wi - fi good help we look next tourist spot . plan stay next time go ny ! 
 Jul 21 2008 	 not worry 	 read review couple site pretty nervous stay . not worriedwe room 32nd floor view Empire State Chrysler Building . room corner room view amazing - room small not stay room NYC much anyway ! clean , people nice like show key card get room workout area . feel well know people can not wander hallway not stay there . just sure get renovate room . 
 Jul 16 2008 	 NewYorker good place stay New York 	 stay 4 night husband & amp ; 16yr old son , excellent hotel great location within walking distance Times Square , Empire State Building , Maddison sq gardens & amp ; Macys . room spacious 2 big bed 2 bathroom & amp ; two wardrobe plenty room move around , room spotless & amp ; clean every day , breakfasy tick tock diner every morning definitely stay & amp ; reccomend everyone . 
 Jul 16 2008 	 would stay without hesitation 	 arrive late morning via Amtrack Philadelphia easy hotel access Penn Station ... roll suitcase block . check - in fast . good security ... show room card get elevator . the room fine recently remodel . staff excellent . it short walk Macy 's quick cab access Broadway show ... $ 7 include tip . we short departure time try Penn station access Newark International Airport snap ( towncar $ 75 cab $ 50 ) . 
 Jul 14 2008 	 average bathroom cheap rate 	 Overall , be ok hotel . room nice , little small , television massive . problem bathroom - look update 20 year ! shower great . foyer also bite shabby , reception staff helpful . try organise transfer airport ( early morning flight ) ' m sure security guard call one relative , come unmarked car , instead proper taxi service , like ask . charge amount taxi service not bother . overall , great stay , major problem . good location . 
 Jul 9 2008 	 Great Location 	 Hotel grat location block Macy 's Madison Square Gardens . we one room await refurb good size . much storage space . bathroom clean fresh towel everyday . staff friendly receptionist need lesson Customer Service apart everyone fine . have one meal Tick Tock , never awful staff rude ! overall great hotel location ! 
 Jul 2 2008 	 stay 	 make business trip New York company book hotel one room available last moment . it terrible experience . construction go hotel lobby bad train station horde gawk tourist sit around time . even two staffer check room key let take elevator . hotel musty , fade carpet room small desperately need upgrade . will recommend anyone . 
 Jun 30 2008 	 bit update since last 	 visit Ramada New Yorker 7th time 3 year time give renovate room 23rd Floor . do not fool size room , disappointment Queen room .. would think Queen bed ... get full - size bed ... room queen , bed . long smoke room be not mention book time go smoke 23 flight outside . bad , give we excuse walk around time go one ! course , always say like Ramada New Yorker location subway eatery . great place . receipt way time ( could problem take card info check - in ) , say would get Expedia ... know be not true Expedia do not give one last time , New Yorker . ah well . , bad . room get pricier since remodel bit , would not say totally renovate . tile bathroom door . change decor really , room big . price double $ 159 night nearly $ 260 nite . still , great place stay solely due location convenience everything vicinity . I d recommend , 7 time , say something ! 
 Jun 30 2008 	 nice budget hotel perfect location 	 make spur moment trip NYC need hotel fast ... find great rate New Yorker Hotel . 's block Madison Square Garden / Penn Station . first thing notice clean , well keep well secure all - night guard ... nice travel alone . come late , kindly receive front desk upgrade renovate room ( not see unrenovated room , can not comment ) . small comfortable . bathroom fixture new , bedroom furniture new . window air conditioning unit pretty loud , get use . work fine . bed comfortable high quality . extremely quiet room except A / c unit . extremely pleased stay . know New York hotel unbelievably expensive , great option $ 200 night . location fantastic . would stay . 
 Jun 23 2008 	 great location 	 back New Yorker hotel , unsure weather book hotel reading review say great . hotel spotless room service every day clean sheet towle . also feel safe security night would let lift without room key , infact friend trouble get room day 's go back discover forget key . over would definitly stay everything doo step . well do New Yorker , ' m glad choose stay return next visit . 
 Jun 22 2008 	 ideal location 	 return second trip New Yorker Hotel , still could not fault . first time go renovate although not impact holiday . room basic clean comfortable . year room much nicer much expensive , staff nice although bit miserable time . overall hotel fantastic location good value money . hotel one block Macys Empire State Building , 5 minute Times Square . Tick Tock diner nice breakfast work expensive eat time , terrible main meal avoid night . find nice diner next Lowes cinema across street call Andrews diner . staff really friendly food nice Tick Tock half price . would advise get phone card hotel use room , although already pay hotel charge $ 1 every time use phone . recommend hotel people would definatley recommend anyone want great hotel budget . would definatley go back . go go Macy be not forget go visitor centre get visitor card . go , show passport give card get scan make purchase get 11 % . 
