seriously 	 1st trip Las Vegas , stay Harrahs . gamble enough Atlantic City New Orleans room Vegas compe . check , go room discover view dirty pipe brick wall . go desk ask room change . tell desk clerk already upgrade junior suite ( news ) nothing available . cough paperwork hand back . check Monday afternoon leave Thursday . not spend one dime hotel / casino - go Bellagio spend ton money - service impeccable . 
 little disappoint 	 stay Harrahs whenever Vegas always satisfy . however , four night trip 46th wedding anniversay little disappointing . arrive around 11 tired flight luggage we . tell could get room 3 pm . ask anything available tell yes want upgrade . think extra money pay fact second year stay Harrahs anniversary mention many time stay would get pretty nice room . disappointing room ever . must small room hotel swimming pool outside patio door must upgrade . disappointed . thing noise room next door continue night long two night ( swear , cry , scream tv ) . 1st night could request move think maybe people would go next night . nope . one isolated incidence . really like Harrahs hopefully well experience upcoming stay . majority staff gem . 
 not stay HOTEL ! 	 start .... thousand dollar worth item steal room . door close lock properly ( video evidence ) security guard came make personal call room right front we . majority staff deal either care keep reffere us & quot ; Risk Management Department & quot ; seem comprise one man work 2 hotel . tell charge thing room clothe steal nothing wear . buy clothe tell could charge room . also tell would take three day & quot ; third party & quot ; review evidence . upon return home discover security guard never file report holiday . month half since incident nothing do . call hotel nearly daily update . one man say check lose find could find suitcase .... really ? MONTH later ? wow ! want compensation steal item somebody fix door . also , instal camera hallway elevator might help theifs can not come detect . not beleive security information find pamphlet room outdate , security manager tell we ! ! ! contact CEO run Harrahs among thng currently speak well business bueau Las Vegas . could write would take forever . not stay hotel , be good something bad happen ! ! ! ! ! 
 Aug 5 2008 	 good free otherwise pass ... 	 receive free weekend Harrah 's , come away mixed feeling . give newly remodel room ( can not imagine room look like not remodel not exactly glamorous room ) 12th floor Mardi Gras Tower . check - in great , not arrive late night . soon walk room first think give room someone else stay ! due fact room service tray full half - eat food sit next bed . addition , water bottle , lei , miscellaneous item previous guest leave nightstand , armoire , work table . bed make bathroom clean however . call front desk tell another room move we , tell we contact housekeeping . get shock walking room full someone else 's food trash , able survey room . view not bad -- could see Treasure Island pretty clear , room itsy bitsy balcony could go . mean itsy mean barely big enough stand , nice get outside air . room pretty small compare Strip hotel , nothing average . nice plasma tv bedroom bathroom , typical bathroom amenity , water pressure terrible though ! bed super comfortable . real complaint room housekeeping base initial problem fact leave room one day come back find room partially clean -- assume housekeeping cleans room stage , maid try return later finish job ( apparently forget early . ) far hotel , truth other say Wyndham rep everywhere -- wish hotel would ban irritating , expect push sale rep often walk around . 24 - hour cafe great -- serve breakfast 24/7 except oatmeal try order tell ' because late not oatmeal ' -- go figure ... food so / so . pool definitely much write home , plain pool ( maybe olympic - sized could not tell ) , small bar / cafe . not lucky casino fairly good sized . eat Toby Keith 's Love Bar Grill second time ... food good , expect wait - staff nothing eye - candy will not dissapointe . price pretty steep . several shop hotel , glad see 1 stay open late . guess problem Harrah 's hotel rather boring compare other . everything ( casino , shop , restaurant ) kind standard .... nothing great pool etc ... basically would stay free , would dish money trip .... much well time Rio sure ! 
 Jul 29 2008 	 Good Hotel BEWARE Wyndham Resorts 	 ' ve stay Harrah 's Srip many time . 's good hotel , especially snag deal like . beware relentless WYNDHAM RESORTS salesperson . be place constantly pester everyone . will try snag soon be check , be try go dinner , be walk casino . sign , prepare minimum three hours badger , two hour like claim . say , will browbeat sarcastic nasty exit interview . 's worth free buffet free show offer . 
 Jul 27 2008 	 good hotel 	 Booked get - away last minute . check - in slow due several room clean ( 5:00pm ) long line apparently day ( Sunday ) . desk personnel nice . first room assign clean , go back lobby get another room . second room clean neat . call burn bathroom bulbs defective outlet fix day . bed comfortable - air light motion sensor keep go , make room somewhat warm . casino easy get around . make travel senior citizen easy . Monorail , Deuce Bus , trolley leave hotel explore town walk lot local casino 's . housekeeping staff good job noisy morning want sleep . hall traffic carry room . adjoining room not much noise buffer room . overall , fine . staff handle anything bring attention , casino floor staff , information desk , lobby staff courteous . 
 Jul 26 2008 	 Perfect 1st time Vegas trip 	 decide book Harrah 's first trip Vegas due affordable price central location . expect much way luxury service , wonderfully mistaken . check late Wednesday night ( 10 pm ) , desk clerk tell we last non - smoking room , ask wanted room upgrade either ) full - blow suite 1 night guarantee downgrade back basic room last 2 day trip , b ) mini - suite 2 night possibility 3rd night also . choose go mini - suite end get stay 3rd night ! could not believe it- first Vegas trip get complimentary upgrade wonderful mini - suite . room nice . low floor Carnival tower quiet easily accessible . look like fairly recently renovate compare part hotel . marble bathroom counter , floor , shower feature . also lovely floor - to - ceiling closet feature pull tv . also desk small table near window . space lovely lot room walk around . bed itself- wonderful ! bed pillow . far comfortable bed ever sleep , perfect crash long day strip . honestly almost regret spending time room oppose see site gambling . could never hear neighbor clean service great room always look lovely . also wall - safe , make much easy feel safe leave thing room instead lug around strip . rest Harrah's- Cafe alright . nothing special , hit spot nearly midnight . starbuck typical- exactly . piano bar load fun , never even go in- gamble right outside could double fun sing - along play slot . customer service amazing . everyone desk wonderful we . room staff great . cab service good . complaint around . also nice monorail stop- make get around strip easy ! 
 Jul 26 2008 	 blood Toilet ? ? 	 never Las Vegas think stay mid price hotel well bet we ( not plan room much anyway ) . check realize room ZERO view strip King size bed request ( include couple travel ) ask move tell room available . happy first trip without kid really want luxury staying bed , two double ! ! complain quite bit eventually get bed view . decide let rest . , go use washroom notice blood spatter toilet tank ( GROSS ! ! ! ! ) ! ! ! ! nearly die , feel like germ crawl . tell front desk give we $ 30 voucher use anywhere hotel . move we . overall fun Vegas certainly go away Harrah 's less favourable stay . bad picky . thing can not overlook . 
 Jul 25 2008 	 great old hotel 	 stay Harrahs great price . room newly upgrade typical room size . old hotel hear neighbor hour night . eat cafe nothing write home service much slow expect . however , buffet good nice selection different type food . valet fast congenial bellman offer assist bag car find strange . great time . staff friendly helpful . 
 Jul 25 2008 	 rest 	 stay 3 night May 27 - 30 , 2008 . not expect get sleep night day . yes , band sidewalk extremely loud midnight fire alarm go every morning afternoon ! minibar / refrigerator full old stale food early guest . one guest ask disposable razor forgot pack one , send gift shop could purchase . Harrah 's contact claim 's cut amenity financial reason . pay $ 210 / nt . ! Wyndham people annoy . stop sidewalk , casino entrance , elevator . , want waste 2 1/2 hour listening time - share program slot - play promo . Harrah 's offer apology persistence visual . Harrah 's monorail center strip , keep go . find well hotel nearby price less . enjoy Vegas ! ! ! 
 Jul 24 2008 	 great service 	 great service location Harrahs . come early Sat morn & amp ; give we room right away 10 am . Front desk nice & amp ; worker encounter same . room clean & amp ; well expect consider old hotel . view parking garage biggy since hardly . starbuck hotel- ' comment restaurant . McDonalds , Pizza , Chipotle right next door quick bite . pool small - that negative . Sister stay Venentian- love hotel almost big run room- everything need & amp ; Canal Shoppes great . room suite & amp ; spacious . go Kokomo Restaurant mirage- attempt . Sat totally ignore waiter wine & amp ; leave . price like treat well atleast acknowledge . end italian rest good esp bread olive oil / balsamic / garlic dipping . go PF Changs strip & amp ; good service ever . also eat PARIS Burger Place yummy & amp ; great service . would like stay next time paris- good size & amp ; nice casino area & amp ; shop . go top Eiffel Tower kinda scary go elevator great view strip . come right due lightening storm approach give we voucher . see Cirque du Soleil MYSTERE Mirage well expect . hard explain – something neat age . would go another show like Ka water one . great getaway Vegas ! 
 Jul 23 2008 	 Excellent Location - Great Stay 	 4 night compe 10 - day stay Las Vegas . Harrah 's excellent location strip -- convenient walk ride monorail catch Deuce . think compe room would nice . also clean bed comfortable . room locate Carnival Tower , high floor , far elevator . loved atmosphere casino slot area well keno area . not win still fun . & quot ; Flavors , Buffet & quot ; good prompt seating . Breakfast & quot ; Cafe Harrahs & quot ; good ; however seat slow . all staff casino food area customer focus . would definitely stay ! 
 Jul 22 2008 	 great Stay ! 	 stay five night Harrah 's 2nd week July . checkin 4 pm Saturday quick staff pleasant . room Carnival Tower clean quiet - view , can not complain room compe . try Toby Keith 's restaurant - ok , breakfast buffet good - dinner buffet o.k . slot machine Harrah be tight - never see anyone win anything $ 400 . husband hit jackpot Imperial Palace hit big jackpot MGM . also , good luck slot Paris , hit couple time $ 800 $ 700 . recommend Harrah 's hotel room , casino gambling . would definitely stay Harrah 's ! 
 Jul 19 2008 	 Perfect explore Strip 	 stay July 2007 five night . Harrah be recommend we friend live Los Angeles , visit Las Vegas regular basis . it be perfect location centre Strip theory mean will pay considerably room per night , unlike majority hotel casino nearby like Bellagio , Caesar 's Palace Venetian , be not . a lot make star rating hotel Vegas . Caesar 's Palace rate 5 + star , personally would say high . Harrah 's think accurately rate 4 star . the hotel clean tidy . room ample size hear noise adjacent room throughout stay . we king size bed , large CRT TV , adequate bathroom hair dryer air con set could not adjust it . Maid service day . bed make fresh sheet , bin empty , bathroom clean towel replace . also include mini bar - warning : not circumstance tempt open . stuff inside cost fortune remove ( even use subsequently replace ) automatically bill room . the guy man check desk prompt curteous . the interior decor casino perfectly fine . lavish big casino , Vegas will probably find will move one casino another . during stay try hotel buffey . fair price , good selection , quality food great free refill soft drink - can not fault it . on whole would definately recommend hotel look centrally locate base operation , ar not look many frill budget . 
 Jul 19 2008 	 Service Plus 	 Las Vegas several time since 2001 stay many different hotel . second time stay Harrah 's . room always clean . view not good . casino large enough not spend much time look machine table play . good part stay Harrah 's outstanding service . room clean staff casino floor , treat like staff appretaite choose hotel stay . go back September , choice many hotel , compe . chioce simple . choose Harrah 's . 
 Jul 15 2008 	 great location price 	 stay two night start tour holiday . know would initially jet - lag seeing sight , want somewhere well - locate , central Strip reasonable price . hotel tick box . although little unimpressed slightly age decor Harrah 's casino , spend time getting lose other , not matter . room large , clean quiet , unlike experience another Las Vegas hotel , not 20 minute walk car park hotel room . if be bother stay big name hotel , hotel really good location centre Strip , good price . 
 Jul 12 2008 	 not stay 	 stay price , money location get well deal Imperial Palace even Casino Royale . book pool package get cheap rate see pool , want die . pool apartment complex fun . arrive Friday night pretty late starve , decide grab dinner cafe locate near Mardi Gras tower . first two thing order menu server tell horrible pick something else . husband disappoint choice end . next day wake head downstairs Starbucks , elevator side hotel work . 5 minute walk 20 minute wait set elevator almost make want take 15 flight stair . finally return room get ready pool , package include two free frozen drink pool bag . however , never get frozen drink power could blend anything . Saturday night around 10 pm return room greet terribly RUDE security officer demand see room key husband , one key us sufficient proof stay room . check Sunday morning around noon , return home 9 pm realize husband leave $ 100 polo shirt room . call lose find immediately tell would take look get back we . call back follow Tuesday , Thursday Saturday response . husband frequent visitor Vegas , go 6 7 time year try new place time , ' ve stay almost every strip never disappointed stay Harrah 's . 
