agreeable 	 locate nicely midtown easy access subway . lots selection eat shopping nearby . construction lobby minimally inconvenient . room clean well proportion , staff friendly helpful , even NYC . 
 Staff wonderful remodel underway 	 large group famile jump roper Macy 's Thanksgiving Day Parade . Staff get we room long bus trip always help detail . hotel undergo remodeling ( need many NYC hotel ) , clean comfortable . internet free lobby warm cookie available time bonus . busy time person receive individual attention service . Hilton standard , realize construction go , maintain . staff helpful take care need . New York hotel room small fact life . clean important group complaint . 
 Location good -- -but 's ... 	 always try stay Hilton chain .. hotel old run . construction take place Nov 30 , probably good thing . room really small sure hot . NYC , hotel turn AC winter . 1 choice , heat open window . noisy horn blow etc .. staff excellent one thing bad breakfast .... chef consider career option . restaurant business , could not believe put .... cold bland ...... wise , location great .... 
 Jan 21 2007 	 High recommend 	 stay 5 night November 2006 could not fault hotel . staff friendly helpful room spacious , nicely decorate , quiet clean . we not eat order room service delicious beautifully serve . also good hotel bar . the location perfect we . would recommend hotel anyone look somewhere central stay Manhattan absolutely delighted . 
 Jan 19 2007 	 Great Location 	 spend 5 night New York . hotel great location , 3 block fifth ave 3 broadway . New York city easy travel . hotel per previous review good not need spend much time ie bath sleep . room big bathroom small . bed comfy . downside make sure disturb sign put outside privacy lock , otherwise cleaner constantly try get quite disconcerting . sound proof need well overall place pay city . 
 Jan 11 2007 	 doubletree great 	 stay dec 06 , think hotel great great location . desk staff friendly helpfull . room clean every day agood size wich rare new york , travel ireland quite time good hotel yet great value.ideal location hotel trip new york.the downside price drink bar , good stay 
 Jan 5 2007 	 definitely Recommend ! ! 	 wife stay 4 day new year 's great experience ring 2007 . arrive early ( 12:30p ) check , complete warm cookie , 5 minute even though lobby mob people check Friday afternoon holiday weekend . room small , efficient new furniture , flat screen tv , nice comforter , else clean . odd thing , note review , vent fan bathroom paint peel ceiling . not care really honest . nice bar lobby , decent sized gift shop , busy see site use either . soda machine floor , buy locally drug store right neighborhood save $ 1 per bottle . also point hotel 's perfect location Lexington Av . many site Manhattan . 10 minute walk Rockefeller Plaza 15 minute walk Times Square 15 minute Central Park . wife not really know stay close Times Square new year 's -- great place see much NYC . food want basic quick - metro cafe right next door hotel give $ 5 - 7 breakfast start day + sandwich soda . street Red Stone Pizzeria good NY style pizza , salad , etc . ton nice place neighborhood safe - lot commercial retail around . will definitely go back . 
 Jan 3 2007 	 Fantastic 	 stay November 2006 , third visit New York . win hand place ' ve stay , pretty good . Maid service daily , clean towel etc.10 minute walk Central Park Times Square . Chrysler building around 10 block Lexington . one thing would say , give restaurant hotel miss , good mean ! 
 Jan 1 2007 	 possibly average watch detail 	 stay 9 night Christmas 2006 . 2 adult 2 teenager one room ( room 250 ) . try charge we $ 50 children breakfast max room package 2 . manager sort lot problem every day : miss voucher etc . breakfast mediocre actually unnecessary hotel surround lot sandwich bar cheap excellent quality . toilet block ( room 250 ) 2 nd day , bath outflow ( room 736 ) slow . noisy lover next door room 3 rd day necessitate we move another room 3 . new room big sink bedroom bathroom small ( room 736 ) . internet free lobby - well cable room break - fix cable across room ! ! bathroom ceiling 250 peel ( photo ) also mould bath edge . also bar cost $ 22.40 two gin tonic ! ! ! ! ! ! finally concierge really interested sell trip restaurant fee . example : q : eat Christmas Day ? : & quot ; hit miss , mostly closed , get reservation $ 150 & quot ; ! theatre ticket offer 100 % markup . actually , virtually everything open . eat Planet Hollywood ( excellent cheap ) go Radio City Show ( 10 min line , excellent seat ) Christmas Day . hot Tip : must get New York City Pass - save hundred dollar four we . the good news : management address problem quickly even return passport leave lobby leave ! ! location hotel excellent across road Waldorf President Bush stay . 
 Dec 28 2006 	 good value hotel convenient location 	 stay Doubletree couple day Christmas ; father , mother , 2 small child . suspicious hotel extreme & quot ; good bad & quot ; reviews TripAdvisor , friend recommend , 's great location , find price $ 200 / night - book stay . turn good experience . ' ve stay many time Manhattan , ' ve pay much much less . find hotel solid 3 - star 3 - 1/2 star . room stylish , clean , great shape - small large enough 4 we , staff courteous professional . location wonderful mixture Manhattan activity . be within walk distance Rockefeller Center , Broadway , Central Park . go downtown ( uptown museum ) subway outside door . not use hotel restaurant , lobby bar seem popular spot - great modern decor full night - could mistaken W Hotel bar street . two disappointing experience frequent long line concierge storage fee luggage room check - out ( $ 1 / bag check - into storage another $ 1 / bag check - out ... absurd - ' ve never experience anywhere else ) . overall , definitely consider stay Doubletree Metropolitan Hotel . 
 Dec 13 2006 	 good accommodation great location 	 son & amp ; stay 3 night hotel celebrate 21st birthday . room two double bed 11th floor . good size room , clean , bed really comfortable . great location Manhattan . not really use hotel apart sleep shower , hotel staff pleasant & amp ; courteous . discolouration bathroon ceiling , apart room fine . location fantastic , main attraction within 10/15 minute walk . great base sightseeing shopping . not understand anyone would give negative review , unless expect total luxury . it like look website . I would definitely stay would recommend friend family . 
 Dec 12 2006 	 fantastic hotel great location 	 visit New York book Doubletree seem decent standard price . pleased . room ( Standard King ) large bed mega comfy ! ! yes , bit peel paint bathroom ceiling , hotel clean , tidy everyone bell boy desk staff friendly helpful . location fantastic 5th avenue 3 block away one direction , bloomingdale 5 block away . would highly recommend hotel people budget need decent midtown location . 
 Dec 11 2006 	 Great NY hotel price 	 travel New York business several time year always stay Doubletree . ny , hotel room small well worn , doubletree space recently remodel . comfortable bed ! location great , make convenient get meeting anywhere city . restaurant good meeting ( let stay long need ) , although bit overprice quality . Metro Cafe next door perfect quick meal . find concierge front desk staff adequate , travel business not need hand hold . 
 Dec 8 2006 	 Great Location 	 well starter show wrong time check right 4 pm think everyone check time . even line self check computer . big deal big hurry . nice lobby always good thing walk somewhere NY . get room know whether check match box hotel room . come find get stick small room ( could stairs right beside room ) . ok . internet room $ 11 / per day . bed soft pillow ok . crappy view condo right next hotel . recommend buy drink hotel bar / lounge unless ready pay ( beer $ 8 / mix drink $ 12 ) maybe get wrong bartender . course Manhattan . hotel nice ! 
 Nov 26 2006 	 one moldy rude hotel 	 book hotel Hilton web site . look past review chance read go surely would cancel reservation . front desk personal awful , charge total stay two time card andwas tell would take bank . would tak care . wait holiday bank cancel one transaction . moron front desk ask cookie state already get one check . true every Double Tree stay , many give cookie upon request . pay $ 300.00 night not think ask extra cookie request honor . bathroom mold ceiling . wall paper thin . could neighbor show watch . problem toilet report housekeeping never fix . take upon fix . pay 50.00 per person dinner restr . ha gourmet food . take we two hour dinner . Stayed thirsty whole time server never come around find food need refill . go hunt someone even get bill pay . bill incorrect . do stay . many hotel choose . 
