vile 	 book three night hotel , trip celebrate good friend 's birthday . want stay somewhere downtown , park car enjoy Fremont Street attraction foot . choose Plaza location price : big mistake . the warning sign early , start disgusting garage . check , order non - smoking room , tell smoking room available . elevator groaned squeal go , shudder shake stop floor . open door greet unspeakably awful smell , like mixture cigarette butts , vomit Lysol . flick light switch , room remain dark . enter , foot hit something metal send flying across room . ( turn large steel kickplate vacuum cleaner . ) grope around room find bathroom , turn light . fluorescent fixture flicker buzz life , find wish still dark . ' ve travel world , include third world region Asia central America , ' ve never hotel room disgusting . wallpaper deep yellow cigarette smoke , peel every seam . bathroom tile moldy crack . carpet dirty could barely see pattern wide variety dark mysterious stain . everything room ( lamp , phone tv remote , table ) sticky gooey residue , desperately hope not kind bodily fluid . open window try air foul stench , hinge open inch . I immediately call another hotel ( Golden Nugget ) make new accomodation . sadly , nothing available night bed one night Plaza . use toilet paper ( box tissue provide ) grab toss DNA encrust bedspread corner , pull back cover . sheet ( miraculously ) seem clean , settle night try ignore awful smell . bed rock - hard , strange crunchy feel sound , though mattress contain layer pebble . ( probably dry , crunchy foam rubber . ) try think pillow , variety mite pathogen surely contain . in morning , headache sore throat , inhale smell night . want IMMEDIATELY , hop shower . wonderful , hot water ! ! ! faucet sink work ok , clearly shower valve defective . ice water shower , way would walk around vile carpet , wrap hand towel around foot shuffle around shave dressed . seriously people , joint disgusting beyond belief , wretched petri dish filth . room fill head depressing thought , last thing want wake ... everything scream & quot ; flophouse . & quot ; deserve well . 
 Bad Stay 	 look cheap hotel get pay , hotel . Beds super uncomfortable , room look like use lot ... kinda gross looking . Buffett nice cheap guy like $ 2 beer . bus ride strip , close would like . 
 good cheap hotel 	 great hotel big room , great low price 
 Oct 23 2004 	 loose slot fun table 	 first time Plaza . stay receive free room comp mail . usually stay Rio ( little bright upbeat ) . host talk Pam Schauer . awesome get we set room . check breeze . receive 2 compe room three day bring friend we . room tired hear work redoing . go casino , replace carpeting section , first day replace area around keno lounge # 1 Club get player card . area receive player card lose whole day gambling put . husband table WHOLE day get credit . final day redo carpet around table area , one could play midnight . end go different hotel gamble night . eat resturant hotel due plan , friend bite eat one resturant say good . all hotel ok . really tired need get table . disappointed lose whole day non use player card . think need brighten place little maybe expand . we would stay like downtown little looser . 
 Oct 22 2004 	 so - so 	 Plaza Hotel see well day . definitely need refurbish . stay April 2004 July 2004 ( 4th July weekend ) .The place run - down anything . folk get call & quot ; Vintage Vegas & quot ; hotel . room generally clean , everything - carpet , wallpaper , etc . - worn . bedding clean , know place old make wonder keep thing up . the Plaza come new ownership year would think / hope have idea improvement . casino small old , lot new electronic slot traditional one mix in . lot reservation place list 3 4 star pool , 2 tennis court , number restaurant , etc , be really really big old best western opinion . think 4 - star think Sunset Station , MGM , etc . - put pool tennis court yard make home 4 - star hotel . we stay room rate low , $ 20 night hotelkingdom April , first stay offer 7 night ( include holiday ) 6 month free . 's place drop bag . not usually eat - chinese buffet ( not look good Panda Express ) , diner - style coffee - shop , scary snack bar , Seattle 's good coffee , McDonalds - less money find well food block away . room rate range $ 20 $ 80 + ( holiday weekend ) Golden Nugget street regular $ 49 deal even find room price strip . if stay be cheap , find go eleswhere food , entertainment , gambling , etc . stay somewhere else begin . never use free night - tell something . 
 Oct 21 2004 	 plaza worth amount money 	 first trip Las Vegas stay one day downtown 04 day strip . hotel choose plaza . hotel bad . early checkin . able check give room , room dirty . carpet stain look someone drop soda etc carpet no - one attempt clean carpet.window dirty , bathroom old need repair light fixture bug crawl around last straw promptly ask another room . second room somewhat well . scared sleep bed slept clothe . bed hard worth effort . hotel smokey strange unpleasant smell cheerful . food terrible , order well do hamburger cafe sit inside casino walkway burger come back rare . 65.00 night hotel joke worser motel 6.i would refer anyone hotel , visitor please beware hotel . must stay downtown , choose golden nugget plaza . 
 Oct 20 2004 	 's alright 	 stay Plaza June year . room 5 day veiw railroad track back bed sag . everthe else ok . although like stay downtown , ' m sure would stay Plaza . 
 Oct 18 2004 	 get pay . 	 POSITIVE : 1 ) hotel locate near one great buffet Las Vegas , & quot ; Main Street Station & quot ; Buffet . 2 ) lobby clerk & quot ; Bev & quot ; helpful 3 ) reasonably price hotel 4 ) nice view form 23 floor 5 ) clean roomsnegative : 1 ) rude front desk clerk hate job 2 ) downtown lot shady character 3 ) lose reservation information 4 ) carpet stain 5 ) old room & amp ; hotel 
 Sep 28 2004 	 Plaza Hotel great ! ! ! 	 love hotel ! ! room wonderful face fremont street clean spacious ! ! ! staff friendly . center stage resturant excellent ! ! ! ! reasonable ! would stay . Understand stay strip many time downtown good Plaza wonderful ! back Plaza sure ! ! ! 
 Aug 26 2004 	 Alot FUN ! 	 ok .. read review hotel stay usually agree . , review hotel ridiculous . stay Plaza 7 night first may never experience odor room . casino , odor smoke , expect small casino . & lt ; shrug & gt ; usually stay Stratosphere , want try downtown alot cheap . experience ... first , go , read somewhere person not satisifie hotel room Vegas , fault complaining . check Plaza upgrade Standard Deluxe room charge . deluxe room hot water get , within 30 minute , repairman came fix . look window , view ( 7 night , really want one ) , go front desk , kill kindness , request well view . tell sell come next morning would change room . go 9:00 give new room number would available around noon . come find , upgrade Petite Suite balcony overlook Freemont Street . ask ! ! go show try help people dissatisfied . rest trip phenominal . Hubby make friend dealer poker table make friend Pit Boss , Dealers , even Casino host visit give card Blackjack . , keep mind never bet $ 5 hand blackjack hubby play cheap Texas Holdum poker . , none high roller , not . go Vegas vacation one time year first stay Plaza . another hint ... sit table awhile make notice , eat free Plaza . can not say pay meal due comp coupon Plaza Pleasure Pak . I love hotel . unless attitude change , choose spend time Vegas . remember , killem kindness ! 
 Aug 16 2004 	 another wonderful stay 	 another wonderful stay Plaza . stay , 8/8 8/14 . Stayed North Tower Rooms 1111 & amp ; 1116 . room 1111 , handicap access , quite large bathroom . room clean , well do , bed comfortable . room 1116 , nice clean . excellent view FSE . yes , Plaza show age , staff great well casino room . stay . 
 Aug 11 2004 	 Disappointed 	 disappointed housekeeping Plaza . Room clean , bed make , first night 's stay . third day stay someone housekeeping hung & quot ; Disturb & quot ; sign door leave day trip Laughlin . return late evening sign door ( definitely come room ) nothing do . call housekeeping clean room late evening . apology acknowledgement . second thought stay . 
 Jul 21 2004 	 Bargain basement hotel 	 stay three day wish not . Plaza set right end Freemont Street experience ; excellent pop hotel entrance watch awesome light show ; awesome 3.30am music pump street performer hour time ... Plaza 's air circulation system not work properly ( not one ) casino area ( also right next check - in desk ) smokey cigarette smoke . the room not particularly impressive . small , well keep amazingly clean either - not dirty per se , , well , old tired . the bonus Plaza 's cheap Vegas hotel , be get pay . personally , would recommend spend extra money go one new modern hotel strip ... 
 Jul 17 2004 	 stay Plaza bad trip ever Vegas . 	 Plaza Hotel bad experience ever Vegas ' ve vacation 20 year . casino dingy dirty , staff never smile pleasant , room large clean not update since 50 's . food pricey , cold tasteless ( coffee shop ) . check , charge $ 79 per night rate guarantee Orbitz $ 79/ $ 29 . desk clerk , man , rude possible , tell we & quot ; not Orbitz , pay & quot ; flung bill desk . go back room , dig garbage recover tear confirmation . second desk clerk , lady , pleasant straighten every thing we . take nearly hour half check . cudo bellhop take we room friendly pleasant , housekeeping staff cleanliness room old tired , second desk clerk pleasant willing help we . would not stay room free , advice , never , never pay $ 79 / night place . $ 29 appropriate get penny ! ! ! 
 Jul 5 2004 	 Love Plaza Hotel Vegas 	 Love Plaza . people real nice . room big enough get around wheelchair . price right . come back 3 4 time . come Super Bingo . love Bingo . people Bingo nice people . everything Plaza . Pat Pursley St Petersburg Florida . 
 Jun 23 2004 	 can not beat value 	 use room nothing place sleep clean value terrific . clean , spacious , view north tower front great . good racebook plenty room spread race form old time result board right & quot ; Sting . & quot ; Hope never go electronic . never see word one Omaha Lounge 's Dusty Barron guy multi - talented gem . mcdonalds right lobby Subway big plus . come Vegas last 20 year never stay anywhere else . however place show age . kind & quot ; brightening & quot ; renovation would help . money can not beat . 
 Jun 16 2004 	 Wonderful 	 stay Fremont Street , , first time stay Plaza . find nice experience . people work helpful , case wonderful sense humor . find help go way help anyway could . would like put good word Dee , ( Security ) help we greatly problem ride airport . be nice find people like . plan return .... 
 Jun 16 2004 	 Great Value ` ` Old Vegas '' experience 	 go Vegas husband two friend ( late 20' / early 30 's ) end may spend first night Plaza . , move Strip Flamingo -- wish stay Plaza . it be true hotel strip much nice one Fremont Street , chance win MUCH well downtown . , 's lot fun -- really & quot ; Old Vegas & quot ; feel . not expect luxury hotel room , instead enjoy light show , cheap game GREAT complimentary drink service . never leave empty glass Plaza . would go again - how much time spend room anyway ? short cab ride Strip get nightclub . we will back one night stay Plaza . 
 Jun 9 2004 	 smelly room 	 room smell , hot water , cable room purpose ? 
 may 26 2004 	 Pleasant stay Plaza 	 pleasant stay Plaza enjoy proximity Fremont Street . good thing expect : reasonable rate , clean room small refrigerator , friendly staff , 24 - hour gift shop , first - class restaurant , fitness center , wedding chapel , great coffee shop lobby , delicious food diner . however , coffeemaker room ; cable tv , either , network channel poor reception . luckily , Vegas offer plenty entertainment ; cab always available one expect pay $ 10 - 15 Strip least $ 20 airport way . 
