nice 	 pro : - outstanding location Embarcedero Drive across Ferry Building- Large & amp ; Beautiful Atrium- Large RoomsCons : - room date , wear out- Bathrooms clean- Service adequateWe stay Hyatt Regency city would like say nice hotel , quite worth price stay . initial impression hotel good , incredibly 10 + story atrium hang light global ball greet we . hotel location superior close walk chinatown , Financial District , Fisherman 's Wharf . however check room , must admit room sub - standard Hyatt Regency hotel . big problem old , worn look feel room . carpet stain rough -most likely not replace . bathroom fixture old eyesore . old fixture noticeable hair bathroom not leave positive impression . not help dim lighting bathroom entry way not give room & quot ; bright & quot ; look . bed sheet rough typical & quot ; fluffy & quot ; high - thread count linen . room really big downer . not try many on - site service except fitness room bare couple treadmill recline bike light weight . new Stay Fit fitness center not open time fitness facility could well next time . for dollar 's worth , would not recommend Hyatt Regency . reason , would want stay location be pretty much . 
 Jul 6 2005 	 Disappointed Hyatt ... 	 boyfriend stay Hyatt Regency . want stay Hyatt revolve restaurant , Equinox . want stay suite one small hotel ( boutique ) even Omni . room small bay view limit . also , although reservation , arrive choice second floor 8th floor , smoking floor . hotel 's lobby huge beautiful , truly splurge room . reception state hotel cater convention exactly feel like . BIGGEST DISAPPOINTMENT , however hefty valet parking ( self parking ) . parking per night $ 41.00 plus tax , end almost $ 50.00 . three night stay cost we $ 147.00 total parking alone . next stay Hyatt Regency hotel available . 
 Jul 1 2005 	 nice hotel great location 	 Hyatt Regency San Francisco nice hotel . 's pricey -- much quality room , location . right begin one cable car line , stop bus take Fisherman 's Wharf right outside , stunning bay view . Starbucks Walgreen 's , right across street well infinate number restaurant within walking distance . right next door Embarcadero Center ... retail shopping mall span 4 block . stay husband attend conference Hyatt . room nice . offer ammenitie like shampoo , soap , conditioner , lotion & quot ; extras & quot ; . yet stay hotel clean shower / tub . different . hair tub get . like daily newspaper concierge helpful public transportation restaurant suggestion . be visit soon , go see Les Miserables . phenomenal show play Curran Theatre . pay $ 210 / night .... never would ' ve pay much Hyatt , reimburse husband 's company . 
 Jul 1 2005 	 Marginal Best 	 return 3 night Hyatt Regency Embarcadero feel property dire need facelift . room warm comfortable , however , lobby atrium extremely drab dreary . location central Fisherman 's Wharf , Pier 39 Union Square , easily within walk distance prefer , public transportation easily accessible . stay upscale hotel past fall well bar . 
 Jun 26 2005 	 well think 	 hotel great location able walk around Embarcadero Fisherman 's Wharf . walk hotel SF Giants game SBC Park . hotel roomy although rather small toilet / shower area . could open window get fresh breeze bay street loud . window close , room quiet . front desk personnel could not efficient . find none problem previous reviewer write hotel . quite pleased $ 75 spend PriceLine . 
 Jun 21 2005 	 big problem Hyatt 	 recently stay Hyatt SF may 1 night , Hotel quite nice room nice great view SF bay , find today get double book . reserve room priceline great price , 85 $ tax include , ust notice bank statement Hyatt charge credit card 108 $ , include parking , absolutely outrageous , ' m process get charge remove , like hotel ' m give everone warning practice Hyatt chain , seem crook get money . 
 Jun 19 2005 	 great value 	 family four return trip SF . Hyatt Regency terrific location ( across Ferry building ) adjacent kind transportation could imagine ! chinatown minute via cable car ( never crowded location ! ) . tourist wait couple hour ride location , get minute line . hoof around city week two little one , tell location priority city . even take BART straight hotel airport . ride less $ 5 per person safe fast . hotel huge , staff attentive hard - work . lobby cavernous style remind bit Disney 's Contemporary Orlando . bar super view harbor quiet relaxing . not dine Equinox child young , go upstairs admired view revolving restaurant . menu look delicious ! room standard quiet . stay near Fisherman 's wharf would much noisy . get room $ 90 night Priceline , hear traveler price steal room SF summer . would recommend Hyatt . 
 Jun 8 2005 	 need little work 	 get hotel Priceline . room comfortable location adequate definitely ( minor ) issue stay . first , good . hotel strike first arrive . decor room good . really like bed . eat bar first night arrive although think bit pricey first pleased portion provide . the bad . hyatt try come upscale hotel , really try pinch every penny . mini bar computerize , try move thing around ( i.e . put something ) automatically charge . not know move thing around night . next morning see tiny notice mini fridge call front desk . thankfully , remove charge . want use fridge $ 10 charge . also vend machine want take overpriced product minifridge . bit annoying . next issue coffee maker break . take hour someone come replace . hotel locate edge embarcadero right across Ferry Building . bit walk sight , not mind walk big deal . bus stop right corner . go back SF would probably look different part town stay Financial District dead dark . still , good deal Priceline . 
 Jun 7 2005 	 great location everything else so - so 	 stay Hyatt Regency SF Embarcadero 5/27 5/31 . impressed price pay . 3 room 7 party ; however one sleep chair lounge not queen room . call month ago request 2 bed least 1 room , little disappointing . location hotel could well . walk door F line , Cable Car Bart / Muni station . complaint … internet access $ 9.95 per day . problem . laptop satellite internet connection ever connect . well , hotel block internet connection . although pay able connection available anywhere , feel privilege block service provider . block cell phone connection use telephone ? . internet ? also , attempt charge we $ 80 Continental Breakfast come room package like pull tooth cancel charge . bar well understaffe one group guest would sit drink would served within 15 minute arrive . finally , go street . also , need make effort let homeless pester guest . understand hit sidewalk right , time ' walk door , cover valet driveway , hit money , yelled profanity . hotel seem little old , think concrete dusty fake greenery lobby along floor . far room , linen ' great . ' duvet 3 star hotel , . thin scratchy comforter awful . concierge extremely hard get hold . time ' visit way hotel never answer phone . while ' touch negative , Hyatt bad . hope Hyatt . price , really ' complaint . good feature : LocationWorst feature : attentiveness service 
 Jun 7 2005 	 Awesome location ! 	 awesome location great view bay ! locate next BART , Cable Cars , Steet Cars ( F - line take right FW ) , bus . across street Ferry Building - great little shop farmer 's market Saturday . some give hotel negative review find clean , quiet comfortable . hotel service ( front desk , concierge , housekeeping ) friendly helpful . would definitely stay . location outstanding tour SF . 
 may 24 2005 	 Adequate Service 	 check smooth . conference space great . concierge help book Alacatraz . try get hold Equinox restaurant Sunday evening reservation difficult . one answer phone go recording . call Concierge answer 6 ring . call front desk answer first ring glad transfer Maitre ' D answer second ring call name room number . frustrating . the room seem old need update . 
 May 19 2005 	 great ! 	 14 hour flight UK , great arrive hotel like . staff friendly , room fab even view bay . room service also good ! highly recommend hotel . 
 may 17 2005 	 Nice experience 	 Hyatt Regency locate great spot right across San Francisco Ferry Terminal . come town infamous Bay Breakers event , choose stay Hyatt literally step away start line . spacious well - appoint room balcony look bay well courtyard modern art piece . hotel also conveniently locate right BART station ( run directly SFO airport ) cable car station . we never stay Embarcadero , find quite pleasant . be happen North Beach Union Street part town , several good restaurant area easy pleasant walk around Embarcadero area . we reasonable corporate rate , otherwise might bit look spend trip . service , location room quality definitely exceed expectation . 
 May 14 2005 	 Hyatt standard 	 greatly disappoint Hyatt Regency Embarcadero . location good , front desk staff friendly , hotel facility desperately need update cleaning ! re dust around entire room perimeter . send special clean vacuum we regular housekeeping staff not clean edge ! blanket bind tear towel old , stiff worn . 
 Apr 29 2005 	 worth value ! wonderful stay ! 	 stay 4 night husband last week Apr 20 -Apr.24 . pretty good deal consider pay ! bid priceline , $ 75 per night plus tax fee . front desk people really nice . got 4 50 % coupon Hyatt restaurant San Francisco check . got partial Bay view room ( call bid hotel ) without surcharge . room big design clever clean . talk location , 's great Union square hotel , be really convenient take public transportation anywhere want . take BART airport hotel , take we 40 minute get around 8:20pm local time ( $ 4.95 per person ) . one big luggage 2 small carry 's . hotel right exit Bart . problem public transportation weekend though . muni will not stop front hotel weekend . end take street car ( F line ) union square catch bus go Japan Town cherry blossom festival . take F street car directly go Fishermen Whart ! ferry building well . fresh oyster delicious home make food . price good kind high although not plan ship farm good home . we love Alcatraz island trip beach blanket babylon 's show ! 3 day kind short 's enough husband since hate seafood sour flour bread kind hard chew . : ) ) good italian food , chinese food . go famous seafood place 'cause back home never find anything like . hope next time still stay get deal like priceline ! : ) ) 
