disappoint 	 try check around noon two room close one another . seem problem find two room close hotel 1800 room . tell come back 3 pm would give we key / card . fine , hurry . come back final check clerk rude not friendly . give access / card room across hall , anticipate newly upgrade room boasting , promise , room one stay year ago . new thing flat screen tv lousy picture . bathroom small one person toilet , actually room another person room . door would knock toilet close . friend take shower find huge hole towel go dry ...... WTF ? bathroom sewer fume rise sink ... eww . maybe invest drain cleaner ? mattress shake much lay , think husband put quarter .... bad . casino nice , lie good . got comp Sunday Buffet thankful not pay , hand bad buffet ever see ... note see , take sample , not eat much . orange juice / champagne ( mimosa ) awful bitter juice , spit . keep place open ? year ago , always line buffet Nugget , time desolate . also eat house restaurant , italian one , can not remember name ... tell impressed . good micro - beer . would stay ? not think .... location good , want jump casino casino ... that s . 
 great pool nice hotel downtown vegas 	 Downtown vegas much relax strip golden nugget good place stay . free parking round back building , short walk across hotel . room fairly standard , comfortable . swimming pool highlight , go shark tank clear slide . like vegas pool bite much chlorine pool , still fun . McDonalds street 99cent pancakes buffet across road freemont good value . Most people talk like golden nugget . not gamble , enjoy one night stay . 
 great staff 	 spouse great time Golden Nugget . casino crew outstanding friendliness professionalism . key not work open room , security quick respond allow access room . one drawback , would marriage Golden Nugget RCI time share vacation . not appreciate target & quot ; sign presentation & quot ; every time pass booth way room . familiar RCI time share vacation rental , knkow seem follow promise . , go back Golden Nugget future recommend other . 
 Sep 7 2008 	 Golden Nugget Fantastic ! 	 arrive late Golden Nugget ( 2 am ) also take cab ( big mistake ) take shuttle stay Golden nugget $ 40 trip take cab tell take Swenson exit strip cheap . check take 2 minute room 3 minute , 2 am quiet easy ! room clean , maid service always great job temp room cool ( nice get heat August ) alright view could see corner Fremont street construction , never hear noise construction complaint thereDo not think get room service unless ready spend buck ! well eat great buffet $ 9.99 per person ( breakfast ) plus get 2 - 4 - 1 coupon book certain place go NWAlunch $ 10.99 dinner $ 17.99 price much worth it . the staff great , stay 9 night , many staff remember we greet we go hall way , dealer friendly willing help teach play game also make point remembering be name well ! pool fantastic clean cabana rent $ 175 day , cheap , many place charge $ 500 day ! Fremont St amazing much see lot security not much worry matter time , golden nugget definitely one good hotel casino Fremont ST stay golden nugget place ! good way get strip let say want go MGM GN hop onto bus Sahara hotel casino get onto mono rail cruise end 10 minute could stay bus take long timeall day pass bus $ 5 day pass monorail $ 12 much worth travel downtown strip time see decent time frame ! golden nugget hotel go back stay again . my Wife look hotel casino pleased choice GN , fantastic ! complaint people try sell time share Grand View hotel downtown strip , tell thank keep walk , leave alone ignore ! good bet someone offer free stuff name badge say golden nugget ignore truly free ! golden nugget golden hotel ! 10 be around ! 
 Aug 30 2008 	 golden nugget golden 	 return Golden Nugget felt compel write . always stay strip want try something different . could not surprised pleased . Stayed South Tower cheap room little nervous low price ( $ 59 . summer deal ) . room beautiful distance room casino pool problem . ( ' ve ever stay Bally 's try get pool relate ! ) restaurant great . little casino access casino easy . fact , first time Vegas get burn ( literally figuratively ) since everything easy walk Fremont overhead screen also keep area shaded . access strip easy cheap use Duece ( public bus ) , however end go show Mirage . staff friendly eager please . clientelle comfortable mix Americans . Europians other , young elderly , seedy type . also , nice change flesh peddler hand paper constantly . unfortunately , still put pushy salesperson least be sell condo . really wish would get rid obnoxious people , walk fast talk fast ( & quot ; ! & quot ; ) . would recommend place everyone . 
 Aug 29 2008 	 great experience always Golden Nugget 	 stay several time . go year . first time stay North Tower . sister right , much close everything . never seem like far walk south tower , . North also remodel luxury bed large flat screen tv . not expect coffee pot room internet $ 12.99 day . not mind 2 block walk ( north tower ) , take laptop Main Street Station access wonderful free wireless internet . player club area problem use . food great buffet , ask coupon book check ( depend rate ) find 2 1 coupon . small problem get change sheet . every 2 day ( water shortage ya know ) , fine third night still not change , day 4 ask come change . , much surprise midnight get bed find toe matress cover shorted bottom sheet 2 foot . call , say someone would right , 30 minute later , nothing happen get dress go desk . tell way , nicely ask compensation trouble give $ 46 food & amp ; bev comp Carson Street rest . still think day maid purpose , great front office MOD make right . fantastic pool , new club Gold Diggers overlook Femont Street . 's great stay downtown . hop double decker bus ( Duce ) go strip . 
 Aug 28 2008 	 6 A.M. Construction ` ` golden '' Golden Nugget 	 originally book 2 room , one non - somking king , one smoking king . arrive 5 p.m. tell leave double smoking . husband smoke last hotel trip one able get smoking room . tell base first come first serve . tell could opt non - smoking room king bed . choose one . what not tell we 6 : oo A.M. would 2 man scaffold work .. scrape , hammering , etc . outside window ! also sound construction within hotel . call , tell room ! ! ! noise come from . I take photo scaffold 2 man record phone go front desk . husband go downstairs , pass least 6 - 7 worker toilet . remodel room ! manager comp room offer free breakfast we although ask else want ! ! ! ! ! ! . tell along another lady rude awakening , want good night sleep courtesy lie noise construction . room nice , see people window 6:00 A.M. 18th floor . little frightening ! 
 Aug 27 2008 	 one favorite Las Vegas Hotels ! 	 stay Golden Nugget great package price get airline . little hesitant stay Fremont St , 's old area . soon check pleased . room nice clean pool beautiful . end upgrade suite last 2 night , definately worth . bed amazing , beautiful marble bathroom jet tub . anyone doubt stay Fremont , be GREAT ! ! ! always action right outside hotel , Fremont st experience ( light show ) great . everything close walking distance 's super convenient . get strip easy , bus ( deuce ) run strip day . recommend Golden Nugget couple friend , will not stay anywhere else ! bottom line , hotel great value ! 
 Aug 27 2008 	 beautiful room 	 arrive LV 630 pm flight Detroit . catch CAT bus # 108 Mccarran Airport . easy catch , short walk terminal , fare $ 2.00 buy 24 hour bus pass $ 5.00 . # 108 take directly downtown bypass strip . absolutely good place stay downtown Golden Nugget redone absolutely beautiful . stay north tower worth extra dollar walk remodel . room large 50 & quot ; plasma tv bed feather mattress pillow comforter . ask room end hall want quiet . stay Paris Hotel room nicer room Paris . pool circular large clear cylinder 360 view shark tank middle pool swim . quite large large assortment shark fish . sure catch free blackjack crap lesson @ 10 casino . pay $ 150 2 night include 25 $ food credit . eat Grotto italian restaurant overprice food fantastic price would lead believe , - avoid . good budget stratagy eat McDonalds accross street Fitzgerald 's casino thi Coffee shop stair fantastic . 
 Aug 25 2008 	 Golden Nugget true class ! 	 5th time stay would not stay anywhere else Vegas . suit great service top notch . love pool pretty good casino . true gem Las Vegas ! 
 Aug 24 2008 	 Loved Nugget 	 first time stay Downtown Vegas , wished do . Golden Nugget hotel everything ! pool area alone worth , shark tank slide even fun & quot ; grow up & quot ; lol food buffett Carson St cafe great . we unwind enjoy everyone hotel helpful nice . we stay 
 Aug 24 2008 	 really nice ! 	 stay day spring break love ! pool amazing ! right dead center Fremont Street exciting ! fancy . great room ! great deal ! blast definately recommend come ! favorite part definately shark tank pool ! ! waterslide ! 
 Aug 21 2008 	 GREAT hotel ! ! ! 	 terrific hotel ! ! ! ! girl weekend Nugget 24 woman . hotel staff wonderful ! pool thing could keep we casino ! callie pool manager Sebastian attentive not want leave . the room clean luxuriously appoint ( stay North Tower ) .The think could improve would make Blackjack table little lucky ! 
 Aug 20 2008 	 contiuous Upgrades 	 return guest give first class treatment . Limo pick airport comp . 
 Aug 19 2008 	 Golden Nugget good value Vegas 	 stay Golden Nugget five time never bad experience . time stay North Tower . room one well ever stay Vegas . room 48 inch plasma tv bed feel like cloud . staff enough . pool incredible , see believe . construction go , parking issue effect . would recommend hotel anyone , anytime . 
 Aug 19 2008 	 Loved Golden Nugget 	 stay 5 night . first time Vegas . this hotel great ! 's lot cheap stay Strip , opinion , area ( Fremont St / Downtown ) far well . much cheaper small ( much easy get around ) Strip . original Las vegas ! want go Strip , take bus ( Deuce ) couple $ .the hotel small Strip counterpart really lovely . pool unbelievable - huge shark aquarium , water slide , water fall , hot tub ! lot good place eat - cafe serve breakfast , lunch , snack dinner ; buffet fantastic ; italian . 2 starbuck site . Nightclub bar also . our room : ask smoking room learn lesson . come smoking - unfriendly New york assume Las vegas would .... wrong ! smoke indoor Las Vegas . room stank stale smoke clothe ( even wardrobe suitcase ) smell bad . thought would get well ( A / c actual ventilation ) not . ask change room not . oh well , know next time ! ! ! staff friendly approachable . casino good , not much gambling ; far well watch someone else put $ 5000 red roulette ; ) , great hotel money , luxurious . P.S see friend room MGM Signature - Penthouse suite amazing honeymoon $ $ $ $ $ ! say actually preferred hotel amenity location . plus arrive tell pay extra $ 15 night & quot ; service charge & quot ; use pool ! ! not happy bunny ! ! 
 Aug 18 2008 	 Nugget Nice Comfortable 	 stay Golden Nugget average . bellhop pushy desk clerk friendly . wait register 10 minute 08/12/08 , Tuesday 4:00pm check . stay South Tower locate opposite side casino , get view shark tank pool a.c . lobby walk elevator . negative time share people outside elevator hallway hawking & quot ; hi , stay couple day ..... blah , blah , blah ..... & quot ; walked ignore they . the room nice clean . vanity top inside restroom outside bathroom another vanity top lady get ready , restroom occupy . bed comfortable request feather pillow send room . room come free use digital safe , come handy . a.c . window type distraction we . overall , satisfied room feel large standard room , vanity area . South Tower room nice upgrade need comfortable . the valet pick busy slow , opt use self parking garage , actually close South Tower . make go room easy fast oppose use valet wisk way casino , past Shark Tank Pool restaurant row , elevator . use self parking time distance essence . the breakfast buffet great cheap 9.95 per person include omelet station , salmon , fruit , salad , dessert , free drink . line brisk even get use buy one get one free coupon pick front desk upon arrival .... must stay least three night accord travel package . 24 hour diner also include buy one get one free coupon oriental salad big good along world famous bread pudde Steve Wynn 's mother recipe .... also free coupon . the blackjack table tricky pay 6 - 5 odd blackjack opposse standard 3 - 2 payoff . ask 3 - 2 table ensure getting rip read sign 6 - 5 warning . table mostly $ 10 min . bet shoe deal available along single deck . good blackjack table find Las Vegas Club Cortez double deck , $ 5 min . bet deal shoe open face . well advantage way track card pattern . experience , 4 Queens offer good comp play far time play equate free meal Magnolias Cafe . good prime rib special Main Street sport grill/ brewery $ 7.95 good tender prime rib , vegtable , potato . well Magnolia 's $ 7.95 prime rib . overall feel safe well take care downtown stay Golden Nugget back soon . hope help make decision . 
