perfect 	 stay Hotel Mela wonderful experience . boutique hotel staff ambiance make immediately feel home . lobby small comfortable . accommodation spacious comfortable , bed luxurious . location great , block walk mall nightlife would interested . look forward return NYC hesitate stay Hotel Mela ! ! 
 Chic Oasis Central Location 	 stay Hotel Mela Thanksgiving week , visit friend city . overall find hotel centrally locate , modern decor friendly service . the hotel centrally locate , block Times Square . service lobby friendly professional , decor chic . arrive room , find Superior room quite small , recently redecorate , chic decor . everything clean find expect amenity ( tv , closet , fridge , etc ) - appreciate free wifi . bed extremely comfortable . I would definitely stay . 
 Convenient 	 husband stay Hotel Mela 5 night Thanksgiving Holidays . lobby small , trendy . check - in smooth , dealing staff . elevator tenth floor room quite slow . minor complaint . room good size NYC . stay Executive King please amenity . shower toiletry great . the real complaint comfort bed . use pillow top mattress fould Hotel Mela 's firm . also , pillow weak . big complaint smell come A / C unit . know urine smell hit nostril moment step subway ? well , smell fill room whenever turn air . would slept window open , window face air shaft full trap , stagnant , hot air . think typical room Hotel Mela . unpleasant , think weird , fluke thing happen stay . let add , smell faint moderate , present nevertheless . overall , great stay . conveniently locate heart action . hotel literally step away Times Square . probably stay simply b / c enjoy try new hotel , good buy moderately price traveler . 
 Fantastic ! 	 great experience . first say staff Hotel Mela nicest helpful ever encounter . go way make sure stay enjoyable . upgrade we free , gladly hold luggage , answer question actually seem happy . read room ridiculously small definitely . grant two twin bed room comfortable . decor pretty clean . yes , bathroom small lot counter space shelf sink hold great deal . course location fantastic ! half block heart Times Square ~ could ask for . I would highly recommend Hotel Mela definitely stay next time go NYC ! ! ! ! ! ! 
 Aug 6 2007 	 nice surprise 	 choose base price review . I thrill walk room remind bed breakfast decor instead stark hotel room . the view brick courtyard . flat screen tv , comfy assorted pillow bed , also comfortable . little thing like coffee replace , use glass replace , order ice ( mean tip ) instead help . biggie . thing standard . might new maid . they giant basket chocolate treat bill massive amount money eat food . mini bar . afraid drop basket move around room . lot table top sit right front tv . lobby tiny . elevator hold 4 people . say 3000 pound , tiny . never wait long however , lot people hotel . it nice small hotel , short hallway , 10 second room street . ok maybe 30.staff accommodate . little oriental restaurant attach hotel charge 24 dollar breakfast juice , fruit cup , egg , coffee 3.50 little cup . tick that . you walk ton place within 5 minute . even MacDonalds corner 6th 47th ( 3 block away ) .walk everything Broadway around town . even walk Penn Station not heavy luggage . straight 7th ave 10 block . when rate go go back main stay , Edison , really nice last . I definately stay afford . 
 Aug 6 2007 	 small hotel good location 	 book one night Hotel Mela base Travelzoo weekly Top 20 promotion . great price NY - $ 241 include taxis Friday night April . usually stick Hilton property , figure ' give Mela shoot great rate . look forward celebrate birthday Broadway show brand new hotel . we check birthday , acknowledge staff . book superior queen room , small poorly design . less 6 inch end bed dresser – barely enough room person get . bathroom sink glass shelf flush wall ' level . afraid put anything , drop right back shelf ! know minor nuisance , still – difficult level bathroom shelf ? location ok , prefer close 7th 8th Street . room clean , hotel quiet enough . overall , stay worth discount price . regular price , would certainly book Hotel Mela . 
 Aug 5 2007 	 bad experience NY 	 hotel normally stay NYC book . book Hotel Mela package US Airways . awful experience . room tiny -- listen couple couple beg put large room tell would another $ 100 plus per night . concierge really bell person . front desk staff unhelpful even simple thing like get we cab . take 45 minute get ice room . way get help ticket dinner reservation . end use service Marriott Broadway Millenium across street . a large part space minus bed room take basket full item want buy charge bar . drawer space tiny closet . service seem bad booked package -- probably figure already pay nothing could do . you lot well NYC . 
 Aug 5 2007 	 like 	 actually find hotel immaculately clean , well proportion generally top notch ... yes room be not big new york do not find problem 
 Aug 3 2007 	 outstanding bargain ! 	 return nine night Hotel Mela , highly rec hotel ! 's brand new ( open Jan 2007 ) extremely clean . bed comfortable , fine / soft linen , towel divinely soft turkish towel ! stay one & quot ; Superior Queen & quot ; room , one small . however , well organize spacious expect . also quiet ! even though hotel 1/2 block away Times Square , never wake point noise -- 's amazing NYC ! spa bath product wonderful , nice mini - bar fridge need keep something cold well . staff excellent -- everyone friendly welcoming , without ever obsequious condescending , hotel staff may . never problem ! thing hotel not -- not restaurant , although room service night local hotel . never use , NYC great exploring , not bother . however , be kind person enjoy lounge room enjoy yummy room service , not place . not coffee maker room , either , although manager tell get fall -- great ! nice exercise room -- never use ( NYC exercise ! ) check clean great equipment . safe room great , flat panel tv really save space . alarm clock also allow plug ipod , awesome . also perfectly locate , close Times Square subway , Bryant Park ( subway ) , etc . highly rec hotel hope big success -- 's great addition NYC boutique hotel scene ! 
 Jul 27 2007 	 Great Staff 	 Hotel new get fix room , stay excellent . gym good hotel gym standard . good part staff , extremely friendly helpful . housekeep fantastic . 
 Jul 25 2007 	 small good 	 spend 6 night Mela - location excellent - right next Time Square street quiet . great diner , Dunhill 45th 6th 7th . good Irish Pubs around 45th well - Perfect Pint smoking terrace . hotel great - room small deluxe king - small comfortable 2 people . location , cleanliness , decor H2O product really make . staff polite - really deal check - in . one word caution - get hotel arrange pick - up JFK ... . arrive sign driver - could not get cellphone reception afraid move case miss . eventually , call hotel driver outside passenger pick - up . tell would wait we inside terminal ... end driver charge we € 35 wait time - complain time - not know not . overall - great experience . 
 Jul 22 2007 	 Great Location efficient service 	 stay New York March hotel open couple month . time reception small bit cramp , especially people check hotel . revolve door work queue single door suitcase . find funny come turn , doorman walk past we help girl behind we suitcase … well pretty . the first night boyfriend try open window handle come however wait minute someone come repair it . everyday overheard people complain room size elevator ' noise lucky complaint . european standard spacious room modern facility quiet part building . love plump cosy duvet bathroom productsThe location excellent midst thing , stone throw subway bus stop . definitely stay next time head NYC . 
 Jul 16 2007 	 Cozy boutique hotel 	 book Mela Hotel special rate Travelzoo ( $ 199 / night ) . room small , room perfect size . bit disappoint not desk room , business work bed , must admit bed comfortable enjoy hypoallergenic sheet since normal hotel bedsheet normally make itch like crazy . staff superb ( HOTT might add ! ) always respond request question quickly smile . location also second none tourist , right middle Times Square theatre district . would definitely stay look cozy quiet place midtown Manhattan . 
 Jul 11 2007 	 lovely hotel 	 friend stay hotel July 5 - 9/07.we alot research hotel prior book . turn great choice . the room beautifully decorate . we twin room . the room alittle small side not bother we . hotel locate right next Time Square Theatres . you could not get well location ! hotel quiet . service great . would highly recommend ! ! ! 
 Jul 10 2007 	 Nasty Manager -KEN 	 travel alot majority time book third party , ( mean room tax allready pay get hotel ) . morning departure recieve bill room tax charge . show front desk agent say probably mistake inform manager KEN . KEN apparently front desk manager duty nasty attitude . argue tell priceline reservation prepay reservation . confirmation show pay $ 1700 forboth airfare hotel charge , insist wrongand confirmation enough information . argue back forth leave hotel morning come back afternoon find outcome & quot ; pre - PAID & quot ; reservaion indeed allready pay priceline ! ! KEN pure nasty obviously KEN can not apprehend manager . KEN , not quick judge , study case decide status . bad KEN ! think time superior learn agent . 
 Jul 3 2007 	 Hotel Mela 	 return week end New York stay Hotel Mela , June 29 - July 1 . though room small , perfect . clean well appoint , room hypo - allergenic bedding . staff friendly helpful . would definitely stay . 
 Jul 1 2007 	 Mela great 	 wife travel Atlanta stay weekend late June base review , not disappoint ! modern , clean , wonderfully locate Theater District . room perfectly decorate livable . negative everything small . two woman elevator ( hold four people maximum ) say : & quot ; be like minature hotel . & quot ; lobby small , room small , bed small , desk small , window small , bath small . feel little bit like hobbit Lord Rings . say , rate good , location great , staff pleasant , furnishing first rate . would definitely stay . 
 Jul 1 2007 	 Great Hotel Fantastic Location 	 never New York read review many hotel find traveller spot reviwe Mela . stay double - room 713 . room well appoint decor excellent . room clean bed comfortable . little small side , hey heart Times Square , pay reasonable price stay ! ! . could fault location staff . would stay hotel already reccommende friend 
 Jun 28 2007 	 nice find 	 partner recently travel NY . casual conversation friend visit NY often mention Hotel Mela . immediately come TripAdvisor get review . book several hotel end decide stay Hotel Mela . we arrive late Friday afternoon greet courteous staff . little concerned location since want Times Square . hotel web site accurate saying block two away Times Squre . know several folk suggest get high floor room ask high floor initially give 10th floor . end room 16th floor . want make certain avoid street noise . the room nicely appoint . book Executive Junior Suite . wish look Executive King since someone hotel mention prefer Executive King . rate . it hot NY weekend AC work beautifully . nice flat panel tv also room . pretty decent closet space . my one small gripe small bathroom . clean small . could never bathroom time alternate use sink mirror . plus side shower window allow bright sunlight come . course folk outside could see in . the conceirge amazing . often ask assist us address restaurnat could remember name restaurant . general street location . also give we great tip go watch PRIDE parade . housekeep good . never see room always clean . turn service cute . I would definitley stay . book Mela 's web site might want recheck rate periodically . often see rate flucuate .... always visit date get close . check regularly able lower rate . restaurant next door open . bill Vietnamese french restaurant . food amazing . sure include hotel list . 
