never 	 fan Travelodge ( normally ) . nothing posh usually know get say . unfortunately case one . long queue check could not happen till 3.00 sightseeing luggage ( try narrow spiral staircase Tower London . room peel wallpaper , hoover part leave room clean , mug wash properly , bathroom dingy . ask think receptionist leave , convince anything would do . weird thing Travel Lodge seem split two . new frontage see trip adviser photo along Shaftesbury theatre doubt interior new , entrance Drury lane old bit allocate . not know get allocate new end seem list separate t.l . perhaps T.L . management read explain ? . 
 Excellent Location good price 	 room 217 good , clean bed linen towel change daily . hotel budget price excellent location . five minute theatre Covent Garden within easy walk distance China town . admit place could face lift lick paint ! cafe / bar area breakfast serve cold small definitley need face lift first place see booking . would good idea screen entrance door dine cold air whips round area , pleasant eating . would stay though purely location price . 
 DREADFUL ACCOMODATION - never ! ! 	 stay ROOM 226 . stay 2 night . good thing say hotel location . room appalling - wallpaper hanging , mouldy tile bathroom , dirty shower curtain , light bulb work , furniture look like come skip . whole room smell damp musty . comment food choose eat . would never , ever stay hotel . 
 stay hotel ! 	 bad Travelodge ever stay . leave luggage facility , go Charing Cross station pay £ 8 per bag could not check hotel 3 pm . overnight traveller overnight bag ridiculous situation mention time take traipsing around underground , would not minded pay leave bag hotel . slow reception staff , room key card work arrive room 1 pm morning yomp back reception . window bedroom screw shut sort security lock no - one seem key ? Hope never fire escape window . carpet wall filthy , would say carpets stair wells vacuum millenium hole guest could easily catch heal fall . breakfast bad wait age cutlery food become cold ! would recommend hotel unless really desperate , even think twice ! ! ! ! ! 
 could lot well 	 check slow . get bedroom realise toilet paper , ask - give leave roll another room . realise one set towel 2 people ! next day return day , dirty coffee cup leave room , restock coffee , tea milk - go reception replacement . realise one set towel leave ( willing use previous day towel remove ) . back reception another set towel ( ask toilet roll ! ) .breakfast poor/ - croissant fresh . Yoghurt available one day next .. OK 's budget hotel GBP 210 2 night 's cheap . their staff polite friendly obviosly problem ensure bedroom check service correctlythey need get act together . add insult injury , online questionnaire ask one question say & quot ; thank complete survey & quot ; - obviously company interested customer think . 
 Jan 15 2006 	 Excellent 	 family stay 1 night Travelodge , Covent Garden late December . concerned read review hotel arrival find absolutely nothing worry . staff great room lovely clean . location fantastic certainly stay . 
 Dec 29 2005 	 £ 10 hotel room 	 stay Christmas holiday £ 10 per room per night ! bear mind , hard critical ! even full price ( £ 75 ) think 's buy . arrive noon Magda reception great job get us room asap . Location superb - 5 minute walk Covent Garden market ; Oxford Street distance . room cool fine set heating fan & quot ; medium & quot ; - get go . not luxurious absolutely adequate , even full price . lovely polish staff department . breakfast eat £ 6.50 kid eat free . big possible drawback , circumstance , look luggage , matter small , either check check out . if desperate could perhaps use cloakroom nearby British Museum - not forget tip , tho . some nice pub restaurant outside Drury Lane . check Travelodge website £ 26 special offer . new Travelodge open next Summer metre away - definitely worth look . 
 Oct 24 2005 	 wasvery nice 	 put positive plug . picky stay . fact leave one highly recommend hotel one great experience . english ambiance ? ? ! , water 3 people room could not move , great spacious room . get lucky get room remodel ! ! everything new nice ! ! ! room street level . yes , middle construction every room look like one , would say go ! ! ! 
 Oct 11 2005 	 Great Location 	 stay hotel June 05 love it . it clean , staff friendly location brilliant - minute walk Covent Garden . we like much go back March . ok , room basic , want posh hotel , pay . 
 oct 9 2005 	 hmmm ! ! 	 yes , hmmm ! 's ashame not think read review hotel booking . boyfriend need somewhere crash one night whilst London friend birthday . sound like lucky drove , obviously go quiet - ish saturday arrive 12.00 midday , allow room straight away ( thought might problem get 3 hour check - in time ) , pay parking , least car right , car park hotel bite grotty smelly though - hey , london afterall , limited space check arrive , can not book car park - might bit problem car driver busy weekend although think see public parking one adjacent road . anyway car , ask could leave car park around 3pm - ish next day check , fine , could put luggage back car . onto appearance hotel - first arrive thought look bit grotty outside - concrete jungle - can not judge book 's cover ? well actually case , yes ! hotel , although pleasant reception area freshly decorate clean , seem anything throughout rest hotel . room basic £ 89 night suspicious small double bed , room small cold empty look bathroom grotty one small bar soap provide - enough towel we though . television tune properly , point someone else acknowledge . the thing say hotel pretty decent location , 5 min walk Covent Garden 's tube station ( Leicester square far walk ) be also walk distance Holborn station . if look hotel that s ' ok ' rest head one night that s good location , Travelodge Covent Garden fair enough choice money , although wish could £ 46 ' ve see people mention . 's fantastic will , honestly not think stay would not recommend friend , think human being well hotel - hope anyway . 
 Oct 5 2005 	 Value Quality Consistency Central London 	 pleasure stay Covent Garden Travelodge 1 night October pleasantly surprise . book without read review do would avoid probably miss good value hotel Central London . hotel look welcome street continue reception area , smart front desk staff efficient . early review talk dingy , claustrophobic corridor , not notice corridor bright clean . enter room good feel hotel continue . room pleasantly decorate everything good condition . light work , carpet new phone , tv soft furnish co - ordinated . bathroom clean tidy huge , nicely tile big mirror . location excellent , within walk distance two three tube station right edge West end eat entertainment district . even pay standard rate £ 89 still good value , book bit advance get double £ 46 bargain location , anywhere London . appear Travelodge bring affordability , quality consistency Central London first time . would definitely stay happily recommend . 
 Oct 5 2005 	 good ! 	 stay group 4 girl . want central , basic hotel London . we get little less basic ! hairdryer , storage luggage . room cold time . window 's lock break , security risk . the staff pleasant enough , fall help you . I would not rush book hotel pay £ 79 per night . would ok £ 46 special rate suppose , breakfast extra ( £ 6.50 whatever ! ) ok low standard , need somewhere sleep , though come home bad back ! 
 Sep 27 2005 	 pleasantly surprised 	 already book 2 night Travelodge Covent Garden , leave trip , read review website . must admit , bit wary staying , reviewer use rather harsh word describe hotel 's negative feature . when first arrive , though , impressed . negative idea arise other ' bad review vanish see clean charming hotel . grant , supply luxury like alarm clock telephone access front desk . however , reception staff friendly helpful . room ( twin ensuite ) cozy , clean , invite . location , could ask well . able walk ease location itinerary . surround neighborhood bustling safe ( important two young woman we ) , though side street dark suspicious night . complaint Travelodge allow we stow baggage hotel prior check . since arrive London around 10 am could check 3 pm , minor setback . hotel , though , impressed . would think twice booking ! ! 
 Sep 23 2005 	 good location otherwise terrible 	 main reason ' m rate hotel ' terrible ' refuse store luggage hour day check . stay several London hotel numerous hotel around Western Europe , never happen . 's , give incorrect information could store luggage one train station -- not true several year due security concern . know London , would drag luggage train station find leave would drag luggage around London day ( fortunately , able leave conference attend ) . also quite impolite it . otherwise , would rate ' okay , problem ' . drab ; mold shower ; , typical England , duvet ( top sheet , doubt duvet clean daily ) . room large enough , overlook concrete square people kick dog yell -- noisy . location good -- extremely central . breakfast cost extra great ( would probably well get english breakfast elsewhere ) -- serve lobby area -- bad . , pay $ 100 per night central London , not expect much , be get . however , furious luggage issue never stay Travelodge UK one reason . not stay unless be ok not - very - nice room plan head straight airport train luggage immediately check . 
 Sep 17 2005 	 use office ? 	 stay business although location great hotel room horrible . sink shower crack brownstuff grow around they . I normally value good location highly seek accomodation case even good location save . 
 Aug 22 2005 	 Fantastic Value ! 	 Location Excellent ! Value Excellent ! ' ve never stay London hotel place impress . however , familiar London 's usual lack - lustre hotel look reasonably price , clean , quiet hotel perfect location can not beat Travelodge , Covent Garden . stay 3 night August 4 - 6 , 2005 pay 46 pound per night double occupancy . unheard London ! king size bed large bathroom . issue room shower faucet difficult turn . another annoyance fact hotel allow leave luggage hotel 12 noon check - out . pleased hotel would gladly recommend anyone look budget hotel central London . 
 May 31 2005 	 horrible 	 hotel construction , security air conditioning not work . phone room not even call front desk . walk . go ask air guy say , not get cool , open window ! top , black stuff come shower not allow keep luggage . front office person give we wrong direction subway station leave luggage . would never stay . 
 Feb 15 2005 	 book stay .. cancel ...... 	 displeasure staying travelodge recently . honestly say room terrible , staff rude . double room large window would shut correctly result room freeze despite radiator maximum thermastat set 30 degree . radiator constanltly buzz combine traffic noise , temperature ( -2 centigrade forcaste outside ) local shop take delivery 5 am mean unpleasant night stay least . complain reception staff do not carethe hotel terrible . book stay would wise find alternative accomodation . 
 Jan 21 2005 	 PLACE stay HURRY 	 arrive hotel two night stay . reception meet guest whose reservation screw hotel . finally deal reservation also delete system finally manage call central reservation completely different price . luck favour copy reservation print . compensate we mistake reduce price £ 5 per night . the room nothing special . phone hair dryer tv channel not tune properly . bath room disgrace . actually paint inside bath white paint . two people one room supply we one bath towel one hand towel . paint fall part wall . early next day woken builder 7 am . appreciate hotel need major work feel could wait least 9 am ! ! ! worth £ 80 night even £ 5 offother good stay London . good thing hotel fantastic location . although classify Covent Garden might bit stretch ! ! ! 
