knickerbocker 	 time arrive leave , Knickerbocker great experience . staff courteous , service outstanding . room bright clean food service restaurant superb . 
 back 	 stay 4 day nothing wonderful thing say hotel . concierge super helpful nice . staff super helpful nice . like location Michigan Ave shopping . hotel lovely . booking read Trip Advisor review really like fact hotel respond even & quot ; bad & quot ; one . good hotel good customer service 
 Aug 4 2004 	 good 	 lobby hotel ok.nice clean ok . room 2 double bed nice size . Bathroom EXTREMELY SMALL also dingy side . clean want want hotel . furnishing victiorian like . & amp ; ok stay Chicago alot & amp ; would not stay , stay due great rate wedding attend . many nice hotel along michighan ave stay . 
 Aug 4 2004 	 terrible check - in policy 	 wife reservation 2 night MK August , 2004 . due change plan , decide stay friend 's place first night move hotel next day . inspite reservation previous day , hotel staff make we wait till check - in time 2 pm arrive hotel next day . mind , call previous night inform change plan say ok we chek - in morning . since reservation make Priceline , could not get refund one day . plus -- pretty nice cozy . fixture old . 
 Jul 21 2004 	 worthy AAA four diamond 	 wife 12 yr - old daughter stay Millennium Knickerbocker first week - end June 2004 . first time visit Chicago tourist . great city ....... downtown area stay fantastic . wish could say MK . shall say & quot ; old girl & quot ; need work be talk make - up . plastic surgeon house ? stay corner suite outdate . multiple coat paint cover baseboard replace year ago . less spotless bathroom . & quot ; club floor & quot ; room little fridge fill wtih sodas PC time forgot ( internet connection .... 's ? ) .The staff check - in forget provide voucher breakfast include room rate week - end . ask , we huge favor ( ... hear sorry ? ... maybe breath resound 10 decibel ) .pluse : nice lobby great location , Michigan Ave . definitely worthy 4 diamond rating aaa . rating MK manner put AAA 's credibility risk ... ( AAA staffer 's get pay ? ) .For $ 250/ night , will take accomodation breakfast requirement one many fine hotel Chicago . 
 Jun 24 2004 	 Valet stole car ! 	 stay June 11 - 13 . $ 220 skateboard steal car first night valet park . one hotel parking garage helpful way . room tiny overprice , although book priceline ! $ 220 night . not stay ! 
 Jun 14 2004 	 Sweet location sour value 	 's right mile , great .... especially be little tipsy 's first time Chi . however , pay close 200 buck , not appreciate see crack ceiling . room big either . overall , thing place really go location , killer . 
 Jun 10 2004 	 Knickerbocker make Knees Knock Frustration 	 good location . everything else positive . part large group many people extremely upset size room bathroom . unusual room decor please , hate other . uncomfortable furniture . food bad expen $ I ve serve time limited . confirm reservation prior arrival make sure indeed room correct date . front desk staff bad part not - so - good stay . request thing fix ignore repeat numerous time schedule wake - up call make . the good news , suppose , almost problem cite could turn around attention management . 
 Jun 3 2004 	 not book priceline ! 	 stay 5 night last summer . book reservation priceline $ 75 / night cheap rate could find anywhere convention week . anyway , arrive 11 pm airport , tell overbooked hotel room . book dumpy 2 star motel airport . give $ 20 taxi get , cost $ 35 . late meeting next morning extra travel packing / unpacking . Millennium offer compensation whatsoever foul - up . free drink , room upgrade , nothing . since book internet , chop liver . beware . 
 May 27 2004 	 Prime Gold Coast Retreat 	 wife & amp ; celebrate anniversary Knickerbocker & amp ; could treat well . cab , bag loaded cart & amp ; walk hotel doorman . room well appoint & amp ; entire hotel staff friendly . prime location shopping , sightseeing nightlife . 
 May 21 2004 	 Perfect Chicago Location 	 stay two night property . room clean , check - in check - out fast , staff helpful friendly . hotel great location , across Drake , half block Michigan Ave . appear hotel renovate complete . complaint ..... bath small a / c heat hotel sametime . ask use arrive season change ! 
 Apr 30 2004 	 Great Location 	 Stayed Millenium Knickerbocker April 04 seven night . staff really friendly check concierge always able answer question . the room small kingsize bed comfortable . nicely decorate dark due surround building . would need light day . bathroom small adequate . only complaint wall paper thin hear everything ! would ask room away elevator book I m sure would noisey time . restaurant lovely . ever buffet breakfast plenty choice staff attentive . location excellent , top magnificent mile . always plenty taxis door you re main shopping area always good . surround area feel safe . 
 Apr 12 2004 	 Great Location Renovations need 	 wife stay Knickerbocker April 7 - 10 , 2004 . location excellent , quick walk Lake Michigan walk path terrific shopping Michigan Avenue restaurant Rush Street . hotel old visit website , impression extensive renovation complete . ready small room ready toilet require multiple flush , sink would drain shower head need replace . staff responsive complaint maintenance man tell we use 12 sheet toilet paper toilet would clog take prize . return . 
 Apr 9 2004 	 Great Location 	 can not beat location ! perfect ; right Magnificant Mile , Michigan Avenue . hotel nice staff friendly . king room , somewhat small , not matter much . would prefer bit big bathroom , manage fine . remember , be old hotel did'nt make room big time . find price online around $ 99 , however , call hotel get $ 79 night . wow , deal ! Taxi 's abundant outside hotel . , ever wait taxi .... convenience . eat buffet breakfast Nix restaurant one morning good . last day , check Noon , however , were'nt leave late day , keep luggage we ready pick late afternoon . appreciate . would recommend hotel 's location really good price not bad either ! 
 Mar 22 2004 	 definitely 4 - star hotel 	 book Knickerbocker Priceline , save $ 200 next good deal 4 - star hotel . read review , little worried . automatically ask large room arrive . upgrade us & quot ; 30 % & quot ; large room additional $ 15 / night ; fine , knowing & quot ; big & quot ; room , room must closet . public area fine . room hallway old need renovation . look like must 20 coat paint mold aside poor workmanship . behind industrial style toilet yellow water stain wall . pedestal sink 1 - 1/2 thin glass shelf put thing ( hope would not fall toilet ) . bathroom 4 - 1/2 ft . x 6 ft . include tub area . far paper - thin wall , awoken 3 time one night people talk normal tone hall , neighbor use speaker - phone call downstairs , although phone turn loudly . could actually easily make every word speak . last day , shower water turn brown leave we dirty feeling hair black soot tub . fill sink , realize brown . take picture camera show front desk . said & quot ; be sorry & quot ; , . offer try make thing well anything . think decent 3 - star hotel would least make sure clean water something try make right . not clue get 's 4 - star rating , would recommend stay . ok location , feel Marriott , Omni ( either one ) Westin well location . one hotel live yesterday 's fame . 
 Mar 4 2004 	 Good Place 	 stay hotel 02/02 . nice , clean , staff friendly . close shopping area . nice martini bar ! 
