stay 	 travel San Francisco every week business . like switch stay Union Sq . wharf change scenery . Argonaut definitely place stay week stay Wharf . love everything place . staff great . miss wine hour 5 minute check give voucher glass wine bar . room clean comfortable . be right around corner Ghirardelli Square , take advantage cool evening go get cup hot cocoa . next morning pick breakfast Starbucks walk across street nice morning beach go office . location great . love Argonaut look forward go back couple week . 
 eagerly Anticipating Next stay Argonaut 	 already plan next visit hotel . stay three day anniversary company little bichon wonderful experience . staff amazing , incredibly helpful , always treat little dog like value guest well . love attention doorman front desk time come . Argonaut truly make we feel home . purchase three day pass cable car / trolley car / muni system cable car turnaround right next door hotel make easy get around San Francisco Fisherman 's Wharf . we plan give Argonaut gift certificate son daughter - in - law Christmas year . can not think hotel San Francisco would rather share . 
 Nov 25 2007 	 oh goodness ! ! ! ! 	 histric beautiful hotel ! ! ! ! ! ! stay one night wonderful . nightly manager 's reception lobby - nice great way meet guest . we city view room wonderful . could see many thelandmark city . Fisherman 's Wharf Ghirdalli Square 2 minute walk hotel ( opposite direction ) busy area . shortage restaurant place eat . hotelis old Del Monte Cannery building - nice . expose brick beam . room decorate nautical theme . everything IMMACULATE staff accomodate . highly recommend visit Argonaut ! 
 Nov 19 2007 	 Lousy Walls Lousy internet Lousy Room Service 	 stay Argonaut attend conference . stay Argonaut , mercy people room next , virtually acoustic insulation . hear conversation normal level , well tv . internet agonizingly slow . watch stream medium large file take forever . also notice computer appear & quot ; place & quot ; section ( MacOS 10.5 ) bit unnerving . use room service one night actually get record message ask leave name room number . 20 minute call get message . keep rediale get . order soup salad . food arrive 40 minute later , soup lukewarm . decor OK , like nautical theme . not think would stay . 
 Nov 18 2007 	 Fantastic Hotel Fisherman 's Wharf 	 wife return honeymoon love service . give upgrade upon arrival stayed 4th floor overlook Cannery ( quite night ) . despite early review , find wall paper thin never hear neighbor . free wine beer lobby nice , even though wine good quality ( beer local brew good ) . 
 Nov 6 2007 	 Location location location 	 originally plan stay Union Square adult daughter decide join we holiday last minute need hotel could accommodate 3 we ( room move ) . theme fun , staff always helpful location brilliant - everything within walking distance close tram line . Fishermans wharf great tourist spot base explore San Francisco . would definitely stay . 
 Nov 6 2007 	 exremely pleased ! 	 stay one night Argonaut wish could ' ve stay long . Friendliest , helpful staff hotel stay recall . great location room . love whimsy Kimpton hotel hotel individual & quot ; theme & quot ; combine excellent staff attention detail . would definitely stay ( another Kimpton experience another & quot ; theme . & quot ; ) book internet special rate Argonaut website please saving . 
 Nov 6 2007 	 love hotel 	 hotel fabulous . location great , staff lovely , helpful keen help make stay memorable . room nicely decorate like quirkly design follow room lobby area . love lobby , cosy fire going feel like someone 's living room rather hotel lobby ! ! free wine hour every evening nice , get see everyone hotel chat feel like ! ! endless great resturant San Francisco , really spolit choice , especially like seafood ! ! great hotel , great location , fabulous stay . 
 Nov 5 2007 	 great property 	 great hotel -- detailed . staff excellent . location great . problem room service close closing time restaurant . highly reccommend hotel . 
 Nov 4 2007 	 Argonaut - Great Hotel 	 stay 5 night Argonaut hotel Oct. 21 - 25 enjoy immensely . go great detail many positve review find accurately reflect finding . the room fairly large , clean , quite well - appoint . one small suggestion would exhange small lounge sofa small table two chair . bed comfortable , problem tv , internet , etc . service always friendly helpful , yes wine taste happy hour great way meet fellow traveler . the location , state , great ..... close public transportation . visit great city might stay Union Square ' ve get bearing place ; want say Wharf area would highly recommend property . pay $ 197 / night + taxis ama ( Alberta version AAA ) . 
 Oct 29 2007 	 overbooking ! 	 lot problem find hotel San Fran particular night stay due major convention town . suppose travel week husband business trip get move change date . spend many hour search new hotel finally decide Argonaut . really look forward . today receive call book rebooke we Handlery Hotel would pay . unfortunately Handlery near Argonaut . 's less half price look near nice . call te Argonaut back tell room city probably true since can not find either book result computer glitch . not feel apology sincere concern waste time effect might vacation . think least offer free stay next trip SF . will not stay hotel other part chain . 
 Oct 29 2007 	 Wow 	 recently stay 7 night . nothing bad say Argonaut , fact good . the staff helpful friendly . nautical theme distinctive pleasant . room comfortable good size . its also well locate wharf , Hyde St cable car short walk away . the wine taste session lobby evening welcome . turn head though give we apple juice 2 year old wine glass . spend time assure fellow guest were'nt try ply offspring alcohol . you will not go wrong stay . 
 Oct 29 2007 	 great location stay 	 staff hotel friendly helpful . lose stroller , loan we one . 4 year old love select item treasure chest . location next Fisherman 's wharf great . room large clean . 
 Oct 25 2007 	 Nice Place 	 stay Argonaut Hotel Oct. 12 - 17 2007 . family four child 10 12 . stayed room 287 nice , good size clean etc . complaint pay extra room view end room face courtyard . time notice already unpacked not want go trouble move . location good , near everything . wine taste every evening nice touch . cider kid beer not like wine . some people complain hear noise room , experince this . would recommend hotel , look window soon get room . 
 Oct 25 2007 	 fantastic time San Fran 	 fantastic time lovely hotel . staff great could not enough . recommend attend free wine hour every night . Jack 's Bar door long worth visit . 
 Oct 24 2007 	 could not fault 	 stay September 4 day , could not fault hotel , great central location Fishermans Wharf , bay view room lovely view , room reasonable size , bed comfortable do not hear noise room , room front hotel . one meal hotel fine , normally breakfast Lois 's Ghiradelli Square Buena Vista , within min walk hotel . also fantastic meal Ana Mandala fantastic short walk away . hire bike cycle across Bridge Sausalito would recommend course go Alcatraz fantastic . oh course time well , hotel free wine testing think 5 6 every afternoon . chance somebody read , thank much wonderful american couple eat breakfast Buena Vista pay breakfast . 
 Oct 23 2007 	 cute tiny 	 hotel look great outside , lobby decor probably good waterfront . go drink free wine taste every afternoon . stay another story , book advance direct ( pay top ) get give probably small room 2 night . they tell we fully book , see vacant room way allocate ( mis timing house keep reception note ) . Spoke house keep confirm room available ask head house keeping let reception know , manage change room next day ( apology ) . pay hundred dollar stay first day spoil shuffed basement matchbox room . smiley nice . they tried - wing get well room . also massage hotel hotel concierge arrange , ( gift miss ) massage cost we $ 310 ( inc tip ) pitter patter touch ( need name massage place avoid let know ) . another client cancel walk ( huff ) run 20 minute late . if like winge high rate stay here . they give yoga mat , miss like that . Photo 's room room winge . 
 Oct 22 2007 	 Nice Hotel 	 recently two night stay Argonaut . upgrade we King Suite , beautiful view , large , lovely room , wonderful soak tub bathroom . bath product suberb wonderful soak tub day explore San Francisco . the hotel within walking distance everything would need . hotel restaurant disappointment , would suggest eat elsewhere . the staff helpful friendly . wine reception evening great . the valet parking expensive ( $ 40 plus tax ) city ! , nice hotel . 
 Oct 21 2007 	 nautical nice 	 stay Argonaut 3 night late September . double room wtih 2 bed roomy spacious . nice touch robe slipper room . amenity Aveda - nice replace daily ! hotel restaurant also provide room service excellent - food reasonably price arrive hot time promise . bed comfortable & quot ; green & quot ; focus recycling , linen etc ... present well do ! really enjoy stay ! 
 Oct 19 2007 	 Fisherman ' friend 	 stay Argonaut 4 night start 2 week holiday . impressed location – short walk along waterfront Pier 39 far enough away hustle bustle . very close Lombard Street cable car turnaround direct Union Square almost doorstep . the room spotless decor throughout hotel look modern good quality . staff always polite helpful . we pay room view spacious nice viewof Alcatraz wake . one side clearly couldhear people room next we . time , could hear conversation word word . despite , would definitely stay . perfect location beautiful city . 
