Nice 	 hotel normally stay jacked rate $ 200 dollar night - decide look elsewhere . book hotel & quot ; Trip Advisor Deal . & quot ; get room $ 113 plus tax - total bargain city . expect accomodation could marginal price . pleasantly surprised find completely remodel room new bathroom . stay second floor mini fridge private bathroom . front desk staff super friendly . UW side exactly happen part town - hotel conveniently locate next Subway . leave luggage locker first floor check . nice know belonging lock safe finished siteseee ( $ 5 24 hour ) . definately say . btw - breakfast 24 hour Key West diner ( next door ) cheap good . 
 great place stay visit upper west side family 	 hotel clean room spacious well design . visit family city use hotel convenient place sleep . view room interior courtyard , fine quiet . reserve room 2 double bed , upgrade Junior suite . 
 Jul 16 2004 	 friendly bargain hotel - even well upgrade free ! 	 good thing Hotel Newton friendly helpful staff location . 2 min walk subway take direct Times Sq main attraction . unable book room without bathroom first night spend one night tiny shoebox ( apparently norm NYC ) share bathroom ( surprisingly clean ) change room upgrade suite ( amazement ) HUGE really nice ! downside hotel quite dark inside , not many decent place eat nearby dodgy bloke camp outside shine shoe con we $ 5 ! ( not fall story ! ! ! ) 
 Jul 15 2004 	 quiet neighborhood $ saving 	 great stay Newton late June . two queen bed suite , w / prvt bath & amp ; kit -- good rate . family 4 stay little frill , comfortable & amp ; affordable ( attentive front desk , good housekeeping ) . Carmine 's restaurant less 2 blk away -- good , low $ family - style eat . Adjacent diner , inexpensive & amp ; quick ( especially good breakfast ) . quick walk Hudson , Central Park , Museum Mile . nice retreat hectic Mid - town Time Square , site easily accessible convenient subway entrance ( 1 block away hotel ) . stay next time NYC . 
 Jul 10 2004 	 Good 	 & quot ; cute & quot ; little hotel . quiet part town , tuck restaurant . good price , room clean ( small ) . share bathroom indertiminate amount people , not bad thought would . problem call hotel , tell 1 bathroom would share 2 room , not case . share two room . read review HAYDEN hotel book , realize mistake make . change hotel reading review . good little mexican / burger place around corner . good price amount food get . would stay , get share bathroom . Definitley good place people budget mind , also sense decency : ) 
 Jul 10 2004 	 price ? fantastic ! 	 say though hotel great - friend walk one hotel frankly disgusting - proud say take website offering - walk one . ok , fairly basic , get comfy bed , private bathroom , huge tv ( invaluable since go Jan 04 need constant weather update ) . staff friendly location great . go back year really look forward ! ! get clean fresh linen soft white towel huge number breakfast place 's doorstep go explore city . bit way Times Square attraction - cab cheap subway run night . all hail Newton , hail NYC . 
 Jun 29 2004 	 comfortable 	 little rough around edge generally comfortable clean good price friendly staff . locate residential district , be much way nightlife , restaurant , etc , say , 2 stop 42nd st express subway . problem voicemail cause we miss important phone call room temperature bit high , enjoyable stay . 
 Jun 5 2004 	 Graet Hotel great price 	 wife stay hotel 5 day late May . queen room small comfortable spotless . staff polite helpfull . good diner right next door . neighborhood also fine . subway block away take part city short time . price $ 100.00 /night . good deal . 
 Jun 3 2004 	 Great Location Price 	 read hotel review website , husband decide book hotel . well , disappointed . hotel great location - 2 minute subway station plenty eat place choose from . it clean , basic place stay . room bad size - sufficient need find staff polite helpful . all , , would definitely recommend hotel . 
 may 27 2004 	 love family 's stay Newton 	 stay close Columbia University check New York also . could pick well place price location . near Subway ( right outside door ) , convenient lot food place nearby . 
 may 19 2004 	 Loved New York 	 friend Stayed Newton Hotel , Broadway , New York & lt ; locate upton & gt ; even though first seem little way major site , infact quite good location , subway second walk away central park three block away ! ! hotel clean , share bathroom keep clean , perhaps fault Hotel noise night people stay show consideration anyone else Hotel ! ! ! staff ok helpful ask information please note hotel people budget , not expect anything fancy , somewhere clean tidy put head run round New York day ! ! 
 May 4 2004 	 overrate 	 's true price location good review overrate experience . room smell bad although clean . reserve non - smoking room could not give one arrive . noisy people yell hallway 3,4,5 , morning keep wake every night . room tiny ! 
 Apr 27 2004 	 good bang buck ! ! 	 probably well deal New York . get request rollaway bed upgrade we room 2 bed private bath extra cost . place clean staff friendly helpful . elevator suck be bad . will can not imagine stay anywhere else ! ! ! 
 Apr 3 2004 	 recommend ! 	 book Newton , price offer . New York City incredibly expensive , therefore happily surprised find Newton . Upper West Side location seem inconvenient arrival . not true ! hotel close subway station ( 96th St. ) , need approx . 10 minute Times Sq./42nd St. use express train . 96th St. station express train stop , really helpful . welcomed warmhearte , surprisingly upgrade room feature bathroom . NYC stay become convenient ! room clean , equip tv . disadvantage single elevator drive probably crazy accomodate high floor . hotel really worth money ! recommend ! 
 Mar 29 2004 	 great great great ! 	 stay 6 night March , 2004 . stay room queen bed share bathroom . clean , quiet good neighbourhood . place great , great , great ! staff friendly helpful . 's convenient subway line . highly recommend ! 
 Mar 20 2004 	 love bed small ! 	 good stuff people write true , add one remark . & quot ; double & quot ; bed way small two ( normal sized ) woman . surprised nobody write ! 
 Mar 3 2004 	 Great Value 	 definitely stay Hotel Newton next trip ny . pay double rate pay Newton another hotel close Times Square week later would much rather spend difference sight seeing . enjoy stay Newton much . room clean , big bathroom NY standard , staff friendly helpful . great location , close shop . subway stop big plus - catch subway matter stay ny , especially winter . elevator slow , be go ruin trip . not pay anywhere else Manhattan . 
 Feb 25 2004 	 Newton pleasant surprise . 	 stay Newton Hotel February , 2004 . room spacious , clean reasonable . husband love location . order Key West Diner next door food know . food extremely reasonable tasty . definately stay Hotel Newton every time visit NYC ! 
 Feb 21 2004 	 Fantastic ! ! 	 New York summer . arrive late Friday afternoon place stay . book hotel online share bathroom , reasonable price . not expect much ! boy delight check ! reception beautiful staff lovely . arrive room amazed ' fancy ' furniture , beautiful decor small touch ( i.e . face cloths soap lay design drawer ! ) . could not find nice place stay . stay Vanderbilt YMCA week previous ( great cost ) quite mad not find place soon , blow YMCA away ! ' ve spend hour online , nearly year visit , find name hotel , would forget . 's much want stay ! 
 Feb 16 2004 	 Nice Hotel GREAT Location ! ! ! 	 three we get back New York , really like Newton . good part Hotel location - 95th / Broadway area convienent , short subway ride almost anywhere , though fun take # 104 bus constantly run Broadway . nearby restaurant great , especially diner right next hotel ( handle room service order ) . staff friendly , know elevator repair , book two old friend low floor . room top ( 9th floor ) share bathroom , problem ever . CLEAN ! fact , whole place ( include basement leave luggage ) spotless ! ! ! room bit small , friend twin room , though nothing like closet stick . everything work well . the Newton first choice whenever come back New York . 
 Feb 10 2004 	 not look Hotel Newton right ! 	 review true Hotel Newton wonderful place ! pay 89.95 $ US night plus taxis , price get expedia.ca ( cheap expedia.com ) , like one previous reviewer write much cheap book online call hotel directly . room clean , spacious free bug unimaginable thing would ruin holiday . travel 3 adult room spacious bed comfortable linen change daily . petrified read hotel advisable bring linen make sure thoroughly inspect linen room enter ! . hotel 2 minute walk 96th subway . across road Mc Donalds , taco bell , dunkin donut various store include grocery store . Central Park 10 min walk away . problem hotel room hot heater , middle winter turn air conditioner cool we . air conditioner would not good summer barely good job we ! loud admit minor problem isn'tworthwhile complain opinion . however mention staff friendly except one man name Charles ( think ) quite rude . delt end stay another night nerve want charge additonal 10 $ book hotel directly . besides attitude stank be not friendly either . go back New York definetly stay recommend anyone want decent hotel , affordable price close subway . 
