fabulous 	 stay one night & amp ; great ! complimentary valet parking & amp ; would even allow car park till late evening even check , . location great we couple block great American Music Hall plan see show night town 5:30 wine reception great start evening . staff friendly , helpful , energetic , & amp ; funny check check ! fiance read reviews hand & amp ; know reserve top floor say room room noise issue - none ! room & amp ; bathroom clean & amp ; crisp feeling . love eco - friendliness hotel offer ! ! will definitely stay . already recommend Hotel Carleton everyone speak trip ! 
 A+++++ WO not DISAPPOINTED 	 stay Carlton Hotel 22 November 3 night honest try change booking follow read negative review tripadvisor . could not get booking change hold breath hope well . glad go Carlton . hotel situate Sutter Street 15 minute walk Union Square , know everyone keep go front desk staff see believe helpful friendly , really genuine really go extra mile make sure great stay . room base back hotel massive bed , room bathroom tastefully decorate . hotel near Tenderloin area good area city , staff warn checkin go near , unfortunately wonder feel threaten vulnerable , although one approach even speak we , warn pay attention go . other review also state wall paper thin hotel , categorically state light sleeper hear single sound room entire stay . certainly could hear traffic fire siren hey expect stay middle major city . I really not know negative reviewer talk , glad take chance stay wonderful hotel . 
 Brilliant hotel load character staff match 	 stay 3 night 22 - 25 November 2009 . arrive hotel , greate Theo reception , load character , professional cheery funny . Check- easy instantly ask need direction anywhere tour organise . give we map , point get Fisherman 's wharf number 47 bus Van Ness Av , short 5 min walk stop . also explain within walk distance main shopping area . miss Macy 's Westfield Shopping Centre . only slight grumble room bit noisy could hear guy next dooe cough quite loudly Theo also explain hotel 5.30 Wine reception every night , meet fellow traveller . make every night , Theo provide music play keyboard hotel . meet load people neck wood , cruise previous staying hotel , brilliant time reception everybody make point back this . the breakfast hotel expensive , load cafe 's etc around hotel , hotel recommend Wing Lum chinese dinner , much look inside , food excellent ( 1 portion 2 load ) pass knowledge 2 group also eat . also little Henry lovely italian cafe / diner typical good italian food , run chinese family reasonably price . Alcatraz miss 
 Fabulous Hotel Great location 	 Fabulous Hotel , Great locationI absolutley adore place . feel family run cosy , ideal location town , shopping , cheesecake factory ! never eat restaurant hear good thing it . stay , good hotel ' ve ever stay . 
 Sep 3 2007 	 Outstanding ! 	 check review booking , disappointed . place ultimate posh , nice , clean , safe excellent value . lot Europeans stay sort ' travel Europe ' vibe . yes , folk front desk really go way help see enjoyable stay . yes , free wine reception lobby every day 5:30 - 6:00 pm . literally close 6 pm , miss , be always tomorrow . hope meet traveller potential dinner companion wine reception , really happen . People drink friend / relative little socializing happen people not already know . traveller say , place 10 - block walk thing might want see downtown . suggest familiarize bus route , bring really good walk shoe , simply prepare unload lot cash cab . BART ( metro ) terribly far , however , BART go place might want go city . skip eat overpriced breakfast hotel 's ' arab - fusion ' restaurant - several cute place within 2 3 block serve breakfast . internet access $ 10 / hour use hotel 's terminal , wifi think charge . thoroughly enjoy hotel would definitely go back . 
 Aug 31 2007 	 word express delight will try ... 	 begin ? husband , daughter ( 15 month old ) get opportunity stay Hotel Carlton 2 night summer . several stop plan jaunt across California , almost cancel stay additional day ... sad , true ... arrive ~ 1 am gotten lose 200 mile thought would take 4 hour PCH actually take ~7 : - ( anyway , staff know come call direction way . arrange valet ( higly price , fault hotel ) help we room . walk , box goody pink blue balloon . guess interject , advice wonderful trip advisor member , tell staff reservation , pregnant trouble sleep , could give we ' quiet ' room . ever ... get last room end hallway . not hear peep anyone else . , back initial entry room ... see balloon box goody ( phrase ' craving ? ' write top , include decadent piece chocolate cake , bagel chip , blue cheese stuff olive , ear plug , import soda water , several little item ) think husband earn serious brownie point . look confused like ' do ? ' . say , look sadly bellman say ' think wrong room ' . smile say , we ... blow away ! even 5 star hotel , would not expect something like ... get little emotional . feel treasure welcome set tone rest incredible visit . room small , , adequate . bed super comfy closet huge . tub soaker probably take 4 5 bath . view room beautiful . single bad thing could even think say place . light fixture wonderful , bed lovely , place incredibly clean . type person usually get let get excited prospect something , review place not cover great . staff top - notch . rudamentary business analysis , not see hotel stay business . room rate incredibly low , staff great , know pay well order keep ( mean , find people professional work would expect reasonably price 3 star hotel ? ) . even resturant ( wait to - go order prepare ) waiter come chat trip friendly ( educate , bachelor degree want something different , come San Fran ) . location great also . someone say something xxx neighborhood ... huh ? not see anything like . big city , cautious , never feel unsafe . also close bus line , never even take car valet . ok , feel like rave long enough , still not feel like convey much adore place . want live ; - ) thank entire staff make trip wonderful . be back West Coast , will back see ya will ... 
 Aug 30 2007 	 clean hotel loud neighbour 	 stay hotel wife week . staff reception great . quite distance walk centre San Francisco . reason choose hotel vicinity conference venue attend good offer website . wall extremely thin one night , neighbour loud continue even though tell low voice 12 am ! overall , reviews tripadvisor convince choose hotel . 
 Aug 26 2007 	 Terrific Value Great Service Lovely room 	 clear whoever renovate hotel train staff know . first , service really outstanding ; front desk staff friendly , helpful , accommodate . clearly train & quot ; can - do & quot ; philosophy , proud . be great see people enjoy work , take pride good staff . second , room large SF beautifully renovate , guest mind regard every detail : large closet , contemporary furnishing , shelf bathroom place personal item , comfortable beautiful bed accessory include comforter , pillow , plush mattress . room appear clean highly maintain . also interesting soothe piece art room throughout hotel . , include great location , hotel low rate city . one good hotel value ever experience . GREAT JOB ! will back ! ! 
 Aug 25 2007 	 Loved ! 	 friend check hotel August 15 , 2007 check August 18 , 2007 . nicely surprised find spacious room nice size bathroom walk - in closet ( something rare SF ) . everything extremely clean ! ! ! staff friendly attentive . hotel cozy lobby fireplace couch . addition , hotel environment -friendly . hotel locate safe place , close downtown Union Square ; however , 30 + min walk bay . valet self parking available hotel ( something like $ 30/ $ 20 per day ) . in / out midnight . later trip , friend stay Ramada Limited hotel Santa Cruz , CA ( $ 150 per night ) room big lack clean feel room Carlton . also , stay Carmel hotel Santa Monica , CA ( $ 130 per night ) room tiny , date , clean one Carlton . hotel price expensive Carlton ( pay average $ 130 per night ) worthe money all . I would definately recommend hotel everyone . enjoy stay ! ! ! 
 Aug 24 2007 	 good hotel ever ! 	 travel world , stay everything 5 - star palace dive $ 2 night -- blow water . first , hotel decorate beautifully . could otherwise mundane 3 star hotel uplift thoughtful touch every room -- moroccan stool , beautiful paint wall , inexpensive cute furniture . boho / ethnic chic . secondly , staff great . courteous one exception , helpful get around San Francisco , even unhelpful person nice . third , lobby great place hang . not expect much wine cocktail hour -- wine great -- visually lobby quite invite beautiful fabric wall , two fireplace , unusual carefully select furniture . finally , restaurant -- not get eat dinner , breakfast good . highly recomme yemeni Fouel , soupy bean paste poach egg . also american breakfast option like waffle . look 5 star luxury comforter persian carpet doormat , not . thing consider , would call good hotel ever stay . 's perfect former backpacker move life , not think other would disappoint either . get good deal hotel website . 
 Aug 23 2007 	 great find . superb service . 	 another hotel neighborhood lose reservation make four month advance website , force scramble day July 12th flight find another place stay . give review read , call Hotel Carlton absolutely blow away well treat . time close send email confirmation , reservation agent make sure name desk manager assure reservation order . checked , treat though long term client book age advance . give great corner room quiet great view . room bright , comfortable charming . the location hotel perfectly suited need nice little restaurant building serve breakfast , even though plenty restaurant nearby choose . focus service exhibit every staff member encounter , bellman restaurant staff , maid front desk people . even get personal response Theo McKinney , Guest Experience Manager , follow post - stay Satisfaction Survey . folk exemplify meaning & quot ; hospitality . & quot ; go regular hotel San Francisco . 
 Aug 21 2007 	 simply Amazing - well - many thank Theo team 	 stay Hotel Carlton 4 nighyts Aug 07 - amazing hotel far good hotel experience ever - firstly many thank Theo , Marco whole team Cartlon whta make place good . stay many hotel across globe staff Carlton far well ever encounter - customer service - really credit establishment . hotel extemely well mainaine , modern ( trendy ) room excellent - location great 2min walk Hyde take straight fisherman wharf 10min walk Union square . read one review say tenderloin high price hotel far close area ! area safe welcome break Fishermans Wharf end day . surmise please book place disappoint really good - many thank Theo team make trip fantastic - wine flower room really appreciate - keep good work . Craig Amy - UK 
 Aug 20 2007 	 Excellent hotel excellent city 	 spend amazing day tour california . hotel extremely well place short walk main heart city- union square , tour , theatre etc . city boutique hotel perfect , especially pleased level service- unhappy first room upgrade room marvellous view extra cost . store supply nearby also . san francisco highlight grand tour think place well soak atmosphere carlton . excellent 
 Aug 16 2007 	 EZ stay Carlton 	 Hotel CarltonWhy good place ? - reasonably price downtown hotel - pay $ 150 usd ( include valet parking $ 30 extra ) per night.- friendly , smiley helpful staff nice polite.- clean room excellent maid service.- free high - speed internet.- HBO decent selection cable ( yeah yeah watch tv vacation - guy - sometimes ... becase beat heck socialize guest lobby ) - desk work room.- nice boutique feel whole hotel . what be wrong Carlton ? - be nearly impossible say anything bad place really friendly , smiley helpful staff nice polite .... ' m bit jerk - con anyway : - room small ( however , heck expect price major city , downtown hotel ? ) .- need car lot cab busfare money despite downtown nothing see within ten minute walk.- bathroom room little beat ( still clean though ) soap , shampoo conditioner dispenser mount wall ( like would find health club shower ) . real inconvenience since wife always take complimentary bath product hotel . find quite difficult pry dispenser thing wall take home . front desk helpful though provide flathead screwdriver get job do . - gym - pay 15 buck use gym area . pay 15 buck leave hotel find gym enough convince not really feel like work out . what be deal guest chilling lobby ? - unknown reason guest seem always hang lobby ... eat pizza , sit front fireplace , drink beverage , talk , read coffee table books.- guess one thing make hotel feel super & quot ; boutiquey & quot ; ? - maybe be : - room really small ; serve wine 5:30 p.m. free lobby people mull around til midnight ; staff friendly helpful , polite super nice.- : - traveller tight budget ? - think weird ' m bond hotel guest . overall - solid place stay San Francisco - complaint pretty superficial - would go back stay friendly Carlton . price think would difficult find well hotel . 
