thanksgiving 	 hotel perfect location : 2 minute walk Pier 39 . great price / quality ratio , nice design make feel really vacation - business . free internet room - lobby , food drink pricy - plenty place outside - 's problem . 
 almost ! 	 recent trip SF , stay Fisherman 's Wharf Sheraton could close attraction pay arm leg . room clean bright call towel , barely hang phone someone door towel . great , friendly service time check time check . be close really great restaurant ( old neighborhood italian place , Ceasars , within walk distance wonderful food ! ) still remove crowd . complaint pretty light sleeper , road noise bothersome . 's four story hotel 3rd floor , ( i- boyfriend could sleep tornado ) hear bus come go homeless people yell night long . get use 3rd night , still ... , great place great bargain ! 
 great location value money 	 book hotel priceline get great rate . stay hotel 4 night late November . arrive little early noon tell room ready 3PM . big deal leave luggage bit look around . great positive hotel , location , location , location . stone throw pier 39 cable car terminal . the hotel hundred room obviously comment relation room check - 2121 western side . noise outside apart air cond noise other talk . air cond particularly noisy fact go time - even thermostat kick still blow air hence noise . free room safe use . also gym fit nicely modern . think part building rennovate recently . staff helpful pleasant odd occasion speak . use lobby free wifi .. worry . ipass etc , able log wifi room discover later : - ) starbuck coffee complimentary . give hotel rate , would recommend great value money would hesitate stay . also buy citypass Pier 33 swap boat ride Alcatraz tour additional cost . great value $ 59 ! 
 family holiday 	 dissapointe food breakfast.we stay sheraton LA week restuarant open 11 pm . nothing tell we arrive would able eat there . be prepared . 
 Dec 5 2004 	 beyond 	 1 - Hotel room , huge , good size lovely furnishing . bathroom split vanity toilet / bath - convenient . bed comfortable.2- nice outdoor heat pool.3 - nice restaurant , well bar . Monday night bud - spud - steak $ 12.95 - beer - potato - steak . good deal.4 - location well . close wharf activity . five minute walk trolley.5 - friendly staff , great concierge desk - Sheraton tell & quot ; right , pick phone dial 0 , make right & quot ; . actually mean . 
 Dec 2 2004 	 Acceptable 4 * 	 stay Sheraton November 2004.it ideally locate tourist initial impression little disappointing . room corridor tired need update . however , staff professional , helpful , approachable polite . restaurant pleasant place start day bar ideal wrapping evening up . before travel San Francisco stay 4 * hotel London Heathrow . say much high quality Sheraton Fisherman 's Wharf ( cheap ) .would recommend hotel - yes would prepared 4 * service 3 * accommodation . 
 Nov 23 2004 	 GREAT LOCATION SF 	 enjoyable four night stay Nov , 2004 . hotel short walk Fisherman 's Whaft & amp ; Pier 39 many excellent restaurant locate . 's also supermarket across street . moderate sized room attractive bed comfortable . 's concierge desk tour . front desk staff courteous helpful . 's restaurant hotel daily special . excellent choice visitor America 's interesting city . 
 Nov 22 2004 	 really disappointing 	 Sheraton run franchisee rather Starwood boy show ! every aspect stay disappointing . Fishermans Wharf loud area , windows wall thin could literally hear conversation street top floor room ! suite stayed not update long time . furniture threadbare cheap , linen coarse bed comfortable . suite bar area , refrigerator break . eventually find work fridge sink bathroom , would thought look ? parking incredibly expensive ( $ 34 per day + 14 % tax ) wait line parking clerk validate ticket get valet every time want use car . good thing say visit unlike many hotel SF right , stike worker front . homework make sure not cross picket line get room . 
 Nov 22 2004 	 Sheraton Okay 	 get back wonderful time San Francisco . hotel okay - a little run state review overall fine . location excellent everyone helpful . hotel look nice close good western Tuscan Inn ( not know price , look wonderful good western ) , Radisson Holiday Inn . surround hotel look new outside . price , would say go nice hotel . hotel simply okay . 5 - yr - old son location excellent little one . San Francisco great everyone say would . 
 Nov 9 2004 	 save money 	 way home Disneyland , decide splurge little , stay 4 star hotel San Francisco Halloween weekend . mistake . research San Fran hotel much Disneyland . the thing place go 's location , rather comfortable bed . the $ 200 / night room give we somber view bus terminal , complete garage deisel engine fire night . inquiry another room meet little concern , clerk advise view room available due height location hotel . surely must something away bus terminal ... . room small , lack fridge microwave ( necessity travel kid ) . toilet not work properly , hall smell smoke , cigarette butts ice / vending room floor . restaurant food joke cost , even bartender trouble mix simple cocktail ( 2 try , gave get help ) .The concierge kind enough give we direction dim - sum restaurant closed week due renovation . parking way expensive hotel , although much well elsewhere . on morning check , decide going spend another dime place , allow bring luggage carrier room , load bag van parking lot ( insurance reason ? ) fortunately , spend time outside beautiful weather , enjoy spectacular site Bay area . when come back Frisco , stay Sheraton . 
 Nov 4 2004 	 Motel 6 	 stay Sheraton Fisherman 's Wharf July 4 , 2004 mistake . people give high rating must use Motel 6 . $ 200 8 x 10 . non - smoking , forget . everything seem smoke friendly . parking next impossibly nice fee will store car . plus be near Wharf / Pier 39 etc . 
 Oct 31 2004 	 could well 	 husband spend week October 24 hotel . great location - love easy get wherever want go wharf area . Sheraton also courteous helpful staff . however , room small bit old , run - down tired looking . expect Sheraton four star rating . find wonder rating give . never try breakfast buffet , , opinion , expensive . fortunately , IHOP right across street breakfast every morning . overall , lovely time absolutely love San Francisco 
 Oct 20 2004 	 Best Place stay 	 husband stay Sheraton Fisherman 's Wharf vacation October , 2004 . staff friendly helpful . hotel advertise bed & quot ; comfortable bed away home & quot ; 100 % correct . also nice sport lounge courteous staff . love everything hotel - especially location within walk distance Fisherman 's Wharf . stay California good ! 
 Oct 12 2004 	 Lovely Hotel Excellent Location 	 read many varied review hotel . say impressed hotel , service , location overall experience . take advice trip advisor user ask room away bus terminal grant second stage honeymoon , arrive hotel bottle champagne await hotel room nice touch . explore Fishermans Wharf , well location Sheraton even affect local strike hit surround hotel . speak highly hotel , staff management . 
 Oct 8 2004 	 LOVELY HOTEL GREAT LOCATION ! 	 hotel perfect tourist want see San Fran . fab location literally 3 - 4 minute walk fisherman wharf nice quiet well light safe area . not know everyone give hotel really bad review beacause find staff great ( even get room upgrade arrival ) bed comfy hotel bed ever sleep ( new sheraton sweet sleeper ) . overall find hotel fantastic , ok resturant bar little pricey make eat / drink . would definatley stay . 
 Sep 20 2004 	 much well Motel 6 	 expect Sheraton . staff rude , bed hard , not forget leave tea bag , forgot stir stick , sugar , cup . one day return room ant coffee counter maid clean up . parking extremely expensive $ 30 something day . could stay less expensive place exact quality even well . for well stay recommend Nob Hill Hotel . room tiny , clean comfortable . feel San Francisco . 
 Sep 13 2004 	 Adequate 	 view jaundice give room overlook bus terminal , otherwise could really fault . breakfast buffet excellent value , good quality service friendly . location great Wharf , Alcatraz must . 
 Sep 3 2004 	 Great Location - 's 	 good point hotel close Pier 39 . get room first floor , right road . could hear bus auto traffic go night long . hotel cheer , kind dark make depressed . situate right main road , not really get quite moment . never stay . also rip $ 30 / night parking fee restaurant expensive . not need dine since many restaurant area . 
 Aug 31 2004 	 much well expect 	 review read , expect much , pleasantly surprised . we get quiet room request ( side bus terminal ! ) . room nicely decorate clean , everything work well . two double bed broad enough four people comfortable . room vary slightly size : little bit large usual standard room . also , staff helpful friendly . we find anything complain ! parking expensive hotel $ 32 plus tax overnight rate , slightly cheap parking garage across street ( Walgreens , Safeway ) .also , location great ! try Cafe Pescatore , good italian restaurant - moderately price - across street . 
 Aug 28 2004 	 find maintenance man ! 	 stay 24th - 26th Aug. outside hotel look shabby desperate need lick paint . lobby much brighter attractive . room new beds linen not room would look tired . bathroom crack sink crack floor tile . staff helpful friendly yet couple miserable . the pool fantastically warm lovely cold evening swim . kid love ! Alcatraz - go get ticket notice say sell week , however , not despair , go ticket office Wharf 7.30am day want go get ticket keep amount ticket last minute sale . make sure make effort fantastic day - well worth get early . 
 Aug 27 2004 	 good location .... old hotel 	 Sheraton great location , easy walk waterfront , attraction , good seafood . hotel old need update , room pretty clean ( nothing noticeable ) linen , towel , carpet , iron , etc old . not plan spend time hotel room , location would make hotel ideal . expect relax nice hotel , would go else . San Francisco great city come back .... Sheraton . 
 Aug 23 2004 	 could well .... 	 stay Feb , 2004 & amp ; expect much fr Sheraton . lobby beautiful , however be pretty much , room not great , kind small . location however excellent , short block Wharf ! staff friendly . restaurant hotel lobby excellent , pricey . would go back , expect upscale Sheraton average standard hotel . 
