luxury 	 stay couple month open . beautiful suite great layout . love everything incredible bathroom , comfortable bed remote control shade curtain . casino connect venetian lively fun . phantom incredible . 
 amazing stay one Las Vegas ' good suite hotel 	 Palazzo quiet serene oasis midst Vegas strip activity . twin tower Venetian , huge Palazzo suite amazing view Strip - directly across Treasure Island Fashion Show Mall . location great . never leave Venetian / Palazzo complex , , be close Wynn Encore Mirage . 
 Great Stay 	 second stay would stay anywhere else . service room always excede expectation . room huge always clean . service great always happy help . everyone work maid taxi line people always say good morning , afternoon , ect . would recomend hotel anyone . 
 Mature clientele 	 stay Palazzo right Thanksgiving . find hotel mature clientele , without much party scene , fine . think be hipster look big party scene , may right hotel . hotel nicely appoint clean . room nice , impressive , consider pay . certain area , & quot ; aroma therapy & quot ; pump , combine usual cigarette smoke , bit hard swallow . staff service average . one waitress make positive impression tip accordingly . desk personnel friendly , agenda sell pay upgrade . logistically , Palazzo good jumping place want within close walking distance either Wynn , Mirage , TI Harrahs . hotel large , combined sister property , Venetian , slight orientation challenge . two join property , be pretty much something everyone . overall , not big issue hotel , expect , give price pay room additional service . 
 vastly overrate 	 unfortunately big disappointment , except bright spot ( server Grand Lux , comfortable / spacious room ) . service nowhere near would expect five diamond hotel ( receive ) -- multiple call priority service get equipment room working order , surprise fee , unknowledgeable concierge multiple occasion , room service meal sit hall almost 24 hour . be prepared pay fitness center ( despite note website ) . tell additional charge use whirlpool ( ask multiple people ) , find one outside free charge -- not staff know property ? back Bellagio next time 
 Mar 31 2009 	 Palazzo concierge level - worth every penny ! 	 husband invite group friend accompany we first trip Las Vegas celebrate joint birthday . ruminate whether spend extra $ 100 + night stay concierge floor , decide go . moment get hotel , service fantastic . check breeze take less 2 minute -- sale pitch upgrade request hotel associate . acquire suite package & quot ; extras & quot ; problem , either . really impressed cleanliness oublic area hotel ( little cigarette / cigar smell walk casino ) . concierge floor , greet promplty give two new & quot ; concierge level & quot ; key ( silver vs. red , think ) , ask need anything . give complimentary upgrade strip view -- perfect view pirate boat show evening across street - amazing ! appetizer serve various part day light impressive , make drink serve evening -- Jose make excellent long island ice tea ! room well - keep -- like many report , never turn - down service , house keeping come random time day ( consistent ) . also noise room strip - great sound dampening ! beware room service -- pricey always bring low price option request ... $ 70 grill cheese , mozarella stick 3 Fiji bottled water .... upcharge order 3 am ? food good , however , bring promptly despite warning wait 30 minute . suite clean fully functional - no problem electronic drape lightbulb , etc . ( phone W.C. work , however ) .wonderful time -- would highly reccomend someone want easy access strip , well nice hotel room . 
 Mar 30 2009 	 5 Diamond Way ! ! ! 	 second visit since open hotel never stay anywhere else . luxury suite beautiful , well clean perfect 3 day stay ! wonderful view strip . 5 diamond way ! machine little tight year casino , case casino strip . 
 Mar 30 2009 	 nice room stinky perfume everywhere ! 	 stay wife Luxury Concierge suite Palazzo . normally stay Wynn / Encore review comparitive . first , concierge level definately worth extra $ 100 / night be fine small breakfast drink lot . luxury suit nice , slightly large Encore nicely decorate . furnishing cheap place dirty overall . look pretty worn new hotel ( eg . button miss upholstery sofa , chip paint furniture ) . housekeeping terrible not turn bed night . concierge staff hand nice attentive . big problem hotel , however , spray overly sweet smell perfume throughout casino make sick . not get check pool close due high wind ... funny Wynn not close . go Canyon Ranch Spa ok , though , clean gym locker room ( staff good though ) . future trip stick Encore . 
 Mar 29 2009 	 Fabulocity Max 	 come back first stay Palazzo 3/23 - 3/27 . book luxury suite concierge level stay glad . upon arrival tell valet staying concierge level promptly tell we easy instruction bypass lobby registration head 23rd floor via guest suite elevator . boyfriend non - smoker walk casino already happy . casino floor smell great ( king like Tommy Bahama store ) . gross , smoky , saturation everything . 23rd floor meet one many excellent concierge staff . tell benefits huge lounge . first floor worth exra money pay . great evening view T.I . many small & quot ; live room & quot ; , large flat - screen cool furniture . 's food throughout day evening open bar great right head . love Birgit bar ! room great , ' m include ton pic . view not really anything great . view Fashion Mall top building . not care though . love roman sheer window daytime especially remote . three T.V . 's . one sofa area , one bed area small one bathroom . pretty sweet . love super comfy bed supersize tub , 6 ' 2 & quot ; boyfriend could lay . checkin check blast love stay . ' ve stay 5 hotel Vegas strip Palazzo kick butt ! 
 Mar 28 2009 	 great room nice casino . 	 good thing room bathroom - huge , nice . room big , nice view Vegas strip ( 40th floor ) . quiet . complaint would bed little hard room seem get really hot middle night , make get turn air . could , though : ) nice dinner next door Venetian Tao . 
 Mar 24 2009 	 Nice 	 stay March 2008 - hotel not open long . contest free stay . thought would put & quot ; available room . & quot ; give nice room great view strip . room spacious sunken seat area two comfortable plush bed . room clean , quiet bathroom large . security person station entrance room part hotel guest get elevator . check check fast easy . Vegas sightseeing gambling , since not gambling , can not really say anything . Palazzo attach Venetian get hotel 's food , casino entertainment , easily . ( Blue Man Group fantastic . ) like nightime chocolate pillow ! hint get hotel . go taxi make sure tell driver stay interstate . return trip airport save $ 10a hint get strip : Vegas couple time find take deuce double decker city bus , hard time get evening . bus get stop wait , bus already full take new passenger . ( security guard bus control angry people ) meanwhile bus stop 30 people wait get . time pass , people start wait . , also not matter bus stop first . bus stop , people ( 5 take ) allow get whether 1 minute 40 .. first time Vegas learn tip deuce not bad . sure plan get need somewhere allow time . 
 Mar 20 2009 	 Concierge Level 	 business partner arrive Las Vegas early Friday evening upon check , offer deal upgrade concierge level . package explain think economic clearly make sense . receive $ 20 credit toward food day addition perfect continental breakfast happy hour hor d'œuvre , complimentary cocktail concierge lounge 5 - 9 night stay , well free dvd 's watch room . upon arrive concierge lounge , impressed place . private room enjoy group . meeting , use meeting room . staff great . plenty TV 's throughout , even weekend , could always find table sit , enjoy coffee , check email , relax . guest meet also vocal impressed , thankful make upgrade . not sure next time visit Venetian , ask let see check . especially business . be like 10,000 sq ft living room . even nice suite , get little old trying work . give much well option . 
 Mar 16 2009 	 Overall Great Hotel 	 husband stay attend week long convention . since pay obviously good value . Ample well lay room ( thus maximize space ) . three tv 's nice touch different area ( bathroom , sleep section living section ) . gorgeous view Wynn golf course landscape beyond ( 34th floor ) . nice interior detail throughout . although hotel fairly new , room beginning show minor damage traffic ding dry wall , chip tread stair lead living area , button miss velour couch crack surface bathtub tiling . location nice . close many interesting hotel , diverse restaurant good shopping . staff helpful friendly . check Check effortless . pool area clean ample . internet work well . impressed room always clean return room afternoon without scheduling housekeeping ( typically would leave room noon return around 3 pm ish ) . 
 Mar 16 2009 	 Disappointing 	 look forward stay Palazzo semi - annual trip Las Vegas , book reservation several month ago . check site prior leave find rate come . would give we benefit low rate , want charge we upgrade , total cost would much high publish internet . desk clerk would never give wife direct answer cost upgrade , say would cost $ 100 . considerable questioning , advise we extra $ 100 per night & quot ; $ 300 . & quot ; extract incremental already pay original reservation , response tell newly quote charge offerre online . the room nice size well appoint , although furniture already start show wear . & quot ; master light on / off & quot ; switch enter suite , sound like be throw circuit breaker shut place . go bed first night long day travel , meeting , & quot ; fun , & quot ; find master switch turn three sconce light mirror two queen bed . look switch finally call front desk . tell switch , sheepishly say could find . seem annoyed stupidity , offer send someone room . wait 15 minute , call . clerk tell find switch , say not exist . confirm maintenance way , want check switch one time ! continue wait , try reach behind shade unscrew light bulb , burn finger . guy eventually come tell we room light , convert one switch , one must miss . remove shade unscrewed bulb . ( ' m still try figure previous occupant sleep light ! ) work colleague upgrade concierge level room , disappointed promise turn - down service not exist , one day room even clean . there lot good restaurant complex , bellman friendly . not spend much time shopping -- thing -- nice ( pricey ) store . overll , sure would jump return unless financial incentive . well stay less money Bellagio Four Seasons . 
 Mar 16 2009 	 GREAT central location 	 wife stay palazzo 3 night december 08 blast . hotel give we $ 50 gaming credit per night stay total 150 trip . wife big gambling love free money . room hotel fabulous . suite hotel not worry enough room . bed comfortable comforter pillow . bathroom also spacious . hotel good location close action . however recomend cabbing . thing appear lot close ... take we 45 min walk palazzo mgm . tip : use gambling credit penny slot ... almost pay entire trip . dinner balcony Olives balagio .. perfect spot watch fountain night . breakfast Paris . dinner Lavo say hi fat lady entrance club ! ! ! 
