Exceptional 	 stay 12 year love hotel . great room amenity . excellent English breakfast many choice . location near tube , restaurant , theater many interesting sight see . friendly atmosphere . would recommend age . 
 Nice renovate hotel good location 	 work 5 min away use overnight stay London . recently renovate , nice hotel , pretty good service door reception . room king , internal facing , fine arrive 5 not really look , probably worth check view get . bathroom really really small spotless modern great . room decent size , desk , seat , LCD tv decent sized wardrobe . hotel overnight shoe shine service not use not aware lead sign aspire good hotel . overall would say good hotel frankly price good . hotel London generally hit miss sometimes , pay £ 200 would stay , central everything , modern clean . however cost £ 190 get Claridges £ 250 ... mmm formal / stuffy fo get overall well hotel Royal H. overnight stay stay . tourist stay long , fair bad choice , although good 15min walk Covent Garden 5 - 10 Trafalger square . 
 may 19 2004 	 Terrific Location old hotel beware street noise 	 wife return London stay Royal Horseguards hotel . utilize website review hotel pick location , feel responsibility add review , thought etc . arrive London May 11th 10:00am , overnight flight Charlotte , NC . custom London hotel , ( find later ) room go ready 2:00pm , leave luggage wander around bit . hotel locate Thames River , directly across world famous London eye observation wheel . addition , Parliament , Big Ben Westminster Abbey 5 - minute walk west . Trafalgar Square , Piccadilly Circus Covenant Gardens 10 - minute walk East . official residence Prime Minister , 10 - downing Street approx 1 - block away , imagine , security camera everywhere , make area extremely safe . Embankment Station subway literally 100 - yards hotel say , extremely user friendly . get nearly everywhere tourist would want go via & quot ; tube & quot ; pretty short order . return hotel check show room , disappointed . room old , standard expect . read numerous review site describe hotel room , think pretty good understanding expect . however , discover , hotel old , process major exterior renovation ( entire front hotel cover scaffolding ) hope renovation continue interior well . first thing notice room hot stuffy . attempt cool room futile , & quot ; vent & quot ; fan work . also in - room iron work , room much darker & quot ; old & quot ; look website photo show . pay Executive double room , second high rate room suite , definitely expect . 10 - year wedding anniversary trip , immediately go front desk request new room . book week stay , way go stay room 6 - night . hotel fully book evening , hotel staff indicate could move we follow day . inquire want move , mention item , well fact noise come train station room car along main street really quite loud . unfortunately , room & quot ; view & quot ; locate river side hotel way escape noise . trouble sleep be noisy , book room river view face river . even earplug little mask noise first evening . note issue traffic noise , hotel indicate river face room would problem , could move room opposite street , however , opt stay river view move we away train station . help noise eliminate . however , room much expect . large , tall ceiling , brightly paint , ceiling molding , thermostat control air conditioner ( work well ) , marble floor bathroom , separate shower tub , overall much nice experience . place room begin still not understand . however , despite room much nicer , still issue . numerous crack along ceiling wall run molding , indication hotel still shift settle . bathroom paint old flaky , separate shower minimal water pressure , despite four additional side jet well normal top one . breakfast include price room would recommend make sure get well . say breakfast include understatement . continental breakfast , huge buffet . Eggs , large sausage link , ham , oatmeal , fruit , juice , cereal , pork bean , pastry , mention . definitely good deal great way start day . overall stay enjoyable despite initial problem . not expect stay Ritz , aware four star hotel London four star hotel New York . location fantastic , central everything great way experience stay London . however , aware location noisy stay river side hotel . front hotel , locate opposite side , quite , void traffic street noise provide ideal room like sleep , although see nothing window scaffolding . hope review help plan trip near future . question , please feel free contact . 
 May 1 2004 	 Eye Eye 	 friend stay hotel March . initially could give we non - smoking room , river view , book offer we upgrade deluxe smoking room one high floor . go inspect . river view - 7 ft tall ! not accept eventually offer lovely room superb view , french window , landscape garden Thames towards Eye . unfortunately , due Health Safety , window could open . bathroom small little tatty . however , staff friendly , restaurant spotless food superb . , great value money excellent location . 
 Apr 29 2004 	 great location . good value good service good food 	 hotel great . would not believe close action , yet quiet uncrowded . get London 3 4 time year stay Royal Horseguards past 5 6 year . if not like room , ask change . price ( be cheap , always spring ) get room river view . sometimes be even suite ! great buffet . nice dining room . nice room service . amenity . go package tour , might get inside room 's small side , would go pay extra river view room . bathroom even view ! be look great location , reasonable price really nice place ... look ! 
 Apr 14 2004 	 Fantastic hotel 	 EASTER 2004 LONDONWe wonderful stay Royalhorse Guards hotel London . hotel room overlook Thames , sit room could see St Pauls cathedral , millennium wheel , look fantastic night sky.excellent service . excellent location & quot ; BEST LONDON & quot ; . excellent value money . FANTASTIC EASTER BREAK FAMILY 
 Apr 13 2004 	 Great stau 	 wonderful stay Horseguards March 23 & amp ; 24 . bit wait room ready upgrade we superior room , indeed superior . room huge , overlooked River Thames London Eye . bathroom extremely large tub shower stall 6 shower jet . service great friendly . location super , embankment tube station right around corner . restaurant pub nearby Whitehall Embankment area . would definitely stay . 
 Apr 9 2004 	 great experience great hotel great location ! ! ! 	 get back spend four night April 2004 property London . book base favourable review TripAdvisor.com . stay room 210 although view room huge standard ! room 12 foot ceiling , a / c , tub shower water pressure would easily take skin peach heat towel bar . sit area couch coffee table , plus writing desk internet connection . book 4 month advance via internet pay 110 pound per night , include taxis full breakfast morning . arrive 2:00am warmly greet whisk room . next morning greet seat dining room breakfast . buffet style good sausage ever taste . coffee plentiful server smile accommodate . great experience concierge arrange transformer deliver room converter fail order charge batterie digital camera . stay hotel London , good one far . location two block Parliament Buildings Millenium Wheel across Thames River . 
 Apr 9 2004 	 fabulous location hotel ! 	 London 3 time , stay Knightsbridge Russell Square area . want try new location , pick hotel GREAT deal offer website . good hotel ' ve stay London also good location -- close mostly everything ! take Tube twice , time able walk destination . close Trafalgar Square West End area , Piccadilly Circus Regent Street shopping area , St. James Park , Thames , allow easy access Southbank Southwark . would definitely stay Thistle hotel . 
 Mar 2 2004 	 wonderful hotel location 	 sister plan trip London since September . book everything online hope well . well hotel great . hotel staff friendly . love location tube station walk distance alot attraction . would recommend hotel anyone visit London . 
 Jan 7 2004 	 Great Value Deferred Maintenance Problems 	 four night stay Christmas 2003 Royal Horse Guards assessment hotel good value great location problem defer maintenance issue keep true & quot ; 4 - star & quot ; hotel . for 105 pound rate , nice quiet room second floor . room comfortable marble floor foyer lead high - ceiling bed chamber finish crown mold decorative millwork . room expect amenity 4 star hotel include high - speed wireless internet access , mini - bar , iron ironing board , hair dryer , heat towel rack . also complimentary tea service ginger biscuit . we find housekeeping service somewhat lack 2 towel , 1 washcloth , 1 bathrobe . also maid ignore & quot ; disturb & quot ; sign attempt come service room sleep . I disappoint see number area hotel poorly maintain . lobby nice fireplace upon close inspection , could see upholstery fender wear split stuffing come . wood paneling elevator scar gouge . spot paint miss hallway lead room . the breakfast include 105 pound room rate generous uninspiring . great restaurant London ( Ivy , fish ! , Zafferano , rule , Mezzo name ) reason eat hotel . give great location good price , defer maintenance problem big issue would stay . however , pay rack rate 328 pound ( doubt anyone ) slipshod level caretaking would unacceptable . 
 Jan 5 2004 	 Fantastic hotel 	 stay Royal Horseguards 24 - 28 December 2003 ... Christmas holiday , hotel terribly busy , nice quiet . excellent room 3rd floor , huge compare London hotel ' ve stay ( size room equal one Four Seasons Park Lane ) . bed little bit lumpy , bad thing say hotel . excellent location , right next embankment tube station , easy walk site central London - 109 quid night . stay stay . tremendous - highly recommend . 
 Jan 4 2004 	 Great experience 	 first trip London . location great . 2 minute tube station short walk Westminster Abbey , Parliment , Picadilly , several attraction . room face London Eye great view New Years firework . could not ask first trip overseas . 
 Jan 4 2004 	 Xmas London 	 husband , 15 year old daughter go London Xmas 2003 . Left 12/20 come back 12/27 . stay Royal Horse hotel . location great , everything walk distance , people hotel outstanding . bad thing London food , hotel food ok , outside hotel London food plain , pasterie plain . everything close 24 , 25 limited 26 , not recommend go London Christmas . highly suggest take dinner cruse Theme River , outstanding food good . day trip Paris , suggest go Paris stay overnight , two day enjoy Paris . food Paris great . not make Markets London , hear great shopping . Harold outstanding shopping , , expensive . remember American Money worth less London , example cash $ 1,000.00 US money , be worth $ 500.00 London money , make sure plan correctly . bus system London confusing , underground easy , recomend buy Vistor Travel Card , allow get underground bus , buy Vistor Travel Card US , available London , go Britsh Travel web site buy one . great site see London Wax Museum , Shakespear Globe , Tower London , Buckingham Palace - if see change guard , get around 11:00 , stand around long , be long boring , neat see guard little parade . 
