Skyline 	 know feel leave home go somewhere exciting be hope hotel book turn amazing ? wish come true . skyline like 4 1/2 5 star hotel . suite divine ... & quot ; home away home & quot ; . soooo much space room , super clean . bed comfy . hotel staff ... doorman , reception service clean service friendly professional . suite impressive view breathtaking ... especially evening manhattan skyline . location central . walk theater district , times square cab / subway accesible . choice restaurant deli nearby . overall ... amazing stay Manhattan thank Skyline Hotel . & quot ; be home away home truelly hide Gem & quot ; . would stay heartbeat ! 
 great except one caution 	 caution : not pay parking twice ! fail tell ' ve already pay parking check . not notice item bill day return home . otherwise , place convenient , clean , include room , common area , restaurant , pool , etc .. room include large screen tv , nice desk chair fridge . staff friendly although concierge seem bit stand - offish . overall , well worth price plan stay . oh - not look like much outside , inside obviously redo . 
 Fantastic Room 	 pay € 120 euro per night room ( www.getaroom.com think ! ) include taxis delux room , say 1 double bed booking . check frienly lady , give room 3rd floor . to supprise room huge , 2 double bed lot room around , large flat screen tv , smallish clean bathroom , larg vanity / dress area side bathroom . also small storage room case , safe , iron ironing board . view garage rear hotel noise plenty see NY centre problem ! room Black blind sleep well comfortable bed . the room spotless , little creamy decor colour like refurbish last year I d say . I not use pool bar bar food area/ resturant look nice , bar quiet every evening make 10min brisk walk Time Square.48th , 49 , 50 th street take Time sq directly , find 48th 49th bit dark walk night small enough poorly light night ( not problem ) , prefer walk 50th night much wide well light . I find hotel bit time sq consider lot walk NY foot tired , subway station near ( could find ) . minor issue , consider previous hole stay NY hotel pallace ! would definatly stay , great find NY dodgie come hotel . safe bet.enjoy NYStehen 
 nice hotel rude valet unconcerned bellhop 	 hotel room nice , clean , large . room book double , nice comfortable bed . restaurant reasonably price come large portion . valet staff rude time entrance check . also , highly advisable wish obtain something car middle stay actually get upon arrive . although valet price $ 10 , would much rather pay well service less rudeness ( ' ve stay alot big hotel around US experience much rudeness ever ) . major note .... book hotel online need make modification call weekday make change .. well call 800 number provide website instead book online . thing aside , hotel nice place stay . 
 Excellent Value 	 return trip NYC Thanksgiving 5 good night Skyline Hotel . lodge plan make early fall leave look 2 room 4 adult 1 4 - yr old last minute rate would not bankrupt . find Skyline reading review book room cross finger . soon step lobby , know go ok . check quick efficient receive room well advance check time . lobby trip elevator art deco feel go back hotel really treat . couple day arrival return see holiday decoration though lobby make sparkle . nice . room large king bed , pullout sofa , desk , armoire drawer hide small refrigerator , vanity counter hair dyer still room 4 yr old granddaughter room play . bathroom nothing speical completely adequate nice towel . room spotless day check , carpet still little damp steam clean part housekeeping duire week acceptable . plastic wrap glass never replenish whole time either room cup leave something , dispose . minor , still enough make less & quot ; good & quot ; pretty low maintenance check somewhere not need concierge help except small maintenance issue AC unit one room fix . staff friendly pleasant time come contact . old lady work gift shop jewel . restaurant seem one stand - out , eat breakfast day leave , go order menu encourage buffet everything time get refill go . everyone appear blame someone else fact go ahead stick gratuity kind rub wrong way . mostly empty much good food around can not see much reason choose . bar drink couple night , pretty dead look big party someplace quiet end evening get . far food neighborhood , many good little pizzeria mention . City Lights Diner Renaissance Diner stand out . 
 great value Midtown 	 reserve deluxe queen room new part hotel back . room large NYC standard recently renovate . room 646 face north . want well view , ask south facing room ( think end _ 34 _ 41 ) thing like . can not tell difference room decent Marriott nice Holiday Inn -- except wallet . $ 10 parking indoor pool ( extreme rarity ) ice cake . liked beat path . get see real manhattanite live restaurant not tourist trap . many , many restaurant choice Hell 's Kitchen area , casual reasonably price , deliver . Empanada Mama 's great . think will stay every time come back . 
 Loved Skyline Hotel ? 	 stay Skyline Thanksgiving . everything need family 4 ( kid age 8 & amp ; 10 ) . love pool , ! room nice view city bed comfortable . nice plasma tv HD service far could tell . staff always friendly helpful . Bis . co. Latte 47th & amp ; 10th great place morning coffee , biscotti fresh fruit . everything require walk 7th , 8th 9th avenue , like walk city big deal . many subway line stop around 50th & amp ; 8th . Taxi $ 32 way lga.from remember , WiFi $ 10/1 day , $ 25/3 day , $ 35/5 day , $ 40 / month . we book getaroom.com get great deal . hotel $ 250 / not Thanksgiving week , get Skyline $ 160 . great hotel overall ! 
 Jan 24 2004 	 not walk ... RUN hotel ! 	 book night Skyline take boyfriend romantic evening , terrible ! room tiny ... cold ! sad excuse blanket heat sound like team construction worker ! choose warm loud cold quiet ! wake 2 uncomfortable order food nearby diner deliver hotel . boyfriend go downstsair pick food would not let delivery man come ! 3 lamp room - 2 work . towel small paper thin . when ( finally ) check , go get car $ 8 garage , allow keep car 3 pm without getting charge . get window 3:04 help 3:14 ... point manager charge we entire next hour minute late wait line ! make long story short , terrible hotel turn romantic night nightmare ... know New York City pricey , pay extra ... worth ! good Luck ! 
 Jan 14 2004 	 skyline new york good good value 	 find skyline good value stay 8 day new year bed hard thou .. room keep clean swim pool open strange hour view skyscrapper tenth floor location . hotel bit way two bus route across uptown .very easy use cheap 7 day pass 21 dollar subway bus [ metro card ] important tip get airport [ jfk ] 7 dollar use subway howard jonson [ blue line ] ask leaflet subway instead approx 65 dollar taxi ... subway easy use safe streetwise blend local ..... reccommend munsonn dinner side hotel 1 block real true u dinner trimming happy travel , 
 Jan 14 2004 	 pay extra stay elsewhere ! ! ! 	 like hope get good advise hotel research read . stay Skyline past weekend ( 1 - 10 - 04 ) , stay many hotel mid - town / theatre district , one stay . overall , hotel room look old despite & quot ; Newly Renovated & quot ; description see travel website . loud bang noise come heater keep night , seem one setting & quot ; EXTREMELY HOT & quot ; even though play ever possible setting . remote control work bathroom extremely small . please take advice , comfortable stay pay little stay somewhere else . NYC great place stay . not let hotel choose ruin . 
 Jan 13 2004 	 stay ! 	 place horrible , good thing one night . variable complaint , might different . firstly , book expedia maybe that s , do not think ( standard room $ 116 ) .so , top 10 reason avoid skyline:1 ) short -end- -stick -- - expedia offer 2 option 1 king 2 double -- get hotel sunday , ask upgrade -- lady look cross - eyed , say be not available ( yeah right , sunday -- give break ) get 2 doubles.2 ) enter hotel room ... geez 2 4 light break . funky full mirror one wall ( tacky ) 3 ) shower leak faucet4 ) fridge room5 ) go night come back room card do not work -- go conceirge desk , well blame we . tell we around cell phone bc demagnitize . well 5 min . later apologize finds actually never activate one 2 card first check - in -- last 15 min.6 ) next morning , could not order want menu room service lucky we do not serve particular item room service yet menu . hmmm make wonder6 ) request long check - out time ( 1 oclock ) , check time usually 12noon . mean foreign front desk woman say sure , however,7 ) 11:35 get call hang ( call inquire call -- say mistake rush phone ) 8 ) 11:49ish knock door maid -- - , & quot ; DISTURB & quot ; hang tag door9 ) 11:52 another knock door hang tag still doorfinally say forget leave 11:54 , horrible experience10 ) front desk woman rude russian woman do not smile whole time -- totally negative . first real experience new york hotel far horrible . please go somewhere else 
 Jan 7 2004 	 fantastic stay 	 Stayed Skyline Hotel 5 night New Years Eve . arrive find upgrade junior suite free charge , nice surprise . room beautiful bed comfy ! guy concierge always helpful question . much recommend stay . 
 Jan 7 2004 	 great location decent hotel . 	 well never NYC , hard research . choose hotel base cheap price ( around 100 buck ) multiple great review . however get notice problem . one - location not really great . 15 minute walk something worth visit ... even subway ... downtown , central park upper side quite way away . would better stayin ' near times square ... downtown . neighborhood appear safe , not interesting . staff friendly helpful part , terribly knowledgeable city . room huge however , much large NYC . room well furnish bed uncomfortable ( amazing either ) . bathroom pretty tub shower ( king room - would recommend ) . room smell smoke however ( request non - smoking room ) A / C + Heating unit rattle rather loudly . view nothing spectacular actually ... not fool advertisement . not ugly thing world . would not stay , would rather different location ... experience bad one . 
 Jan 4 2004 	 great place affordable NYC trip 	 great location , cheap parking , huge room NYC , affordable rate . little contact staff ( one travel mate check we ) everyone seem pleasant enough . stay one renovate room quite nice . never check pool 's kind rarity affordable hotel New York ; ' m sure kid would dig ... lot great restaurant within easy walk distance ; get great breakfast every morning Galaxy Cafe 9th , block away , bit splurge , check Hells Kitchen -- great Chicken Mole . plan another trip New York year stay Skyline sure . 
 Jan 4 2004 	 would stay . 	 first trip America , spend couple night Poughkeepsie , spend three night NYC ( Tuesday , Wednesday Thursday ) first week November 2003.the check - in quick easy , although much contact staff . book room use hotel internet Website single occupancy . room locate near lift low floor , overlook parking lot torward hudson river . room bathroom small hotel stay trip ( Smaller UK Travel Inn / Travel Lodge room ) , matter me- much New York , stay room much pay single room ! long tv , Private Bathroom , bed room clean hygenic happy . hotel cheap could find versus reasonable quality , good location . within walking distance Broadway / Times Square excellent cheap NY Subway Network plenty useful empty yellow taxi pass hotel . also opposite shop dehli do nice toast cheese roll tub ice cream ! return New York , would stay , price , would also first look price review hotels area . also would go vacation different time year . cold rain New York stay early November . 
 Dec 26 2003 	 Christmas 2003 vacation 	 Christmas 2003 vacation excellent due value comfort stay Skyline . room nice clean . price excellent New York refer friend plan trip New York . staff accomodate helpful . deli , pizza , chinese resturant across street serve delicious fresh meal economical price . highly recommend resturant quality price . neighborhood quiet safe . would recommend family . excellent location . bus stops corner make transportation problem . definetly metro card . thing suggest add alarm clock room availability microwave . 
 Dec 15 2003 	 Excellent location 	 stay 4 night Skyline hotel . check short sweet desk staff friendly . arrive room 5th floor pleasantly surprised spaciousness room , do extensive search internet NYC Hotels find room NYC hotel tiny . friend allocate room could literally hold dance , complete 3 piece suite , fridge monster size tv . admit feel bit envious allocate room : - ) hotel clean room warm , greatly appreciate weather freeze 20th - 24th October . short walk Empire state building etc . plenty restaurant vicinity . must admit wonder call Skyline Hotel arrive 5 floor one block 9 floor block . night leave take lift 9th Floor amazing see New York Skyline ..... must ever book hotel . recommend hotel friend would certainly book return NYC . overall great end wonderful 3 week vacation USA . Arnie say & quot ; will back & quot ; 
 Dec 15 2003 	 Watch weekend ... 	 stay long weekend September 2003.as go along corridor room , pass several drunk man 20 's carry bottle room shout ... good indication thing go ... room stay dump ! bedsheet cigarette burn fray around edge . complain room smell damp/ cigarettes/ dirty/ tell available ... ! spend Friday night listen bloke corridor shout go room . Saturday evening great arrive back hotel ... beware ! ! ! 1050 Lounge downstairs rent weekend private function . on night , sort wedding reception involve bang music 5 am ! ! ! ( ever see scene Jurassic Park glass water ripple vibration - night ) complain 1 am tell could not move room ( directly mayhem ) complain 4 am , tell nothing hotel staff could . ( seem odd consider building ! ) one couple actually check - out 4 am could not stand noise anymore - hotel staff not even APOLOGISE ! promise Manager would speak we check - out follow Monday , surprise , surprise ... always & quot ; unavailable ! & quot ; Sunday night almost bad pair gay man next room scream abuse one sleep someone else . ( yes , wall really thin ... lie bed listen soap opera unfolding ! ) potential fantastic hotel , staff awful let guest whatever want , room stink dirty , need refurbishing could great place stay . we choose Skyline 's location ... not make MISTAKE ! ! ! ! ! 
 Dec 6 2003 	 handy everything 	 arrive New York red - eye LA , expect bad 7 hour check - in . surprise offer choice 3 room immediately . stay new block house pool tenth floor . view MANHATTAN night room pool worth money . subway one block away , bus pass straight , taxi Times Square $ 5 . room quite spacious live photograph . McDonalds Starbucks close handy . problem move Manhattan , subway handy low Manhattan journey . , great stay ! ! 
 Nov 28 2003 	 Great Place Stay 	 stay Thanksgiving - - November 24 - 28 , 2003the Skyline Hotel GREAT place stay kid . room large bathroom bath / toilet separate vanity area . pool definately BONUS walk / shopping day , although bit heated ( thermo read 90 degree ) .We book online two internet site ( two different price drastic difference ) . inconvenience experience check two day rechecke - in ~ ( stay room ) .upon check - in give room 2nd floor , overlook rooftop reservation desk . want little high view . call front desk give we another room 4th floor . nothing wrong room .. clean ... although LITTLE bit small . bath / toilet area not separate vanity area . fine it . the window different ~ figure allow open way get NY feeling . window actually two way open . open one way top open , feel like top fall ( not ) , latch second way swung way open ... great smoker not like smokey room ! bed COMFY third day . leave site see noticed hallway line new mattress . come back night sure enough switch mattress new one ! not bad , get use old one . also , sheet sooo darn SOFT ! actually think steal one ~ never do ! request four additional pilllow problem - housekeeping closed evening within 30 minute four feather pillow deliver . ask additional sheet blanket ( son prefer sleep floor rather sister ~ cot available - not want ) . request go door morning / afternoon .... would not deliver unless someone room ~ tell we call back get back evening would bring ... never get additional son change mind say fine not need extra . overall , would definately stay .. never feel unsafe , staff extremely helpful ~ even tip helpful advice go , direct taxi driver , etc . etc . wish pool open little long ~ view something else pool even not want swim - take minute check not forget camera ! 
 Nov 18 2003 	 Worse Place stay 	 get plane come early shuttle drive bit fast expectd . 2 hour early . decide leave luggage go around city till check time . check Lady behind desk rude . book online site reason give we room $ 20 per night plus taxis . stay 8 day make sure not con $ 160 stay . ask see manager , reply none present . finnaly agree pay extra charge , take we dump room . blanket hole , lamp eminating green light heater not work . want get fresh air room smell like mildew open window whole thing come nearly knock we . try call service desk one come till 8 night 4 hour wait ... bad part wait room till someone get stuff instead city . night want go sleep ask extra blanket since window let heat escape , heater not work . give we holed blanket . bad hotel . not mind rough stay skyline ... guarantee will adventure ... lot memory . 
 Nov 18 2003 	 Family Fun - Oct 21 	 stay 2 nite love much be go back . location great - central theater district , Times Square , Cruise ship terminal , Intrepid museum , could go . emeril taping ( Food Network studio right around corner ) see Beauty Beast , Empire state bldg . be go back January Rockefeller center . hotel staff great problem take care quickly . pool bonus daughter love . junior suite spacious give we room spread . food restaurant / bar good reasonably price . 
 Oct 26 2003 	 Fantastic Time October 2003 	 family stay Skyline 8 night . fantastic time ! hotel great location , short walk Times Square M50 bus great get home night stop right outside hotel . 24 - hour deli across street good breakfast coffee . starbuck close load seating . skyline lovely clean good sized room . staff helpful friendly . highly recommend Skyline Hotel stay future trip NY . 
