City 	 City Inn chain fairly new modern group Westminster City Inn London 's big new build hotel 30 year . I London delight find Westminster branch CIty Inn Westminster locate 5 minute walk Houses Parliament + Big Ben also within walking distance London Eye , Westminster Abbey many place eat . near tube station Pimlico 5 minute walk away . also Wesminster also nice area feel safe walk back night . the staff hotel super - nice well really efficient - make big difference . I find room easily big enough large bed really warm thank thick duvet - seem rare many hotel . big pillow also nice addition . as well also MAJOR plus point standard City Inn feature - iMac computer system every room ! ! - mean fully fledge internet system free use . brilliant handy check local attraction , check transport time , restaurant , map etc etc well ( want ) keep email , ebay , facebook etc away home - free room ! course also hook ipod system well . City Inn Westminster Pizza Express restaurant right next door use weather bad - take away want bring back room eat watch dvd like : ) pros : * great location - 5 minute walk near tube station + Houses Parliament ( tube access give London within easy reach ) * comfortable warm room * room computer imac system - great look information email etc ! * nice polite staff * not want venture far eat hotel restaurant Pizza Express restaurant next door . * Quiet - could not hear traffic outside all . con * choice continental full breakfast - go include continental though full breakfast look nice - quite pricey ( continental fine ) . * honestly think anything not like ! not sure stay London originally pay really cheap rate regret . stay City Inn hotel decide give London venue try really glad . comfortable convieniant stay friendly staff - certainly place top list next time visit . 
 ACCEPTABLE DEAL 	 hotel acceptable decent value get deal range 130 - 150 gbp per night ( per room ) . nothing more . pros : quiet , well equip ( internet , imac room , etc.but also dryer , iron board ) , general service acceptable ( expect anything stellar ) . guest service good . room clean ok , spotless ( trace hair bathroom ) . shower modern functional . con : bathroom small . mattress way way way soft ( bend one edge risk fall ground ) , 20 min queue sit breakfast table ( never see ) . 
 comfortable clean great value ! 	 stay City Inn Westminster one night long layover London . first trip city , not anything compare think City Inn great . check - in process quick , room ( 5th floor ) great . seem private party hotel restaurant , guest stay floor , bit worried would noisy . actually nice quiet , bed clean comfortable . my favorite thing hotel in - room iMac . use tv computer , able charge iPod . overall great stay , definitely recommend . Underground Circle Line not operate stay London , ' m really sure convenient hotel transportation . 10 minute walk Big Ben even short nearby cafe ( Pret Manger Starbucks- although not open 9 am Saturdays ! ) .I also highly recommend Heathrow Express Paddington Station . convenient , 15 minute cab ride Paddington City Inn . 
 Modern Chic ! 	 second trip London ( first Mother travel ) , must say pleasantly surprised . first trip London stay one Novotel chain hotel impress , not sure expect hotel , absolutely PERFECT need . start : check - efficient . day almost always 5 people front desk , make check in / out , use concierge , ask question , etc efficient . even night usually 3 people work . absolutely love . customer service top notch well . every time walk door receive smile someone front desk , usually someone ask day . Decor - 's state - modern . absolutely love . lobby fun relaxing . room stunning . bathroom bite small bath , fine need . be 2 girl get dolled everyday , plenty space . also believe mom call & quot ; shaving mirror & quot ; PERFECT put eye makeup . love . room also computer free internet access ! amazing , able keep contact daughter home . great way make away much easy handle ! downside would window face towards courtyard , could see lot people 's room , know could probably see mine unless make sure curtain COMPLETELY close . not really bother not room much anyways . 's LONDON goodness sake ! ; ] location - location hotel EXCELLENT . 's walk distance London Eye , Parliament , Westminster Abbey , many restaurant . be also little convenience type store 2 block awesome late night snack = ] be 5 min walk tube station , be nice neighborhood . never feel unsafe walk back night . restaurant - eat restaurant breakfast . review correct almost always queue get . wait 15 min get seat . manager however go line let check bag , coat , accessory , etc ... not want hold ate . pretty awesome , since luggage we . food average . opt breakfast buffet rather full english breakfast . get kind late bit pick , probably would well luck pay full english breakfast look delicious . this hotel bite expensive place stay London , afford , DEFINITELY pay extra go . stay basic room offer blow away , ' m sure . take advice , stay CITY INN WESTMINSTER ! ! ! 
 Jul 16 2008 	 Modern 	 stay City Inn Westminster part world trip January 2008 . hotel modern comfortable , room quite compact . bed soft , find little uncomfortable , ' give backache . room clean even one opening window , nice . bathroom immaculately clean . reception staff friendly helpful . buffet breakfast wonderful , bacon egg make order , every morning . travel large group , morning give private area dine ( available , really nice ) . one occasion encounter rude waiter ask we hurry breakfast , busy , ' request bother , mode deliver . turn quite friendly next day , maybe stress volume people breakfast . dine restaurant bar , actually think bar food well – well price well tasting ( breakfast good food ) . overall , really enjoy stay hotel location great sightseeing ( close Westminster Abbey ) – well , great sight see anyway ! real downside cost , London expensive city , ' sure anywhere else would cheap . would stay without hesitation would recommend hotel anyone travel London . 
 Jul 15 2008 	 Excellent Hotel . could fault . definitely return . 	 Westminster Inn Hotel overall winner , great location , be tasteful interior , great facility , HIGHLY PROFESSIONAL STAFF.Our hotel room great , design taste feelling room sleep , also area relax coffee table comfortable chair , coffee make facility fridge . breakfast wonderful buffet wonderful room attentive staff . I also impress hotel bar evening , member staff came check someone already take order , , fact someone check need cater underline we professional staff impressive hotel ensure client great stay there . look special offer hotel discount rate . the Westminster Inn Hotel simply fantastic already look forward go back . 
 Jul 15 2008 	 gem quiet area . 	 hotel book we theatre break website , not know much beforehand . however , not disappoint . hotel exterior renovate present , first impression not great , fast , efficient , courteous check - in ( room ready late morning ) soon give we confidence . room fifth floor clean , bright comfortable . be new wi - fi flat screen tv , radio , computer etc , not time play toy . the music bar late night mellow , drink expensive , ever , one . breakfast pleasant , service good good choice cook breakfast , cook order , buffet . comlimentary newspaper . nice touch . the slightly negative point hotel good half mile Underground station ; useful know walking problem . 
 Jul 13 2008 	 Excellent 	 great place stay London , stylish , clean comfortable room Imac .... finally hotel charge extra internet ..... breakfast great . location central enough convenient central London attraction . 
 Jul 9 2008 	 Clean Convenient 	 stay one night part Globe Theatre package . its position tourism within Central London could hardly better taxi always available door - a boon party limited mobility . also useful numerous , highly efficient rapid lift . hotel huge yet extraordinarily clean : one clean place ' ve ever . breakfast big operation get early face wait . food good will find acceptable wide choice . free newspaper read meal nice touch . 
 Jul 4 2008 	 great location awesome internet 	 Awesome location . walk distance Victoria station , house parliament , big ben , westminster abbey , london eye . nice sized room . excellent internet entertainment system room . disappointment room service ordering . could not speak english well trouble place order . phone 10 pm night bed demand bring credit card reception . one person though rest staff go way helpful . concerige desk excellent . 
 Jul 3 2008 	 Excellent 	 spend 3 night husband step son end May . book hotel far advance get really good deal breakfast ( £ 5 ) . staff really accomodate arrange guest bed put one bedroom suite , could together privacy time . new I - Mac 's particular hit ! hotel really central site ; fault could many restaurant close . however , concierge sort we really nice chinese restaurant - Kim 's , 5 minute away taxi , walk back afterwards take we around 15 minute . Pizza Express Millbank also good 3 we . would definitely return ! 
 Jun 28 2008 	 GREAT business hotel ! 	 need convenient place stay three - day trip London . dread sometimes ancient hotel lovely city , exhorbitant price , pleasantly surprised find gem . clean , conveniently locate , reasonably price ( London ) , friendly staff , hotel provide business traveller need . 's complimentary high - speed internet access room , well - place datum jack desk , get : spank new iMac use cd player , radio , movie player , tv , web access ! hotel four - minute walk Houses Parliament Westminster tube station , three - minute walk Pimlico tube station Tate Gallery . I shall return . 
 Jun 21 2008 	 late review worthy forwarding 	 stay June 06 . hotel close tube quick trip city . take 10 min walk tube handy . fab breakfast hotel - buffet style , cater cook bacon , sausage egg etc , pastrie nice selection fruit . think service breakfast room good - staff attentive . when arrive hotel 7 am staff allocate we room immediately mean sit around wait - appreciate fly long haulgorgeous product bathroom - shower gel , lotion etccomfy bed broadband rooma lovely hotel would stay 
 Jun 19 2008 	 top mark City Inn 	 stylish hotel , tuck away street westminster . staff wonderful really helpful , personality really hard find hotel . room really nice . clean & amp ; free internet use include . breakfast great , something everyone . the hotel bar funky & amp ; stylish good cocktail menu , little price shoud expect hotel bar . there scaffolding visit , due issue roof , explain around hotel , bother we take feel away nice hotel . 
 Jun 15 2008 	 impressed value location class hotel 	 one favourite hotel London rating site would suggest view share many . provide book ahead usually pick good deal . also well locate , short walk parliament Westminster Abbey within stone 's throw MI5 headquarters . the room comfortable clean . view speak request room low floor anyway . Imac lovely touch excellent way distinguish City Inn hotel range . bathroom little pokey shower cubicle rather bath want book simple room kind . I not eat hotel time previously three year ago . menu look much similar kind cuisine . the staff place almost non - british ( expect day ) subsequently motivated , hard - work polite . this gem - little outside centre quiet , well locate , good value welcome . 
 Jun 8 2008 	 well place stay 	 stay business one night 5 June basis review tripadvisor . front desk staff helpful give friendly welcome . ( standard ) room good could not help think have walk Ikea ( e.g . see combi - wardrobe / shelving unit / side board ) . bathroom also pretty small , smart clean . major gripe , however , Apple Mac pc double tv . pc every room nice idea ( able access work email online etc . ) tv ( remote ) lack functionality regular LCD tv . 's EPG ( basic channel selection screen ) volume seem keep resetting time go back menu screen . picture quality also good LCD tv screen sizer small room ( be 19 & quot ; ) . however , say , restaurant good ( dinner continental breakfast ) . would recommend stay well hotel central London price . 
 Jun 8 2008 	 Fine Location Good Rooms Excellent Staff 	 without doubt first class business orientate hotel . however , like , tourist town couple day , 's adequate base . what like ? . ; 10 minute walk Parliament building ( turn right hotel not follow go Pimlico tube ) ten minute Trafalgar Square.15 20 minute walk Buckingham Palace ( turn right hotel leave Horseferry Road ) comfortable bed hard day tourist thing , good shower imac TV.Good breakfast find ten minute walk along Horseferry Road Channel 4 build one corner , local place call Pronto Cafe , not put crowd , local ! know eat . hotel bar comfortably funky good nightcap . the last word go staff unconditionally pleasant , helpful superb job.if new London plan public transport walk , get Oyster card . 
 Jun 8 2008 	 Nice Hotel 	 second time visit hotel . hotel close Houses Parliament quiet location away restaurant bar . hotel bar nice even though busy night stay . room modern great view anything back end . would stay rate £ 100 
 Jun 2 2008 	 love stay ! ! 	 stay 1 night go King Tut Exhibition O2 Dome - situate lovely area , within walk distance Houses Parliament , Buckingham Palace , etc . could fault staff , pleasant helpful . gave we map direct we near tube station explain cheap option ticket also give we umbrella use start raining . restaurant breakfast lovely , room facility great , clean great power shower bathroom ! ! would hesitate recommend anyone would definitely go back ! 
 Jun 1 2008 	 Excellent Hotel Good Value Decent Location 	 Hotel pretty much advertised website , review Trip Advisor accurate well . really nothing bad say hotel , will focus good thing . fly Gatwick , take Dot 2 Dot service take we directly Hotel . check - in smooth quick , room appear , clean , nice furniture , iMac computer , double tv . take little figure iMac 's operating system ( third party os , normal Macintosh os ) otherwise 4 star hotel room . nice . the hotel 10 minute walk Westminster Abbey , Big Ben , Parliament , several restaurant within walk distance . for limited time London , would advise take bus tour , Original Bus Tour Company , be hop - on , hop - off double - decker bus tour , perfect we . check - out go smoothly , hang - up . excellent stay . 
 May 29 2008 	 Excellent hotel 	 excellent hotel good central location Westminster , fantastic food friendly staff . room spacious clean large bar boot . downside would possible price drink perhaps slightly overly business feel really clutch straw ! stay number occasion would definitely recommend anyone ready pay price . 
 May 27 2008 	 City Inn - Class Act ! ! ! 	 year ago , due work project , virtually live Monday Friday original City Inn Birmingham . therefore , look stay London ahead Rochdale 's momentous day Wembley , figure City Inn Westminster pretty safe bet . a short walk Pimlico tube station ( would suggest Pimlico rather Westminster , bit short ) , find easily . first impression mix scaffolding / hoarding erect front reception - turn precaution ensure nobody fell fall tile .... check delightful .. pleasant check person lovely Magda whole London , would surprised . room course excellent . introduction iMac entertainment centre pure genius . mine not work straightaway , whether genuine system problem symptom technical inadequacy , really do not know . Suffice say quick word reception short walk around block later , work fine ... , safe bet ? ? well would damn faint praise .... great great hotel . Birmingham good , well . ' m Manchester week time ... guess hotel will check ? ? ? ? 
 may 26 2008 	 Loved City Inn 	 find place Trip Advisor disappoint . in London term definitely expensive , place great . loved iMacs room , not need drag laptop next time . staff great . only sore spot cost food restaurant , breakfast tad expensive get . fuss , will not stop go back . 
