almost 	 London 21 - 24.11.2009 . stay Premier inn situated center London ( 50 m London Eye Big Ben ) . unconventional reception good ( check - in check - in machine want , wait ) . reserve twin bedroom get extra large bedroom one double bed one bed extra ! ! ! great ! ! ! room perfect . extra clean nice clean bathroom , flat tv , hairdrayer , cofee machine ... breakfast good can not describe ... full english buffet breakfast ... planty everthing ... word ... one one thing ok shampoo bedroom stay empty three day . definetly ' m go Premier inn ... 
 May 3 2007 	 could not ask 	 stay four night late April 2007 , absolutely fantastic . want somewhere central could not do well regard . two tube station one major train station within five minute walk , right next London Eye easy walking distance many attraction . able pop back day change clothe drop purchase . room huge , book room two twin get room queen one twin , ton room suitcase , wardrobe , desk , chair , tv , kettle , tea , everything would need . £ 99 night , amazing . almost forgot , fan , ' m sure would helpful warm night . impressed ' ve do window , original window probably drafty let noise still place , however , ' ve place second window inside protect draft noise , open window get fresh air . the bathroom great , nice size tub , wonderful shower plenty hot water . heat towel rack ' m sure nice winter . everything spotlessly clean . the breakfast bit pricy , , lot little shop , coffee bar , restaurant close lot option . 's internet access restaurant 's bit pricy 25p minute , also handy . couple minor inconvenience , lift every floor , order get lobby lift street go 10 - 12 stair , heavy bag bit trial totally unnoticed otherwise . also , last morning , right 8 am , leave airport fire alarm , troop stair gather outside building . false alarm usher quickly manage make Gatwick Express train time . I definitely stay recommend anyone travel London . 's luxury , look clean , safe central 's great value ! 
 May 2 2007 	 look 	 hotel central . 's affordable , clean , staff good . look for . we not breakfast £ 7.50 , eat buffet , see be big eater , go cafe round corner pay want . the london eye literally round corner ! 
 Apr 28 2007 	 amazing spot ! 	 book one night hotel April one eve London Marathon . chose specifically position husband need base near finish run 26 mile . disappointed ! sit next London Eye - close feel almost touch room ( 5 min walk Waterloo Westminster Tube stop ) . check good , room clean usual , tv , hairdryer , etc . bathroom also clean plenty towel , soap etc . certainly place vist luxury be . Premier Lodge 's simple ..... else need room London ? breakfast effiicient , lot choice , good quality food . ok - £ 7.50 cheap eat much want price . lot good restaurant / cafe outside hotel everything offer .. gripe pay £ 125 per night usual publish rate £ 99 . due marathon feel unfair running event charity ! 
 Apr 20 2007 	 good value great location 	 spend 3 night quite happy . room clean , especially London , spacious . staff helpful breakfast good , although little overprice . location excellent several resteraunt 3 tube station within minute walk . surprisingly quiet even though could see London Eye window . shame heavy spring bathroom door ( keep shut steam set smoke alarm ) .overall good value money much well other price . stay . 
 Apr 17 2007 	 good value clean accommodation 	 fan Premier Travel Inns ... love clean ! one exception . not pretty room ( quite basic - no frill ) London standard ... huge ! ! ! triple ( one queen bed twin ) . nicely soundproof also , not hear peep inside . street outside close normal traffic also cut noise . find bed quite comfortable get great sleep . not thrill bathroom . small narrow tub , everytime stand shower stand like ride surfboard ! also , bathroom door remain shut time ( get steam ) . light switch outside bathroom would switch , open door enter . somewhat problematic light would shine someone 's face night , disturb sleep . light switch outside not unique hotel , apparently must code London . hairdryer bath either desk . bring facecloth ( aka & quot ; flannel & quot ; ) majority London hotel provide . hotel bit skimpy towel anyway . request bring without quarrel . we call front desk something work room ( hairdryer overheating ) flash replace . perfect service ... front desk upon check - in rate high friendly helpfullness ! be really one good deal London money . would stay heartbeat . quite convenient location , right behind London Eye close Waterloo Station Westminster Bridge tube station . secure also , feel safe there . try ! 
 Apr 17 2007 	 clean neat spacious room 	 room restaurant reasonable value money . room clean , neat , quite well proportion . possible get room view London Eye ( might lean window see Eye ! ) one favourite hotel stay visit South Bank London . next London Eye 2 min Waterloo station . main road hotel tend fairly quite . could get deal fix price room ! staff pleasant . bedroom door tend slam shut loudly . 
 Apr 10 2007 	 Brilliant Location 	 ' ve stay twice would stay . price location not feel beat . the service receive reception staff friendly helpful buffet breakfast £ 7.50 ( kid 16 eat free ) excellent value central London . the first time stay family room huge ! amazing view Thames London Eye . two kid love walk distance many place see visit huge bonus . my second stay ( Easter weekend ) good although initally put small dark room ( room 261 ) absolutely stank smoke . rang Reception immediately say come back will move right . quibble . explain smoking room 5th floor immediately give we another one ( room 257 ) alert staff place anyone 261until properly air smoke free . we ask refereshment room ( tea & amp ; coffee sachet provide ) give whole bag include packet biscuit . all 's hotel hesitancy recommend anyone want good reasonable hotel central London . for information find great place park £ 10 24hours Upper Marsh 3 - 5 minute walk hotel would also recommend . 
 Apr 10 2007 	 great hotel kid ! 	 stay Premier Travel Inn County Hall London three night end March year . wonderfully quiet sleep morning jet lag - especially kid . stay family suite large double bed two single . bathroom great - power shower . breakfast good . stick firmly end breakfast time 10:30am , work we . make we feel would keep breakfast open long still eat . the location beat - right London eye , illuminate different color night . great Pizza Express two block away . great kid sometimes eat dinner 9p.m night ! plan start trip UK couple night Premier Travel Inn ! 
 Mar 31 2007 	 handy central London hotel 	 stay last week London business really could not fault . room quiet , clean comfortable staff pleasant . not try breakfast - go across road Starbucks instead . 
 Mar 28 2007 	 great place 	 daughter come back London trip . stay hotel 5 night . room big . location well price . would stay . use Westminster Underground station Waterloo . although latter little close , walk past County Hall building , across Westminster Bridge , toward Big Ben lot fun . the hotel 's breakfast plenty choice . kid 16 eat free , add good value . not forget ask bowl porridge waiter / waitress . we try two eat place across street hotel entrance . nerd noodle place good value , taste good . italian restaurant bar ( Cucino ? may remember name wrong ) well food . pattini warm tasty . raspbery cheese cake delicious light . 
