Amazing 	 happy overall value hotel . service incredible - location awesome - room comfy ! ! ! love breakfast morning - great coffee ! ! free internet service extremely helpful .... complimentary bottle Perseco chocolate room .... Wine night .. awh .... room pretty good size - ny , especially . offer pass gym , want vacation ? find complaint hotel . could walk 30 Rock Central Park . subway block away ... 5th avenue 1 block away ! not get well . 
 Dec 4 2005 	 Attention Details 	 ideal location ( close Rockefeller Center , Central Park , Times Square ) , might think location would enough want stay . however , great hotel regardless location . the attention detail really make stay Hotel Elysee special one . example , fresh orchid table breakfast , wine serve free wine cheese hour cheap house wine , unusual good brand . marble bathroom little touch add great stay . the concierge also able easily find kind restaurant want go to . the combination location attention detail make weekend New York memorable one . 
 Nov 26 2005 	 love elysee 	 due incredible staff , fabulous location , historcal value hotel must return trip city . 
 Nov 23 2005 	 favorite hotel NYC ! ! ! 	 always stay Elysee business personal trip New York . location convenient , really keep come back outstanding service . sometimes , be little touchs set hotel apart competition , Elysee excel many way . attentive staff , exceptional breakfast , free internet service ; be . also great boardroom 's great small business meeting . also need give mention Monkey Bar , cool , historic bar adjacent Elysee . 
 Nov 7 2005 	 Great Hotel Midtown 	 other say great hotel Midtown , 2 minute subway Maddison Lexington . welcome helpful staff , great spacious room , Terrace ! I m tell room number want ! breakfast , afternoon cookie , day coffee , tea wine cheese 5 - 8 pm could not fault . Super Shuttle JFK fine . hotel say trouble occasion recommend taxi return . leave 4.45am , clerk call taxi we old Lincoln towncar draw . think driver friend porter . fee agree $ 60 wiske , bit fastly wiske JFK 25 minute ! may decide try different transport . definately use hotel return NYC 
 Nov 4 2005 	 even client enthuse hotel stay ! 	 husband stay lovely hotel 4 day Oct'05.It Room # 55 . front , Fifth Floor pantry . know could use across street wonderful look Deli could easily supply meal need . low building , noisy night due demolition office / suite nearby building . ( since ! ! ) room nicely spacious & amp ; attractive reluctant move . understand ask , & quot ; quiet room & quot ; available . like corner room window two side , good earplug room would simply superb sure many other rave comment client . great location . common lounge offer breakfast ( room service otherwise ) , tea / coffee / cookie noon 5 pm . wine & amp ; hor d'oeuvre 5pm - 8pm . lovely touch . staff welcome inform . could one want mid highend small customer orient hotel ? suit budget consider NY Hotel option . trust enjoy ! 
 Oct 12 2005 	 great small hotel convenient location 	 husband stay long weekend , find hotel quiet refuge , close theatre district , Rockefeller Center , etc . almost stay Times Sq . grateful choose Elysee instead . clean , room generously size ( except small bathroom ) , staff friendly pleasant . complimentary continental breakfast well many hotel . free wine cheese weekday , coffee cookie throughout week , nice touch . ( although think could done lot well Pepperidge Farm ! ) . would hesitate stay ! 
 Aug 13 2005 	 finally find favorite hotel New York -- Hotel Elysee 	 frequent traveler New York , business pleasure . year , try new hotel every visit ; generally pleasant experience . , friend tell Hotel Elysee & quot ; home away home . & quot ; small hotel treat like & quot ; important & quot ; member & quot ; family . & quot ; check hotel first time , expert staff call name make feel happy meet ; wait afternoon arrival . return evening , inquire day . need appoint concierge -- front desk person train provide full concierge service . the hotel understate elegance . ( be vote & quot ; romantic & quot ; several time . ) artistic floral bouquet provide sweet fragrance throughout gracious lobby . room , New York standard , large , well - appoint include marble bathroom . and could well morning start complete continental breakfast available ( juice , fresh fruit , Danish , bagel , good coffee tea ) ; follow wine ( respectable vineyard ) , cheese , fruit , fresh bread cracker 5:00 8:00 pm ; coffee , tea cookie available midnight . fact , often meet friend wine cheese go town . when ride elevator , often ask guest experience Hotel Elysee . date , respond either & quot ; love hotel always stay & quot ; first time & quot ; back . & quot ; fact , last stay , ride elevator check Sunday , young couple carry wedding dress bridal bouquet get . marry previous day night -- Saturday -- first time Hotel Elysee . star eye , tell would back ! smile thought , & quot ; will back too . & quot ; 
 Aug 7 2005 	 Ultimate Personal Service 	 recently return first trip NYC , easy say stay Hotel Elysee impressive landmark fabulous Broadway play . amenity accomodation bountiful tasteful . free morning breakfast meet every expectation wide variety morning drink , fresh fruit , delectable pastry oft - miss protein addition endless supply morning newspaper , include New York Times USA Today . impressed accomodate knowledgable staff greet we name make sure point - precise direction every outing . recommendation restaurant show superb every way . would fair review uniquely personable hotel without note daily wine . champagne cheese et al serve gratis day . ultimate Old World elegance personality . without doubt , extremely well take care return Hotel Elysee many time return New York ; can not wait next visit ! 
 Jul 8 2005 	 add extra mean luxury cost less ! 	 get marry New York stay Hotel Elysee ' luxury ' option . upgrade us suite , not even mention check - arrive room blow away - utterly fabulous . even standard room gorgeous . really quirkly hotel - great restaurant Monkey Bar New York Institution - feature Sex City - Carrie Big go . else bar stool shape pimento olive ! ! ! small enough total personal service ( great staff ) big enough everything could ask hotel . even open bar early us morning wedding wedding party could gather wait limo pick we . buffet breakfast fab even wine cheese afternoon . choose hotel little taste luxury stay Belvedere few day wed cheap option - however - add extra cost breakfast Belvedere - actually cheap stay Elysee - ( select hotel via website ) can not beat wine cheese afternoon shop Henri Bendels ( around corner ) . perfect location shopping visit cental park . great base Manhattan general . will back ! 
 Jul 5 2005 	 wonderful quirky boutique hotel 	 great club room breakfast dinner hour snack . nice room everything work - not always case NYC hotel . would nice one elevator occasion - low floor allow quick trip step ( can not descend stair third floor ) . Monkey Bar Restaurant site nice plus . 
 May 23 2005 	 top choice Midtown -- avoid room face street ! 	 return 3 - night stay Hotel Elysee ... room beautiful spacious ( far NYC hotel bathroom go ) , recently renovate bathroom . love two big window face street try get sleep . unbelievably noisy ! could not believe many time dumpster need empty middle night . plus often loud patron leave Monkey Bar ( adjacent hotel ) Bill be across street . ask move first night not want bother . plus side , location ideal -- heart midtown step good shopping world . club room second floor wonderful , like big living room extension hotel room . great place meet friend business colleague unwind be travel alone not feel like holing room . evening cheese wine , vegetable , cookie , tea coffee easily substitute dinner ' ve big lunch . continental breakfast serve good bagel ' ve eat , fresh fruit , pastry , cereal , even hard - boil egg . Piles newspaper available , even computer online access use free , plus nicely - stock library . truly home away home ( get room back not face street ! ) plus 's BEST value find Manhattan , especially factor save food . make phone call please not gouge ! need umbrella bellhop offer one . everyone gracious friendly willing go extra mile . across street one city 's top seafood restaurant -- Oceana -- miss well ! 
