Bedbugs 	 wake red welt back . move new room offer free breakfast . ! never experience sincerely hope never happen . 
 great location . fine room . 	 location 45th & amp ; Madison great need get Grand Central ' ve never nyc want relatively close thing . usually prefer stay west side get room tue . Thanksgiving Week excellent price use PriceLine . NYC hotel room small exception ( chair desk touch bed tuck desk ) bed excellent . be flat screen tv bathroom / shower etc . fine . really short closet space much room store anything 2 carry sized bag , , be NYC space premium . a / c work fine we unlike reviewer hotel quiet . bar busy bartender seem bit grumbly first warm . would definitely stay , especially priceline.com room rate . unless be look luxurious big room spend lot time , fine . 
 Family Fun 	 great hotel locate great area nice view nice clean hotel 
 Great want stay @ Midtown 	 hotel can not well locate NYC : 100 mts 5 Av 200 central Station , go walk Broadway central Park ! service great , arrive room three already book pay want give we smoking room 1 bed room three .... talk time give we pay ! room comfortable clean . come back NYC will not stay @ midtown .... would go back roosevelt price benefit value . 
 be look reasonably clean hotel experience . 	 although read bad review Roosevelt , thought would give try consider location think reasonable deal time Priceline . my room terrible . entrance lobby look decent enough , room small extremely dirty . curtain moldy , , shower curtain , drape room ! ' m surprised room stuffy humid . thermostat , ancient wall fan & quot ; cool & quot ; & quot ; warm & quot ; option , way , loud . also , mirror hang bathroom door cover greasy white spot ( still idea ) ... disgusting ! kind cleaning staff not wipe mirror ? carpet wear dirty bathroom smell dank . tub old deep scratch across surface . bad , bed smell like urine ... exaggerate . top thing , something room aggravate allergy sneeze sniffle night . mention view , lack thereof ? good thing place location . thought get good deal Priceline , would stay even someone pay . frankly , expect 3.5 star hotel . would not mind small room paper thin wall , especially old hotel , management make effort make room reasonably clean ... 
 quality vrs price would give F F F F 	 use concierge broadway ticket . charge double price . comp anything . room antiquate , analog tv , tiny , tiny bathroom . coffee room may purchase @ restaurant $ 4.50 cup . never stay . a / c unsat , hole carpet . lobby location great.jerryenmon @ yahoo.com 
 May 21 2008 	 highly recommend 	 alot research New York hotel ( particularly Trip Advisor user ' comment ) book Roosevelt 7 night - glad * great great location - next Grand Central ( excellent public transport NYC airport ) - noisy either . * well appoint hotel - impressive lobby , surprisngly comfortable room ( though book Cozy Queen get upgrade well room ) - although bathroom little date perfectly adequate . professional helpful staff check right thru clean lady . no complaint would hesitate recommend hotel anybody . 
 may 19 2008 	 Tips NYC 	 looking go back ny deal 6 night really expensive . look around , Roosevelt seem come reasonable price . sleep night rate drop £ 300 book . pay £ 980 6 night superior room direct flight . FORThe hotel good location get around . I pay room upgrade happy size room . I problem lifts al ( people say ) l. againstthe window not keep much road noise even 15th floor could traffic outside . the staff store bag leave want tip leave tip collect . know many people rely tip , aggressive people ! FLIGHTI fly direct Manchester Newark Continental . plane comfortable entertainment system way great ( could choose want want ) , not good way back . transfersif read guide get NYC Newark sound complicated . reality buy ticket NJ Transit train airport terminal get train . jump airport train ( Mono rail ) airport station , connect Penn Station ! $ 15 single take 40 Min 's total . buy 7 day Metro card cover bus Subway $ 21.tipsthe view rock well see anywhere . take free tour Grand Central Station New York Public library . good . 
 May 18 2008 	 Roosevelt great area 	 friend return 3 night Roosevelt Hotel NYC . beautiful old hotel well - locate corner 45th Madison Avenue . step Grand Central Station Midtown . we get room two double bed . room nice , bed comfortable . decor average 3 star hotel , fine . bathroom nice clean . size room pretty good NYC . lobby hotel beautiful . & quot ; grande dame & quot ; type place . nice bar lead glass window lively . eat restaurant room service several time please . serve Starbucks coffee excellent can not make get dress go one dozen starbuck surround neighborhood . staff friendly eager please . helpful store bag get taxi . thing would vote improve update decor room , add grab bar shower ( common sense ) . concierge deal new know basic thing anyone know job ( change currency ? ask guest another country , know tell bank ) .this hotel cheap . drink room service expensive , know would true . pay location convenience , grand lobby . 
 may 15 2008 	 nice lobby - room ok - bathroom poor 	 lobby impressing , large & amp ; luxury . guy reception pleasant & amp ; efficacious . effectively guy reservation rude phone . astonish hotel 500 dollar night ... problem hotel certainly bathroom small basic . bed comfortable . 
 may 11 2008 	 Beautiful Hotel - Excellent Location 	 book hotel honeymoon . hotel stunning foyer / reception area huge . room be not expect - two double bed - rest furniture old badly need update . basic do not luxurious quality rest hotel . bathroom adequate nothing fancy special . overall find hotel comfortable location excellent , two block across Times Square . cost five night end total rest holiday include flight regard value money ' m sure - think well have . I would stay would recommend would wait special offer first . 
 May 9 2008 	 small roomsgreat lobby locationterrible service 	 location great , prepared small accomodation , lobby beautiful bad service horrible ! ! everyone expect tip ! ! bar lobby serve coffee cost not think house ! ! top staff rude ! ! room comfortable bed . make sure request view rear building heating / air condition unit ! ! nothing wake morning ! ! one thing call request miss item camera , ipod rudely assist ... never get call back manager ask please call ... make sure check item lock safe time ! ! ! ! nice hotel price location would think twice go back 
 May 5 2008 	 fantastic location ! 	 read lot review hotel New York , want book something fairly central not cost earth clean bathroom . book Roosevelt really please hotel stay . clean & amp ; comfortable , fantastic location temperature fine ( lot write suggest otherwise ! ) even though hot & amp ; sunny outdoors . air con room control temperature like anyway . walk everywhere , Times Square , Macy 's , theatre be head afield , Grand Central directly across road , also subway take downtown . we stay twin room exactly describe website , plenty room we shop ! gripe would extractor fan bathroom get little steamy , delighted place . oh concierge little unhelful - try make we pay price theatre ticket tell we performance sell . go directly theatre day ( sit ) expect tell , give choice seat actually get orchestra seat price ( $ 100 less ! ) get fantastic deal good hotel great location - want ? would definately stay & amp ; recommend . 
 Apr 30 2008 	 great location 	 stay Roosevelt 5 night . first trip New York find difficult choose hotel many ! however disappointed choice . location Hotel perfect main mid - town attraction right next Grand Central want hop underground go town . lobby bar area beautiful comfortable nice lively buzz . find staff polite helpful time . book superior room - pretty basic quite small clean bed really comfortable . problem room inter - connecting neighbour really early riser really loud ! much privacy romantic getaway ! however would happily stay recommend Hotel other . 
 Apr 30 2008 	 immensely Disappointed Roosevelt Hotel 	 Roosevelt Hotel 's website boast beautiful picture give one impression hospitality comfort , actual stay hotel tell another story . upon check - in , discover dry urine toilet seat . contact front desk disgusting problem , turn blame housekeeping seem care much address concern . next two day , continuously contact several manager , shift responsibility deal concern manager . promise call back address problem , disappoint , albeit shocked point , one return call . additionally , bath run hot water . approximately 20 - 25 minute water temperature tub set maximum heat level , able lukewarm water . Roosevelt 's solution problem ? send technician room well shower over . if dirty toilet cold water shower not enough , television handful channel show clear picture , remaining channel scramble . in conclusion , not fool hotel 's website , opt stay elsewhere . 
 Apr 28 2008 	 Loved Roosevelt 	 hotel great . check 3 course nice enough check luggage could walk around tour city . hotel within walking distance Times Square 5th Ave , along many great sight . also , come back check large room 2 bed upgrade we free ! ! unbelievable service ! ! expect ! ! would definately stay go back NYC ! ! 
 Apr 28 2008 	 Excellent I m fussy ! 	 stay Roosevelt five day 8th Feb - 12th Feb excellent stay . room lovely clean tidied day . weather New York cold come back long day shopping sight see lovelty warm lobby hotel pleasure . staff friendly hotel great ambience . great location well , two min walk grand central station . gym also open 24 hrs supply fresh fruit time . ' m normally fussy customer , honestly say hotel excellent will back ! 
 Apr 24 2008 	 Loved Roosevelt ! Great Location ! ! 	 husband stay Roosevelt 4/17 - 4/23 . love . email ahead time request room view since first anniversary . book cozy queen hotels.com rate $ 162 night . arrive get upgrade king room view street . Lisa check counter great . great location . walk distance Grand Central Station , Rockefeller center , Times Square . even walk empire state building 10 block away . come back long get good rate stay . bathroom small .. downside hotel do not whole lot electrical outlet mirror . husband shower try blow dry hair flat iron kind hard without mirror . 
 Apr 22 2008 	 Poor Staff 	 book Roosevelt E45th Street central look old world charm . central , charming definitely wasn't . on arrive hotel travel London tell room double book would put temporary room overnight reassign rome book ( upgrade ) follow day . tell vacate temporary room midday follow day , could allocate ' upgrade ' room 3 pm . query luggage , tell bell hop would collect bag temporary room deliver new room . whilst inconvenient appear option . return hotel 3 pm go whole check process , somebody seem find we annoying interruption day , allocate room originally pay ( upgrade ) . bag redelivere room , bell hop actually argue tip insufficient try intimidate friend pay . point reason even luggage hotel mess , state not problem . even knock door close query amount again . whilst appreciate tip recognise activity ny , never encounter many staff seem intent fleece we much money possible . front desk staff nothing short rude . exception housekeeping staff ensure room clean tidy , greet we friendly good morning day . on practical note , lift appear cater number guest . two many catch lift go order come , virtually impossible get lift 7th floor . having visit NY prior trip experience friendliness hotel staff , would strongly urge traveller stay away Roosevelt . 
