location 	 fiancé spend day New York Thanksgiving . pre - booked hotel profit & quot ; book early - save money & quot ; -program . room 4th floor ; sadly , staff forgot request sparkle wine room , not arrive ; not big problem , hotel offer complimentary wine 5 - 8 pm every night ( even piano music friday ) . room good , though bathroom bite small , clean nicely do . bit problem shower sense water spill side , nearly impossible take shower without splash bathroom floor . also not problem , shower morning walk NYC day , not care much wet floor clean day anyway . reason rate hotel & quot ; good & quot ; & quot ; excellent & quot ; heating not work . already rather cold outside ask front desk could turn heating , reply , heating would turn automatically temperature drop 55 Fahrenheit . not . get little electrical oven , though , warm enough . would expect heating work rather expensive hotel . Rick 's Café second floor really like extended living room , wonderfully comfortable chair sofas . breakfast enjoy glass wine every evening . love interior decoration hotel - also quiet , despite right edge Times Sqaure . Thanksgiving Parade could really walk 20 metre hotel right middle . , would recommend hotel ; would return , though might get big room next time . 
 Perfect 	 friendly , comfortable , spotless , load extra touch . could one ask ? location ? right Times Square , great eating place , fifty yard Old Town Hall ( see Garrison Keillor Saturday night ) , around corner ABC , Starbucks , drugstore , two three block main Broadway theater , mid - way Empire State Building Rockefeller Plaza . thank contributor point way . hotel help make fabulous trip . 
 Wonderful Hotel 	 ' m write review hotel , use free wifi - greatly appreciated ! charming hotel second away Times Square - 's know quiet room . be within easy walk distance almost everything could want see , 's shortage fabulous place eat drink right day night , right outside door . the staff nice friendly , go way make sure be enjoy stay . room comfortable clean , even basic room bathtub plenty closet space . little touch , free bottled water room wine reception evening really make place stand . would stay sure ! 
 Aug 5 2008 	 love everything ! ! 	 stay casablanca september 07 fantastic time , grant room overlook fire escape stair outside terrace ' hey ' new york stay room long . absolutely love hotel , staff great , location great even though situate yard times square , would never know , amazed evertime step outside see broadway etc . continental breakfast great good variety , complimentary cheese wine every evening 4 pm pianist friday take place ; rick 's room ' 2nd floor open 24 hrs come back 4 am could still help tea / coffee etc . place keep spotless definitely go back year two . 
 Aug 3 2008 	 truly oasis 	 impressed Casablanca , clean , well organized oh , quiet . staff extremely friendly helpful , prompt courteous needed assistance . breakfast nice touch , much well brave noisy street early morning . hope someday get chance stay . 
 Jul 30 2008 	 noisy 	 get back Casablanca impressed . location 20 yard Time Square ( Oxford Street New York ) . fine want thick thing ( ) busy . the staff welcome , helpful efficient . room though scratch . one large room 2 x double bed , locate back Hotel . therefore situate noisy air conditioning fan building around . also suffer natural light . would suspect room rear hotel also suffer problem . way could get sleep shut air condition close window . \we rely ceiling fan provide cooling . 
 Jul 30 2008 	 hotel hideaway 	 first trip New York enjoy stay Casablanca , although aspect hotel could well . we book well advance stay week , bit disappointed find room quite small dark . overlook internal stairwell ' smoking area ' breakfast room smoky smell often enter room air - con unit . arrival , find carpet disconcertingly damp - perhaps shampooed departure early messy occupant ? bathroom fabulous spacious shower lovely toiletry . I like Morrocan theme decor run throughout hotel communal area room clean . the breakfast room pleasant place , calm hustle bustle Manhattan . early evening wine cheese session enjoyable ! peak breakfast time , room could rather overcrowded low cane furniture ideal eating breakfast , especially travel child . the hotel superb location , walk place . subway handy too . the staff brilliant . friendly welcoming ( need horrendous time get immigration airport ) extremely helpful recommend place visit , restaurant eat local information 
 Jul 30 2008 	 great stay great hotel 	 great relief we everyday walk street NY come back nice hotel . located right center everything still quiet get inside . nice room , friendly staff complementary wine cheesebufét 5 8 pm make stay perfect . the swedish couple room 608 
 Jul 29 2008 	 great hotel 	 stay three night Casablanca . really research lot hotel choose one disappoint . location Times Square put right centre Manhattan perfectly place sightseeing yet inside hotel quiet comfortable . we request quiet room oblige we . room 5th floor back Hotel view grateful quiet night . room reasonable size comfortable Queen bed . the Hotel staff friendly helpful , continental breakfast include price good nice touch free cheese , wine , coffee etc 5.00 pm 7.00 pm . the interior moroccan style clean well deocrate would highly recommend hotel anyone visit New York . 
 Jul 29 2008 	 Thanks Casablanca 	 Casablanca really nice hotel much well New York offer . the staff really excellent sincere effort make stay good could be . a special mention concierge get we evening table Gramercy Tavern short notice . thank again . the room suffer slightly noise adjacent rooftop air con unit otherwise good size ( New York ) . location great Times Square plenty site easy walk distance subway give easy access rest city . basically place represent well value place New York staff top rate . 
 Jul 28 2008 	 Good Compromise 	 would echo positive hotel , would probably stay price ok . pay $ 1250 4 night July give Location happy that . room small , compare Hilton Garden Inn couple block away , much big room bed , stay first time visit , year price high go place . I use limo service back Newark , great cost $ 102 include tip toll suit we hassel free last day . breakfast nice free wine , noticed guest seem ' over use ' , service , seem see money save excercise rather go eat shame . I think hotel well suited couple , staff friendly . concern lack visible security , one ask seee ID come night , certainly Hilton last year allow elevator . I 
 Jul 27 2008 	 terrific experience ! ! 	 excellent experience . great location , close everything . staff hotel extremely accommodating . clean room , nice ammenitie , can not wait return ! 
 Jul 27 2008 	 Perfect 	 back one week stay , book Casablanca first New York trip base Tripadvisor review . could make well choice . look friendly , clean hotel perfect location can not see past Casablanca . one reason book hotel location , prefer walk use subway , walk everywhere , even walk Staten Island Ferry . everyone already mention Rick 's Cafe great place meet people breakfast perfect setting day . always use complimentary cheese , wine , coffee etc . either day go evening . staff perfect . offer quiet room back hotel noise problem consider close proximity Times Square ( 50 metre ) .when go back New York will definitely use Casablanca Hotel . 
 Jul 23 2008 	 Great Hotel ... stay ! 	 read review hotel Trip Advisor , book stay first trip New York . fantastic location Time Square . reception could not helpful ... special thank Michael introduce we New York Mets ! ! Complementary WIne Cheese serve evening 5 8 welcome heavy day shopping 5th Avenue . room quite basic although clean , hey , much time spend sit room stare wall . highly recommend 
 Jul 21 2008 	 great staff location 	 hotel staff helpful making stay comfortable . location right Times Square perfect distance Broadway theater , shopping , restaurant . great place stay look something large chain . will back . 
 Jul 20 2008 	 Casablanca live tripadvisor recommendation 	 husband , daughter , spend 5 night Casablanca wonderful experience start finish . everyone bellman front desk , housekeeper polite , friendly , helpful . bed comfortable room tastefully decorate spotless . everyone say Casablanca close Time 's Square attraction yet room , could country quiet ! breakfast afternoon / evening wine cheese delightful . want thank everyone front desk help we daughter become quite ill . get we doctor , cab hospital , make sure comfortable release . lastly front desk arrange car service take we Cape Liberty pick we upon return cruise take us airport . highly recommend hotel anyone want first class service ! thank Casablanca return ! ! ! 
 Jul 18 2008 	 yet another satisfied guest Casablanca Hotel 	 probably nothing new offer - review hotel already great job summarize wonderful hotel Casablanca . stay 4 night ( Sat - We d ) . book double room find bed bit small we ( use sleep king home ) , room ( bathroom ) nice . special note , shower fantastic - spacious great water pressure . hotel clean quiet . literally step Time Square , yet hear noise night . many review note , breakfast wine / cheese cocktail special detail Casablanca . also get coffee , cappuccino , espresso , tea , etc day . location great easily walk several subway line . would hesitate recommend Casablanca hope stay . 
 Jul 17 2008 	 Hmmmm ..... 	 well , positive . fantastic location - right heart Manhattan , next Times Square , yet side road little hustle bustle . reception clerk friendly helpful whenever need anything information give always accurate . breakfast Rick 's cafe also superb . really nice touch big lounge free paper internet access get coffee cookie . however , really feel need lounge think room unimpressive . deluxe room really not understand standard room could lower quality . furnishing nice room clean soooo tiny . 2 suitcase literally climb thing get around bed ! bathroom - bit ridiculous really . tiny windown overlook fire escape air conditioning loud click every minute - wake quite bit . overall think nice 3 star hotel go back think have incline stay somewhere fancier big room . 
