great 	 rare thing - large hotel personal touch . register impose lobby , someone let slip birthday . two hour later , wine , chocolate card arrive room . can not buy sort pr . have arrive three hour ahead check - in time , accommodate without fuss ; 's underestimating value flexibility weary traveller . concierge travel / tour rep . equally helpful . hotel great location 42nd Street , many sight within comfortable walking distance . be go far afield NY state , Grand Central Terminal right . room large clean bed comfortable . bathroom surprisingly small ( even english guest ! ) , wife bemoan lack decently light magnifiable mirror contact lense , make - up etc . also , seem one place eat hotel around 1200 room . small quibble . overall , terrific . 
 Nice Thanksgiving New York 	 stay Grand Hyatt six night Thanksgiving week . overall nice hotel , minor glitch way diminish wonderful week New York . upon check - in , front desk agent inform upgrade & quot ; Lexington Suite & quot ; . nice big room overlook Lexington Ave . , Chrysler Building right next we . beautiful view room 1926 ! bed absolutely wonderful ; comfortable luxuriously soft . normally trouble fall asleep strange city ( especially New York horn honking 24/7 ) , problem bed . nice flat screen tv swivel could either turn face bedroom face tv area . great touch . nice feature in - room safe , iron ironing board . bathroom amenity also unique plentiful . follow minor problem notice stay : wall thin ( not hotel day ? ) . next door neighbor ( room 1925 ) bunch loud guy bang around yell hour day & amp ; night . make matter bad , smoke storm room . room non - smoking smell permeate hallway sometimes even come room . Nasty . plenty hot water take forever come [ hot ] faucet . let water run several minute come hot . guess travel long way . long day sightseeing walk , back hurt , decide take & quot ; sit bath & quot ; relieve ache muscle realize tub stopper not close . try try not work . use washcloth plug drain ( not work well ! ) . not bother report maintenance since not plan take bath . oh , wireless internet $ 9.95 24 hour . use connection fast & amp ; easy ( Mobile Hot Spot ) . not bother eat restaurant use room service hotel . comment quality see price stay away . nine dollar coffee ( one person ) ? thirty - Four dollar french Toast ? really , ridiculous , even New York . restaurant price , & quot ; jack - up & quot ; price room service . favor grab breakfast ( meal ) Grand Central Station . right next door will not even go outside access . take corridor low lobby level make right . take directly . be also starbuck corridor actually less expensive & quot ; coffee cart & quot ; lobby hotel . favorite place call & quot ; Hot Crusty & quot ; . able buy 2 large coffee , bottle OJ , bottle milk wonderful croissant total 8 dollar change . honestly , not know would ever pay extravagant hotel price . still shock ! be another money - save tip : come airport , go online book Super Shuttle . yes , share van make several stop , lot less expensive ( easy ) taxi . ride La Guardia $ 13.00 plus tip ( 16.49 ) . also use go back airport . save buck book round trip . overall great hotel , little bit away major noise crowd Times Square . would return , especially know get around pricey add - ons . 
 nice hotel 	 location hotel great look upper midtown new york city , also easily connect elsewhere via grand central station . cheap hotel stay grand building . staff credit hotel really helpful , polite friendly . room adequate size quiet good view side . I would however agree reveiw say business focus . conference business guest seem get slightly preferential treatment whilst house . 
 fantastic location 	 proximity Grand Central Station Newark airport shuttle stop make hotel convenient location . front desk busy , help quickly check early not issue . initially put extremely small room , notice much large room , call request change , deny . speak different front desk agent person , give slightly spacious room . furnishing average public area seem clean well - maintain . overall excellent business choice NYC . 
 Jun 24 2008 	 terrific place 	 husband , daughter ( 18 ) , friend ( 21 ) stay 2 room Hyatt weekend . ask room floor make request . arrive , tell room connect . fantastic ! proximity Grand Central really convenient . access transportation shopping food court great . shop 5th within easy walk distance theater district although away . Central Park also within walking distance , especially stroll 5th Ave . complaint see site problem we . example , bathroom huge vanity stuff . bathroom clean . someone complain employee attitude , particularly check desk . staff member cheery professional . room spacious , comfortable quiet . not hear peep even daughter friend next door ! thing would like view NYC , not expect . 's coffee bar lobby sell delicious muffin , fruit Starbuck 's coffee every morning . would highly recommend Jacks dinner theater . 's Broadway close theater ( learn traffic 8 pm show disaster ! ) . tapas menu regular entree excellent , arrive right away reasonably price . go advice Hyatt concierge also send we SoHo shopping ( another good idea ! ) 
 Jun 24 2008 	 mindblowing ! ! 	 well , say . great hotel . brilliant nearly . deal criticism first ; 1 . air - Con tempremental.2 . pool facility , spa etc . 3 . check little hit miss . positive ; 1 . brilliant location.2 . large room ( new york standard ) 3 . comfortable bed . 4 . fantastic foyer - visual delight.5 . great bathroom . 6 . friendly staff , nothing much trouble , firstly , next Grand Central Station treat - food hall low area station cheap tasty . pizza especially good . problem bring food hotel , big one would notice . many place eat evening close particularly charming , mostly tgi 's , red lobster food . , near everywhere provide not mind ten minute walk plenty place eat . alot deli type shop nearby salad box etc . delicious inexpensive . next grand central station breakfast problem , plenty coffee shop . go main door fantastic diner railway arch . breakfast quite pricey pancake die . front desk hold bag last day stay good bathroom downstairs hotel allow freshen . hotel enormous staff lovely ring disappear sink maintenence guy minute . room clean high standard . main criticism air -con bit tempremental . go April weather overly warm sleep window open air con not work well . New York noisy place , love noise imagine many would . alot shopping arond good price hyatt website cheap ! ! Bryant Park Library minute walk , Times Square 7 8 minute . empire States Building ten minute . really brilliantly locate . although miss bar restaraunt greenwich , location wise perfect sightseeing . please walk new york , be safe , charming can not wait next trip . would definatley stay , hotel sum new york perfectly big , bold , busy classy ! ! 
 Jun 24 2008 	 Honeymoon Hotel 	 book Grand Hyatt New York hotel honeymoon . want something central fancy , expensive . arrive hotel hot August day instantly cool air condition fantastic waterfall foyer . check ease go straight room . tell friend New York room tiny , wow room huge ! big double bed load room suitcase shopping bag . bathroom separate sink large mirror . iron board iron room , great clothe crease suitcase . we not eat hotel , can not comment food , room service menu look lovely . the hotel right Grand Central Station easy connection . great get around subway , do . we get free paper every morning . ice drink machine floor . would fill bucket drink pepsi room . love everything hotel would recommend anyone . would definitely stay . 
 Jun 24 2008 	 well place impressive 	 Hyatt 10 minute walk Times Square , within walk distance Empire State , Chrysler Building Rockafeller Centre . find staff great , hotel spacious clean , air - con saviour ! room quiet reasonably sized , lift fast . breakfast expensive eat fabby diner across street call Pershing Square . excellent service staff range ny breakfast try , buzz New York . bus from / to airport catch straight road opposite Grand Central ( 2 minute hotel door ) . subway close , would definitely stay . 
 Jun 23 2008 	 fun weekend NYC 	 husband go NYC friend weekend getaway . decide stay Hyatt price location . impressed right start . we take air train / subway JFK Manhattan , easy take almost 1 1/2 hour . Grand Hyatt attach Grand Central make simple get . entrance hotel lobby shopping concourse Grand Central . head hotel find check - in breeze . pleasant quick front desk . give key head room . room small side , NYC hotel room . bathroom large see hotel city . bed pillow super comfortable ! ! ! find location hotel perfect . block Time Square , easy walk shuttle train Grand central time square subway stop . also next Grand Central make go anywhere city easy . overall , great hotel ! 
 Jun 22 2008 	 well expect 	 book last moment via www.continentalguestservices.com package 2 Broadway show . normally , hotel rate cheapest book last moment apparently New York ! price across board availability problem . come rescue price cheap website . hotel well expect base Trip Advisor review - nonsense check take 30 second check take 2 minute ; room big thought . Location Grand Central good subway next door . overall , efficient & quot ; cold & quot ; service major stuff up problem . 
 Jun 16 2008 	 OkK 	 typical 3 Star Rooms facility , although even minibar room . room tire old , whole hotel need fresh - up paint . Concierges Desk helpful staff friendly , although hotel distinct conference hotel feel around , really bore NYC tourist . the room loud , inter - room door room , thin , coul clearly hear go room . location good , want midtown , good communication everything might need around corner . 
 Jun 16 2008 	 great location ok room 	 fantastic location . huge soulless hotel , quite pleasant stay ( long look atmosphere ) . nice room - seem old part building . hear noise corridor overall quiet . room bathroom nice , up - to - date , modern upscale furnishing though high luxury . charge $ 2 store bag annoying . ' ve often drive road split two around Hyatt - exciting get taxi stay ! 
 Jun 14 2008 	 Grand Rip 	 ' m Hyatt Platinum member will not stay despite relatively cheap rate NYC 's . room small wear like Pennsylvania Hotel Hyatt . two incident really turn - ate hotel restaurant Saturday night 7:30pm , small adjoining bar pricey restuarant occupy thug extremely intoxicated literally scream top lung . waiter say go since mid afternoon manager would & quot ; something . & quot ; nonetheless seat family two table away ruckus ask guy lady keep , offer & quot ; tear face . & quot ; management finally restrain apparently least two return bar serve wait thrash finished dinner , hotel detective intervene say fault talk . position Hyatt violate New York Dram law serve obviously intoxicated person . next morning treat hyatt'scontintental buffet , two roll , coffee , juice $ 22 cheap option . Grand rip dangerous - stay away pay extra stay elsewhere . 
 Jun 13 2008 	 not understand bad review -- great stay ! 	 read horrible review hotel , somewhat nervous staying . daughter 's school group book want close , take chance . get excellent rate $ 223 / night Hyatt promotion pleased value receive NYC.We arrive 2 pm allow check immediately . check , tell room 2 double bed available , even though request make reservation 6 month early . give room king rollaway promise move we room 2 bed follow day . request high floor view , arrive room top floor overlook another wall hotel ! front desk accommodate offer we different room , street view small accommodate rollaway bed , stay much large room view . room face street , hear traffic noise , unusual midtown Manhattan ! rollaway provide quite nice appear full size mattress work well teenage daughter . room short corridor , hear noise either hallway street . actually , decide large , quiet room king bed rollaway comfortable small room 2 small double bed , stay room duration visit . look couple room , realize room exceptionally large walk closet large bathroom ! serve nicely store luggage use private dressing room complete full length mirror . , want large , quiet room without view , ask room 3428.from front desk housekeeping maintenance , pleased friendliness professionalism hotel staff . experience couple maintenance issue ( toilet flush forcefully geyser - like effect safe opening ) address immediately professionally . also readily accommodate request 2 pm late check . lobby beautiful connection Grand Central food court make convenient . weather unusually nice visit , not mind walk theater Times Square . 
 Jun 13 2008 	 Sex City 	 fly NYC Miami see premier Sex City . hotel nice , friendly super clean . wow ! ! ! love ! ! ! room modern clean . bathroom spacious . love ! ! also play ipod alarm clock radio ! ! ! 
 Jun 11 2008 	 ok overnight hotel 	 stay hotel 1 night recomend overnight stay . also , recomend people want & quot ; center world & quot ; , solid hotel , close many attraction fair price . mention , location hotel good , room overall expression quite & quot ; date & quot ; . get nice price ( 200 $ - 250 $ per night + tax ) hasitate . 
 Jun 11 2008 	 great location ok room 	 stay June 6 - 9 first trip NYC . hotel quite nice far lobby common area , room rather small ok far decor . elevator plentiful quite fast get room lobby quick . big benefit hotel location . connect Grand Central make transportation easy far get site . take # 4 train everywhere ... Yankee Stadium , Brooklyn Bridge , Wall St. , Ground Zero , etc . 's 10 minute walk $ 5 cab ride Times Square . stay location first , hotel be ok . 
 Jun 9 2008 	 New York city style 	 husband recently trip New York , take site sound Big Apple . want style , save book Virgin Upper Class book agent Skyclub . skyclub inclusive package us flight hotel , save we money . flight brilliant husband drink bar get head hour . arrive New York , get taxi across town Grand Hyatt , also book Skyclub part package . amazing building smack bang middle Time Square , great view New York , especially night . benefit stay Time Square easy access city shopping , go visit site interest . downside constantly busy congest full tourist like we , hehe .. Grand Hyatt fantastic building place eat , live music big comfortable room . be quite expensive , think expect 5 star hotel middle NYC . flight home pleasant , wish could fly Upper Class time . 
