great 	 lovely hotel , good view 59th street bridge particularly top floor bar . 10 minute walk central park much time square . great bar restuarant local area . amazingly large room central new york . two double bed room , space around edge ! can not wait go back ! 
 worth price - even discount ! 	 get $ 168 rate two night right thanksgiving give review think worth ( could ' ve save $ 50 day similar east side hotel ) - wrong . first dead area beyond York Avenue , right water thing nearby Mobile station . feel desert pull . come international flight lot luggage - one help lug stair . front desk professional nice - upgrade King bed . inside room , like decor bathroom ( nice bath product ) start notice glitch . heat 50 plus degree outside - way open window turn A / c hate use , need nap heat would ' ve keep awake . hotel directory service ( not know gym restaurant etc . ) tired go long walk store look minibar price see would cost drink water sleep .... could find price list anywhere even look inside minibar -- hot room ? ? ! ! nonrefrigerate drink - 's point ? basic cable even HBO ? several channel freeze ... regular rate $ 200 night , spring well cable . bad housekeeping . slam door almost half hour straight morning - 10 room floor housekeeper keep walk room let door SLAM loud noise . finally ask close door gently jetlagge - night try sleep . rude say - well , check room . say yes , door not need slam ! slam door call front desk complain . half hour later doze finally , room phone rang . HOUSEKEEPING ! ask wanted room service . response REASON disturb sign door keep bother housekeeping -- - disturb mean not call EITHER ! guest need something , course ask . badly manage place general feeling lack care room amenity . free wifi even lobby - walk Starbucks check email . pleasant experience front desk staff . 
 good price / poor location 	 stay partner 4 night hotel choose primarily sale price $ 190 per night . take consideration hotel generally provide discount early 5 day check - in date . also hope moderate pricing hotel service , . Wi - Fi internet cost $ 15 per day , local call also charge . location hotel little bit poor . hard get centrally locate site foot . try first day , decide take taxi . average taxi ride Times Squire cost $ 10 - 12 . like room design , furniture tired , tired thing heater work well . stuff reception helpful good looking ) . 
 Jan 27 2005 	 everything elese consider would recommend bentely Hotel . 	 return four night Bentley . ( 6th thru 10th Jan. 05 ) little worried review people post hotel . first time big apple , really need hotel ok . indeed hotel ok little bit away bright light town fine . the problem encounter hotel stop serve complementary breakfast January 1 , attract Bentley breakfast , arrival room greate note explain breakfast , sorry ! small set back stay pleasent . the lobby little tired , coffee dock lobby self service worthwile addition cold day encounter NY . rooom fifth floor corner York Road 62nd , traffic keep we company 5 am morning bad , room little dull friendly invite clean fresh , bathroom brighter clean , plenty towle , good powerful hot shower complementary soap shampoo . the bed comfortable linen freash , clean overall excellent . walk Fifth Ave Central Park altough 20 minute walk , find 3 day metro card execellent value number 31 bus stop outside hotel way travel 59th street cross Madison , Lexenton , Fifth Broadway jump jump , great service course use metro / subway well , find easy safe use . overall stay bentely Hotel enjoyable go back ny , would probley stay close Broadway Fifth , fine hotel littel away action ! everything elese consider would recommend bentely Hotel . thank tripadvisor great resource bewildered traveler ! 
 Jan 7 2005 	 accomodate 	 arrive check , tell room two queen size bed , even though reserve . could even begin panic , man front desk tell upgrade suite extra cost . room great ! ! 
 Jan 5 2005 	 problem ? ! 	 get pay ! bentley great location - easy get Bloomingdales , Barneys etc etc . great cinema near - independent , part big chain & amp ; lot good local reataurant use Americans & amp ; tourist . the staff friendly & amp ; helpful , ' in face ' . spoke & amp ; help need , not gush didn't . the doorman particularly helpful & amp ; offer map , cab etc whenever look like need ! room huge , fine . closet space adeqate , additional draw & amp ; cupboard space . bathroom luxurious everything function - shower powerful , water hot . the room well clean & amp ; toiletry etc replenish regularly . decor trendy & amp ; minimalistic - dark wood , glass & amp ; chrome . the breakfast surprise ! bit ' do ' - bagel & amp ; cream cheese toaster etc - free pretty unusual NYC.Maybe hotel & amp ; location will not appeal people young child , great we ! 4 star hotel not think , bad ! 
 Dec 14 2004 	 Excellent apart air con ! 	 stay November ' 04 , surprised similarity place picture see online brochure ! ! pleasant staff & amp ; nicely decorate room . bit beat track , term tourist attraction ( although Central Park around 10 minute away foot ) . one concern hopeless air conditioning . bear mind November , COLD outside , room reminiscent furnace night ! 
 Dec 13 2004 	 wow 	 not expect much price pleasantly surprised . nicely decorate room , fairly quiet , good view , excellent food amazing breakfast bar view . staff friendly helpful . thing valet parking slight inconvenience . 
 Dec 13 2004 	 fairly Good 	 Wife , 2 1/2 yearold Son stay Bentley 4 Dec - 11 Dec. I admit read review hotel worry . however , not much choice many hotel book 4 Dec take plunge cross finger ... location : Upper East Side . quite nice part town lot less bustle Midtown . Ritz Diner 1 block away , excellent deli across road , pizzeria 2 block , supermarket 2 block , plus bar resuarant . 5 min walk underground ( 59th & amp ; Lexington ) .although be never far anything NYC would prefer central . rain almost every day mean time have walk 7 block Midtown wet cold . spend fair bit yellow cab take we midtown hotel avoid rain would easy ( us ) central . , suppose depends be look nycvery close hospital turn handy Son fall bed crack head corner bed base . okay reassure able get check quickly efficiently within minute . Decor / styling : first impression place seem dull fitting room need upgrading ( chip veneer edge surface , door bathroom bash , varnish need re - do ) however , say place grow within couple day . I think ' problem ' Bentley , possibly reason lot people seem warm , style decor lighting . be mix stainless steel , dark wood dim lighting . may cool modern ( ? ) however , use brightly lit hotel lobby , lift corridor light warm colour brass fitting culture shock walk Bentley . think 's much taste thing . initially think whole place look like stick 70 's . however , Wife think really nice , ' now ' quite cool . the room : think size room acceptable . room far oppulent overall quite nice beautiful view 59th St. bridge East river . Room clean daily linen also change daily . air conditioner / heater room . good powerful showergenerally okay although wall paper thin hear everything ... mean everything ( would not spend honeymoon ! ) staff : seem friendly helpful whenever ask information etc . summary : good hotel - great way 4 - star comfortable , trouble - free stay . use pamper want classic hotel ambiance might expect Hilton Marriott wrong hotel . Bentley ' good enough ' hotel seem attract mix business tourist guest . be unpretencious quite friendly - despite creepy dim lighting . if want go ' proper ' 4/5 star hotel pay . really come NYC stay hotel room ? hot tip : want river view ASK BOOKING AGENT request . much negative talk gas station view suspect people end view not ask river view . not ask may get get right view spectacular . 
 Dec 7 2004 	 Great Hotel : near one ' smoking bar ' city ! ! 	 fiance stay four night Mid - November , couple friend join we weekend . find hotel comfortable staff accomodate , especially Willy concierge . excellently situated block away merchant - one bar still smoke ! 
 Nov 29 2004 	 Bentley Great 	 think Bentley great . travel two school - age daughter perfect one - night stay . room spotless , bed comfortable staff friendly polite . bellman direct we Ritz 's Diner great lunch easy walk 5th Avenue Central Park . Taxi 's easy come jaunt . 
 Nov 19 2004 	 one well 3 Star hotel although definately 4 	 outwardly modern stylish -if like minimal dark wood ; staff generally quite helpful pleasant . find location quite handy excellent american diner block away ' bagele ' Bentley breakfast . a shame though breakfast / restaurant area badly need re - furb let rest hotel down . also watch stay winter month - air conditioning yet room insufferably hot . sixteen floor window open either ! second round remark front desk bring technican nothing could do . whole one well 3 star hotel although never get 4 . 
 Nov 15 2004 	 Great Hotel Wrong Location 	 hotel interior exterior properly maintain . hotel do modern earthy metal accent theme . staff friendly accommodate . lobby alcove huge wall magazine coffee machine make cappuccino , espresso latte regular decaf . machine also steamer want steam milk first . free : ) problem location . walk 4 long uphill block nearest subway station . nothing around hotel . personally prefer stay Upper West Side . offer lot culture life . transportation convenient . 
 Nov 15 2004 	 clean comfortable affordable hotel great location 	 recently stay Bentley Hotel one night business trip . somewhat warry stay hotel due negative review read . however , good location price range , decide give try . encounter exceed expectation . staff courteous timely upon check . find room clean , small , plenty room luggage move around comfortably . bed somewhat soft , contain nice linen light comforter . room temperature comfortable able adjust need . bathroom clean , soft towel , toiletry sample , great water pressure shower . several review read hotel contain complaint noise . experience problem loud neighbor hear faint rumble traffic street ( believe expect busy NYC ) . hotel great location , block restaurant , shop , site . continental breakfast consist juice , coffee , bagel . bagel local bagel shop tasty , genuine NYC bagel . upon checkout , staff prompt courteous . likely nice hotel NYC , hotel excellent bargain provide great service . 
 Nov 13 2004 	 Excellent Location utterly amazing view Overall Good Hotel 	 read review people post hotel simply think , stay hotel ? hotel New York City , emphasis word City . mean lot people cram small area thing expensive . hench hotel small room expensive . even , room comparable size even prestigious New York hotel prestigious hotel New York know far expensive Bentley . yes , lobby kinda creepy , strangly beautiful right . love little coffee nook lobby , though coffee bit tempid side . first walk rooom say self small . say nice design . open window utter amazement . view Queensboro Bridge , Tump World Tower , UN Tower , prestigious Sutton Place , East River . view alone make hotel amazing . bed comfortable linen excellent . bathroom faboulous soap shampoo , 's style nice . good thing hotel besides view location . walk Madison Ave , Fifth Ave , Bloomingdales , Central Park , etc . etc . price hotel deliver . plus , pretty sure hotel one hotel Upper Eastside New York Riverfront Location . want down - to - earth accomadation , unpretentious enviroment , utter amazing jaw - dropping view , perfect location , stay bentely Hotel . stay numerous pretigious New York hotel , besides service get hotel plus lot creature comfort , major difference bentely Hotel recommend . 
