one 	 stay hotel three night Thanksgiving 2009 . stay frequently Marriott brand hotel hotel many familiar positive attribute Marriott also drawback . doubt will return subseqent Las Vegas trip . check : arrive 9 p.m . wait 7 8 minute check sole person registration speak another guest . front desk representative overly friendly rude unfriendly , not feel warm professional welcome provide . seem rather uninterested check we in . Valet Bell Staff : quite exceptional . car bring timely fashion , always professional friendly . Luggage handle well . room : separate glass shower small separate tub . room moderate size usual great Marriott bed bedding / pillow . carpet already look worn room hallway hotel old . coffee maker / tea / coffee etc . bathroom not lot space room . desk small refrigerator safe moderate size tv one chair , also quite worn . housekeeping : good . ' m particular housekeeping issue please . internet : big disappointment . hard wired Internet , free club level room , locate hotel charge $ 1 per minute use computer internet Club Lounge . first Renaissance hotel stay charge internet computer use club lounge . way price . room rate : good special hotel room good value money spend : Restaurant ( Envy ) : Excellant . although not know would return stay hotel would definitely return restaurant . several friend reside Las Vegas recommend restaurant . birthday celebration service incredibly food extraordinary . Club Lounge : moderate good . charge alcohol , different Marriott Renaissance hotel frequent ( often international location ) lounge look bit wear also . always one attendant lounge quite pleasant , tv blare one trip lounge many young child run around play hide n ' seek make noisy atmosphere . ambience : overall , not find hotel plush great ambience . nothing horrible hotel not find service fantastic . front lobby often fill really loud noisy , sometimes obnoxious sport team member , staff nothing control . prefer Marriott Suites , couple block hotel . location : choose prefer stay strip usually visit family business gambling . location fine next convention center . $ 10 taxi ride main part strip use monorail , stop right next door . pool : small pool main level decent small lounge area . 
 May 7 2005 	 quiet clean restful 	 be Vegas business whatever reason not need around casino 24/7 great little hotel quick access strip want -- blessedly without usual cig - smoke waft lobby , hall even room . however , anything $ 229 night 's probably price . grab $ 179 rate 5 night pleasantly surprised -- even rocky late - night arrival absolutely one front greet guest -- bellman , nothing . eventually lone front desk manager come get bag later even park car . relatively smooth . art Deco modernish decor really approximation fine hotel , true statement , place restful , quiet , clean . room small functional . bed , flat screen nicely appoint bath excellent . lobby bar fun staff eager please ( maybe little eager - will get later ) . food beverage manager eagerly run get couple candy bar employee break room notice hotel snack - bar / coffee - stand not quite chocolate want . one tv 's well - appoint gym problem , manager come right . couple parking attendant bite friendly -- one go far ask phone number . ( though two other supply competent , helpful driving direction ) . pool however problem -- though nicely lay pretty courtyard indeed shadow build much day - real problem be cool . interestingly , not first time ' ve see issue Renaissance , ya get to wonder 's kind design flaw 's repeat . . . big negative : able buy New York Times lobby - fact staff look like request something Mars . eagerly try hand Wall Street Journal Las Vegas paper , understand newspaper not substitute one request . business hotel , change . 
 may 7 2005 	 Nice Good Service 	 get back stay Las Vegas . first time . stay place Mandalay Bay . find wonderful way glad try . service Renaissance wonderful . restaurant good . bed WONDERFUL ! ! ! concerned issue paper thin wall , hear anyone hotel full night stay . think fact people stay business people make quiet place . quieter Mandalay . spa service Stirling Club , private club residence Turnberry . use ! ! ! ! nice spa Mandalay , less crowded good massage life Noel ! ! ! ! cost $ 60 50 minute massage $ 10 tip - add tip though , seem right . drive pick hotel town car . great stay . 
 May 2 2005 	 Excellent ! excellent ! excellent ! 	 will honest ... husband extremely fussy . like stay place upscale fairly new . renaissance fit bill ! take shuttle airport $ 5.50 per person first stop . arrive 11:00 check early issue . front desk staff great ! chocolate olive tasty ! room clean trendy . bathroom plenty big ! plasma tv cool bed ultra plush ! clean separate tub CLEAN glass shower . Bath & amp ; body work shampoo , conditioner , shower gel , lotion , face soap , body soap bathing pleasure . in - room coffee Starbucks . order room service food great ! coffee shop serve Starbuck 's coffee cinnamon roll die ! monorail convenient . think convenient stay strip close monorail station . buy unlimited 24 - hour pass day . love definitely back ! 
 Apr 7 2005 	 Loved ! 	 stay great ! room clean comfortable bathroom nice . see shower seperate tub . room stock lot extra towel , bed comfy . gym great , always stock full free water , fruit juice . room service wonderful open 24 hour . although little strip , right next Hilton witch lot Casinos great sport bar monorail take strip much cheap taxi convienient . casino nice get away little . fresh Starbucks coffee stand lobby pool area nice clean . overall enjoy stay tremendously . 
 Mar 11 2005 	 nice Clean Modern Business Hotel 	 stay 2 day last month , place nice . ' m Marriott regular , one nice hotel business . casinoplus SIDE -- Free Hish Speed Internet , Plasma / LCD Screen tv Room , large bathroom , Marriot bedding , nice ! ! modern design room , nice fixture , tile etc , clean look place . staff nice , ENVY Restaurant nice suprise , fantastic meal , great wine selection , nice coffee bar , be right next LV convention center attend event would place stay . NEG SIDE - - can not think much , be little hard get car 's busy . I back 
 Mar 11 2005 	 Great Hotel - ... 	 return stay hotel mixed feeling regard stay . the hotel nicely decorate room extremely comfortable . room nice size , great bathroom , bed extremely comfortable flat screen tv nice touch . we eat restaurant room service superb . the hotel staff courteous friendly . parking plentiful convenient . my complaint paper thin wall . upscale hotel suprise skimp construction . first night spend listen conversatiob next room . overly loud discussion hear every word . luckily neighbour check next day one else move in . we love hotel happy stay , however might get lucky next stay think listen room next door would give second thought stay 
 Feb 28 2005 	 Convenient might appear 	 great experience . , every staff person deal ( doorman , registration , room service , housekeeping , etc . ) competent willing help . the room huge , feel plenty space ... although travel alone . design public space seem tasteful room ( bit much whimsical side taste . would prefer classic , modern look ) . food great . dine Envy ( lunch ) via room service . stay one night , not deal multiple night issue previous poster speak of . the good part hotel 's proximity monorail . 's practically parking lot ( Convention Center monorail stone 's throw away ) . $ 3 , eat lunch MGM Grand 15 minute . point , traffic bad Vegas ( taxi cab line long ) , good transportation deal town . I know hotel new , maintain facility level service , have happy return . 
 Feb 21 2005 	 Disappointed ... 	 feel odd writing bad review hotel , everyone else seem great experience . Marriott regular . travel use Marriott Renaissance everywhere . first hotel ever leave thinking never come back . room assign small accommodate comfortable King size bed . forget clean room . never get we fresh mug coffee . newspaper deliver . one bath robe room know two guest . flat screen tv nice decor , set MONO sound without HD signal will not get real flat screen experience . mention gift shop call Amore gift shop coffee shop . little spot sell listerine aspirin . wall room neighbour thin , listen every word neighbour say kid 2 . overall would recommend hotel unless business alone attend convention . look Vegas experience , find well service , big comfortable room convenience see show fun casino . 
 Feb 19 2005 	 New Kid Town 	 hotel nice . envy restaurant real beat place trendy feel lunch & amp ; dinner & amp ; meal great . the staff good & amp ; food make place say expect creative menu menu special make dinner special . Thay put banana bread pudding menu 
 Feb 16 2005 	 Las Vegas Gem 	 stay Renaissance Las Vegas Paradise Road 2/10 - 14 extremely pleased . Marriott Rewards member stay free , would gladly pay stay . upon arrive , greet friendly doorman check - in efficient . room nicely do comfortable ( actual ) king bed . note : many Marriott 's seem 2 double bed bind together form king bed comfortable . nice flat screen tv , bathroom spacious separate tub ( though could bit large , though assume get business traveller 's ) . eat Envy , can not comment restaurant hear local quite good . location near monorail big plus , get Strip $ 6 round - trip beat taxi . also , another plug monorail : clean , well - light sherrif station security . all - in - all would highly recommend Renasissance less hectic alternative madness ( though fun ) Strip . 
 Feb 7 2005 	 great stay Renaissance ! 	 stay last weekend January , everything excellent . beautiful decor , comfy bed , friendly staff , location adjacent convention center monorail . would highly recommend hotel business traveler anyone not want walk quarter - mile smoke - fill casino find room . ( ' ve also stay renaissance Hollywood New Orleans , superb well . ) urge gamble , though , jump monorail , not go nearby Hilton ! 
 Feb 4 2005 	 Far ( ) madden crowd glad ! 	 Vegas many , many time , stay good hotel area : Mandalay Bay , Venetian . hotel luxurious , unique special appeal . casino , mean smoke - fill hallway . easy get check - in desk easy find room . room large , certainly contrast luxurious sweeping room venetian . clean , stylish design business traveler mind . generous desk high speed connection , tv watch easily work laptop , amazing view strip . add , one good steakhouse pleasure dine : Envy . restaurant extraordinary , bonus downstairs . monorial downtown across street , minute casino action . one downside strangely design feature . small pool courtyard basically shade entire day . make sense . spa would make even desirable . ... Vegas business , hardly much well . 
 Jan 29 2005 	 Envy - Steakhouse Renaissance Hotel 	 uas local Las Vegas , be real treat sample amazing restaurant scene , many fine table appear city . envy welcome addition . understand executive chef Richard Chamberlain Dallas ( train Mansion Turtle Creek , exec chef Little Nell Aspen ) . prime steak Envy dry - aged incredible flavor . 20 oz tuscan veal chop , several cut Kobe beef ( actually raise domestically Nebraska , tell ) . Char rather Salmon , delicious bread , corn cream cob blend bourbon , crimini mushroom port wine , valhrona chocolate s'mores ... innovative , delicious menu . creative wine list include well - price Oregon Pinot Noirs well trophy Bordeaux , Napa Cabs even Hardy Perfection cognac , hit jackpot . knowledgeable sommeli previously manage award - win list MGM restaurant . friendly staff . effort target business - class clientele well do . easy get table Casino steak - house -- word get , ! easy access Renaissance Paradise rd , across parking lot Nextel Monorail Station Las Vegas Convention Center , connect rest Strip . 
