dissapointe 	 stay venetian ten day November 2009 , long tire flight UK arrive busy check desk ( busy 24/7 ! ) quickly process find room easily . when open door , could cry ... absolutely fabulous ! bear mind one cheap suite , spotlessly clean , comfortable , flat screen tv 's lounge , bedroom bathroom , mini fridge / bar , safe , write desk internet access , massive comfortable bed usual free goody ! maid efficicient , food within hotel offer wide choice ridiculously expensive affordable basic . if return Vegas , would hesitate stay . enough say ! 
 disappointed 	 wife Vegas several time . make trip little different last add excitement try stay different hotel time . ' ve stay MGM Grand , New York , New York , Wynn . trip first stay Encore two night transfer Venetian take advantage Spa Package deal . wife always want stay mainly light , fragrance smell throughout hotel grand appearance lobby area . read great review hotel excited stay . check easy room we usual 3 pm check - in even though holiday weekend . please advise want strip view cost additional $ 50 per night . venetian like facade view back hotel pleasant . yes , lobby grand beautiful room , although consider & quot ; suite & quot ; hotel , small review lead believe especially compare room Encore , Wynn even suite New York , New York . think furniture old uncomfortable , although bed fine . one comment say dust item room find well . light dusting like not dust quite . especially disappointing noisiness hotel . door room SLAM shut force easily hear door closing hall . holiday weekend imagine annoyance . spa package include $ 50 discount toward spa treatment daily admission gym spa . well , $ 50 not take far Canyon Ranch Spa even 30 min . facial cost $ 100 . man 's spa nice always run fresh drinking water fresh fruit . one occasion find attendant remind refill . poker player must say venetian poker room one good strip . come back play poker far stay hotel will not come back . 
 Beautiful Room ever 	 particular could ask anything . 
 Best Place honeymoon ... get marry Vegas course ! 	 hotel truly unbelievable ! really like live Venetian Palace Venice ! beautiful , service great suite die . check indoor ( really indoor ) Venice outdoor theme experience . will not believe eye ! romantic place actually Venice . 
 lot fun ! ! ! 	 staff kind generous room service cater every need .. 
 second time stay herelove itwill stay every trip Vegas ! 	 Gorgeous hotel , relax , great service , clean , comfortable bed world ! ! staff always friendly accommodating , room large comfortable . lot amenity close . stay would recommend anyone stay Vegas . 
 would good never get beyond Wannabe . 	 way hotel try capture memorable site Venice one cluster area amazing . lobby nothing short grand . everything seem perfect , ... person check we say need pay $ 33 per night want two queen bed . remember specifically request 2 queen book package Continental , alas , much choice , really . get room -- 22 - 238 . like lobby , first look awesome -- spacious . notice CD player dusty . slipper . one set soap shampoo , etc . , toilet room smell like smoke . water taste like chlorine . coffee maker . tiny closet ( especially two woman ) . couch living room area wear . electrical socket loose wall . poor lighting . nothing seem genuine place . 's show . , Vegas , could one expect ? 
 Jul 9 2009 	 Big 	 Hotel would expect high standard Vegas , however venetian dare say big ! ! hotel hotel whole area fill shop restaurant casino , could take hour wonder , however venetian big lot boast 7,000 room ( pallazo adjoining ) make big hotel resort . unfortunately make much difficult get around take 15 min get room street , time negotiate lift , floor move busy casino . also far busy hotel strip , 4th July celebration unfortunately feel like whole California ! ! struggle get bed round pool 3 day people start check around 6th get sun bed . 4th floor pool noisy 10h floor small . bedroom would expect price per night nice suite . bed comfortable room cool even without air con . however still hear noise next room hallway . also arrive find previous guest clothe still cupboard , bit fruit carpet lead assume hat rush job clean room . also hotel brag environmentally friendly allow choice towel bed linen change daily , leave towel floor bath place green card bed indicate change , however leave card bed 5 night bed linen change instruction totally ignore . always place privacy notice door go bed forget maid could knock door 8 am . Tha canyon ranch ( spa ) expensive compare hotel , facial 50mins $ 175 massage $ 250 etc . ahve treatment get use spa day pay $ 40 go without treatment - pool . we stay Wynn , Bellagio , MGM , go pay price venetian consider Bellagio first due location strip concern slightly strip Wynn good hotel Vegas far ! ! 
 Jul 8 2009 	 Las Vegas Choice .. Everytime ! 	 HOTEL . whether travel friend , family significant , Venetian always choice stay . great location , great room , great restaurant , great everything . STAFF . staff accommodate . ROOM . room suite -- spacious clean . 's mini living room space every room . bed big plush . Rialto suit even well ! like mini apartment . great travel group people . SHOWER . nice big touch luxury . LOCATION . centrally locate right Strip . ATTRACTION . not forget roam around canal shop . TIP ( ) . use pool facility . Tao Beach small 's young hippie people hang -- string bikinis , loud music flow alcohol . 
 Jul 8 2009 	 bad weekend ever Vegas 	 Hotel service non existent . cater masse . must carry photo i d credit card wherever go . employee experienced . injure shower part fall hit eye . medical care . manager attempt rectify anything . still Dr. 's care . line wherever go . concierge , check , restaurant , table , spa . hotel cater young crowd little travel experience . Encore place go . 
 Jul 6 2009 	 get smell ! fantastic stay ! 	 wife take trip 4th July holiday impressed . put perspective book hotwire less $ 100 night steal . room huge clean . view 33rd floor overlook pool strip . they think everything venetian . parking breeze . matter self park valet . , even though busy weekend never trouble find place park . I read plenty review complain smell hotel . yes , smell like flower even find pleasent over - powering . casino small compaire other certainly fit bill . highlight trip pool scene . lifeguard friendly make sure welcome anything need . , advice use pool & quot ; right & quot ; side . even though be little small almost certainly crowd . & quot ; seat & quot ; build side pool great taking load off . we find resturant not expensive expect . , room 25 % coupon Wolfgang Puck resturant town square . 's worth shot ! 
 Jul 6 2009 	 great hotel ! 	 hotel great ! ground beautiful . 's huge place could get lose easily walk . location hotel pretty decent . 's center thing close Fashion Show Mall . seem like hotel strip design keep premise time . hotel shopping eating could take . 's twin , Palazzo , extact way . I like fact room suit . 's plenty room cramp top person room . bathroom nice size nice . perfume air smell like bad dollar store potpourri . that s thing wrong hotel . 
 Jul 5 2009 	 Nice Hotel watch bait 	 software conference like hotel . great place return . however seem other business trip hotel run rate bluff be town large convention rest town full . great hotel great service good rate . can not imagine well overall place stay Las Vegas . stay also cautious front desk . : - ) nevertheless great hotel stay happy , make damn sure show write book information get past fake flim flam con artist desk manager . nice though rude polite calm want rate reservation . fake rate intially try bill several collegue fact high walk street rate several hundred dollor per night madden . feel like think barrel extort whatever could shake customer spend 3 day try finally give give rate fact book . I book office , Fortune 1000 software company everything pay expense reason try scrape penny check . 's happen : great rate book corporate travel office . Venetian refuse honor rate & amp ; other company book . spend 3 day hiding try avoid honor correct rate . suspicious person would think much like shady car dealer trick wear customer will take price leave lot , case give go home let hotel pocket difference . however arrive hotel ( travel separately ) hotel try charge $ 500 / night stay . rate book $ 139 / night . first think maybe snafu see couple collegue walk past told desk would issue . call corporate travel office give correct rate hotel desk & quot ; manager & quot ; first hide call persist tell would fix . dodged long 1st evening iPhone battery run travel office wait line rest fo desk staff would & quot ; try & quot ; locate get call . eventually exhaustion dead battery check charge card full amount week . keep duck corporate office almost 3 day . eventually Venetian back fake charge spend 3 hour phone everyone involve get fix . ask nothing rate book tell want comp anything want much respectful make point go none Las Vegas Shenanigans . work not look handout want get act together painful . even though take comp discount send $ 100 food beverage credit frustration . still feel would ahead give front desk $ 100 not make spend 3 hour onthe phone . nice folk stubborn lot rate mistake issue . realize get lot drunken con artist customer try take advantage would respectfully ask little willing force convention crowd 's company spend million dollar / week rent facility get wear sort thing . leave bad taste . like hotel staff general could well nice . successful staff & amp ; custoemrs deserve well rate validation policy . 
 Jul 3 2009 	 amazing place stay play ! ! 	 husband return week 's stay venetian hotel Las Vegas . marry almost twenty year want get away spend time together alone . hotel deliver need . basic suite Venitia Tower 31st floor . room amazing CLEAN ! love spa product provide . smell wonderful . except one rude girl Club Grazia booth , every single employee nice helpful . casino fun ( although lose blackjack table ... ) rarely wait cocktail . travel budget , Canal Shoppes offer food court great salad , sandwich , burger , . course , shop excellent , well . can not find something like within hotel , may want rethink Vegas ! ! already plan next trip . 
 Jul 3 2009 	 wonderful stay Venetian 	 spend 4 day Venetian thoroughly enjoy . room beautiful , 650 sq ft . tastefully decorate suite supremely comfortable pillow top king bed sink living area sectional couch dining table . 3 flat screen tv 's . bathroom marble provide toiletry top quality . hall corridor elevator long Vegas standard . room tower quiet elegant . staff friendly , helpful courteous . restaurant choice amazingly diverse , 22 , think , . choice inexpensive food court super luxe gourmet dining , something every taste budget . shop Grand Canal shoppe great fun lot store , super luxe one . stroll muscian , gondolas Venice atmosphere make delightful experience , even one not like shop ( like ) . casino venetian busy crowd , adjoe casino Palazzo much quieter elegant . choice nice . lot family child stay seem enjoy immensely . certainly . much see Venetian , one could stay leave ! 
 Jul 3 2009 	 Glory Days Venetian May 	 two day stay Venetian / Palazzo announce massive employee layoff . explain problem . room still nice standard & quot ; small & quot ; thing Venetian know long do way do past . bell service slow check . ask new shower curtain due mold old one although two people come look curtain never deliver . know not particularly earth shatter event seem support prevail theory venetian trouble ( not everyone ? ) . believe newly reduce rate make good deal Venetian long strong 5 star hotel . location remain unsurpassed . 
 Jul 2 2009 	 nice 	 stay 4 night great time ! kid ball pool travel child like swim spend extra money rent cabana pool spend whole day . parent sit shade A / C tv also watch kid pool . 
 Jul 1 2009 	 good 	 arrive invite guest find dirty room . upon inspection find empty soda bar area , hole sheet , empty bottle champagne bar someone dirty shirt back door . all make we wonder room really clean . in addition television bedroom area not work . hate long 20 minute invite quest desk even long conceriege . one night come home dinner drunk man pass floor lobby . hotel really go hill . oh god please get different airfreshner smell horrible . 
 Jul 1 2009 	 wonderful hotel 	 place awesome time check time check . long line check - in , go really fast able check early problem . huge suite 25th floor great view . 4 Star hotel way . 
 Jun 30 2009 	 fabulous 	 great resort . be large beautiful lot . room amazing ( suite ) . staff friendly . one small snafu- call 3 time get sofa bed make - up . issue . go hotel strip glad pick one . be fairly new , help . not visit pool , several . drawback food many shop restaurant pricey side . oh , free internet . $ 10 day access . plan spend good bit eat hotel . would love stay . 
