boutique 	 special atmosphere , moment welcome friendly professional staff happy help request matter small . Hotel Rex great location near action ambience special load personality character often lack multinational hotel . normal room small , brightly decorate eclectic style . big day San Fran wonderful relax bar glass complimentary wine - Fridays string quartet follow jazz ensemble ! ask room high level senstive traffic noise . 
 Fabulous ! 	 stay Hotel Rex four night early November . check staff extremely helpful friendly find staff high calibre . deluxe double double room find plenty big enough even case lay floor . bed comfy shower wonderful . would ' ve like coffee maker room complimentary tea coffee available bar area morning . also , miss complimentary breakfast . Cafe Andree , next door , serve breakfast quite pricy comparison local restarant . complimentary wine evening great though ! hotel great location , block Union Square cable car station adjoining street . hotel staff great recommend tour restaurant . would recommend Lori 's diner breakfast great coffee Puccini Pinetti dinner . overall , would recommend Hotel Rex stay wonderful city . 
 Jan 24 2005 	 wonderful place stay 	 make last minute trip San Francisco discover Hotel Rex line . 's hard know will get sometimes way -- picture lie . case disappoint . place good - look , comfortable clean , staff friendly , kind helpful ( late check complimentary wine hour extend ) location central . place would want go walk distance . room quiet . room not view actually grateful -- face street mean endless noise want view walk outside get one . nice able sleep without sound traffic . whole - heartedly recommend Rex . 
 Jan 16 2005 	 Good Location 	 Stayed Rex early January 2005 . convenient location near Union Square near lot art gallery . staff friendly room clean . room bit small side , similar size would get Europe . the room face alley , okay make quiet night . hotel probably well seal noise . 's parking immediate location , garage block away . one cheap parking garage Sutter / Stockton garage two block away . one thing hotel need well enforce parking area front door . 's suppose unloading / loading luggage guest , car park time . hotel staff nice enough go around block stop help luggage . 
 Jan 4 2005 	 Hotel Rex ... wonderful ! ! 	 husband we d October 16th fly San Francisco honeymoon . thorough search perfect hotel complete , keep come back Hotel Rex good choice ; disappointed . front desk helpful give we warm welcome . help we plan daily excursion . nightly wine taste big list , make back hotel one night ! even though late get back afternoon , still give we complimentary glass wine . the room quite plush , turn service give evening . room service exceptional well ; must try grassland buger ! also opportunity dine quaint bistro lobby . complaint coffee maker room . must go restaurant buy coffee morning . think include stay . otherwise ... beautiful . also , book line , can not get king size bed . book queen call Rex upgrade . take care w / out glitch . we would stay visit . beware picketer street . , disgruntle hotel employee loudly picket front big hotel . ' m tell small hotel next contract .... check booking 
 Jan 2 2005 	 favorite Hotel anywhere ! 	 travel San Francisco quite frequently decade . Hotel Rex favorite hotel anywhere . boutique hotel good staff anywhere . send bellman run 7 block local Godiva buy chocolate cover strawberry come room , embarressedly sing happy birthday give strawberry . never forget . ' m sure everyone get type extraordinary service birthday party people stay . ever since , staff reservationist valet remember ! tell staff extraordinary length go make guest stay perfect , would believe . one desk clerk go home get baby carrier guest forget ! train go extra mile ! room comforters great decor mute Lauren type linen . room include CD player supply nice jazz cd forgot . breakfast downstairs Cafe Andre superb brioche french toast world ! ! ! lobby extraordinary gorgeous bar one end . everything do perfection . price go wrong ! highly recommend someone go often . ( know hope still get room ! ) 
 Dec 28 2004 	 Fantastic hotel 	 hotel locate wonderful area , reach many interesting shop , gallery restaurant walk distance . staff exeptional help we wedding - preperation . friendly , patience never tired trying please we completely - give feel everything take care atmosphere great - oasis inside great live city ! room clean , lovely decorate comfortable bed & amp ; pillow .... perfect . never regret stay ... : ) ..... try , will not dissapointe . 
 Dec 24 2004 	 Loved ! 	 great staff ! clean room ! excellent location ! although room might little small benefit , believe , outweigh fact . staff knowledgeable concierge able quickly locate we excellent Nepali restaurant , Nepali girlfriend absolutely love ! staff feel friendly welcoming believe make large difference clearing headache wonderful trip . locate Union Square 4 - 5 block away Marketplace St. also chinatown 5 min . walk away . not want taxi , MUNI get anywhere fairly quickly throughout san fransico 6:30 pm . anyway , blablabla .... recommend hotel . 
 Dec 8 2004 	 quaint small boutique hotel EXCELLENT SERVICE . 	 look boutique hotel style flavor large company hotel blase . boutique hotel excellent service . room small , quaint . bathroom immaculate , bedsheet nice , toiletry adequate . able stay 2 room 4 night stay since last night able get cancellation leave ( pretty book w / e ) service excellent . not great service , would gotten another room last minute .. well good restaurant recommendation .. downstair lounge restaurant like picture show . 1930s speak - easy ( sp ) jazzy type feel relax wait drink freiend . close Union Square far enough barrage tourist noise . would recommend hotel ... well price thumb be look good value boutique hotel ! add bonus large hotels local Union worker , turn striking week . man loud - well harass poor tourist visitor clue book time strike . luckily - Rex Union run , hear deal striker . stay 9/30/04 10/2/04 
 Nov 24 2004 	 great service great feel 	 internet booking co. use screw reservation hotel sell . could even get upset , find we room . cute room . nice linen . aveda product nice bonus . 
 Nov 14 2004 	 really good feel 	 stay hotel week early November . check slow friendly sole person reception keep interrupted telephone . room assign 7th floor attractive cosy . however air conditioning , tiny black plastic fan , top floor stuffy . upgrade Executive King large air conditioning . find room attractively cosily decorate warm vibrant colour . high speed internet access work treat toiletry Aveda . service time friendly seem genuinely . get free glass wine invite bar 5 6 pm . tea coffee make facility room bore , room service slow ( 30mins 2 call get pot tea ) one meal order luke warm . noise adjoining room ( ) sometimes seem intrusive . overall despite criticism would say friendliness , literary historic styling , location general FEEL hotel outweigh shortcoming would definitely recommend ( provide get air condition room ! ) . 
 Nov 4 2004 	 colourful comfortable 	 stay 4 night September . good central location , clean room ( slightly slant ! ) good bathroom . breakfast complementary ( comment ) . fast free internet study room ground floor . staff polite helpful . recommend . 
 Sep 18 2004 	 consistently good 	 great location , great staff , charming hotel . return third stay Hotel Rex become favorite hotel s.f . St. Francis expensive anymore . park car walk great restaurant , shopping , etc . staff professional friendly decor stylish upbeat . get feel management care stay want earn business . 
 Sep 6 2004 	 Literary Gem 	 return home stay Hotel Rex . experience terrific . staff one professional attentive ever experience . hotel European , literary feel great location -- block half Union Square , yet remove hubbub Powell Street . wife plan make Hotel Rex base future trip San Francisco . 
 Sep 2 2004 	 Staff superb ! 	 Staff superb ! stay 5 night . never San Francisco , staff helpful direction , quick route , easy transportation , place go , place eat . room clean quite cute ! hotel convenient everything . would definitely stay ! 
 Aug 9 2004 	 good deal San Fran 	 review read right money . place fantastic ! clean , nicely decorate staff could not friendly . not stay hotel San Fran will not since find one . 
 Jul 8 2004 	 good stay Rex 	 stay four night end June conference . great price compare hotel , everything great room . good area town , ( never try restaurant ) . would stay . 
 Jun 17 2004 	 Hotel Rex perfect ! ! ! 	 good friend go San Francisco birthday stay Rex . everything absolutely fabulous . hotel adorable , great little bar . staff phenomenal , helpful we every way . even bring free bottle wine room . location perfect ( 1 block Union Square ) ; also walk North Beach , Chinatown Fishermans Wharf . breakfast fabulous well . would recommend boutique hotel anyone definitely return . 
 Jun 3 2004 	 Best SF 	 far good Boutique Hotel SF . say place positive ! Cafe Andre Rocks ! bed like home , room fantastic ! great water presure shower SF hard find ! staff , wonderful ! Chris front desk GEM ! totally know stuff . 
 May 28 2004 	 great location 	 stay hotel 1 1/2 yr . old 4 yr . old kid . would recommend place . $ 35 valet parking worth young child . 
 Apr 21 2004 	 good location value 	 sister plan weekend getaway great time . Hotel Rex step away bustle Union Square yet quiet inside . neighborhood feel safe walk around night case area around Union Square . the staff helpful suggestion even offer we free movie ticket film festival . get upgrade check ask even though Joie De Vivre experience award member suppose automatically give upgrade . room nicely appoint small SF experience . bathroom ok , nothing great , Aveda product nice . housekeep great job not bang door 8 am like hotel even though & quot ; disturb & quot ; sign . get great deal Joie De Vivre website , much lower price deal find online . guarantee low rate website find true . only con : slow elevator , shower would stop go tub mode neighbor flush toilet ! 
