excellent 	 first trip New York unsure stay . location really important we since ticket concert Madison Square Gardens ( across road ) , decide Affinia Manhattan . Macy 's couple block away great local eating , thrilled choice . room large add bonus kitchenette make great place stay . can not thank concierge staff enough help ticket , sightseeing etc . local knowledge friendly service help make trip . yes , bathroom small perfectly adequate , yes noisy middle Manhattan - think add experience ! 
 Fabulous stay Affinia 	 stay 5 night Affinia Manhatten studio suite everything great . two comfortable double bed enough three adult . housekeep excellent problem anything need , quick phone call reception sort . room 25th floor noise bad , fire engine street , often . need good diner area good one go back entrance Madison squre garden call Stage door deli , thanksgiven dinner delicious . thank Amy help book , definitely recommend Affinia family friend , can not wait go back . 
 excellent city - great base hotel 	 stay Affinia 23rd 28th November . I do great deal research hotel find one thought would good bet . once get room sort ( change 3 time first one tub second overlook internal courtyard 3 foot away somebody else window ! ) - finally get room 8th floor overlook maddison square garden . great room . could see way times square buzz city life . the Concierge hotel fantastic - Maureen Ashley great ask advice help regard transportation etc buy UGG boot ( thank Ashley ! ) another lady ( sorry can not remember name ) recommend AMAZING Thai restaurant Chelsea - 10 minute walk hotel . food Spice good go twice ! - amazing cocktail , wait staff amazing never felt rush . chance go , go ! bar next door Niles great - reasonably price , great cocktail great service - include great banter bar staff ! ! ! love new york can not wait come back honeymoon although think would stay somewhere else inthe city - not love Affinia would like see something different . 
 love Affinia Manhattan ! 	 love hotel . room great ! room patio 26th floor . husband smoker work well kid hate smoke ! room spacious . bathroom small clean . bedroom great . living room kitchen spacious . problem noise . still hear siren taxi horn ! would recommend hotel family kitchen seperate bedroom . really enjoy first trip New York City ! 
 City Noise 	 teenage daughter stay one night 11/2009 . 17th floor face Madison Square Garden train station . the one negative hotel street noise . hear loud clear . ask room back away street high floor . room clean yes bathroom small planning speding lot time . tv old model , work city look tv . staff friendly helpful . locked room suitacase , room ready . room clean somewaht outdated decor . less $ 200 night 2 queen bed kitchenette well worth money . 
 Hotel need major makeover 	 Hotel book company 's travel agent , upon check realize make mistake , elevator old . arrive floor hall carpet dirty , wallpaper peel wall . continue room upon enter surprised , room big standard room NYC , furniture old . open bathroom killer , shower 3 foot 2feet wide whole bathroom maybe 4 foot wide , stay hotel . 
 warn ! ! ! 	 book 4 - star room Priceline ( first mistake ) . day check , call 1 - 800 reservation number confirm reservation ( base review TA ) request high - floor quiet room ( know well room high floor ) . confirm telephone agent . when check , give room 10th floor . point not match request , informed request note , high floor would extra $ 100 , special gesture , have give $ 50 . refuse pay extra , decide check room offer . room awful , say least . grant , room large ( especially Manhattan hotel ) , obviously date mid-80 good . carpet seem dirty , furniture old beat , overall one would expect two - star motel - 4 - star hotel pay for . I politely , firmly insist front desk manager want move room keep reservation request . move another , admittedly large , room , still calibre . , refuse offer , demand room least somewhat resemble room display hotel 's website ( use term & quot ; false advertizing & quot ; , feel case ) . eventually move room keeping pay , request , see hotel 's website . be warn : Afinia Manhattan renovation . renovate room good deal : large , offer small kitchenette , up - to - date furnishing hotel exceedingly convenient location . unrenovated room old tired . term & quot ; standard room & quot ; Afinia 's euphemism & quot ; dirty , old , decrepit room & quot ; . not accept & quot ; standard & quot ; room , not accept pay supplement renovated room . demand give room match hotel ' advertisement , pay for . business obligation truthful advertising . course , hotel always use photograph show amenity well , display photo update portion hotel expect guest accept less unacceptably misleading . btw , first last time book Priceline - another topic . 
 Oct 16 2008 	 acceptable 	 room wear . bathroom small old . kitchen run appliance need replace . afraid turn stove . lobby great room . conveniently locate Madison Square Garden go . 
 Oct 14 2008 	 Affinia Manhattan : save money go somewhere else ! 	 wife 's 40th birthday ; dollar low want something special . New Jersey New York . Long Beach Island great , fantastic people beach , great victorian guesthouse . Barclays golf tournament excellent fun ( wife golf fanatic ) . save well last : night centre Manhattan great hotel . , alas disapointment . would book room terrace Affinia 's & quot ; Al Fresco & quot ; summer promotion . terrace turn balcony overlook large chunk hotel bottle champagne promise part deal never turn . room tired , date , run disapointing price . door balcony would close properly , kitchenette area feel though student 's house . bathroom tiny also fade . internet access advertise exorbitant rate - hotel ( theroretical turn ) standard offer wifi access free . staff average . link bar / restaurant stair feel like 1970 's ( good way ) .I ask early check - in limited time New York ( get arrive early wait age bag store ) ; ask late check - out flight home 8.00pm ( get house manager border - line rude ) .If want stay New York want something special , avoid hotel . spend extra balcony ( ooop , sorry , & quot ; terrace & quot ; ) , essentially pointless useless sup non - existent champagne set sun . I book directly hotel receive feedback form email give much ( try positive ) criticism no - one get touch send . overall disapointed , shall return ; next time would stay Brooklyn , get well hotel well facility ( less ) money enjoy walk Brooklyn bridge . shame 40th trip end like . 
 Oct 11 2008 	 Great Hotel ! Great Location ! 	 stay Affinia Manhattan 5 night Sepember . Studio Suite 2 double bed . room quite large thought would look photo site , since long enought sleep not big deal . room nice clean . the kitchenette nice also , puchase gallon milk item save little money breakfast every morning . we room 20th floor aside occasional fire siren horn honking quiet . first night , get use noise city . the staff courteous helpful . housekeeping also good . even clean dirty dish we . the location wonderful . son think cool staying right across street Madison Square Garden . subway station every 10 minute walk Times Square . I would definately recommend Affinia people would stay ' m ever New York . 
 Oct 10 2008 	 Perfect Place Stay ! 	 friend stay last weekend . perfect location ! within walking distance many thing ... attraction , restaurant , theater , subway , etc . 18th floor absolutey problem noise street . fully expect noisy ( mean , be middle Manhattan ! ) quiet . never hear people room either . suite adorable kitchenette useful ! staff interact courteous helpful . would stay heartbeat would recommend anyone ! 
 Oct 3 2008 	 great hotel convenient location 	 stay Affinia Manhattan 5 night early September 2008 . originally book suite , arrive actually upgrade one bed suite 22nd floor , lovely surprise , particularly New York celebrate girlfriend 30th birthday . room great view 7th Avenue Madison Square Garden , comprise large living area , fully equip kitchen , two bathroom , bedroom queen size bed large roof terrace . room huge comfortable ' want leave ! even 20th floor experience street noise taxi ' fire engine race 7th Avenue , we encapsulate life like live busy city thought actually add experience Manhattan . certainly not cause we sleepless night . people say hotel situate great location , opposite Penn Station within easy walk distance Times Square , Empire State Building Macy ' . great base explore city from . we find hotel staff extremely friendly helpful . everyone encounter everything could ensure pleasant stay leave favourable impression . two stand member Affinia team Maureen ( concierge ) help we purchase ticket , book trip generally provide wealth useful tip information ; , ( front desk ) , make relatively minor compliant room , resolve problem quickly efficiently . thank complementary engagement cocktail way ! eat hotel restaurant ( Niles ) one occasion really impress quality food surrounding . also order room service couple time , food good arrive promptly . overall really impressed Affinia Manhattan , much , ' hotel would definitely return future . 
 Oct 1 2008 	 Comfortable 	 Affinia Manhattan like apartment rather hotel . get homely feel soon walk lobby . the hotel good location south end midtown & amp ; right across road Madison Square Garden & amp ; Penn station . the room stay clean & amp ; small kitchen come handy . room comfortable & amp ; pretty good restuarant & amp ; bar downstairs next lobby . just like hotel NYC , bit pricey getting . 
 Sep 29 2008 	 Spot ! 	 nice hotel , staff friendly towards we . we studio room expect something could walk around bed , room huge manhattan room price . Maureen concierge desk especially helpful several occasion book ticket general advice . know stuff ! well place hotel term transport link . we e - mail advance ask room high floor need cater to . would recommend go Ginger House food like chinese food , across street one block think . good food.would easily go back hotel ! 
 Sep 26 2008 	 great stay . 	 stay Affinia labor day weekend . 5 girlfriend , stay one 2 bedroom suite kitchen 2 bathroom . impressed , enjoy stay 3 night . staff friendly bed comfortable , mostly location perfect . room little tired could use new paint equip flat screen t.v . 's roomy . travel agent will not afraid sell property client . see next year Affinia ! ! ! ! 
 Sep 25 2008 	 wonderful experience Affinia Manhatten 	 second stay . drive city meet wonderful gentleman take valet parking . last stay come train Penn station across street . staff ( ) polite , professional reservation exactly request . room one bedroom suite . feel stay luxury apartment Manhatten . Kitchen reg . size fridge . bedroom large soft sheet lot pillow . also pillow menu want try something unique . 25 floor . quiet except occational honk siren . love ! hotel convienient shop , resturant short walk Times Square . Affinia excellant choice price . next year plan family vacation twenty + aged child know feel welcome magnificant time . one last thought .The Affinia large , professional staff make feel like special guest ! 
 Sep 25 2008 	 Good Hotel : Pity Street Noise 	 Affinia well position Manhatten close subway station 28th street Penn station yard away . hotel comfortable spacious room helpful staff . least 4 star . side noise . previous reviewer mention nearby fire station big continuous issue huge metal sheet traffic rumble pass one side hotel . even 5th floor noise obvious night day . mean use hotel insist high level room one not face onto street level 
 Sep 20 2008 	 Good Hotel : Wonderful Location 	 stay Affinia Manhattan labor day weekend thoroughly satisfied aspect hotel . get rate approximately $ 300 per night think give price Affinia really fit bill among peer price level . the location prime - easy get hotel basically location city . area hotel provide ample look around . the hotel nice building although little different . sure always hotel . seem like big bank lobby something similar . invite welcome nonetheless . staff good accomodating . we small room - queen . clean thorughout , bed comfy , AC work quiet . nothing outstanding room - heart city really quite good size . bed really comfortable . the exercise room small surprisingly well equipped . really enjoy amenity fact open 24 hour . overall - can not go wrong staying . good spot weekend trip . 
 Sep 17 2008 	 great hotel 1 bedroom kitchenette suite 	 entrance grand . staff friendly helpful . willing help . bed pillow great . woke every morning feel good . want take pillow home . 23rd floor quiet . 1 bedroom suite queen size bed comfortable full bathroom . brother slep hidabe living area also full bathroom say also conforatable . great location across Madison Square Garden Penn station . block away Macy 's 3 block away Empire state building . would recommend hotel . would recommend hotel . 
 Sep 17 2008 	 could fault ! 	 Affina Manhattan , right across madison square garden great central place stay . staff really friendly , room huge ( get 2 double bed book twin ) fridge keep drink breakfast cool . fault would definately stay . 
 Sep 16 2008 	 Good Noisy - great location 	 good , exhausting , week Affinia Manhattan . cheap mean room country would command half price . mention noise , guy behind reception desk burst laughter say ' you do not expect noise NYC ' ? , have not really give much consideration ... hotel build fire station . engine go full siren horn , 3 4 time every night . 15th floor , feel noise would similar sleep bag fire station . reduce , ask high floor , 20 ! size room actually fine , two double bed ; 2 adult , daughter . choose hotel availability kitchenette room , fridge & amp ; coffee maker prove useful . also , couple night tired , buy take - out chinese across road , bring room , eat bed ! plate & amp ; cutlery useful . bathroom little run , tiny bath - shelf perch need , could not really actually bath . Shower , work fine . slightly grubby tile , need update bit . directly across road Madison Square Garden , location brill . walk distance ( couple block , 500yds maybe ) Macys . Macys fantastic shop ! close ' hop hop ' bus stop , can not fault location . MAUREEN concierge desk worth wait be busy - know stuff , make great suggestion , could not helpful . someone give pay rise ... airconditione room work well , room icy cold . actually huge clunk beast stick glass window ( size fridge ) , close curtain , stop airconditioner , cool night noise early light come straight room .. close sweat death , bit dark ! summary , ' m sorry choose Affinia . think 's way expensive way noisy - guy reception say ' this New York , expect ' ? 
 Sep 15 2008 	 Good Hotel 	 stay Affinia Manatttan 29th August - 2nd September , 2008 . although hotel obvsiously build many year ago , room light airy . large suite 11th floor . room spotlessly clean , criticism shower bathroom small , consider size suite certainly could big without lose much space . drawback room noisy due fire station along road lorry collect garbage middle night , plus general hustle bustle New York , able get peaceful night 's sleep . staff friendly , reception lady gentelmen charming attentive , also respond request efficiently . concierege staff also exceedingly helpful , doormen chambermaid cheerful obliging . all delighted stay hotel . third time New York , time stay different hotel , choice necessarily offer available . second occasion stay Astoria , husband feel Affinia Manhattan superior department . thank guy . Juliette Gerald Bougourd . 
 Sep 15 2008 	 Brilliant Hotel ! 	 wife stay 8 day 1 - 8 September . wedding anniversary , give we corner room 26th floor , balcony overlook 7th Avenue MSG . staff excellent , room huge location perfect . quiet hotel , hey , be New York , expect ? Affinia great place stay want middle ! Nile 's restaurant also great place eat relax ! 
