stay 	 go 8th time Vegas , stay new hotel visit . however , friend Vegas newbie narrow - minded plan spend time lounge pool . sister advise we book stay Hard Rock Hotel . since yet try destination party atmosphere , concede suggestion . plan trip span Thursday Monday ensure would poolside Sunday Rehab party , still advertise prominent event website , though already enter Fall season . we arrive schedule Thursday afternoon confront lengthy check - in line . die get settle start trip , allow check prior 3 pm time . tell room ready await approval housekeeping manager , take one hour . drag luggage Pink Taco restaurant grab tasty mexican salad ( see separate review ) enjoy sun patio . return check desk hour later tell room still await approval , could immediately settle room low floor . point , eager get pool , agree less room , wound provide hideous view parking garage ! room funky wallpaper , spacious bathroom , iPod dock speaker , large flat - screen television . mixed feeling regard stay . first , website mention Sunday Rehab party season pool heat . , basically , everyone relax poolside 80 - degree weather , nowhere properly cool . regard crowd , friend think back home among Jersey shore guido . fist pump definitely scene ... final note pool waitress extremely friendly Thursday afternoon , become snooty pretentious weekend . try exude & quot ; cool & quot ; vibe rowdy Saturday - Sunday crowd . pretentiousness discourage impressive . additionally , hotel 's free shuttle Strip arrive every hour even stop anywhere close Las Vegas Boulevard . wind opt taxi service instead , save time cost $ 10 way . also annoy $ 20 day fee use fitness center , attach spa rather part hotel . large room pack equipment would perfect way counteract extravagant dinner evening cocktail , refuse pay & quot ; amenity & quot ; .The main reason stay Hard Rock crazy atmosphere , terrific nightlife option , large pool grotto . however , many thing negligible find property . would recommend stay Strip instead . 
 40 th birhtday getaway 	 Loved ... music great upbeat .. find singing time . staff could friendly helpful . book pink jeep Grand Canyon consierge fantastic . leave imp . paper safe ... already checked not realize several hour later ... go back hotel safe ... secruity . safe front desk server maid wonderful . miss bottle opener .. call desk minute . location couple block strip really enjoy ... access easy price definetly well place stirp . love small accessible . like either club .. high expectation read good . people firont desk say going put new club ... also ... sad able swim ... say consider pool open year round 
 hotel terrible ! ! ! stay far away . 	 begin .... 1 ) room single glass anywhere find . drink hand . several dirty glass sit floor outside door arrive check next day.2 ) television signal . zero channels.3 ) huge moth sheet . discover crawl leg get bed.4 ) room coffee pot.5 ) construction begin 8 room directly mine ( hotel less half full judging registration desk , put room construction ? ) .6 ) staff impolite.7 ) hotel charge $ 8 item mini - bar , not touch . know item never begin . 8 ) music registration desk loud ( casino floor ) can not hear employee say behind counter . as frequent business traveler stay lot hotel ( ' ve fly 50,000 air mile around US last 6 month business travel ) Las Vegas Hard Rock , without question , worst ! ' ve stay Best Westerns middle nowhere preferable . I ' ve also stay Hard Rock Hotel Biloxi find vastly superior amazed Hard Rock ' brand ' would allow disgusting property operate Las Vegas . do favor . be travel Vegas , avoid Hard Rock cost . will not sorry like . 
 Feb 19 2005 	 easy navigate fun explore 	 stay Hard Rock four day late May 2004 . much enjoy stay plan return mid - April year . ' m 40 - something , not feel place Hard Rock least . contrary , feel welcome right time check - in . request room new tower hear rumor bathroom well lay appoint . two ( 2 ) queen - sized bed probably comfortable bed hotel anywhere . mountain - view side hotel could enjoy view extremely comfortable chair . other note , pool area beautiful ( find even attractive pool Mandalay Bay ) cocktail server always pleasant . make relax hang poolside enjoy drink people watch . Hard Rock 's casino probably small serious gambler . not play table , kill time slot afternoon much luck Hard Rock 's slot anywhere else , suppose . seem recall cocktail service good , least time around casino . for record , would mention ' ve Las Vegas several time stay various hotel , include New York - New York , Treasure Island , Circus - Circus , Paris , theHotel Mandalay Bay . would not stay Circus - Circus New York - New York , Treasure Island would remote possibility . like theHotel Mandalay Bay ( mb 's pool nice ) , not awed place like many seem ( get offer time $ 159 / night question whether would pay ) . Paris excellent casino one attractive Las Vegas , want attractive pool scene , will not find Paris . therefore , stick Paris cooler month . one final note : would not recommend Hard Rock first visit Las Vegas . would wiser stay strip well access explore casino . ' ve do , though . will stay Hard Rock enjoy drink pool gamble Paris Caesars Palace - affiliate hotel downtown . rest hard - to - please 40 - something stay theHotel Mandalay Bay . not come complain hard use MB 's comp . live learn . see April Hard Rock ! 
 Feb 11 2005 	 Rock Roll Heaven 	 stay March , 2004 celebrate daughter ' 21st birthday . attempt check around 1:00 p.m. , tell room would ready several hour . walk across street Hoffbrau House , great meal serve authentic german beer tap ! upon return , tell room still ready , even though arrive later estimate give we early . front desk staff rude , & quot ; tude & quot ; improve course stay . definitely get feel fit target demographic hotel , tad & quot ; old & quot ; ( 40 ) welcome HRH . question & quot ; resort fee & quot ; , tell thing like pool ( close whole time ) , phone room , ( gee , pay extra phone ? ) , towel . HUH ? hotel include item daily rate . . rock roll decor , music , even elevator great fun . also enjoy size room , french door open fresh air . noise low fly plane bit annoyance , time , however . bed quite comfy , bathroom toiletry nice . casino energetic fun , find slot bit tight . yes , place definitely 20 - something , center bar one big meat market night . even experience & quot ; joy & quot ; college age kid fall drunk around we , say security pretty good keep drunk line . overall , Hard Rock Hotel heavenly experience , understand ' appeal masse . even daughter , generally love everything Hard Rock , find elitist unfriendly . plan another trip Vegas May , 25 year old son want stay HRH pool , & quot ; fogeys & quot ; stay elsewhere . 
 Feb 7 2005 	 Hard Rock 	 husband ( 36/41 ) stay Hard Rock recently love . staff outstanding . ask maintenance fix slow drain tub fix immediately . even several event happen week , hotel overly rowdy . wall room thin though ( hear neighbor yawning ) . music play hotel typical rock stuff . loud . the restaurant hotel great also . feel stay strip great choice . only thing bug we drive hotel property . tricky times traffic get nut especially event hotel . 
 Feb 4 2005 	 easily good hotel stay Vegas 	 visit stay twice rock , visit many hotel say 23 - 40 ( bring kid ) would fool stay anywhere else , contest . the atmosphere fantasic pretty much time , staff friendly , food great ( luckys good breakfast ) , pool awesome , room great . everything imagine Vegas ... hard rock isthe let unable get club ( body English ) . Dispite Concierge ' put name list ' day mean nothing end ( perhaps labour day w / e like Paris Hilton get priority .. ) .That say would never stay anywhere else ........ fact go back April 8 can not wait . finger cross club .... 
 Jan 14 2005 	 Happy Place ! 	 stay Hard Rock three time get well every visit ! ' look relax vacation , look elsewhere , place 24 - 7 party . experience ' hang pool blast . else stand around gorgeous pool drink hand ( try Sweet Tart , favorite ! ) meet great people world ? still keep touch guy girlfriend meet 2 year ago . ' great set everyone nice . like call Spring Break 25 - 40 year old ! every time ' , ' leave pool 7/8 PM close … I ' chase hot tub closing time time ' like admit . ' difficult leave ! another aspect Hard Rock suck in … the Circle Bar . , ' meet great people , make friend bartender great . get early get seat . entire place much fun , last time Vegas , leave property twice … one time go across street liquor store . time last night town , force leave go olive Bellagio dinner . dinner great , go right back Circle Bar afterwards ! friend ' get enough ! top , room spacious , clean comfortable . bed unbelievable … soft sheet , great pillow , etc . get pool view room can … it make huge difference . love french door , able get fresh air room rarity Vegas . personally like room vanity outside bathroom ( sure old new section ) , make easy two three girl get ready . ' find staff friendly fun every stay , even Memorial Day weekend last year place mob . love Hard Rock , " Happy Place " , ' wait return March ! 
 Jan 11 2005 	 Hard Rock Hotel 	 member ( let us say ) old crowd , have think might trouble stay & quot ; Rock & quot ; . could never wrong life . everything great . staff member treat we long time guest hotel even though First Trip Vegas . some even go way help we get around strip . room large excellent view strip . really lot expect . the choice music play great fact remind we high school day . our wish tad bit warm could use pool , hey can not control weather ( although think could would ) 
 Jan 4 2005 	 one good 	 nothing could better . restaurant & amp ; pool fine country . even though Las Vegas business , day enjoy surrounding & amp ; relax pool . Simon service second none . steak awesome ...... try , will like . 
 Dec 27 2004 	 Hard Rock Rocks 	 Hard Rock several time . would never stay anywhere else . definitely well - off 25 - 40 single single - seem crowd ( happen Vegas ... ) . not bring kid ... seriously . mood sexy friendly music make party atmosphere time . bouncer pool keep thing line , never get hand . crowd not go nut anyway . lay back party mode . small enough get know lot people around pool . spend many night club people meet around pool day . definite plus . good , not walk 15 mile run room pool , least main hotel . room pretty cool . unless next suite hire d - jay . join party , not bother much . staff bomb . waitress fine friendly ( woman ) , male staff usually good look basically okay , though chat little . bell - hop great ! drink slinger okay tip appropriately ... place like . go . 
 Dec 24 2004 	 Best Vegas Area 	 Las vegas numerous time stay every hotel strip . hard rock good . disagree really open mine accept full expirence . let tell good reason stay ................ 1 . circle bar ( good vegas ) never dull minute2 . luckys 24/7 ( good hour place till eat ) 3 . pool ( speak self ) ........... fact much write .Just say good 
 Dec 21 2004 	 Resort Resort Fee ! 	 stay three hotel eight day vacation Vagas . well .. .. mention two would not suprise ! ! smile check ..... side desk .. love English accent et al ... word wait & quot ; $ 5 RESORT fee PER NIGHT , get .. UPGRADED AMINETIES & quot ; enquire Resort , ie pool area find , receptionist , still smile tell close .. ? ? ? ! ! .. ? ? .. ! ! say ? come pleaaaaseee really feel must con another $ 5 guest include room rate case may thing close ! ! nice room Vegas .. gold marble sight thank god . Simon 's restaurant also goodwhen want & quot ; FREE & quot ; that s word seem understand , help housekeeping ( have lock holdall ) get uninterested attitude front desk . front desk 5 minute early say wondereful accent slip aforementione RESORT FEE conversastion .. short memory 2 Faced . three minute plea ( clean clothe endure 14 hour trip UK ) receptioist tell someone would 15 minute help . .. remember reviws site . think ne turn . guess ... one . night .. clean clothe trip local hardware store morning purchase junior hacksaw ( $ 4 ) 10 second get holdall ( tip housekeeping would cost make buck two .. sorry Hard Rock ) .All good hotel town desert guest soon relive dollar somthe RESORT FEE situation .. do not need charge dont 
 Dec 15 2004 	 like MTV Party ! ! ! 	 hear mixed review Hard Rock , bit nervous stay . arrival tell book room available could arrange room us crummy hotel . explain come England honeymoon , lady check we change mind upgrade we suite - amaze - rest stay ! food fantastic - especially Nobu . casino big full young people fun . pool ! remind we MTV Beach Party good music ( also water ) , palm tree , beautiful young people great vibe . love ! oh , also get flash random girl lobby - nice . 
 Dec 9 2004 	 bad great ! 	 stay hr thanksgiving impress something well let say good hope . check mid afternoon problem , line , fast service great . not eat day decide go pink Taco late lunch . impress food setting . went walk around hotel casino , picture casino bit big , worry still game table would like . would like big sport betting room , quite small compare many casino . room , love french door open let fresh air room . problem hotel locate close airport get lot noisy plane come . spend quite hour Center bar find bartender quite friendly , offer ticket see Tears Fears one evening . real draw back strip , plan walk strip use shuttle service provide hotel . walk mile throught good part town . 
 Nov 29 2004 	 hard beat Hard Rock 	 stay Veneitian two year run decide try small hotel , Hard Rock baby . previous trip always enjoy dealer casino HR think would also try hotel . great idea . large group 10 people 5 room . put 5 room right row , interconnect . front desk staff kind professional . read several horrible review worry part- well , not believe . without fail every staff member encounter 4 day stay great . , use venitian , 700 sq foot room 400 / night . be get good reviewer . high expectation let . hr room surprise right away . plainly appoint , money put counts- bed . bed among comfortable ' ve encounter hotel stay . comforter , super high quality sheet fanastic pillow guarantee sound sleeping experience . room also 50 inch plasma tv wall , awesome . could complain anything would complete lack soundproof . hear every conversation hallway every peep room next door . room 220 - 238 administrative office accross hall , help . relatively quiet we . party room next door though , would get sleep unless deaf . casino unbeatable . gamble almost every major casino downtown strip never encounter nice dealer . also rock roll playing background , really make lose money fun . casino small cozy- fantastic . not doubt Hard rock- awesome ! 
 Nov 29 2004 	 Amazing 	 stay amazing . staff really friendly helpful . hotel much see . casino small compare casino relaxed atmosphere fun eventfull . well worth money . 
 Nov 5 2004 	 last hard rock visit 	 well . let tell ya . stay Hard Rock opening weekend back 1995 , never stay anywhere else . would estimate probably 25 - 30 stay , long six day . always get stellar service . get engage Rock , honeymoon , spend first aniversary also . , come October 2004 , second anniversary . here go bad . book room another travel site , full , credit card . suppose fault , bring credit card hotel . upon try check , informed clerk would allowed absence card . attitude ( express one employee ) & quot ; nothing & quot ; basically , option would get back plane Los Angeles get card . never ask present credit card inspection , hotel always keep file . also never incur incidental room charge do damage room stay . much negotiation , convince ' head honcho & quot ; desk clerk ( look 19 ) accept fax photocopy credit card , front back . easy thing get someone 400 mile away 6 pm Monday evening . even though eventually ( 3 hour later ) get room , & quot ; Honcho & quot ; make feel though behind line , truly huge favor kiss ring . attitude people deal never & quot ; Lets see accomodate solve problem & quot ; , like & quot ; sorry . next . & quot ; amazing one experience sour 9 year fantastic memory . surreal . could not beleive Hard Rock go business . feel like truly snub blown staff , obviously could not give two yank situation take care . thank , thank , Hard Rock . never . 
