great 	 check check fab time Ny Ny - location central hotel ' ve stay new book . great room ( newly refurbish ) relatively low floor view unimportant casino bar great fun . lovely little coffee shop use bagel coffee breakfast round past starbuck piano bar . place buzz 24hour know not sleep 4 day visit . 
 great casino great people - not stay hotel 	 arrive Thanksgiving day San Diego , need family getaway ( say get away family : - ) book priceline put $ 90 four star well hotel , not lot choice hotel , price come back NY NY . read previous review online , want come open mind , prepare bad hope well ! arrive hotel , front desk extremely nice . not long line relatively painless . read previous review room , opt upgrade nice room $ 10 per night say remodel . enter room , like , way 4star hotel thank goodness upgrade . however , room noisy , every thirty second think hear roller coaster . imagine hear coaster Space Mountain pull , exact sound . call front desk ask time roller coaster stop run tell 11 pm . fine not plan room day , want make sure would able sleep . however , phone , bag arrive bellman informed roller coaster hearing , elevator shaft . ask move . accomodate . room ( moment write ) . room quieter , still hear elevator shaft . speak people work hotel , tell would not stay one room either & quot ; think design hotel room & quot ; . aestetecs ( sp ? ) , attempt remodel well state , update room . four star hotel Las Vegas strip - miss boat . new hotel go , getting completely revamp , afraid NY NY room look feel old Statue Liberty . popcorn ceiling , parquet panel armoire ( really , would think ? ) hideous bedspread look worn . sorry long write - up room , want let know expect stay . live forementione , good shape . the staff friendly throughout hotel , casino restaurant . absolutely would recommend gambling hear want play crap blackjack . table limit morning $ 5 11 am move $ 10 , depend busy . compare many 4 star hotel , great want play low limit . hotel minimum experience $ 15 friendly . huge shout Calvin Craps table , never miss bet chat everyone up . the nightclub ok , line . think indication economy location . club Encore hot spot Vegas time . NY NY hotel end strip , Excalibur , ideal location I . and , can not forget , LOVE LOVE love duel Piano Bar . go three night always fun ! always meet fun people really enjoy variety music . btw- ' m huge roller coaster fan , get talk go . sooooo much fun . however , everyone line agree not worth $ 14 per person . travel family , add quickly . in summary , recommend come NyNy little gambling duel Piano bar . , many GREAT deal strip , stay another hotel want peaceful night sleep . 
 great place stay . 	 nice location strip , many nearby attraction . hotel clean , nicely decorate , many thing . 
 great location okay price in - room coffee maker 	 stay NYNY , Las Vegas Halloween 3 night follow . excited 25th floor view diappoint . room clean modern , however bed uncomfortable . the air condite heat quick adjust comfort level bad part room probabaly reason stay return Vegas room coffee maker . call request one tell available . ( course could purchase pot coffee room service $ 9 plus $ 3 service fee ) . pool hot tub area clean entire casino . lot amenity site italian restaurant hotel excellent ! ! 
 Nov 11 2008 	 Good Choice 	 stay NYNY 3 night mid Oct , double queen bed room 2 couple . arrive early afternoon , book non smoking , smoking room , take , rather wait . thankfully , room not smell , really sensitive smoke ! ! room size great , good sized bed bathroom . however , stage , money spend 4 - 5 star hotel , get little tired shower bath , something would research little well next trip . configuration , especially old , terrible - limit adjustment ( pressure / temp ) spray type sometimes uncomfortable ... good pay top dollar . 3rd leg trip , LA , SAN FRAN . book get marry Stratosphere last day , turn great experience informal type ceremony . hotel locate southern end strip , make lengthy walking want explore ' new ' look casino 's . say NYNY look overly old . however , prepare imposing , rude extremely annoying sidewalk antic people attempt hand ' escort /prostitute service literature . find really awkward , walk strip fiance / wife , friend . 1st night , walk back hotel , one guy say something spanish , course , partner sister . could not help swear . hear , almost get fight , light change , kick run . would hesitant retaliate , many . leave foul taste mouth Vegas generally , confirm would never come back . however , next day upon cancel trip canyon , mix , use Hotel gym - additional 18USD ! ! ! , ( GREAT GYM THOUGH ) mini buck night - blackjack Caesars Palace pussycat doll dancer ! not gamble - first time player , 130 buck - happy ! ! ! girl go Cirque show absolutely love ! evening eat togethr inside Venetian . fantastic - beautiful interior - favourite , variety ' normal ' price restaurant . find hard , walk casino 's , find well price eatery . Venetian however , opposite end strip NYNY , thus would aim stay , go back . America , good price eatery NYNY , Rainforest MGM across road . even Australian think ' Outback ' restaurant open late strip good . eat lunch Stratosphere top world wedding really nice , great value ... would pay similar anywhere strip revolving restaurant high sky - brilliant ! ceremony etc book we PANEVINO near airport , great view strip . lovely meal , treat place , excellent , wedding dinner ! ! mirage pretty cool inside , would like see wildlife habitat return . local authority step get rid annoying literature / ticket dispenser ! ! ! oh , partner friend go roller coaster last night say buzz ! gym cost 18 dollar bit cheeky , would good know front , also internet minimum 5 dollar . overall , nice establishment , preffere end strip thus would either stay end , look Marriott property , cab driver tell we great , strip . 
 Nov 5 2008 	 Loved New York New York 	 experience ! definately stay next year . hotel staff top notch . even housekeep employee polite friendly . plenty lot restaurant choose . end stay , get eat Gallager 's steakhouse . DELICIOUS ! first time Las Vegas happy fortunate enough stay New York New York ! 
 Nov 5 2008 	 Nice hotel strip 	 hotel allright - nothing fancy . right strip , room big enough , could use well cleaning . service staff good . would say little bit much money get ... 
 Nov 3 2008 	 problem nothing special either . 	 book 3 night July birthday . girlfriend along trip . check 20 minute . work construction lobby maybe finish . room clean big . want extra internet access see several year . evening casino lobby area get crowded . People every . sometimes hard walk . careful get separate party . clientele look like NY . t - shirt gold chain tattoo . classy crowd . the first evening walk around Casino . food drink pricey - like ny . next day venture onto strip . we soon discover gem . reasonable beer food etc . Bills Gambling Hall . much classy place like Caesars Venetian . Vegas plenty . next trip be stay old downtown Vegas . 
 Oct 30 2008 	 Fun New York New York 	 book room vegas.com 3 night rate consider good value . room decent size amenity nice ( although fridge would useful ) . location hotel convenient accessing Strip . restaurant hotel / casino pricey quality varie venue venue . roller coaster great fun ! staff friendly helpful . overall fun place stay Vegas . 
 Oct 30 2008 	 Nice hotel nice upgrade ! 	 stay NY ny May 2008 . nice - casino great - still prefer MGM across street . first night stay basic room - soooooooo small ! not happy , would upgrade we . second night , use point upgrade Ziggarat Suite . suite big apartment ! window tint green , different - kinda cool . bed amazing ! jacuzzi 4 person tub come bath bead - great ! get slipper bathrobe - chocolate cherry turndown service time . restaurant casino okay - little pricey - that s uncommon Vegas . eat pizza place ESPN Zone - pretty good . , want great buffet - go next door Exalibur - great decent price . also get free breakfast MGM awesome well ! would definitely go back Vegas - think would stay MGM NY NY . really would like try Venetian , Mirage Wynn . mid - strip close action . NYNY & amp ; MGM 5 - 10 min walk middle strip not bad ! 
 Oct 29 2008 	 yes surprised ... 	 .... surprised actually enjoy stay . read great review , pleasantly surprised visit NY NY . stay 6th floor New Yorker Tower ( great location way ! ) awesome view air conditioner ( LOL ) . room dark , tastefully decorate . old thought would . stain , ding wall , shower mildew . pretty nice . dinner Gallagers Il Fornaio ( sp ) lunch America . decent . construction go right center casino , big space , , make walk around . hopefully add nice sit lounge area . change make resort / casino good . however really place lounge , sit back relax . lot energy place ! overall great stay - easy access South Strip ! 
 Oct 27 2008 	 brilliant time 	 look review Trip Advisor Vegas prior booking , disappoint - contact hotel regard upgrading - special occasion - deal . checking - in swift customer focus . got room strip view - clean , good size , suit we well . ok television not many channel , tea/ coffee facility room - go stay room much see . book Mama Mia , Barry Manilow - great evening , highlight Grand Canyon trip sundance helicopter company . pick hotel limo - smooth ride chopper , right mix commentary chat pilot - picnic canyon floor - not enough -the final flight back along strip . quick tip . use deuce bus system - great value - see sight $ 5 24 hour must go see Fremont Street experience buffet Monty Carlo great value 
 Oct 17 2008 	 NYNY ROX ! 	 arrive Thursday , Oct 9th , friend vip check frosted glass , wait awhile serve drink selection nuts candy , fruit coffee , tea , water , nice . min , mishap friend , actually another friend give we key , PARK AVENUE room NEW YORK TOWER , elevator bank across Galaghers . room 3850 3950 ( can not remember ) corner room right around corner elevator ! room big , 2 queen bed , 2 chair small table , comfy bench curtain , entertainment center 2 closte , tv update , standard tube TV . view amazing , MGM one sideand Monte Carlo another , since corner room around view . bathroom small , shower / tub one , marble , SLIPPERY , make sure put towle floor ! desk bed , phone small desk lamp , aunt really enjoy 15x magnifying make mirror bathroom . thing negative leave message everyday , tell sale gift shop . leave housekeeping note tip day leave we chocolate make bed extra towel toiletry ! would come back stay definately ! construction go casino , be not annoying music club last night play casino . 
 Oct 15 2008 	 Fun place stay 	 first trip Vegas , friend come France trip . book travel agent really idea expect , tell good value money -- absolute cream crop , decent . would agree . room New York Tower average -- great , clean warm . little bit wear new . surprised not mini - bar . view great , overlook strip . people hotel top - notch , everyone friendly , smile helpful . include staff check - in check - out , people Zumanity box office , casino people quick help machine malfunction not give $ 9 winning . : ) location great . one complaint give 2 1 coupon Il Fornaio restaurant patio breakfast 10:30am . turn two Il Fornaio 's hotel . stand line wrong one time , get right one 10:33 , man say late breakfast would not serve we . actually quite rude , person encounter like trip . live music Times Square Bar gas , 24 - hr restaurant make use couple time , , would definitely stay . 
 Oct 12 2008 	 Great Time 	 husband , Godmother , Mother stay NYNY October 6th October 10th . hotel great husband spa suite first three night Park Avenue room premium view last night . spa suite great spacious great view strip really enjoy Jacuzzi room nice relax walk strip day long . Park Avenue room okay also nice view little small tv ' great . check easy smooth stay Century tower great location . order room service time think good even high price . ' really eat much ESPN Zone pretty cool baseball game Friday night . fast food okit little pricey . also try America restaurant great restaurant food ' expensive give huge portion huge variety choose . casino nice little small side construction go ' crowd staff friendly . Rok night club really cool ' go Times Square bar every time walk seem like everyone blast . go check roller coaster 16.00 buck ride kind pricey ask beware room hear roller coaster people yell roller coaster late night . would say downfall hotel pool area way small get really close 10 am open ' get seat sun ' come pool noon . check great flight ' leave 1130pm hold bag we get within second leave get airport . oh one last thing ' suggest take bus terrible . question please feel free email [ - ] . 
 Oct 11 2008 	 Loved stay New York New york 	 stay 10days 15th sept 08 love every second . there 4 we age 22 28 plenty we do . check quick although construction main entrance not matter all . all staff polite helpful . our room 4th floor clean , maid service excellent , clean towel every daythis first time Vegas honest think hotel one well location along strip . MGM opposite well bellagio street 24hour pharmacy ( us England 24hour supermarket ) next door . problem pick eat evening many choose hotel anything like partner not want feel uncomfortable posh restaurant . would recommend American Diner near reception NYNY many different dish never the twice . will come back next Holiday Vegas ! ! 
 Oct 9 2008 	 guess OK 	 will start say wrong age group enjoy hotel . see 50 year old . would imagine would fun place party party day long over . we offer free three night stay . room newly refurbish ......... certainly . room ok . dark special way , ok . try sell we upgrade , not care . food court cool , food rather tasty . not find anything could get excited . everything ............... ok.i need say pool area small far form ok . seem dirty I . we spoil staying treasure island hotel last time . much prefer Monte Carlo New York . 
