trendy 	 like traveler , scour web guidebook great advice come hotel stay . expecially crucial booked room Priceline ( case ) . want correctly set expectation prior arrival . instance , really get small room mindset check Hudson . arrival : hotel not sign . sure look pic website know be going come via subway train . small line check - in front desk staff great job keep everyone move . one important woman ( trendy i - think - I'm-20 - but - i - am - really-45 ) feel compel jump front & quot ; ask question & quot ; course attempt jump line . go ! yay front desk . make joke take pity we get we high level room face atrium . : - ) score ! room : ok . know . be small . 's end world . unpack stuff . organize plenty room . not throw stuff room . will need sit toilet sideways take turn bathroom .... good part ? incredible water pressure roomy shower plus comfortable bed . not come New York hang hotel room ? well , shower bed top notch . do . husband sleep like log Queen size usually challenge . think really pillow . noise : try get room 6th floor . street noise . 's ny . buy freaking Tylenol PM 's big deal . big issue nightclub . be loud . loud popular . therefore Floor 6 , probably hear . join fun get something knock . location : say real estate .... superb location . subway close get need go quickly . walk Columbus Ave visit Natural History Museum really enjoy . great shop , bar restaurant al way . lots dog local give nice neighborhood feel . be great 24 hour diner pizza place right corner 58th 9th . open late . enjoyed stay much . appreciated think design work go place . staff friendly except one woman carry clipboard look like deer headlight ask question check .. overall good bet . even well one score Priceline . 
 great explore Manhatten great party 	 hotel 30 second walk Columbus circle south west corner Central Park - great location . room small , New York hotel room budget small . despite size room , comfortable , clean good ( compact ) en - suite facility . lobby area hotel two bar . popular . rather noisy night noise affect room upstairs . this hotel great base explore Manhatten , great party well . 
 Sep 13 2008 	 funky funky funky thing ... 	 find hotel easy find - do not think sign post ... check image website - remember look like will not problem locate , suggest review . it beautiful inside - ivy covre lobby ceiling really impressive . staff check polite , professional , friendly helpful . the room small , really clean , bed comfy . housekeeping really good .. room clean thoroughly every day.there cd player room , sort wish have take couple cd listen get ready.the freebie toiletry nice enough . I stay long weekend , hotel buzzy atmosphere friday saturday night .. return long day sight seeing , be not really good place would liked prop somewhere quiet cup coffee evening , half hour bed .. maybe I m get little old ! ! - be away girl , really fabulous - sure book table outside bar area be want drink .. really pricey though , pay $ 40 round consist orange juice , lager , bellini , drink lovely , service ok . think $ 40 bit steep.check 12noon , quick easy , store luggage spend time city go back airport ... doorman collect bag present little ticket door street level . that s nice easy.all - great hotel ... absolutely fabulous location , perfect you re really go term sight seeing .. also be girl , part couple like bar scene , bar great . room clean , comfy .. good ! 
 Sep 10 2008 	 Chic great ! 	 lobby beautiful ! unfortunately , end ! hallway scary ! Dark dingy . room ridiculously small . travel NYC 20 year know room size find hotel , ridiculous . pay MUCH - almost $ 400 per night . horrible value . bed terribly uncomfortable , like cheap futon mattress . light room bathroom unacceptable . could barely see anything make everything appear depress dingy . issue ATM card ( California , note time difference ) . ask would give small cash advance credit card flatly refuse ! unbelievable ! happen boutique hotel California imagine treat guest like ! book trip special trip daughter 's graduation present NYC great , experience hotel ! bad ! 
 Sep 2 2008 	 Hudson Hotel amazing ! 	 get back NYC stay Hudson Hotel W 58th 8th Ave Manhattan . chic hotel . get top 20 Travelzoo $ 200 night think great value location Labor Day weekend 10k Nike race go . room small hey , be NYC . actual ground hotel wonderful . sky terrace 15th floor right restoration Hardware catelog . take great nap hammock . drink expensive worth $ 20 sip champagne lounge feel like star . hallway dimly lite hard see time . overall , hotel cool chic . cna't wait go back . room romantic side 2 girl friend stay weekend not care . next time , bring man though : ) shower glass could see bed area ! curtain privacy well . can not wait stay ! 
 Sep 1 2008 	 Small room Unique Lobby 	 pro : * location ~ right near central park accross street Time Warner Building .. * Lobby~ unique , see picture * Roof Top Bar ~ great atmosphere , comfy charis , couch , etc lounge oncon : * Rooms~ literally size tiny boat cabin . uncomfortable bed , side glass wall shower open bed , adventurous , open curtain give show . * boderline obnoxious staff , helpful lot cat - calling ( except bar tender library ~ he great , talkative , helpful ) * light ~ the lighting lobby great . hallways guestroom ... really ? honestly feel walk hall seedy apartment , expect crack addict pop corner jump ... get room $ 169.00 per night end summer promotion run . honestly , charge much , would ask money back , impressed . extra $ 50.00 would stay W , get plush bath robe , room could actually walk . 
 Sep 1 2008 	 fancy small room 	 look stay hotel night cousin get married function hotel . room fancy tiny even NYC , suppose would recommend property anyone look someplace hip convenient central park . relatively pricey even use priceline , though perhaps since NYC busy month . atmosphere chic place clean adequately furnish . 
 Sep 1 2008 	 New York Chic fine 	 love hotel - young , hip friendly ! yes room small , represent capsule live well , furnishing plush stylish . hotel excellent restaurant fantastic bar - amazing people watch ! really feel experience true cosmopolitain New York would stay heart - beat . can not wait go back ! 
 Aug 30 2008 	 Terrible Service worth price 	 stay friend July pass thru read review bit uncertain expect . even emaild call confirm room type still put we wore one dbl bed guy ! ! ! ! front desk unhelpfull one wear nametag confront way get hold first person . they say pay upgrade even get confirmation everything okej unpro . we finally get hand manager unreluctant help issue too . after lot back forth finally change room . bu ti never stay room small prize high 
 Aug 28 2008 	 definitely dark ... 	 book lastminute.com . stay twice month , friend , family . time everyone remark dark . front desk staff think unjustifiably snooty bad . not cab driver know hotel , will drive right past , sign anything . room small hey be brit fine . cocktail bar arrive nice , busy overcrowded . yes would go back think .. 
 Aug 27 2008 	 business hotel 	 disappointed hotel . ' m open unique experience , hotel fall flat several key area . 1 ) good room hotel call Library . great space , close renovation . notice booking website . 2 ) promise & quot ; newspaper choice upon request & quot ; website . request USA Today check - in , deliver one morning front desk . 3 ) size room small ( take 2 - car garage make 4 quadrant . walk 1 thos quadrant - 's space ) . bed box spring , be close floor . 5 ) hallway dark , dull little scary someone else pass Hallway . 4 ) pay $ 375 per night 2 night later find via hotels.com could stay Waldorf Astoria price . be look fun night , definitely check place . be happen . stay somewhere else ... 
 Aug 16 2008 	 Hip maybe enjoyable 	 staff friendly efficient . standard room small , even New York standard . safe place floor , make uncomfortable use . good part transparent glass window room bathroom , enable watch wife shower . pretend ecological conscious dim light hallway almost darkness neutralize noise soundamplifier bar . 30 $ glass wine beer hefty . would stay ? probably . 
 Aug 15 2008 	 stylish good 	 go extended business trip first take modern stylish reception area well nice outside bar , would expect location . close Central Park , Columbus Circle Tube short stroll Fifth Avenue Broadway . however , even upgrade & quot ; suite & quot ; room still quite small quick renovation former old style hotel something cutting - edge . fully complete job . bed good good sleep , door thin could everybody pass outside . nice breakfast area good atmosphere buffet . hotel also terrace 15th floor enjoy drink view Manhattan . quite cool ! overall kind mixed experience . generally good oversell good value money . 
 Aug 13 2008 	 can not go wrong ! 	 read negative review apprehensive stay Hudson Hotel NY . everything read true , sign outside hotel , dark , room small food good . planning stay consider stay - need worry ! would absolutely stay . 's important - clean , quiet room , courteous staff , great location : right across street subway station block away Central Park . Times Square easy walk well 5th Avenue FAO Schwartz . first arrive , room assign smell really strongly smoke . front desk happily change room we second one impeccable . room small . tv tiny , nobody go ny watch tv . standard room consist bed tiny bathroom , adequate two we . make good use small space hook shelf bathroom . speak bathroom – picture , pane glass shower think little revealing privacy , actually curtain side glass relief . the Hudson cafeteria great food . service poor , breakfast price , least food good ! lounge seem loud happen , get elevator peacefully quiet . outside 1,000 door slam loudly hallway every morning , could not hear neighbor people roam hall . could give hotel one suggestion improvement would bed . real mattress cover - & quot ; throw & quot ; sheet . sheet not fit either often come un - tuck night annoying . bed comfortable enough , although much like futon . overall , room rate bite price , hotel not NY ? front desk staff accommodate . lobby beautiful . room clean great temperature control . worry ! can not go wrong Hudson 
 Aug 13 2008 	 beware room size 	 Hudson stylish hotel situate close Central Park 58th St . extremely handy Columbus Circle subway easy travel part city . hotel announce . building 's exteroir bland even 's name front . public area Hudson beautifully furnish decorate . say , might wrong reception area hardly light ' trendy ' way . our stay spoil size room . minute postage stamp size bathroom match . barely big enough one person let alone two , little hang space shelf drawer . consequence , 3 night stay leave clothe suitcase floor restrict space even . air conditioning noisiest ever hear , although 11th floor noise street constant . plus side room 's decor ( similar public area ) nicely do dark wood . try change room offer expensive upgrade . go hotel , ensure get large room . 
