hotel 	 hotel prime location right across Buckingham Palace heart London . short walk Green Park Victoria Station . service accomodate , though price little steep , be travel budget . probably ideal couple small group friend 
 impeccible service lavish setting perfect location . a+ 	 pleasure stay girlfriend weekend away London anniversary , recommend highly enough . arrive late ( 11 pm ) friday night due flight delay arrival greet manager ( Andrew ) warm welcome greet we name . hotel actually 5th floor reuben hotel mean order gain entry hour ( without room key ) one must go reception adjoining hotel . check - in fast , efficient friendly . book king - size room hindsight good idea even king size room small expect however finish touch amazing . hot water bottle bed ( sound silly cold london night November welcome surprise ! ) small cake & quot ; Happy Anniversary & quot ; ice waiting room . detail room brilliant everything little bit well would expect ( even 5 star hotel ) , toiliterie dainty bottle ornate screw top , toothbrush toothpaste set good quality design , shaving set excellent razor ( gold wooden finish ! ) ample towle , dress gown ( one cloth / cotton one one lounge one per guest ) . mini - bar well stock little pricey- 5 pound sterling portion cashew nut 5pounds bottle beck alcoholic beer . entertainment provide in - room fantastic movie literally cinema available on - demand . free wifi , tv - internet ethernet , guest service wake call etc course available . from moment arrival staff exemplary- absolute credit hotel . decide day arrival would like take show westend- & quot ; Wicked & quot ; performance- sell every online source could find rang hotel see could arrange ticket we . , find ticket sell show get we ticket four row front , centre - stage ! ( show fantastic anyone get opportunity try catch ) . similarly recommend italian restaurant near Apollo ( request ) organise reservation time show finish ( 10:45 ) even though restaurant usually not take reservation ten thirty ! summary , hotel lavishly decorate modern black white theme , staff amazingly professional accomodate location hotel perfect ( 2 minute walk Victoria tube station ) .The drawback ( call ) room small one would expect arrive late evening gain entry must go adjoining Reubens 4star hotel . 
 good hotel ' ve ever stay 	 Hotel 41 elegance charm without stuffy upper class attitude . greet name throughout hotel add nice personal touch . spend last night honeymoon upgrade suite complete fresh bowl fruit special dessert . room amazing - spacious , luxurious , comfortable . fireplace , two tv equip surround sound . shower incredible pressure , robe / slipper nice amenity . afford , ! ! 
 Oct 3 2004 	 Super clean friendly 	 Read review site could not agree . reason give & quot ; 4 & quot ; instead & quot ; 5 & quot ; staff need geography lesson . , staff need immersion attraction London , include restaurant . almost every time ask direction , wrong . also , restaurant recommendation TERRIBLE . love & quot ; BBar & quot ; downstairs , closed weekend . breakfast good . , , unlike site , really not expect good breakfast hotel include room rate . still , great decor , fresh clean . 
 Aug 27 2004 	 Reviews Absolutely Target 	 6 night stay Hotel 41 early August key memorable London trip . first time Tripadvisor user suspicious site & quot ; Amazon 'd & quot ; phony review . hotel 41 absolutely live rave . sleep extremely well due wonderful bed quiet location ( interior courtyard room 4 night face Buckingham Palace Mews 2 ) husband & amp ; still long terrific bathroom & quot ; deluge & quot ; shower . 8 year old son make feel home care staff ( indulge fresh - make fruit smoothie happily compare note favorite Gameboy game ) . spacious common library welcome refuge we throughout day . find location ( 5 minute walk Victoria tube ) quite convenient . question return Hotel 41 . 
 Aug 10 2004 	 's true ! 	 can not say enough comfort offer Hotel 41 , outstanding physical comfort tender love care provide Chantal , Jacques , Martin , Anna . lovely facility make even well lovely staff . quite convenient well . bed high quality , decorate pleasing well . truly , convenience home , considerably posher . highly recommend hotel , particularly woman travel alone . second evening , could adjust clock go lounge Jacques offer everything tea movie help get sleep . Chantal greet time smile warm word insure happy . sure ask prepare picnic park ! can not wait reason return . promise . 
 Jul 25 2004 	 wonderful stay ! ! ! 	 hotel everything think would ... Chantal Manager delightful staff attentive . save we enormous time acquire show ticket information London . would schedule another trip tomorrow possible ! 
 Jul 11 2004 	 superb : London 's 41 	 want sing praise 41 , wonderful small hotel overlook Royal Mews Buckingham Palace London . luxurious superb service . trapping private club . discreet private entrance sign . personal butler attend every need . despite classic charm , 41 every modern 21st century technological feature . 16 stylishly decorate 16 room four suite 41 . favorite glass - ceilinge conservatory suite . bathroom marble , mattress hand make divine . good mahogany - panel Executive Lounge round clock dining . check www . -- -- -- -- -- -- -- -- -- -- -- -- -- -- - Brooks Perry 
 Jul 10 2004 	 Royal Treat 	 41 darling boutique - style hotel situate sister hotel Rubens Palace . 41 absolutely beautiful classy black white decor . kingsize bed comfy trouble fall asleep night . light state art take bit figure figure lovely . even brass switch wall night table turn light small light outside room state want disturb . also traditional disturb sign ( wooden ) well hang door . room beautifully furnish wardrobe programmable safe . air conditioning work great well . thing could say not fond electronic system . electronic buff take figure get tv , music , dvd player , computer , internet ( wireless keyboard ) , etc work . bathroom truly gorgeous spotless . huge soak tub shower , plus additional shower huge showerhead , large vanity towel warm . always plenty hot water endless supply wonderful toiletry staff meticulously place shelf . linen exceptional . large thick white towel black 41 monogram . two kind bathrobe , terry waffle . staff wonderful professional . Chantal Resident Manager perfectionist carry staff . staff executive lounge breakfast morning meticulous ( friendly ) even plate place 41 logo top . nothing dare place . turn service nice touch , candle light bathroom night well slipper robe lay . 41 locate less 2 block Buckingham Palace , Victoria Rail Tube Station , across road Royal Mews . yes Queen neighbor ! could go 41 ! ! 41 spoil we life ! ! 
 Jun 16 2004 	 utterly fantastic ! 	 several month plan research find perfect London hotel , 41 hope would . birthday trip mother sister want everything perfect possible . chantal , resident manager , make happen warm personal touch , include balloon , champagne , cake , gift waiting room upon arrival . chantal email week preceede trip feel know friend finally arrive . far good hotel stay London previous 4 stay . hotel quaint yet beautiful cozy , at - home feeling . street , entrance quite inconspicuous private nice . overall style would describe contemporary old - world style meet traditional English . & quot ; executive lounge & quot ; large , gorgeous living room type space multiple seat area also morning breakfast sitting . evening , well stocked bar set evening cocktail . unconventional & quot ; reception area & quot ; also room mere executive desk flat screen computer monitor two guest chair . be also open loft room additional seating , desk , computer business use . bedroom absolutely lovely , consistent look feel rest hotel well equip everything could possibly need . web - tv type set - up cordless keyboard make e - mail internet access convenient . fax machine , mini bar , cordless telephone use anywhere hotel , spacious closet , bathroom large enough accomodate 3 us lady staying room ( important ! ) . separate shower bathtub lot counter space . could go place . chantal staff could cordial accomodating . originally plan stay 4 day 4 night end stay extra day since much fun . needless say would stay 41 highly recommend ! 
 Jun 15 2004 	 great perfect 	 fantastic hotel would perfect housekeeping weakness . from moment arrive make feel welcome , really make difference staff always refer name . when want surprise fiancee birthday upgrading suite , Chantel make happen whilst first partner know return take different room . the housekeeping issue serious take bit shine superb hotel . 
 Jun 14 2004 	 Royal family stay . 	 husband , 13 year - old daughter stay 4 night May , 2004 . niece 13 year - old daughter join we day later . arrive till midnight 1st night , tired much need bed . greet warmly immediately check room . room beautiful . small , everything could want . bathroom awesome . bed well find 11 day stay England . Breakfast everyday limit , find item like . receptionist / concierge , Chantal , helpful friendly . say location everything , believe . block tube station block palace . able take walk evening palace , thru park city easily . complaint drink price little high complaint 13 year - old 's instant messenger service computer . 
 Jun 14 2004 	 love every minute 	 even arrive & quot ; 41 & quot ; , would numerous communication Chantal , resident manager . email warm feel 23 year old daughter arrive London meet friend . disappointed . chantal wonderful ( include surrogate doting mom arrive hotel suffer food poisoning- personally bring chicken soup ! ) ' ve never feel home hotel one . suite perfect , heat towel rack enormous tub bathroom , overall stunning decor . bed comfy cozy room lot high tech appointment ( ton light switch ! ) . breakfast plentiful good . would recommend hotel heartbeat . 
 Apr 21 2004 	 Lovely Hotel - one good 	 stay friend weekend March superb time . start well manager rang shortly have make booking . fault mine , accommodation have book family not possible . go friendly length reassure even give second room free - beautifully do . 's real customer service . be little bit difficult find way - 's special door next Rubens reception well mark place 5th floor exit lift , minor quibble . room excellent - absolutely luxurious true meaning word . be big , superbly equip . television / video / internet access wonderful girl love . bathroom gorgeous . bed linen well ever encounter know bed linen ! place know leave towel waffle bath robe - take pick . candle light we bathroom every night , great . breakfast Club Lounge every morning excellent - butler offer we fresh fruit smoothie delicious . service everyone extremely friendly absolutely first class . stuffy though . feel relax - though private club establish member . also board game , book , dvds video could use . Plunder Pantry feature ok nothing special - bit disappointing really . could not really find anything want plunder ! would love stay hesitation recommend highly . personally prefer Draycott Hotel , think , tight balance . 
 Apr 7 2004 	 absolutely fantastic ! 
 Jan 4 2004 	 Quiet Convenient 
 Dec 28 2003 	 across Buckingham Palace treat like Royalty 
