Fancy 	 spend christmas vacation always await everybody . come make trip destination come major task select hotel , suit budget also great leisure time , thus make trip memorable worth spend money .so decide make trip New York wife always plan go . game big job hotel , search many site , come good portal make online booking . hotels2stay.net . choose opt NewYork HILTON GARDEN INN TIMES SQUARE , , First would say really remarkable stay hotel .The hotel serve service full .e Hilton Garden Inn Times Square 's seat area include fireplace feature red , brown yellow decor . black white portrait New York City display throughout hotel . Pigalles restaurant serve french cuisine . complimentary coffee serve morning restaurant . hotel 's fitness center feature cardiovascular equipment open 24 hour . hotel include two workstation complimentary wireless internet access complimentary printing . bathroom include Neutrogena toiletry curve shower rod . in - room safe laptop compatible . complimentary newspaper deliver guestroom . accommodation include coffeemaker , room service available . the Hilton Garden Inn Times Square locate New York , N.Y. , one block Broadway . hotel Theater District Midtown Manhattan . Blue Line service 50th Street subway station two block hotel Times Square two block away opposite direction . Radio City Music Hall shop Fifth Avenue three block hotel . wife make romantic stay Hotels , definitely thankful Portal make stay wonderful make booking cheap rate compare site .Good Job do hotels2stay.net ! ! love make booking . thank service put Hilton garden . 
 Perfect Location 	 original booking another nearby hotel fall last minute , lucky get hotel low price week leave home less week Thanksgiving . 5 - night stay , Hilton Garden Inn turn well choice : free internet , 15 story ( elevator reasonably fast ) , large room refrigerator microwave ( Evolution King ) , desk , chair still room move around . bed pillow comfortable ( mattress adjustable firmness ) . easy walk distance Times Square , theater , great restaurant , subway stop . rate competitive , choice future . yes , hear street noise even 11th floor back building - fire station quite close - New York - city never sleep ! ( helpful hint : laundry 1/2 block east 49th Street laundry pound : $ 7.00 7 lbs ! price laundromat waste time ! ) . 
 convenient location attentive service 	 stay hotel room two queen sized bed . ( be rarity New York , handy family . ) room nice comfortable . granite counter top bathroom bar area . also microwave oven mini refrigerator room , great . grocery store across street drug store nearby . ice soda machine floor . also provide free wireless internet . four day switch room . first room 2nd floor overlook air conditioning unit quiet . second room 8th floor exactly , loud street noise . get really good rate , 's good place stay . Pigalle restaurant , attach hotel , average food . 
 Good Hotel Smokers 	 would give hotel three four star , fact even prepay reservation , give smoking room request non - smoking room . effort make staff compensate ( put air purifier room give we free breakfast voucher ) appreciate , one - night stay still result clothe reek smoke one us allergic reaction poor air quality room . hotel fine arrive much later 3:00 ( non - smoking room request honor ) care room permeate smell stale cigarette . ( also end need use debit card charge incidental never purchase . still wait refund five day later promise would charge . ) realize experience might typical -- make stay poor one we . 
 Good - Complaints 	 come NYC wife two kid need hotel room two queen bed wife hate sleep double together - small comfortable . HGI one hotel could find two queen bed room . moreover , get add cache Hilton Honors point . find hotel clean fairly large room NYC standard . staff 100 % , although not use much . be one thing : Times Square frenetic ' m much throng tourist deal price reasonable , , bed good . hotel 8th Avenue , one long block main action Times Square , think 's plus . recommend hotel without reservation . 
 Perfect place 	 husband love time spend hotel , near Broadway could walk everywhere want . book evolution room , great , big comfy , really nice great view . love stay . 
 Jan 22 2008 	 fabulous hotel fabulous city 	 girlfriend stay Hilton Garden Nov 07 4 night . hotel great location block away Times Square Theatre District . hotel clean room ideal size we , large double bed , armchair , write table , unit home tv coffee make machine . second day receive phone call hotel manager ask we stay everything expect far . personal touch pleasure inform everything great . 4th floor right main street never bother noise outside . although Times Square awesome place see believe , find end night one bar opposite hotel ( door , leave can not miss 100yds street side road ) friendly atmosphere like pub typical restaurant / bar get America . as sight , not enough time go , would highly recommend get 3day ticket either Red Yellow bus tour . go city downtown central park harlem brooklyn guide bus fantastic . not put people stop street purchase ticket , excellent deal great way see whole city . bit big budget cash must go helicopter ride . view New York skyline breathtaking . finally back Hilton Garden , would highly recommend hotel anyone visit New York ever get chance go back would stay . 
 Jan 20 2008 	 new favorite ! 	 return family trip NYC see Phantom Opera Broadway . 4 we -- husband , two child 11 6 . always , glad check Tripadvisor first . stay Thursday , January 16th rate $ 214 include huge full breakfast Pigalle hotel . we drive city , hotel easy get . check - in fast courteous , husband quickly park van neighboring parking garage . hotel validate parking ticket , since slightly 24 hour , cost we $ 26 . last time NY pay park hotel garage , take 45 minute stand cold retrieve car . case -- wait 5 minute max road time . unfortunately traffic Lincoln Tunnel slow we down . location hotel perfect . walk everywhere -- Time Square , Majestic Theatre , O'Lunny 's dinner ( highly recommend ! ) . 9th floor face 8th Avenue . room nice size -- bit large Hampton stay last time ( although Hampton also great choice ) . bed comfortable happy sheet comforter nice . kid think flat tv great . give we 4 bottle water check - in ( complementary ) , glad refrigerator put . bathroom clean Neutrogena toiletry . bathroom small , expect . window room actually open . room quiet . not hear people we next door . LOT street noise , especially fire station practically next door , expect noise . huge desk comfortable chair room . wireless free , slow . our breakfast incredible , worth extra $ 24 4 we . get limit menu use hotel voucher , good selection . try everything -- French Toast , Pancakes , Waffles , Eggs , home fry , etc . portion huge , pancake French Toast come huge serving fresh fruit -- enough 4 we share . not need lunch ! hotel staff friendly helpful . can not say enough good stay ! wish could stayed long . great rate get , think make annual January trip . enjoy ! heather 
 Jan 18 2008 	 Nice Stay ! ! ! ! ! thin wall 	 actually still stay moment . great location , great room , Good Service one comfy bed ever sleep . however room 9th Floor adjoining door . mean couple next door constantly ... please keep noise . american people loud ! ! 
 Jan 18 2008 	 Perfect place discover NY 	 base several positive review Tripadvisor regard hotel , book 5 - day trip January 2008 . confirm critic wre right ! excellent hotel staff , wonderful location homebase visit New York ( right middle ! ) .positive point : - large room well equip ( good bed ' ve ever , LCD tv , Free WiFi , microwave , fridge ) - friendly staff ( especially Donald bell man , always ready give good advice help ) - great breakfast Pigalle resto- Zip check system , allow check push button ( need queue reception ) .negative point : - get room 6th floor , next elevator Ice - machine . room view ugly wall ittle bit noisy ( probably subway lift ) . probem , people sensitive noise ask room upper floor . except single less positive point , highly recommend hotel . tavel tip : - good place eat neighborhood : Ciro trattoria across street Andrew Diner 34th Street ( 8th & amp ; 9th Avenue ) .- Food Emporium next door , lot fast food / shop within 5 min walking distance . 
 Jan 14 2008 	 Perfect Midtown ! 	 great hotel . front desk always busy , staff always friendly . check breeze . there never wait elevator , something find big problem New York . 12th floor room look 8th Ave -- city 's prettiest , view nevertheless . also suprisingly quiet . the room average size , clean comfortable bed ever sleep . ergonomic chair work desk great , high - speed internet free ! bathroom fairly plain , clean . the room mini - fridge microwave , Food Emporium next door hotel great alternative always need eat . buy gourmet food take you . the minor complaint printer working business center , much exercise room , although really not need -- want walk everywhere anyway . you ask well location Midtown . within walking distance Broadway show , sight Rockefeller Center , MoMA , Central Park , world - class shopping 5th Avenue . plus , subway station block away . this hidden gem will not stay hidden long . 
 Jan 14 2008 	 BIG room Midtown .... great price ! 	 take mom NYC first time January , search think Hilton Garden Inn good go get , location wise . 's 2 block subway , couple block theater , far enough away not swim tourist get hotel . staff friendly , doormen wonderful great time ! room REALLY big NYC standard . double queen room & quot ; normal & quot ; sized hotel room ! 
 Jan 14 2008 	 Unwelcomed Visitor Room 	 stay hotel husband 2 child Mother 's Day weekend 2007 . room big enough we , hotel staff nice except front desk . last night , awaken scratch noise , first think come next room noise would stop ever make noise . husband get bed take look around shocked find mouse chew shopping bag leave floor . horrify disgusted , needless say nobody could go back sleep , even though not get bed midnight . complain front desk clerk checkout morning , seem surprised . apologize offer we anything dreadful experience . ask speak manager , tell wait . tell could wait tight schedule morning . tell please tell manager experience contact we . ' m surprised one ever contact we , disappointed hotel staff , especially lack concern guest uncleanliness . never stay . 
 Jan 13 2008 	 stop thinking - book ! 	 spend long time research hotel NYC decide stay review good . not disappointed . brilliant location 200 yard Times Square ' theatre ' area Broadway . subway bus route also couple minute walk away . middle Manhattan definitely recommend long journey get around . give great welcome hotel nothing much trouble staff . room much large expect clean comfortable . Maid service excellent . get woken occasion siren hey - NYC never sleep . could problem even stay suburb - not put off . overall , 10 10 place happy price . do not waste load time like surf net - book ! 
 Jan 12 2008 	 wonderful place stay 	 tremendous place stay amazing city . favourite US accommodation honeymoon ' around world ' . location fantastic , room extremely clean modern would love stay . despite contact booking person many time stay ensure allergy cater meet much arrogance rudeness reception staff upon arrival . negative however . love ! 
 Jan 9 2008 	 Perfect Location Perfect Hotel 	 room clean , update roomy ( New York ) ! microwave empty mini fridge every room . definitely request high floor - 8th street definitely busy street . negative experience unfriendly front desk clerk , believe name Terry . greet annoyed man ask we name , ask credit card give we room . guess effiecient , definitely even close welcoming . good thing room location really matter : ) location , location location ! 
 Jan 7 2008 	 hotel save stay ! 	 book another New York hotel part East Coast tour Boston , New York Washington . the hotel originally book awful not bother unpack suitcase . ring around internet search settle Garden Inn Times Square . I know corporate hotel - compare first hotel paradise ! great location , great staff , great room attach French Bistro serve great food . check hotel ensure great trip ny right reason . 
 Jan 4 2008 	 Perfect 10 ! 	 wonderful stay hotel . staff friendly & amp ; accommodate . request & amp ; receive corner room , huge - enough space king bed , sit area , roll away bed ; plus desk , tv credenza & amp ; bag stand . location ideal - short 1 block walk Times Square , convenient restaurant , drug store , Starbucks & amp ; Subway . will definitely stay . 
 Dec 31 2007 	 Brilliant ! 	 lovely hotel ! location fab - near enough attraction near ' ve get 1001 people rush pass hotel entrance ... staff friendly , although conceirge not always helpful would hope - might worth ask shop assistant ect whilst be advice - guy Levi 's tell we go shop Soho , would not find otherwise ! room fine - get 14th floor suppose lot quieter low floor ... try get high floor 8th Ave lot traffic ( inc fire station next door ! ) people comment decor ' be bit tired ' . 's true - 's totally up - to - date 's fine . be go worry thing like - maybe New York not city ! not sit hotel room - exploring ! ! ! shop downstairs ( pantry lobby ) stock drink etc deli across road fine pizza slice etc . highly recommend restaurant next door - Pigaelle - serve great breakfast staff v friendly . good cup tea find NYC ! 50th Street subway opposite hotel handy . get Brooklyn within 20 minute ... highly recommend gotel : ) x 
 Dec 18 2007 	 friendly 	 hotel friendly . first stay New York friendly helpful . Donald bellman spoil we give we great tip get around . convenient clean . 
