pleasantly 	 pleasantly surprised hotel . Found Tripadvisor not dissappointe . find good rate hotel 's website travel site account AAA discount . room big expect ( NY standard ) appear renovate recently . staff friendly helpful . luxury hotel mean extremely nice price . subway 1 block away Central Park 3 block . would definitely stay . 
 skip look luxury 	 stay Lucerne Thanksgiving . will make simple : use luxury hotel hope find inexpensive gem UWS sadly disappoint . use mid low range chain , might pleasantly surprised . luxury hotel definition . like choice neighborhood - ave - also permanent home least several long - term resident grandfathere NY rent control law , not surprised smell cooking see small family live one room . opinion , slice New York life add character , rather give hotel air flop house , highlight drab , institutional hallway , cheap blanket , grimy shower curtain , unhelpful cheerless staff , general sense disease ... sum : recommend anyone accustom 4 5 star hotel . 3 star good , less take account permanent resident situation . 
 lovely hotel comfortable great location 	 Beautifully restore tastefully decorate hotel . standard double room queen size bed spacious , comfortable welcoming . staff friendly helpful . great location upper west side - stone 's throw Central Park ( pleasant walk park ' museum mile ' ) . subway downtown 2 minute walk . Breakfast not include room retrospect glad give we chance sample breakfast new cafe diner 4 day stay - none 400 yard doorstep ! 
 Jul 26 2004 	 not hesitate reserve ! ! 	 wow great hotel ! Stayed Lucerne 7/20 - 7/24 . hotel great shape ! thing well hotel employee , helpful polite . subway block away , Times Square , Chinatown , low Manhattan within minute $ 2 / per person . or prefer cab , always seem one wait front door , cab ride Times Square typically $ 8.plenty restaurant / diner bagel store within block hotel get go morning . great quiet neighborhoodwe third floor face 79th street noise never issue . next visit NYC include Lucerne . 
 Jul 12 2004 	 Excellent 	 first time stay Lucerne September 2000 first ever trip alone ( without parent school friend ) , first time New York City . finally arrive hotel , airline transfered luggage airport forgot , pleased choice . staff friendly helpful throughout visit . room clean facilatie require , although little small . hotel get restaurant however many good quality restaurant surround hotel ( straight opposite front door great italian place good pizza 's whole world , plus fantastic dish ) .The second time go Lucerne 2003 take girlfriend NY ask marry hotel proud impressed - although room quite nice first time , think need modernise little . 
 Jul 12 2004 	 great stay Lucerne 	 spend 3 night Lucerne . teriffic . great location , near Lincoln Center , Central Park , museum , subway . quiet Manhattan hotel every stay . staff courteous , friendly , helpful . teriffic ice cream shop across street well breakfast & amp ; lunch store , Columbus Bakery , 4 block away . exceptionally good meal Oeust 84th & amp ; Amsterdam & amp ; Saigon Cafe 90th & amp ; Amsterdam . enjoy complimentary NY Times daily . definitely return next trip ny . 
 Jul 11 2004 	 Loved Lucerne 	 stay last night 2 child age 6 8 . get couple hour early check time . not expect able check , store overnight bag . man registration say not mind wait 15 minute would nice room available . wait 10 minute tell upgrade suite . everyone encounter hotel wonderful . stay many NY hotel ( usually Midtown East ) far good great value ! neighborhood lovely many great shop place eat . especially like Sarabeth's - they nice kid . musueum natural history block away , central park . choose hotel base solely other opinion site . would stay . 
 Jul 1 2004 	 great recommendation ! 	 start two week holiday USA New York . Stayed Lucerne strength recommendation site . disappointed . king room situate back Hotel . view , bird 's nest , quiet . let us face not visit New York stay hotel room ! ! room comfortable well equip . breakfast Nice - Matin next door take advantage 25 % disvount voucher give we check , enough morning stay . easy get wherever want use nearby subway station . close Central Park nice gentle stroll couple occassion stay . excellent good value money . 
 Jun 26 2004 	 Excellent Hotel Upper West Side Stay 	 stay Lucerne two week June 04 . good hotel beautiful area New York . clean , comfortable excellent service . nice Matin adjacent outstanding place dinner . couple block Central Park $ 5 cab ride Theater District . great boutique , drugstore , grocery store , discount ( Filene 's Basement ) , laundry liqour store within 3 block . suite good value price . 
 Jun 10 2004 	 Excellent New York Hotel ! 	 update hotel nicely decorate room . room spacious well light nice size bathroom . room advertise two & quot ; double bed & quot ; . double bed Lucerne queensize . upper west side neighborhood fill restaurant shop . Filene 's Bargain Basement close . staff helpful . really enjoy stay would definitely go back . 
 may 31 2004 	 Pleasant stay Lucerne 	 base recommendation , reserve room Lucerne . great location , , nice . week ago stay Excelsior , neighborhood . bad , unfriendly , less helpful staff . staff lovely , friendly , helpful . first room right across frequently dinge elevator , request room change , give use immediately -- high floor , quiet , even view tiny slice river ( room 824 -- recommend ! ) . btw , book QuikBook ( also 800 number ) . notice reviewer complain room small ; Quikbook offer junior suite $ 190 ( plus tax = $ 206 ) , upgrade we large suite . huge , decent size NYC , 2 queen , separate " sitting room , " minifridge , microwave , coffeemaker . offer discount breakfast next door , recommend walk block Zabar ' ( good coffee ) . ( note : 5 start , reserve fancy place , live hype . ) would definitely stay . 
 May 18 2004 	 first time NYC visitor impressed Lucerne 	 stay Lucerne base first review second price & amp ; availability . ' m glad other look around Times Square book April 21 - 26 might stay otherwise . room great location convenient . might think stay distance Times Square inconvenient , nothing could truth . everything could possibly need within block , 79th St. subway stop literally 2 minute walk . staff always courtious helpful . not try house restaurant NiceMatin eat little italian place across street - excellent ! great hotel experience . New Yorkers would stop honk horn everytime get 10 mph ! 
 may 16 2004 	 Gem NYC 	 stay Lcerne May 11 - 14 , 2004 . hotel classy , clean , easy access subway , taxi , Central Park etc . live New York 27 year , picky go back stay . hotel great value great quality . employee Lucerne connect restaurant NiceMatin courteous , provide wonderful service readily available . shower water pressure refreshing . neighborhood safe easy walk around . lot neighborhood store restaurant , evena nail place , cleaner andlaundry block . bed comfortable linen blanket nice . chair room unigue comfortable . lobby marble floor bathroom floor . class act read review 2 week , though write one next visitor . yes , would stay agan suggest Lucerne other . 
 May 11 2004 	 definitely go back ! 	 stay Lucerne April 22 - 26 . service exceptional room , suite not request , nice roomy standard . staff go above - and - beyond fix issue help we ticket , direction , etc . the location fabulous - step subway , block park , easy walk wonderful restaurant store . I definitely go back . 
 May 3 2004 	 love Lucerne 	 stay hotel last week , absolutely love , room immaculate , make perfectly every day - hotel central everything - get cab right front , walk street take subway - stay 3 night , accomodate , hotel kid - friendly , wait come back ! 
 Apr 30 2004 	 love place ! 	 family really love place . close Central Park museum kid , age 9 11 want see . eat breakfast Zabar 's around corner every morning walk Natural History Museum Children 's Museum , Art Museum . walk hotel Central Park minute . concierge helpful find ticket information we . 
 Apr 13 2004 	 everything hope 	 spend Spring break New York City want lovely hotel nice neighborhood . lucern perfect place we ! close everything , include subway , Times Square major museum , charm wonderful staff . room large , even Atlanta standard , well appoint , lot light . staff nice ' ve ever encounter New York , else matter . would return would recommend anyone ! 
 Apr 2 2004 	 wonderful find . 	 great rate . wonderful refurbish old build New York neighborhood fill cafe great shopping . near Central Park West , Natural History Museum convenient subway . lovely fresh room , wonderful service staff knock . rate great . 
 Mar 5 2004 	 nice elegant hotel 	 classy mid - sized hotel covenient Upper West Side location . bus subway stop close , many nice restaurant . large drugstore across street big plus pick thing forget home food item . staff helpful . 
 Feb 17 2004 	 beware Permanent Residents 	 husband , toddler first ever trip New York shortly Christmas . first blush , think room passable ... certainly luxurious , good rate satisfy . put toddler evening 8:30 . next thing know , folk room beside we start make lot noise , scream , slam door , etc . could faintly hear child background . call front desk noise continue . think would go door appeal people parent please hold noise . rap door male come door , shout obscenity threaten life . retreat room call front desk . apologize . seem put we beside one Lucerne 's & quot ; permanent resident & quot ; - people live building become hotel . resident evict make habit drive guest away happen book adjoining room . upgrade large room well view negative experience awful introduction NYC ! advise potential Lucerne guest inquire whether room adjacent beligerent permanent resident . 
 Feb 11 2004 	 incredible experience ! 	 welcome New York City ! arguably world vibrant & amp ; sprawl metropolis , ' ve travel lot really please service hotel . husband say would go back heart beat & amp ; be hard please . location great ! tourist pack street , theater , restaurant & amp ; bar . whether Foot , Cab Subway , Manhattan Minutes away Hotel , incredible experience ! 
