good 	 enjoy stay excelsior , undergo renovation . offer upgrade renovate Jr Suite back hotel instead reservation regular King room face Museum . however , smell new furniture carpet problem spouse , ask move old room . people would happy renovated room , new tv , new furniture . unrenovated room nevertheless nice , spacious clean . although want view , end ' m happy not get . room back quiet , hardly street noise , sleep well comfortable bed . staff pleasant , nice breakfast buffet 2nd floor offer $ 12 per person , beautifully furnish room . the adjoining restaurant ( separate ownership ) nice bar lobby . the location excellent . lot taxi pass 81st west side 79th St roadway across Central Park . also subway downtown corner . a pleasant walk across Park Met Guggenheim , across street Natural History Museum Planetarium . many good neighborhood ( non touristy ) restaurant nearby . great shopping west Broadway ( , gear New Yorkers , tourist , plus ) .Prices excelsior seem reasonable comparison hotel close midtown . we would certainly go back . 
 shame well - locate hotel run - down dimly light grumpy staff boot . 	 stay four night Excelsior could ideal . endless wait crowd elevator ( one broken entire stay ) , whole $ 450 room single overhead light , door handle fall interior door , un - vacuumed hallway new carpet lay , unwelcome staff ( housekeeping except ) . place ripe full makeover ! 
 good marathon hotel - skip be town something else 	 like title say , run ING New York City Marathon pick hotel 2 reason : price 's proximity finish line . Disliking Times Square want stay . sure be close start line bus ( be assign one ) morning that s . move hotel : lobby small beautiful woodwork furniture outdate enough room sit . 2 couch 2 chair . room small clean well keep nice view . really like bathroom 's country charm . bed super comfy - important be run marathon- blanket cuddly . dislike : small light hallway peered door night : like sleep nightlight ! since door right next bed , hear other door open closing . overall , price , find well hotel NYC . ' m say 's terrible , ' m say be well . be run marathon , hotel ten block finish line appreciate get room relatively quickly chaos finish line . hotel price really climb marathon weekend appreciate 300 $ price tag . happy running ! see finish line ! ! 
 Apr 14 2004 	 Ghastly 	 recommend hotel friend mine come visit . greate nice asian woman , . call & quot ; front desk supervisor & quot ; actually ask could wait one minute proceed answer cell phone speak whomever . think sopposed professional work environment soo lay back mismanage . mean hire supervisor ? creature problem . roach , understand restaurant around area , moron know pesky creature annoying , god , front desk staff jumping counter get away bug , say would not sheesh look even staff put . even see mouse breakfast room . another time friend come stay leave bug bite arm . end winter highly doubt mosquito ... pray tell bit arm cause bleed leave red bump ? confront desk meet nice woman appologetic , offer manager 's business card . later check notice still charge late check consider went desk agent still appologetic informed speak manager order still charge . contact manager refuse reimburse part stay . how atroucious ... ghastly ... would like walk away blood body come please SAVE , stay . 
 Apr 7 2004 	 Disappointed Twice 	 stay excelsior twice ( summer 1998 & amp ; 2003 ) . occasion get type room reserve . ( also confirm room choice phone hotel day make reservation . ) request room 2 double bed upon arrival time tell room 1 bed fold - out sofa available . coincidence ? ? occasion find desk staff indifferent & quot ; take leave & quot ; attitude . 2003 visit cheesy motel - quality air conditioner barely work produce noise cool air . luckily , room face away street , open window night . second visit ? location excellent , room clean & amp ; comfortable enough , price good , thought would hired pleasant staff 2003 . believe 2003 staff ruder 1998 staff . tolerate cold reception willing take potluck room assignment , might acceptable place . ' m look different hotel next trip NYC . 
 Apr 5 2004 	 okay pinch 	 finish second week long stay excelsior . book second time could not get another hotel neighborhood date need , feel anyway special except location . the room small clean housekeeping excellent . the staff overprice breakfast room affable otherwise staff either haughty preoccupy , certainly busy pay much attention hotel guest . bellman could not bother get bag , front desk clerk apply make - up public never see concierge . I feel safe building since apparent anyone could easily enter access guest area . look great amenity , place , clean adequately maintain price . 
 Mar 31 2004 	 abysmal ! 	 baffle hotel could possibly regarded four star . book room Expedia , state explicitly want quiet room , high floor , two bed . find arrive ? room fifth floor , overlook busy main road , small double bed ! ! complain reception state nonchalantly room fully book give we leave - bad room hotel ! wife upset cry , utterly furious ! rang number NY hotel , find fully book miracle manage find room decent Novotel hotel ( see review one ) . leave Excelsior soon could still pay one night - least refund five night . avoid place like plague ! ! 
 Mar 31 2004 	 mediocre bling ! ! 	 book hotel expedia . stay week feb . hotel glitzy enter reception area . room small comfortable bathroom nice . spend night absolutely freeze 1950 's still industrial heater make much noise could leave , could huddle together thin sheet blanket supply ( duvet ! ) . staff pretty unconcerned , odd one friendly polite rest tend rather aloof . internet access prove pain bathrobe either . really could live without not think desrve four star status Expedia afford . would not stay say get top mark location directly opposite museum natural history easily accessible public transport . 
 Feb 26 2004 	 recommend 	 return 6 night break EXcelsior . third visit New York first time excelsior . room okay lack tea coffee make facility . real problem staff . friendly one accasion positively rude . ask concierge book we return transport airport supershuttle use method get hotel arrival . will book car say , be cheap direct . agree ask many party , 4 say . car turn driver say much luggage . ( arrive ! ! ) different concierge rude we book & quot ; minibus & quot ; cost $ 32 Supershuttle ! ! ! perhaps excelsior staff need attend Customer satisfaction course ! ! ! 
 Feb 20 2004 	 ideal tourist hotel 	 girlfriend spend lovely week here . the hotel perfect condition , always clean tidy . staff helpful cheerful we , guess find rude previous review must catch bad day . it be superb location , put two New York novice instantly ease clean safe neighbourhood . travel main tourist area simple thank subway station end block plenty pass taxi . nearby block bristle lovely restaurant , bar shop , anyone feel little tired long day serious shopping happily stick close home rather venture downtown eat ( Fred 's bar restaurant couple block away favourite find ) .The negative would note hotel complete lack in - room coffee / tea make facility , many coffee shop within short walking distance tiny issue - Starbucks less 2min walk away . for money pay ( approx 480 ukp 1 week double room via Expedia ) , would hesitate recommend hotel traveller come UK . certainly top list decide visit NY . 
 Feb 19 2004 	 terribly impress 	 spend nearly two week stay excelsior . term location must one good mid - price hotel NYC , quite comfortable , quite good expect . major issue could never get room cool enough sleep comfortably , even maintenance man switch heating room , begin leave window open day ( 30 degree snow outside . ) desk staff not make much effort appear concerned . eventually buy humidifier , lie sheet , put . also , hotel list Expedia ( book ) advertise room web access bathrobe , neither amenity actually supply we . couple night could hear people room next door , little unsettling . lack hot drink facility mention guest know advance , still not understand can not even vend machine somewhere , not dash corner shop subzero wind rain . oh well . room immaculately clean , comfortable size two people ; view room great , doormen bell staff friendly polite . summary , think hotel good stay not pay much privilege . 
 Feb 2 2004 	 Great 	 Excellent hotel , well situated , need go breakfast though good experience , local deli good Starbucks corner . location could well room good standard clean . subway 5 min walk ever NYC lot cab . give try , enjoy . 
 Jan 14 2004 	 Best Hotel Towels New York ! 	 's little thing ... big thing . family three definately appreciate fine thing life . ok , live ger Outer Mongolia 's another story . stay Excelsior 7 - 8 yrs ago ( & quot ; Big Change & quot ; ) . pay $ 89 time basically one bedroom apartment , kitchen , bedroom , livingroom , funky big bath , etc . hear buy , remodel go $ 289 . also hear fable surly staff . fast forward early Jan ' 04 , celebrate 50th birthday 12th birthday , get great winter rate $ 139 , front room , spacious , 14th floor face glass Planetarium park Nat . History Museum , thickest , white towel , spotlessly clean room , gorgeously tile bathroom w / hairdryer , highend toiletry , two double bed could sleep forever . wonderful old touch like mail chute deep window well sit even open window ! low room could noisy high . mini - bar in - room coffee ? stay Trump Holiday Inn . give Excelsior anytime . oh , staff , well 's Mongolia ( land friendly face ! ) New York , bad . can not accuse fakey smile ( thank goodness ) fullfille duty pleasantly enough . 
 Jan 6 2004 	 try somewhere else ! 	 definitely four - star hotel - room service , refreshment facility room . gasp tea coffee arrival first thing morning . the breakfast include charge $ 18 per person full american breakfast , even nice eat . the staff not exactly rude entirely friendly helpful either . receptionist bit snooty , although could not understand - not work Ritz Carlton . the suite comfortable give we room double bed son daughter ( teenage ) share , think gone give we twin room . LOVED New York would try another hotel ! 
 Jan 6 2004 	 excelsior excel ! ! 	 return five day four night ( 12 - 26 - 30 - 2003 ) excelsior would highly recommend hotel . read review site bit concern none bad service other experience . everyone friendly helpful . request thing like extra towel blanket respond within five minute . hotel clean , room beautiful french motif location 81st Central Park West perfect . half block Central Park , subway station Museum Natural History . 15 min stroll Metropolitan museum Art . fantastic family orient restaurant ! ! sorry other bad experience , perhaps folk fire current group people front desk concierge bellman great . please do not hesitate stay . 
