Nice 	 hotel Great Location , especially watch Macys Day Parade . pay extra room parade view view great not really think worth price charge price matter 5th floor 30th floor . room small New York expect . hotel small lounge , many night full seat leave . staff friendly , however other . hotel right Times Square , close shopping , show , central park . planning trip New York suggest stay someone Time Square , many hotel along Broadway 7th Ave want . overall hotel Nice hotel Great , go back try another hotel Times square . on side note ! LOVED NYC ! like Sex City make sure book Sex City tour City Tours ! great ! 
 Satisfactory - Excellent Location Broadway show 	 's good hotel good value great location see broadway show . 's 8 block walk ( actually short time - wise ny ) . expect crowd busy new york theater sidewalk part experience . parking $ 42 per night hotel . front desk little slow accomodate . Beds Bathroom clean comfy . room 2 double bed great friend . got great rate priceline , usually book www.spg.com get pretty close $ 200 . 
 major fault spectacular 	 hotel provide good service ; room thoroughly clean concierge give good advice explore New York city . room serve purpose ; comfortable bed , tv variety channel , twin standard room spacious enough two people , bathroom everything else also great . big wooden desk thing next window pretty useless though ! not use gym restaurant , busy explore city - look fine . location legendary , especially night walk Times square matter 30 second ( run ! ) also subway station major line close proximity hotel ; manage explore 5 borough bit effort - . good thing hotel , view phenomenal . look room ( 38th floor something ) honestly make feel empty . club room , see New York holistic perspective , square outline central park visible . find annoying hotel definetly offer breakfast weekend , mean , ! eat local cafe flood tourist , available table . my final observation hotel like city within city ; 24 - 7 literally thousand people hang around lounge , walk main entrance . many people , kind feel like another number ! 
 need stay area - try another hotel 	 last two business trip city year , stay Hilton New York . decide try hotel . will not first ( second third choice ) go forward . the check average . room , though , smell strongly cinnamon air freshner . reason - previous guest smoke bathroom housekeeping try mask smell . receptionist helpful changed room right away . room small Hilton ( price ) . not enough room put dresser right front bed 's corner near closet . therefore , tv corner well . desk width room near window . dislike wireless internet short cable use . not able sit bed work . room hot night temperature not work . bathroom decor bit shabby size small . bed comfortable though . I like cafe lobby free interet access . pay handle fee collect package business center . also pay use gym , annoying . in , nother really wrong hotel - average . right price , maybe woudl stay 's price Hilton - would choose Hilton . 
 Jan 21 2009 	 Great Location Average Room ( over - Priced ) under - staff 	 wife two old daughter ( mid 20 's ) stay Sheraton 4 night Christmas New Years Eve . Sheraton location excellent within walk distance almost everything want . crowd huge expect crowd holiday normal temperature . we good flight Dallas NY Laquardia Airport busy easy move around luggage problem . Super Shuttle great way get airport Hotel ( 45 min ride ) .We check Dec 26 6 pm , line long move fairly quickly problem . 3 people work check - in line ; line could move much fast staff . see huge line upset people check - in counter several time go lobby stay . lobby pack people luggage expect . staff courteous answered question check - in . we ask upgrade room none avaliable Hotel sell . open door room ( 30th floor ) first thing saw partially make bed one cover floor . read problem early review hope isolate evidently common . talk guest many problem . hotel under - staff problem amount money pay room . the handicapped room ( ask ) clean musty odor need upgrade . bathroom large , television great , comfortable bed . however , room temperature stay hot thermostat work . room definitely worth price pay . hotel staff friendly , concierge bell captain great handle request question . the restaurant convenient expensive . one meal nothing exceptional . starbuck Hotel small limited option therefore go one two Starbuck nearby location . the Sheraton great convenient location:10 - 20 minute Rockfeller Center , Radio City , NBC show , Saks Fifth Ave , Central Park , FAO Scwhartz toy store ) walk distance almost show ( Wicked , Lion King , Phantom Opera , Mamma Mia , David Lettermen ) Subway stop close easy use ( Metro Card sell stop need ) pay close attention line get ( uptown , downtown , etc ... ) Carnegie Deli street busy get quickly . sandwich huge ( fair price ) share . Statue Liberty Ellis Island must see everyone . plan 3 - 5 hour total base crowd . long security line airport type screen several location . World Trade Center Site move worth see . empire State building line , long therefore decide see NYC skyline Top Rock Rockfeller Center . great view marvelous spot photo / video . reserve time slot line Top Rock -- line restriction long stay observation deck . if possible reserve show ticket tour advance . Print e - ticket take . save we long wait ticket line make trip much easy less worry arrve show / tour late long line . we great time New York City plan return . probably stay else price continue problem read see first hand Sheraton Towers location . fabulous location , several minor problem -- - high price Sheraton name expect much ! ! ! 
 Jan 20 2009 	 fine prupose 	 partner book hotel Expedia stay Xmas 2008 7 night . reluctant book read review think , hell , Sheraton . overall , service average , usual top level receive stay Sheraton , keep mind probably busy time year . room fine , amazing bed necessary . we problem leak tap sort within 30 min . wall thin , could hear everyone hallway probably bad thing room . one piece advice luggage storage . line 25 min drop one suitcase morning leave wait 90 min pick ! ! ! lucky leave enough time get airport , alot people line push front line go miss plane . location AMAZING . could not really ask . overall , go expect bad come smile ! 
 Jan 18 2009 	 probably bad hotel world 	 could hardly wait experience Thanksgiving one favourite city book expensive hotel treat . however , room possibly shabby , grubby , pokiest dingiest ever see . naturally refuse accept give room & quot ; Preferred Customer & quot ; floor somewhat well . however , carpet dirty bare foot question . electric socket frighteningly loose wall , hairdryer fail function , replace another also fail function . expect pay basic - fridge . the room smell slightly vomit . room service arrive promptly corridor outside remain line dirty tray crockery , include half - eat bowl cereal milk , 3 day . hoover stroke carpet rather clean seem hold together gaffer tape . front house staff constant apathy towards guest , top , letter complaint , post 13 Dec 08 , far completely ignore . trip life time ruin . please stay ! 
 Jan 14 2009 	 pre xmas new york sheraton tower 	 Thought would treat self nice luxary hotel yr . well one , dissapointed . good thing stay , location . room temperature gauge , constantly change frm extremly hot cold , guste draft fom front door . all fixture wonkey , eletrical plug bit suspect ( sure safe ) . clean room first day , hoover throughout whole week there . see deal stay one night , nxt night free ..... well work like room rate vary frm wk wk . price taxis include beware read small print . price pay ...... go elsewhere . 
 Jan 11 2009 	 ok 2 3 	 book 2 room , one wife , another 3 teenage child . book form clearly state 2 room ; one we , another room 3 adult , kid , give two & quot ; double & quot ; bed barely large single bed . staff hotel state fault booking agent , could respond book form , state common problem , take booking ? move child room 3 single bed space walk around room . but eventually give acceptable partial refund room rundown , find staff helpful . great location though impersonal . next time will try find somewhere near Soho Greenwhich Vill 
 Jan 9 2009 	 wonderful hotel ! great stay ! 	 great time Sheraton ! arrive 9AM not wait . upgrade club level floor free without even ask get great deal Priceline . room clean bed super comfortable . carpet could replace real complaint . ask refrigerator check room within 20 minute . everyone nice great Christmas vacation ! 
 Jan 8 2009 	 4 star 	 hotel okay long pay full price least $ 150 New York . able get decent price priceline . hotel huge . television digital channel nice . noise hallway annoying though passersby sound like inside room . sound proof . one work elevator floor 21 - 28 notice information elevator work . many guest , wait 15 minute get even go . especially problem try go room freshen prior show long line people lone elevator . bag storage fee also annoying since first hotel ' ve stay charge . location convenient though , right next subway . long be expect 4 star hotel 2 star pay much room , sheraton ok hotel . 
 Jan 8 2009 	 satisfy 	 reading review , bit worried , everything fine . front desk people nice , bell captain nice , room clean 2 double bed , big room Parker Meridien family member . heat really adjustable , room bit warm , livable . location great , block moma . second recommendation Olympia ( maybe Olympic ) diner 8th ave- good family - run place reasonable . also Bella Vita Pizza 43rd 8th B'way - quite good esp . salad reasonable . also Europa Cafe ( chain ) good make pasta make salad , gourmet sandwich reasonable - 's one 53rd go towards MOMA . stage Deli Roxy 's Deli quite overpriced get way much food . stage Deli $ 10 min . per person . 
 Jan 6 2009 	 shabby hotel indifferent service 	 stay b / c official hotel conference . even discount rate sharing room colleague , not feel receive value dollar . room carpet old shabby , furniture bit beat - up , bathroom floor dirty corner vanity ( really need good mopping ) , shower curtain 's cloth liner red mold along bottom . shower handle also fall one morning . Hallways dark wear , front desk staff indifferent -- overall sense poor quality 2 - star hotel , certainly 4 - star meaningful sense . positive Sheraton & quot ; Sweet Sleeper & quot ; bed , indeed comfortable , although sheet small tear couple night . not understand Sheraton spend much money promotional campaign widescreen tv room yet attend basic cleanliness maintenance . really think well option NYC -- least favorite hotel stay city . 
 Jan 6 2009 	 good location 	 hotel good location , must eat Rosie O'Grady be across road - food lovely , eat twice spend New Year 's Eve . sheraton upgrade us arrival nice . room okay could bit well time spend fine . staff friendly come across . gym good well facilitated . would stay due location . 5 min central park & amp ; time square . 
 Jan 3 2009 	 Fantastic location- good stay 	 Booked Priceline ( $ 120 / night 2 night 2 room ) ; scare previous review , expect bad . oversized van park right next door $ 70/24 hrs . , easy . maybe well option hotel lot . short line check move fairly quickly- clerk ( molly ) friendly ! ! room nice , adequate NYC , bathroom bite tight , clean . could use hotel directory maybe NYC info room . elevator not work well overburdened busy time year , survive . find room quiet- sort & quot ; white noise & quot ; heating system seem run constantly , annoying . Temp . seem ok , not even try adjust . wait concierge desk . Fitness center look good , not want pay $ 10 / day ; $ 20 / visit- little tired put good workout day walk . location fantastic theater Broadway . would moderately disappoint pay full price , happy stay bargain price ! 
 Jan 3 2009 	 horrible stay : bad New york ! ! ! ! 	 7 time new york course bad hotel ever be . the good thing ? ? ? location ! ! ! 1hour line check check out . poor unfriendly staff . we call 5 time request provide 24 hour later answer request . the concierge seem bored behind desk christmas day one concierge dozen line waiting help . when turn arrive answered phone wait 10 minute . then , start answer phone ring 15 minute waiting . it seem candid camera ! ! ! ! answer disinterested request unhelpful . heating system old not function properly . it noisy ! ! ! ! ! ! ! well sleep heating system room cold window ' close completely . the carpet dirty dusty . unbeliveble : four star hotel without wardrobe frigo bar . ok , ' care frigo - bar , store dress ? ? ? would recommend hotel anyone . I well stay Hilton , affinia manhattan marriot marquis . 
 Jan 3 2009 	 well expect ... 	 spend 5 night New Year 's Sheraton NY Towers . Sheraton Gold , get upgrade Club level . use point , outlay night literally $ 0.00 . pretty good . room fine , club - level free breakfast good see Sheraton . location excellent . five night 48,000 point later , pleased stay . grant - hotel issue little thing - wear - and - tear , check - in little slow , etc .... 
 Jan 1 2009 	 good experience Sheraton New York Hotel 	 stay hotel Dec. 24 - 27 , 2008 good experience -- well expect , though perfect . pick hotel prime location family trip NYC . Sheraton Gold member think benefit level service receive . in fact , mistakenly walk Sheraton across street first arrive . Bellman could nicer walk we luggage New York Hotel Towers right across street . lobby nice busy . , check quick we express line Gold member . we top floor ( 50 ) , request high floor quiet location . Club Level , charge extra . benefit use lounge breakfast , lounge open one morning stay holiday . husband child enjoy breakfast , stick coffee make room . the room NYC small , good shape . bed pillow comfortable could hardly hear street noise . hdtv room . bathroom also small , clean , white tile marble . towel basic hotel quality . we nice view high . wall thin though , could hear neighbor . also take 3 request receive refrigerator room . , hotel charge we daily fee . we hardly hotel room , really comment much else . housekeep friendly nice job . dust nightstand , think heating vent , seem run non - stop , control room . hot night , find NYC apartment hotel warm . parking hotel total $ 120 , not bad NYC . , take forever we get car back . we would stay -- covenient , within walking distance , everything want . price right family trip , meet expectation . 
