wonderful 	 need stay somewhere Jubilee Line watch Tennis O2 . hotel round corner London Bridge Mainline Tube , across road Borough Market .... quiet ! reasonably sized room ... massive , well appoint everything need . staff great . stay , train Gatwick London Bridge . 
 simply good 	 Location hotel , décor quality food highly commend , however truly make stay special service give we Hotel ' wonderful staff . staff unobtrusive yet time manage always available cater every need friendly helpful way . staff London Bridge Hotel credit management owner Hotel family grateful time effort give look we stay . special service play large part make stay London memorable . many thank . 
 friendly helpful staff hotel 	 Excellent location 4 stop tube O2 . smallish well furnish room good storage flat screen tv . friendly helpful staff every dept . reception provide warm welcome . breakfast buffet good plenty choice . good London experience long time . 
 clean comfortable affordable 	 book three room four night August London Bridge hotel . two twinbedde room one double room clean comfortable . get excellent deal six people four night hotelsclick.com . the hotel situate Southbank close Southwark Cathedral lot nice restaurant bar . sure visit Borough market one morning . 's lot fresh gorgeous produce . Restaurant Vinopolis definitely worth visit real treat go Oxo Tower restaurant . view city amazing . underground around corner hotel , nice day 's pleasant walk along Thames side river . founder arm pub along river nice place stop drink . all , want see different side London ( instead W1 ) London Bridge hotel absolutely worth stay ! 
 Jan 13 2008 	 little gem 	 book hotel part New Year package , would not normally stay part London - great hotel good location . couple minute walk Tube ( London Bridge ) , although first time bit confusing due various exit - head toward London Bridge itself . reception staff welcome efficient . room nicely furnished , spacious clean . nice clean bathroom - bath shower . the room warm - do not discover air con switch second night . doh ! - window open fresh air . room first floor front hotel despite closeness train bus station surprisingly quiet . room problem second night weather turn quite windy flag pole room rattle noisily . mention check receptionist note , hopefully will secure . breakfast good - choice hot cold buffet - friendly efficient restaurant staff . do not spend much time immediate area plenty shop bar nearby . 's good chip shop corner ! good experience ' m sure stay . 
 Jan 12 2008 	 lucky find London Bridge ! 	 choose London Bridge Hotel great rates- 99 pound night great review tripadvisor.com . hotel prove excellent check - in check - out . I arrive London 6 am flight . alert LBH would arrive early request early check - in . upon arrival , hotel staff let check quickly . appreciate since not sleep way over . upon enter room notice small , comfortable ( plenty space move around ) . bed huge , cover pillow , nice duvet , cushy though feel though wear . flat screen tv nice minibar . also appreciate in - room safe closet space . also dresser come handy stay . another huge perk hotel close London Bridge Station . ( two minute walk ) . often return hotel late night time get little disorient ( use different tube exit ) . nevertheless , area quiet seem safe worry wander extra minute get bearing . another great thing area LBS connect easily tube line . could always need stop . hotel extremely central though quiet- outside hustle bustle . as short trip pack London walk visit friend , never seem make breakfast include rate . still , hotel welcome place evening . magazine newspaper always handy staff member always hand . never require much help concierge reception , one time question , strike spanish receptionist 's willingness help , even provide information expect ( never expect level service ) . term problem stay , noticed toilet handle not seem want flush . work well enough bother maintenance . still , receive letter hotel ( today fact ) thank good feedback well note would look toilet handle make necessary repair . always appreciate follow - up concern compliment . rarely hotel make contact , , forever appreciate . write hotel make want go back . sure forget hotel chance come back London check LBH first . 
 Jan 12 2008 	 nice place stay ! 	 stay one night treat utmost courtesy friendliness staff . quiet ( over - heated ! ! ) well decorate room though smallish well equip . would hesitation go back . 
 Jan 10 2008 	 hope come back ! 	 stay London Bridge Hotel 29.12 - 1.1.08.the staff friendly helpful , breakfast excellent furnish beautiful . my concern praise hotel may room we go London next time ! 
 Jan 7 2008 	 Nice Hotel 	 stay London Bridge Hotel three night enjoy experience . the hotel clean tidy , reception staff helpful . the area little shabby however , fortunately far underground station . overall relax , enjoyable stay , would qualm return . the complaint hve air conditioning need improve room quite stuffy . 
 Jan 6 2008 	 welcome friendly excellent hotel 	 boyfriend stay London Bridge hotel 28 - 30 Dec 07 fantastic weekend . make feel welcome moment walk door enter clean modern hotel . staff friendly everyone smile face chamber maid front desk staff . we impress comfortable room attention detail . full english breakfast londonian Restuarant choice food service excellent . I would recommend hotel anybody ideal base trip London . good restuarant bar within easy walk distance right doorstep underground access rest London . certainly stay future . 
 Jan 6 2008 	 Stopover 	 stay one night London see show family . this really great place stay . 
 Jan 5 2008 	 London Bridge Hotel well worth visit 	 read several positive review hotel decide try . take mum birthday treat stay overnight order visit Tutankhamun exhibition see show . check check hotel great ! room spotless well appoint , bed comfy noisy . meal breakfast lovely great service . staff yhat meet friendly polite , nothing seem much trouble . last visit London pay twice price stay 4 * hotel Mayfair , London Bridge good well definitely go back . excellent location transport link Tube , DLR pier close . 
 Jan 2 2008 	 Loved London Bridge Hotel 	 husband , 14 month old baby stay London Bridge Hotel one night great ! baby crib set room arrive recommend family friendly place dinner night . stay deluxe room plenty space 3 we . hotel 2 min walk London Bridge tube train station . 
 Dec 29 2007 	 great hotel 	 lovely stay room comfortable breakfast delicious attentive staff especially Ludovic . will definately return 
 Dec 28 2007 	 clean 	 nice room , clean date . room small upgrade room good size . Richard help desk wonderful helpful . tube station short walk hotel . morning breakfast good hotel . inexpensive meal close hotel try wagamama , fast fun . home day half want go back already ! book go ... wait ? ! 
 Dec 27 2007 	 Beautiful Modern Hotel 	 impress modern/ contemporary decoration fixture hotel . hear expect London hotel offer small room room small would expect States . however , use modern fixture ( flat screen tv , half - glass door tub , fridge hidden cabinet , etc . ) , keep room feeling cramp . large window provide we nice view Thames London Bridge . the concierege helpful regularly check something we print direction . staff general friendly . Breakfast always buffet fare traditional english breakfast . generally plenty eat quick service . however , weekend seem pick lot . ( weekend right Christmas , may ) . location ideal . plenty see within walk distance nice pub street . tube rail station around corner . heat room excessive , regardless level set thermostat . able keep room comfortable leave window open time room . second last day , able turn heat . 
 Dec 21 2007 	 great value money 	 Room ready arrive left bag return upgrade family apartment . huge , separate sitting room , dining room large kitchen two bebroom comfy bed 50 & quot ; television . breakfast good , keep run thing soon replace . location two tube ride away anywhere central tube station around corner . all great hotel friendly service , would definitely use , great value money . 
 Dec 19 2007 	 nice little small hot ! 	 hotel seem nice excellent location , room small nice decor good facility , however rather disapointe , review make imagine something alot well actually , bed comfy bathroom clean modern fixture , air conditioning poor - think broken man come look say work fine ! rather uncomfortable sleep window look enclose area wall ! flatscreen tv , hairdryer , tea coffee make facility somehow dimension room heat spoil , think money much well hotel London - depend value convience London Bridge Hotel certainly that . nice nice many similarly price hotel . 
