recommend 	 Hotel really suck ... outside look nice close Times Square , however , hotel deserve 4 star . its old Hotel Hotel Lobby nice , room really bad small .... mother split queen size bed , say do not double bed even King bed receive complimentary upgrade Queen Size Bed anyways .... usually give full size ... even 2 people ... find Kingsize Beds give we ... anyways , room really small dark ... room do not window etc ... get nice room , might ok ... standard Hotel 4 star ! ! 
 Nov 22 2004 	 's Beds . 	 daughter return long birthday week end NYC . stay Algonquin Hotel absolutely love . staff wonderful , especially Kevin concierge . yes , room small bed die . could not wait get night not want get morning . ambiance lobby area relax quiet busy day sight seeing . not forget ask Matilda cat . bring calmness serenity we return hustle bustle NYC . not see room , tub . small shower water pressure fine old establishment . highly recommend Algonquin would stay New York minute ! 
 Nov 16 2004 	 Excellent Algonquin ! 	 stay Algonquin October 6 night . room excellent - small immaculate . staff extremely polite make feel welcome . location great want visit theatre go shop . would thoroughly recommend hotel - excellent experience ! ! 
 Sep 27 2004 	 Loved hotel 	 visit Algonquin September 2004 last minute trip New York City teenage daughter . quote reasonable rate New York City standard . hotel truly great . service excellent , staff really make feel welcome . location good , near Times Square Fifth Avenue . room little small side , comfortable bed great . wonderful hotel would stay . 
 Sep 20 2004 	 Service 	 return cruise New York City . stay Algoquin cruise happy hotel . classy . room little small , 's unusual New York . service make . people great . even offer keep luggage store we get back cruise would free see sight hour flight . would recommend hotel location great service . 
 Sep 17 2004 	 love Algonquin ( New York City ) 	 although bear Washington DC , first visit NYC since small child husband 's first ever visit US . much search surfing ( include site ) choose Algonquin stay . love idea New Yorker connection ( father use write New Yorker ) resident cat ( cat people ) .everythe Algonquin meet exceed expectation . room charming - large big enough beautifully decorate . bed cosy comfortable , bathroom beautifully do effective shower , nice toiletry , etc . back ( 11th floor ) bother noise - although air conditioner take getting use , be use uk.the 24 hr fitness centre everything want , include free weight - big bowl apple , nice touch . get habit workout first thing breakfast ( plus walk ) probably account fact neither we put weight spite put aside normal healthy eating habit . we drink lobby couple time also breakfast twice ( excellent , price compare favourably UK hotel ) . also ' light ' supper lobby one evening good value plenty we . ( never get use US portion size ) .The staff charm helpful . matilda gorgeous gracious - allow stroked photographed . oh yes , New York pretty mind blow . wonderful warm sunny September weather walk everywhere . regret leave . . . already started save next stay . 
 Sep 10 2004 	 Charm friendly staff value location ! 	 could ask ? historic Algonquin Hotel conveniently situate mid - town Manhattan -- walk distance Rockefeller Center , Radio City Music Hall , Central Park , Times Square / Broadway Empire State Building short subway ride anywhere else . top , recently renovate hotel nicely appoint room friendly attentive staff -- right Mathilda , resident cat . standard & quot ; deluxe & quot ; room cozy ( i.e . small ) , provide everything could need , plus charm -- reasonable rate ( New York City ) . use bar / restaurant service three night stay ( 9/5 - 9/8 ) , need inexpensive breakfast , door Red Flame Diner fast tasty service . 
 Jun 30 2004 	 Great Hotel close Times Square 	 stay July 24 - 27th , great experience Algonquin . first visit idea expect hotel . location excellent . 1.5 block Times Square 5 block south shop Rockafeller . room nice well decorate . clean maid service excellent . conceirge bell man professional ( even offer we sell Madonna ticket face value ) . really like place feel really happy see day . ny hotel try bus like cattle , everone hotel really go way make feel comfortable . also tell hotel would shut complete renovation reopen August . could not understand everything look nice new we . also , someone mention room small .... NYC . hotel room small NYC unless stay 5 star pay three time much . definately stay hotel . 
 Jun 28 2004 	 small room 	 return girl weekend NYC . upon arrival bit disappoint Algonquin , room small . staff outstanding . room clean . comment & quot ; Nick & quot ; conceirge . never anywhere outstanding conceirge . call advance tell want . extensive list shopping activity wait we arrive . idea exceed well travel New York girlfriend . would stay . would prefer something large room / bath . 
 Jun 15 2004 	 Loved ! 	 hotel perfect . service , location , staff , room ... could not pick well place stay . will certainly visit ! 
 Jun 13 2004 	 great value 	 due immediate proximity business destination good review site , decide take chance Algonquin . disappointed . great value . standard room redone , clean comfortable , SMALL . would not matter go city day . however , know would work room lot couple day , decide upgrade one bedroom suite . , comfortable , clean accomodation also redone . food staff terrific . entire ambience hotel - narrow staircase wear marble step cartoon fill wallpaper - nice respite increasingly generic choice among new hotel , even nice . closing end month complete renovation , stay next time location meet need . 
 Jun 9 2004 	 great stay Algonquin 	 friend mine take girl ' trip ny without spouse kid attend trade show May 04 . book room 2 twin upon arrival upgrade suite , room 1112 . surprised appreciative - treat ! staff great , really make we feel welcome answer touristy question without laugh we . can not say enough location - central thing want see walkable . room nice elegant , lobby bar awesome , staff welcoming . yes , noisy , ' m use quiet suburb , really can not blame 3am noise hotel - 's city . would book stay heartbeat . 
 Jun 8 2004 	 Appalling Algonquin 	 suppose day escape together child responsibility . husband reserve Algonquin literary connection . room incredibly tiny hot oven . bed also small , even we American , heat intolerable cram together . sleep wink . air conditioning unit actually make room hot , window give onto air shaft kitchen noise smell . complain morning staff could care less . offer we another room little big dirty . end refuse stay moment long walk bag street get Sofitel get spacious , cool quiet room money . think ever get money back even though write strong letter . mean drink bar , afford , ever think stay . 
 Jun 6 2004 	 Atmosphere 	 return 5 - day stay NYC ; lodge Algonquin . thoroughly enjoy grace hotel revel choice location . close Times Square , shopping , theater key attraction ( Grand Central ) ... even close subway long excursion ( Ground Zero ) . Staff Algonquin wonderful -- friendly , helpful , professional without stiff ... Mathilda ; make missing kitty bit less difficult . enjoy ambiance lobby late afternoon drink drizzly day wonderful meal hotel guest . will back another visit one day ! 
