expensive 	 extremely expensive consider state . public area beautiful , however room terrible . stay two night previously Harrington Hall ( 4 * ) far well half price . room need total renovation . tea coffee make facility . bathroom poor shower gel shower attachement tap therefore could stand . corridor extremely noisy well . great location . 
 lovely building great location beware ` ` extra '' 	 first qualifi : stay Starwood point . lovely hotel great location - walker runner , Green Park , Hyde Park , Kensington Gardens doorstep . also easy walk Underground West end theater . beautiful area serve tea day drink night . grand space . pay privilege . one gripe layout hotel nowhere lounge sit lobby . health club nice - nothing special certainly adequate . this old building , room type size vary . room clean spacious - London - nicely appoint . bathroom especially nice . service good , great - find level concierge service unpredictable . one thing one qualifier & quot ; extras & quot ; really overprice . ok , certainly great breakfast restaurant 23 pound ( be $ 40 today 's exchange rate ) . Starbucks street Marks & amp ; Spencer wonderful pastry buy less pound . also , Internet Access 18 pound per night - huge ripoff . nearly $ 500 / night hotel , breakfast internet access cost $ 75 . 
 excellent service 	 stay three night great period hotel service give staff excellent ! ! ! stay many london hotel past twenty year would problem recomende , breakfast one good london ! ! , bed heavenly want take home staff helpful I ve happy time 
 Aug 8 2004 	 never 	 read bad review still stay mistake ! un - view thru window dead end courtyard mass pipe ventilation unit . late summer warm . a / c , window open nasty courtyard way get air outside in . we immediatly tired switch room hotel sell exhaust wrom long flight basically stuck . location good dickensian room $ $ $ pay worth . 
 Aug 4 2004 	 exist past reputation 	 stay 19 , 20 july 2004 . disappoint . room dank , food hallway hour , lose luggage , air cond barely work , rug room soil . friendly staff , could get near front desk check-out.this hotel need new upgrade managementIF decide stay , see room first . GREAT LOCATION ......... 
 Jul 26 2004 	 treat Royally 	 able walk across street St James Park , stroll park arrive Buckingham Place ... great location . walk Palm Court make feel & quot ; regal & quot ; yet comfortably home . Breakfast Bracewells offer wide variety excellent service . Anne Mitchell delight , upon see second time , make feel talk old friend . our room comfortable , many amenity ... spaciousness room heat bath towel rack luxuriously enveloping bathrobe . call room service , phone answer addressing name , make truly feel entire hotel staff service you . from reservation checkout , thank staff Park Lane make 15 year old 's debut & quot ; across pond & quot ; special memorable ! 
 Jul 24 2004 	 's free ( point ) 's good choice 	 reading review , concerned stay Park Lane , use Sheraton point . give nice size room enough space extra bed good sized bathroom . criticism hotel valid -- depend whether pay room -- free well air condition ventilate lucky number reviewer . hotel need refurbishment guest floor . staff prompt helpful -- place extra bed ( linen ) room immediately . front desk helpful little slow uptake ; concierge helpful . location terrific ; food hotel incredibly overprice worth .... not ; care serve , go 2 block north & quot ; pret manger & quot ; chain get good breakfast fraction cost . Lobby ( Palm Court ) welcoming unless go order drink smoke . CONCLUSION : great free stay ; need improvement be pay high rack rate . 
 Jul 23 2004 	 great stay great way use starpoint 	 stay April-2004 great time . trick exchange Starpoints expensive location pay money inexpensive hotel ( promotional period earn extra starpoint ) . category 4 hotel need 10k point night regular room , 11.5k night suite , gladly . starwood require 1500 point upgrade . since ' m platinum member , upgrade we nice suite overlook green park Buckingham Palace . this suite one good room ' ve ever stay stay around 50 night year hotel . Park Lane 's location unbeatable . short walking distance Buckingham Palace 15 minute leisurely stroll Big Ben London Eye . Rode double - decker bus Picadilly Circus walk back hotel . need car stay . regular room kinda small friend experience anything negative . come small child problem get stroller . must request park view room , view alley could depressing . the Park Lane also short walk Nobu restaurant Metropolitan hotel . good sushi restaurant London famous sushi chef America , Nobu Matsuhisa . London expensive city get pay . case exchange 11.5k point room worth $ 1000 usd . use 10k point example Westin Cancun , exchange would ' ve $ 80 usd . 's call smart way use point . 
 Jul 19 2004 	 Great Location Bad US $ 	 stay early July great time ! figure take Tube Heathrow fun , problem pull luggage Green Park underground stair , find hotel short downhill roll baggage . 5 minute walk Buckingham palace . ( reason Queen forget leave name door high Tea . ) bed , room , cleanliness , service fine . bathroom clean , shower average . rather funny dehumidifi type air cool portable unit use window open . shut automatically every 2 hour thru night fill water . by second night figure could empty tray toilet airconditioning would start . rather funny , small price pay location . the price , however , shock Americans . room quality would 75 100 $ USA , London cost $ 300 / night 50 % coupon ! staff excellent able walk block great sandwich coffee . Tube make travel around London easy . we prepare bad read review , happy hotel . would gladly stay ( get Democrats back White House improve Dollar Pound exchange . ) 
 Jun 3 2004 	 worth $ $ 	 stay Park Lane Sheraton February , 2004 , think hotel overprice room service provide . room tiny , bathroom drafty staff rude unhelpful . location great , future would rather stay charming hotel , even minute far tube stop . 
 May 25 2004 	 keep open mind read review 	 read review still book room stay early April . room first night bad people write . ventilation ( portable self contain ventilation unit ) shower really shower place hang hand hold nozzle half shower curtain . staff accomodate give we well room remain 4 night stay . room real shower bedspread new normal ventilation unit . complaint . good location able use Starwood point free night . pay 132 pound include breakfast . would not stay unless good deal . careful free night . Breakfast not include last free night use Starwood point get stick pay $ 70 cold continental breakfast . expensive city . Harrods souvenir cheap duty free shop Heathrow store . Wish wait . 
 May 1 2004 	 sad beautiful hotel horrid room ! 	 Starwood Platinum member travel frequently . hotel great location beautiful common / public area , room HUGELY disappointing . first , put & quot ; suite & quot ; platinum . evidentally , think big well . entire hotel need new HVAC system smell musty moldy ... terrible allergy asthma . anyway suite nice square footage , dreadful condition ... wallpaper peeling , paint chip doorway , A / c living area break ( bring - up fan , bedding swear 1984 ... dusty drape , dusty , dirty ! whole room seem dirty . not sleep wink . next night ( beg something not smell musty ! ) move & quot ; Executive & quot ; room claim renovate . turn , still smell bad old dirty bedding curtain , furntiture new . guess renovation mean new furniture ! leave three night almost full - blow cold ... sneeze , cough etc . , happily another hotel . business London , want decent place evening need good sleep ! place old dirty . one word ... RENOVATE ! ! ! location fabulous though , Shepherd 's Market restuarant pub around corner . 
 Apr 16 2004 	 Overall ok 	 stay Park Lane Hotel early April . first , hotel great location sightsee . within close walk distance Hyde Park , Green Park , Buckingham Palace , Westminster ( Big Ben ) area . also tube stop ( Green Park ) block away get area Tower London , Notting Hill , Kensington problem . frankly , important , since hang hotel bar spend hour upon hour room . secondly , staff overall friendly , especially concierge bellhop . know city well able provide good recommendation advice . hotel inside attractive , not seem busy . lobby somewhat smoky ( expect Europe suppose ) , seem popular afternoon tea ( albeit pricey , especially spend equivalent american dollar ) . room good , nothing spectacular , bit stuffy , easily solve opening window , small american standard , long sleep open suitcase , care big room ? not see peel paint , furniture seem good enough . overall , 4 , nothing really wow perhaps expensive get , nothing overly bad location tough beat . 
