recommendation 	 book executive room 3 night Friday - Monday give room face interior yard hotel find nice realize room next engine room - hardly possible sleep since hum machine come wall . book special rate expect good room category clearly one able sleep without disturbance noise come ventilation system . bathroom need renovation 100 % clean spacious . ask another room next morning tell pack luggage Hilton staff would move belonging newly assign room . return afternoon luggage still old room finally move suitcase . second room 6th floor , Terrace Floor , must recently refurbish since decoration much nice rest floor / room . room small first one quite . however one could hear guest room next door talk bathroom . ( smell smoke bathroom non smoking floor ... ) one bathrobe room even two . orderd room service , average hotel food . leave evening tray , put outside room still . return hotel 11:30pm want take night cap bar . first thing waiter advise , bar would close 30min . ask drink menue bring wine list wait impatiently next table . actually want whisky never give we menue finally leave take drink . outside room still tray room service , quite surprising since turn service room . maid assume one guest room well . tray still outside room - 24hrs order food - come back next afternoon leftover start smell . 4 employee room next we , seem issue condition guest leave , none remove tray finish cleaning . come back night tray finally remove turn service realize 2 guest room . breakfast executive lounge good table never really clean scrambeld egg old cold . check clerk ask we enjoy stay neither wish we nice day . location hotel great attention detail really strength staff find particullarly friendly helpful . certainly recommend hotel friend avoid book Hilton future business leisure trip . 
 good stay not look hotel give ' experience ' 	 good choice hotel want somewhere convenient stay Paddington , step away Paddington tube / rail station . hotel experience average , staff fumble check mood generally impersonal need . base explore London , Paddington convenient tube station well connect important line . room spacious give London , decor date room smell cigarette even though suppose non smoking . internet access expensive , internet cafe dot surround street . overall , good stay be not look hotel give experience . 
 May 26 2005 	 Hilton Paddington April 27 2005 	 convenient ( across street ) Tube stop . clean , stylish lobby ; pleasant helpful Front Desk staff ; wait check understandable Front Desk suggest relax Executive Lounge ( available Gold / Diamond member ) . Executive Lounge well equip free internet , several newspaper , clean , stylish seating , delicious food . stay complimentary happy hour , well comp breakfast . breakfast good entire U.K. stay ! kipper , smoke salmon , fresh fruit , croissant , ham , egg , sausage .... work ! room nice , update , medium sized , extremely comfortable bed fabulous bed linen ( extra pillow , comforter , etc . ) . location safe area , within walk distance nice shop Portobello Road Market . really near main tourist site , Tube stop step away . would definitely stay . 
 Apr 29 2005 	 wonderful convenience . 	 get truly great price on - line bidding site give nice room everything work beautifully . convenient safe room , cash bar / fridge clearly warn charge move item . provide tiny space use come handy . large collection store connect hotel Paddington Station convenient use pick something eat , item may forget . subway , Heathrow Express , etc . connection not get well . not understand review complain price hotel 's restaurant dozen choice right outside door indoor cover Paddington station concourse . step take option include full grocery store . $ 104 bid could do well . 
 Apr 26 2005 	 must try hard 	 return short break London involve 3 night Hilton Paddington Hotel . overall term hotel offer reasonable value money GBP 99.00 ( Subject Tax / Vat ) double room per night , however get rate need book pay well advance non flexible , ie refund . hotel basically clean , room big , least noise night , plus connection Station next door part London , negative , well thing bug . firstly could sit lobby lounge / bar area upwards 20 minute anybody bother come take order , 10 - 15 min would elapse order arrive ! three elevator one work weekend , lead delay people generally annoy , return hotel Saturday evening none lift work guest invite use stair ! complaint reception elevator elicit little response action . overall glad pay definitely would worth . pity Breakfast include deal Stg 19.45 full breakfast Stg 14.55 continental breakfast ripoff . 
 Apr 6 2005 	 Loved ! 	 stay different hotel London time must say well far . room spacious iron iron board room really handy . come Heathrow Express much quick come Gatwick . staff pleasant helpful definately go back next trip . 
 Mar 8 2005 	 Fantastic hotel 	 stay hotel time well connect hotel via Heathrow Paddington Station south west . room excellent service great ! ! 
 Feb 18 2005 	 convenient friendly 	 stay Hilton Paddington twice February , 2 day follow trip countryside , 2 day return USA . location beat convenience , although not much neighborhood far restaurant attraction . tube stop literally right downstairs 's way get around London , be perfect . room initially way warm , management deal quickly efficiently , actually move we well room trouble . room large well maintain comfortable . service quite good , reviewer note , staff populate entirely people English first language , communication not always easy . even , everyone give good effort staying pleasure ............. will return . the restaurant ( Brasserie ) leave lot desire be really negative . 
 Feb 15 2005 	 simply Spectacular 	 say ..... stay 2 night hilton paddington find stay ' simply spectacular ' . pay bargain rate 99 pound include dinner first night breakfast morning . honour member also nice perk . room generous size quiet , location fantastic ( tube directly opposite hotel ) food good . would hesitation recommend hotel doubt return near future . great ! 
 Feb 8 2005 	 clean comfortable close 	 travel Europe extensively first time ever stay American Chain Hotel . start new year spending night return flight US . room great , vey spacious large , comfortable King size bed , great shower shower curtain ( end three week trip stay charming hotel try wash waist length hair tub hand hold show head stand shower shower curtian , impossible keep water floor ) . room seperate coffee tea maker husband could something drink get early catch 7:30 Heathrow express train . service great , take elevator downstair train station board train ( purchase ticket night ) Heathrow within 15 minute . stay return London . 
 Jan 4 2005 	 Great Short Stay 	 stay Hilton Paddington one night , brief stopover London way Edinburgh . location hotel brief visit London beat . know say many time already , stress enough wonderful disembark Heathrow Express simply walk upstairs Hilton Paddington . , course , hotel also locate major Underground station , make one 's exploration London quite easy . the room nice ( least basic room ) . standard hotel decor , real stylish touch -- super trendy , room avoid cliche hotel decor ( flower bedspread , ugly print wall , etc . ) . bathroom large , clean , well equipped . staff warm fuzzy type . know previous reviewer describe staff cold unhelpful -- would say . would call service perfunctory -- professional , warm friendly . okay short stay one want efficient service else . happily , able check room 9 , straight red - eye flight North America . the real drawback -- everything pricey . room service , laundry service , breakfast -- even U.K. price , hefty . overall , would recommend Hilton Paddington short stay London , quick access Heathrow Express plus , one anticipate use hotel overprice service restaurant . way , various airline check - in desk formerly locate Paddington Station appear close good early December 2004 . one long check one 's luggage get Heathrow Express way airport . big deal , Hilton appear update website reflect new fact . 
 Jan 1 2005 	 Perfect First Time London Visit 	 First , let say never make business vacation plan without check Trip Advisor & quot ; real review & quot ; . Paddington well . husband stay Paddington Hilton 6 night Thanksgiving week . could stay Hilton read review decide Paddington . use Hilton Honors Points little worried might get good service . need worry . able go directly room upon arrival around noon . light sleeper , ask get wonderfully quiet room . never hear outside inside noise entire stay . hotel tourist area business / residential neighborhood . find positive . bed comfortable bathroom superior . room size adequate table comfortable chair . though individual refrigerator give area honor bar use item drink , food etc . ice machine floor well coffee supply equipment room . maid service top notch honor club service . honor club breakfast great hot cold selection could ask well early evening cocktail hour snack . worth gold London since dollar stretch far . love location . connection Paddington Station perfect . plus good shopping food available reasonable price . even get flu shot MedCenter . subway easy navigate could get city 's sight minute . buy unlimited pass leave home ! good value city . many time day even go one two stop . two draw back might mention tv channel short supply bedding . feather comforter duvet use cover . fine cool choice need light cover sheet . sure could request one probably get complain . find service employee way like reviewer complain & quot ; foreigner & quot ; . yes employee appear abundance people speak English first language find willing try communicate accomodate request . find case majority customer service position throughout city can not fault Hilton way . good experience overall . stay next trip . 
