view 	 grand hotel . size current standard , ' high location result view provide . hotel host US president Hoover Ford , earn status top hotel San Francisco ~40 year . the hotel maintain classical elegance , keep good balance old look modem functionality . unbeatable feature hotel view beautiful San Francisco city . stay room 12th floor face Union Square ; view room already impressive . although many people afford set foot presidential suite 18th floor , one ' need rubber bank spend couple hour Top Mark restaurant top floor building . near 360 - degree view good part San Francisco city really breath take . may convenient hotel business traveler . hotel locate top Knob Hill . street lead towards hotel steep bus line go . form public transportation serve hotel cable car , tourist attraction reliable transportation . parking space limit cost $ 55 day park . besides , convenient go place city like San Francisco driving . taxicab easy find rush hour many cab want cruise steep Knob Hill spot available cab stand . hotel provide complimentary transportation service financial district union square district weekday , first - hand experience . ideal hotel tourist fit enough climb couple hundred yard steep hill . hotel serve three cable car line , take Market Street , Van Ness Ave , Fishman ' Wharf , Ferry Building Ghirardelli Square . 10 - 15 minute hill walking take China Town Union Square . cable car crow early morning dark . even busy hour , California Street cable car less crow , case one need go back hill afternoon take rest . major part enjoyment stay Mark Hopkins visit Top Mark restaurant bar , , ever - change San Francisco weather cooperate . opinion daytime view well nighttime one . extremely luck stay : marine layer clear strong wind early morning , bright sunlight illuminate Grace Cathedral building low angle , clear blue sky Golden Gate Bridge back drop . million dollar view we stare enjoy breakfast . ' high expectation food , turn much well expect . OJ good ; coffee ok ; fruit fresh plenty choose ; pastry good . top usual suspect hotel breakfast buffet , array cold meat , 10 kind cheese variety smoke salmon choose . even several kind chinese dim sum respectable quality present bamboo steamer , remind people San Francisco hotel . price breakfast buffet reasonable $ 28 per adult , $ 17 per child 12 year old . thing strange bill 15 % " service charge " another 15 % " service gratitude " . since total bill inline expectation satisfied view , ' bother ask two service item bill . thing cross " tip " line bill . little bit outrage ask tip charge 30 % service already ? give 5 value get good deal , probably bad economy . 
 Sep 27 2004 	 swell service bad 	 fiance stay weekend get engage . although room nice clean service deplorable every conceivable level . take we forever check staff rude . go top hotel drink staff exceedingly rude ( many time 's frequently drag 's popular ) general , kind bum lame staff ... be pretty low maintenance . other reviewer seem really like Mark Hopkins could bad weekend . many great place stay SF though , probably will not come back . 
 Aug 30 2004 	 Book ' San Francisco Package ' 	 Mark Hopkins Intercontinental first class accomodation perfect location . car require parking , book & quot ; San Francisco Package & quot ; ( available Mon 28 June 2004 - Friday 31 December 2004 ) . make reservation Intercontinental 's website receive rate $ 209 . plus room tax : $ 26.46 , total $ 235.46 Friday , August 27th , 2004 . s.f . package include full american breakfast & quot ; Top Mark & quot ; ( $ 57 ) , overnight parking ( $ 50 ) , two complimentary cable car pass per day ( $ 18 ) , late check ( 2 pm ) . stay room 520 , king bed beautiful city view , highlight fountain cathedral . bathroom tiny , lavishly do marble , chrome hardware , enough towel . request additional towel , immediately deliver , room everything could hope . breakfast excellent view breathtaking . heard & quot ; Tongo & quot ; across street Fairmont must cocktail , unfortunately time check . shopping , Macy 's offer 12 % discount card , show hotel key gift wrap . discount card good one day . San Francisco great week - end destination lot romance adventure ; memory superior stay right place . Intercontinental Mark Hopkins right place . 
 Aug 9 2004 	 Great Hotel - Quiet Nice Views Great Location 	 stay break trip Hawaii East coast . check early ( 10ish ) , great room , staff nice . everything comfortable , clean quiet . great hotel walking distance everything ! plus , Top Mark nice great view city ( foggy ) . 
 Jul 16 2004 	 Service Outstanding ! 	 impressed service afford Mark Hopkins . immediately upgrade charge upon arrival delighted view room City . complimentary Limo service perk one must appreciate give location ( Nob Hill ) relation Convention Center . dine Top Mark give service quality 5 star ! ! ! ! highly reccomend Mark Hopkins without reservation . 
 Jul 15 2004 	 5 - star ? 	 nice hotel . admit disappointed reputation high - end choice , like Ritz Carlton Park Hyatt . frankly , remind nice Hilton Marriot . nothing , nothing less . maybe elegance start suite , standard room - standard . certainly would recommend hotel be look nice place stay , be look splurge , probably look elsewhere . Nob Hill fantastic , way . great set hotel ! 
 Jul 6 2004 	 great stay 	 enjoy stay . upgrade high level room due noise . entire staff , friendly ! ! would stay . 
 Jul 3 2004 	 Good service 	 stay recently 3 day . room nothing write home bathroom small . room one top floor view spectacular . say , really enjoy stay service good . travel 2 year old housekeeping respond request extra towel etc promptly . breakfast delicious lot fruit . the package book quite good value ( include breakfast parking ) . be worth take package car you . the Nob Hill location lovely . parent travel young child , good playground opposite hotel . 
 Jun 22 2004 	 elegant spectacular 	 spend night meeting . room clean comfortable overall nice . staff excellent atmosphere posh . however absolute comfort W San Francisco much nice . 
 Jun 18 2004 	 Condition Location Attitude 	 stay one night June 2004.The hotel locate top Nob Hill . across street ( California Street ) Fairmont Hotel . across Fairmont clean grassy park climbing structure area kid . California Street cable car pass Mark Hopkins Fairmont . the hotel 's reception area stately . front desk staff welcome , helpful efficient . room 4th floor overlook California Street . room excellent condition . crown moulding tall baseboard . drapery quality material . bathroom small especially clean nicely tile . the downside room little noisy . window single - pan noise outside easily penetrate room . cable car move connect disconnect cable constantly operate street , could hear vibration cable . cable car make lot strain noise come Nob Hill . also , could clearly hear doorman 's taxi whistle . finally , could hear people next room hallway . I would stay would try get room high floor . P.S . might big difference hotel 's room perception hotel 's quality ; hear two guest complain staff room . instance , staff maintain respectful , understand attitude offer move different room . 
 May 8 2004 	 favorite hotel SF 	 favorite hotel SF , stay least dozen . maybe frequent visitor appreciate luxury history location top Nob Hill . especially love marble bathroom elegant sophisticated room decor , well magnificant hotel facade clear day brilliant CA sun blue sky backdrop . top Mark great nightcap afternoon cocktail . Grace Cathedral magnificant choir labyrinth across street . 
 May 3 2004 	 User use New York City Hotels 	 obviously , SF hotel use different rating , 4 5 star hotel nothing special . staff helpful , overly provde bare minimum service . site amenity less NYC version well . room decorate exactly Intercontinental NYC , small . location TERRIBLE ! ! ! ! unless business . get sense San Francisco really Nob Hill accese cab cable car ( walk could kill condition ) . choice three star interesting neighborhood ( even B B ) , . mission district , Union Square Castro seem less sterile , interesting BART Muni line . 
 May 1 2004 	 Fantastic 	 4 night Mark Hopkins fabulous . book direct internet take advantage room breakfast deal . Breakfast Top Mark exceptional great range yummie offer . room probably bite small liking , wonderfully fit . bathroom great size well . staff amazingly courteous prompt request . also convenient stay Nob Hill Cable Cars literally door . be plan touristy thing around San Francisco , make sure get City Pass early peace take advantage unlimited Cable Car / muni transport well Bay cruise entry museum . 4 day definitely long enough San Fran . 
 Apr 27 2004 	 Stellar Service ! 	 stay Mark Hopkins Hotel perfect exclamation point San Francisco trip . genuine , friendly , impeccable service combine beautiful facility summarize experience . club room 14th floor , appear new generously provide cd dvd player , designer toilettrie , & quot ; comfortable & quot ; bed , many little thing toothbrush umbrella , really anticipate every need . view room also nice . response complaint make towards club access , seem hotel work problem , small extra pay , definitely worth . food lounge good , nothing beat ability check late access many personalized service . receptionist , housekeeper , driver house car , offer use way Caltrain station , interaction provide smile welcome response action . let inform however , location hotel , top hill , challenge guest . also , hotel elevator small access time consume busy instance . minor problem however , definitely come back Mark Hopkins , return beautiful city . 
 Apr 9 2004 	 unpleasant experience 	 stay 6 night Club Floor Level , unsatifactory Management credit one free night . club floor poorly staff compare InterContinental property . complain InterContinental Head Office without get satisfaction . would stay something do tired hotel . 
 Mar 26 2004 	 Wonderful Elegant Hotel 	 complete weekend stay Mark Hopkins . hotel beautiful , classic elegant architectural landmark . book online using & quot ; weekend & quot ; package include upgrade mini - suite turn gorgeous two room suite separate living area sofa , upholstered chair , dining table four chair , hallway beautiful bath bedroom . like stay elegant tastefully decorate manor . robe provide Penhaligon product bathroom lovely . room clean clean clean , furniture , upholstery , carpeting , draperie high quality like new . front desk staff extremely polite helpful grant late check request & quot ; pleasure & quot ; . head housekeeping lobby one morning personally come inquire stay . lovely personable give business card & quot ; need anything & quot ; . , ' m celebrity weatlhy . top , rate also include breakfast buffet two hold Top Mark except Sundays hold former & quot ; Peacock & quot ; room lobby . buffet tasty , fresh bountiful even $ 23 dollar pay , worth consider include , coffee orange juice . folk , breakfast hotel city not go $ 5.95 . stay many luxury hotel rank right top five . pay luxury ? $ 329 per night not cheap mean well worth ! 
 Mar 22 2004 	 way bad experience 	 return froma four night stay mark . club level floor . first food room club basically use every day . stale bread cheese hardend edge semed table leave dirty plate almost day ? food break fast dinner look recycle . hotel also middle move club room another floor yet bothet let anyone club floor know go select movie find room look almost empty . call see could still get movie tell movie locked cabinet would impossible . $ 429 night could handle move well opinion . room apeare nice fresh open desk drawer fill crumb . also shower kind nasty . look bed lose slipper find sort dust ball asorte yucky stuff . point ? ? much money kind issue . waste money club level .. also folk front desk bit snooty . Cathy 
 Mar 16 2004 	 Great Hotel 	 ? ( mid 30 professional vacation mid 20 companion ) Mark Hopkins understate , elegant convenient . away noise hassle Union Square , close enough easily walk , Chinatown , Theater District / Tenderloin . get reservation web , pay small premium & quot ; upper room & quot ; , remarkably spacious , quiet , view Union Square -- incredible price . interaction staff cordial professional -- ( smile ) want invisible . stay multiple hotel San Francisco , Clift Hyatt , Mark Hopkins superior . nice place ! 
