great 	 husband stay Hilton London Kensington stay London last week . fabulous hotel ! give corner room large room clean comfortable . near tube Shepherd 's Bush walk distance hotel . Westfield Mall nearby shopper 's heaven ! high end regular store ton place eat . husband eat Byron serve burger . food service great . little pricey everything London pricey ! would definitely recommend hotel anyone travel London first time . easy access tube bus , taxis everywhere safe neighborhood ! one negative thing inter 
 small clean . good location . 	 overall , decent hotel . room small side family 3 . clean . good breakfast . location ok , good . 10 min walk tube shopping basic ( well upscale mall ) . 
 wish not bother 	 wife stay Hilton Kensington last weekend ( 27 - 29th Nov 09 short get away busy job . decide stay ta Hilton excellent stay one Hitlon hotel Glasgow ( get engage ) . unfortunately extremely disappointed several aspect stay . select non - smoking room , however room ( 2063 ) receive corridor smell badly cigarette smoke . rang duty manager pleasant offer we two solution - room freshen and/or move room next day hotel fully book . book 2 night stay breakfast one eveening meal . go restaurant ( busy ) show table completely set . Glasgow experience anticipate buffet style meal variety choice . however disappointed find extremely limited unexcite set menu ( need highlight Hilton 's website would probably book without evening meal include ) . option upgrade meal , however supplement question quite exagerate ( example 13 pound go grill chicken dish 15.50 approx al carte menu ) .My wife opt vegetarian option set menu ( vegeterian ) . spinah ricotta tortolleni extremely balnd disappoint feel tesco brand fresh pasta sauce would exciting . wife choose bread butter pudding custard desert . highly disappointed . bread butter pudding dry nothing compare make week previous . custard taste school dinner like certainly powder base . starter bland water ' fresh ' pea soup . main 8pound supplement ( 21.50 la carte menu ) West Eleven ( restaurant name ) fish chip . plate arrive mountain chip , 2 small piece fish ( apparently turbot ) stne cold mushy pea . chip nice tartar suce , whole meal boring . choose set menu lack good choice . dessert mean white choc cheesecake - however available opted stoffee pecan nut cheescake . also bore . summarise meal would say waste money service certainly 4 * .That night go relax room plan busy Saturday . however , sleep 12.30 heard group girl bang door enter room next ( 2061 ) shreke screaming . understand noise , however girl continue get loud intermittent screaming , loud laughter , music , slam door run corridor . continue approx 40 min feel choice ring reception . agree speak rowdy guest . 5 minute later hear member staff knock ask girl kindly keep noise . obviously do not care door close start louder ever . 40 minute later another staff member knock door ( have not make second call assume someone else complain ) . staff member ( introduce manager ) ask quiet . must wait outside room soon knock door inform would leave ahad warn . unfortunately , gril continued ruin supposedly relax stay . end get sleep well 3 am . follow day extremely tired wife decide speak manager disappoint unrelaxing night . duty manager ( female ) helpful understanding say unfortunately unable deduct anything bill pay advance , tell would speak manager could compensate we lose night sleep . return hotel long day give key new room ( 7061 ) size previous room ( relatively small ) , mention make time would compensated previous night . follow morning , relax night 's sleep , go breakfast tell could avail executive lounge , obviously do previous day way compensation unfortunately communicate we , although enjoy relax breakfast lounge , know access previous evening could make use could enjoy complimentry drink canape would feel adequate compensation previous night unfortunately due poor communication feel poorly compensate dissapointing night . on second night go restaurant recommend concierge ( Edera ) - good overpriced lack adequate portion . the hotel situate well original tour bus stop directly opposite hotel . hotelw close shepherd bush tube stationa nd large westfield shopping centre . we come home trip without relaxed overall stay disappointing do not think could could risk book Hilton hotel clearly consistency . 
 good location great service small noisy room 	 Hilton everything right except guest room door slam shut loud enough wake sleep . return London shortly stay repair . this short walk Shepards Bush underground station new mall . 
 Jun 13 2005 	 Pleased Impressed 	 Intro : quam award Hilton London Kensington well - deserve Trip - Advisor 4 - star Rating . careful writing review whilst take follow factor espescially ; Cost Service - two normally relate directly , unfortunate likelihood - pleasantly case London Hilton Kensington Hotel . well - travel avid Trip Advisor reviewee , stay luxurious hotel world , indeed London . particular trip sister attend important event Exhibition Centre , Earl 's Court - thus , choose function fashion - , Hilton Kensington . pleasantly impressed ! review : location easy get via Public Transport ; Heathrow one merely take two tube Bus . locate pleasant neighbourhood Notting Hill Portobello Market . 3 - 5 min walk Sheperd 's Bush underground take direct heart Oxfor St. taxi £ 10 Knighstbridge - budget personal recommendation would £ 6 Zone Card zone 1 - 6 ( entire London ) allow full use Underground , Trains + Standard Rail + Buses . fabulous . check - in staff , Han , helpful kindly grant permission sister 's friend stay we room free charge . option roll - away , unfortunately would require down - grade Executive Room Standard Room Executive contain excess furninshing . stick Executive Room much nice , spacious give access Executive Lounge complimentary Continental Breakfast ( ample ) afternoon - evening drink ( decent ) Room Service prompt + well - price . MiniBar slightly overprice decent . majority staff extremely helpful , & quot ; fishing tip & quot ; . notable commendation concierge , Antonio - amazingly manage gain we friend vip access exclusive club London . thank ! one must remember Hilton three - star . pleasantly furnish , well service , reflect high standard many , & quot ; historical - five - star & quot ; , London , survive reputation . overall , good trip deserve high commendation . thank . 
 May 27 2005 	 pleased 	 reading review , bit uneasy reserving Priceline . however , pleased accommodation . staff friendly , competent , professional accommodating ( 1230pm late check readily grant . ) problem Priceline reservation clerk state , & quot ; pre- pay & quot ; . request room 1st 2nd floor . brief pause produce Hilton Honors Card choice room front face building first floor ( HiltonHonors Floor ) . reservation clerk warn potential noise front face room problem us prefer look beautiful 100 year old tree instead 100 year old building . quite clean room ample sized tasteful decor , fluffy & quot ; feather & quot ; comforter , smooth linen , complimentary in - room coffee , tea , shortbread cookie . true may & quot ; duck & quot ; tall person shower , marble bathroom small clean usual complimentary amenity , large bathtowel washcloth ! disadvantage hotel somewhat & quot ; center & quot ; locaiton . double decker stop front direct access Picadilly Westminister slow go traffic . tube 10 minute away . . .the taxi Victoria $ 30.00 , however . Airbus long stop hotel take Hotelink van Heathrow 16 pound per person . location , location , location primary criterion , consider hotel otherwise , pleased hotel . near center London although interesting sight nearby Notting Hill , Portabello Road Kensington Gardens . neighborhood quiet safe . 
 May 20 2005 	 nice average complaint 	 nice stay . suspect people unhappy room much high expectation Hilton , find room large expect european hotel , hotel clean , thing need ( supply upon request ) , staff helpful , convenient get around town get to / from Heathrow . not & quot ; wow'ed & quot ; hotel , not expect : be look high luxury , be go pay lot London . 's nice , average hotel get decent price . residential area , 7 minute walk Holland Park tube , grocery store / restaurants/ shop / Starbucks way tube , walk distance ( 10 - 15 minute ) Notting Hill , actually like bit outside center city could see non - tourist area . negative would late another area town tube close ; would costly return Holland Park taxi . would easily stay . 
 May 10 2005 	 Hilton - average 	 brief , hotel average . first night deliver iron board room , proceed iron shirt work next day , discover iron dirty leave terrible black mark shirt . good start . hotel , however , clean free ( although stain remove properly ) .The bathroom quite tatty , unless 5 ft 8 & quot ; shower high enough . bend take shower - uncomfortable . I get good price priceline hotel , unless not stay hotel . well alternative price . 
 Apr 24 2005 	 okay special price 	 short : hotel okay , get special price offer . otherwise would take something different . long story : stay several time London ` always easy get decent room affordable price . time browse internet get offer Kensington Hilton 69 Pounds night . wow , think , Hilton price . usually pay 3 star hotel London . book . later read review ` sure , right decision . exspecte luxury hotel ( think Hilton = Luxury ) , review encouraging . came turn fine . get room first floor , really big , okay . little big room 3 star hotel . room clean gut furnish . lurury , normal standard . good , read review , otherwise would disappointed . okay price . would costed , wouldn´t worth . location okay Portobello Road Market Notting Hill , otherwise ` pretty far away real center . get anywhere subway bus . nice neighborhood . supermarket , starbuck small shop Holland Park Station , walk 10 minute away . 
 Apr 18 2005 	 small room nice furnishing 	 stay Hilton Metropole last year rather spoilt warn room Hilton Kensington originally design use air crew stopover staff . however ' m one put easily decide see myself . stay executive room 6th floor access executive lounge serve complimentary drink hot snack evening . although compare Metropole also stay executive standard lot low . example mid afternoon metrople high tea serve , include every little sandwich think cake galore . rather look forward little pleasure terribly disappointed find even coffee machine order . another groan executive lounge close hour early Metropole 9 pm , rather disappointing would nice night cap . the Hilton breakfast divine pretty walk past famous Lidgate butcher ( recommend Rick Stein 's food hero book ) Holland park tube . overall would not go back like try hotel also would advise stay . enjoy trip ! 
 Apr 13 2005 	 Fantastic Hotel ! A++++ ! ! ! ! ! ! 	 stay Hilton London Kensington four night find incredible hotel ! little concerned comment post room small find large comfortable ( second floor ) staff friendly location excellent .The near tube station Holland Park Central Line , one go East one station come Notting Hill change Circle & amp ; District line go pretty much anywhere London . get back room , equip cable television besides british channel , arabic , german , indian Far eastern station well ( idea say look interesting ! ) one complaint could stayed long ! 
 Feb 2 2005 	 Adequate budget traveling 	 spend 2 night , 2 week apart Hilton . time , room small ( U.S. standard ) first floor . bed comfortable good quality linen , room decent towel ( i.e . thread bare ) . one time view face interior industrial vent machinery ground floor . time face small private park Holland Park Ave . street noise minor . main noise factor come door slam hour , since hotel cater folk come Long Distance haul Heathrow . bring ear plug . staff friendly accomodating . 2nd visit , ask room different 2nd floor room assign latter bathroom moldy top bottom husband mold allergy . Staff move we twin first floor . twin room move around not mind separate bed , appear well value . hotel appear hierarchically organized frequent visitor get well ( large ) room bennie . aware room TV 's floor become trip break - toe hazard floor space limit . traveler accustom U.S. Hilton standard , hotel expect . adequate budget traveler book 69 - 79 pound night outrageoulsy expensive city give current exchage rate . 
 Jan 21 2005 	 pleasure 	 moment arrive typically uncomfortable long flight , tired irritated , leave eight day later , hotel pure pleasure . ian front desk absolute star asset hotel . Ian go way arrange room badger housekeeping get one first floor . do within hour despite early morning hotel fully book night previously . room comfortable well equip . rate Hilton give we unparalleled value money . tube station less 5 minute walk away , bus stop right outside , several shop restaurant close location perfect . front desk exceptionally helpful time every aspect hotel proficient notably housekeeping , room service , laundry restaurant . thank staff like Ian , Hilton Hotel make holiday London one memorable enjoyable . 
 Dec 15 2004 	 well last train home 	 room small nasty look like rent hour night ! however , cheap London planning night Notting Hill preferrable clock watch last commuter train home suburbia . 
 Dec 7 2004 	 sure get old crew room ... 	 stay Oct. 26 thru 31 , 2004 . first time London , hotel reccomende . horrible plane trip Rome , show hotel lobby greet woman could not speak English well . get language barrier , ask credit card pay advance . tell credit card good need another one . 's inform girl pay advance . rush get we room key , sense alittle annoyed . get room , find small room ever see , even european standard ! bellman bring bag , place walk . second floor directly lobby atrium , complete sunroof look directly room ! view ! book hotel online directly Hilton , room picture show , friend describe . call front desk see relocate , get girl , ask preferred smoking non - smoking . say perferre n / s , say nothing else available . say would take smoking , say nothing else available smoking either . bother ask preference ? say maybe check back couple hour . ask wht time check tell 2 pm . 2:20pm , difference would couple hour make ? point , husband go front desk speak gentleman quickly move we beautiful , full size room view street ! love ! ! later tell bellman small room orginally & quot ; crew & quot ; room hotel own Trans World Airline . sure get old crewroom small littlest cabin cruise ship ! , great time hotel . drink snack lobby bar dinner asian restaurant , good . 
 Nov 24 2004 	 great value money ; location not great ! 	 stay hotel 3 time keep come back several reason . rate get Hilton website , especially non - refundable rate , excellent . recently stay 69 GBP night . the location definitely greatest many people point 's 7 8 minute pleasant walk Holland Park tube station probably 5 minute not - too - pleasant walk busy intersection Shepard 's Bush hotel . 's perfectly safe fine neighborhood dull nothing really , really nearby although Notting Hill short walk away . previous posting hotel quite accurate . check - in excruciatingly slow ' ve also time ' m person check 's highly efficient . the comment buffet accurate although 's decent buffet . comment room may may correct . let us face . London hotel room not tend spacious part world . ' ve never find Kensington hotel room size issue . ' ve always double bed small ample bathroom . it be busy hotel fair number tour group airline staff staying may explain hit miss aspect check - in . get large group arrive slow . but balance fine , fine hotel be leisure tourist great rate think will complaint hotel . 's thoroughly representative Hilton brand keep come back whenever ' m London base , attractive rate seem get property . I would recommend place . 
 Nov 18 2004 	 Great Location 	 take awhile find Hotel stay London , since ton hotel . must say , hesitant get low cost accomodation , due negative feedback read site , play safe , choose hotel chain . Hilton Kensington , Location good , accesible bus stop ( front hotel ) subway ( little 7 minute walk station ) . be plan take bus subway , buy travel card go London , available 1,3,7 day 's worth . jump bus subway even railway without quee buy ticket think exact fare . convenient . room good size 2 person , clean comfortable . breakfast buffet inclusive rate great , although stay 1 week hotel eat breakfast everyday good idea . although , disappointment staff , busy day , 3 staff front desk , seem slow service , que 30mins check . staff helpful friendly . 
