security 	 glow review , sadly , would actively steer people away hotel . everything go along nicely 3 night stay -- think price right , location good room amenity nice . unfortunately , money vanish room safe would feel safe stay hotel .... recommend hotel friend colleague . fact : stay hotel 3 night mid November . stay , use hotel safe valuable extra cash would not carry street . night check , take valuable cash safe , leave $ 250 safe lock security code . check next day though experience traveler always check room thoroughly check , forget empty safe . leave hotel 10 a.m. realize mistake 4 pm immediately call hotel . supposedly , security person duty go room use hand hold device ride personal security code . wait hold check room . get back phone , say , & quot ; ' m sorry , safe empty & quot ; .Of course , word mine , see money safe know lock left room . one open safe meantime , would explain vanish act ? next talk head security hotel several time . first conversation , say personally go security person safe open . next conversation , press whether SAW safe open empty , retract early statement say , & quot ; , not go room , stay elevator . & quot ; therefore , person open safe witness . find revelation bit disturbing . change story ? next , ask speak hotel manager . wait 5 hour receive call back . apologize behalf hotel , could not explain discrepancy security staff 's story promise & quot ; get bottom situation get back & quot ; . say look forward full report wish could get money back , concerned hotel institute well security system follow . nearly two week since incident not hear anything manager ...... credit , offered offer complimentary stay future visit , issue fully investigate resolve , would not feel safe staying hotel . so .... stay Empire Hotel , remember well carry valuable . money lose , could upgrade well ( safe ) hotel . one point , stay , lobby close entire day tv show , Gossip Girl film . ' m sure hotel compensate use space , add nothing inconvenience stay go alternate entrance , etc . make feel like hotel try use space make much money possible without concern might affect guest . mention issue front desk staff , say lobby use film crew nearly every week , one situation , on - go inconvenience future guest . 
 Closet -- -- joke ! 	 absolute bad hotel ever stay ! small understatement . closet size space . broken window . iron . bathroom disgusting . huge disappointment . picture website suite .... not fool . 
 Nov 14 2007 	 small room arrogant front desk 	 boyfriend back 1 night stay Empire Hotel . stop transit way home . ' ve stay NYC 20 time past 6 year . pro : room gorgeous . everything new . great location . great attention detail . little thing like desk small amenity purchase candle , travel size toiletry , chocolate , nice cheese mini bar , bottle wine . obviously setup romance . flat screen tv lovely though big room . wooden floor shower nice touch . shower gorgeous . towel soft , fluffy feel brand new . bed fabulous - comfortable point not want get morning . eugene , one door man fantastic . friendly , great advise restaurant pub . con : room tiny , even NYC standard . stay room alone , might bad . be small 2 people . 's room stuff - suitcase , etc . literally trip point get annoyed . bathrobe nice put wear ? tiny , tiny closet ? 's certainly hook . end put corner room floor . room small imagine . front desk - although well dress groomed , arrogant rude . & quot ; welcome hotel & quot ; . & quot ; stay & quot ; . & quot ; let we know anything & quot ; . blond front desk particularly arrogant . barely speak 10 word we check checkout . bartender - , friendliest . particularly annoy pay $ 20 bill $ 14 worth drink , give back 1s .... obviously hope would leave big tip . trick not work I . it be shame , could excellent hotel - skimp room size huge mistake eye . room big staff arrogant , have give hotel excellent rating . glad 1 night 2 night would could handle . 
 Nov 14 2007 	 Major Disappointment 	 5th visit NYC say Empire major disappointment 5 night wife stay early October , particularly place refurbish last three month pay £ 250 per night . positive - great location next 66th st.metro opera house . good shopping central park within five minute stroll . excellent seafood / service tavern next door . impressive lobby , good housekeeping . check efficient staff friendly enough . that ' m afraid end . negative - the lift old rickety ( part refit ) outside bedroom corridor ( stay 11th floor ) like old horror movie , dark brown wallpaper carpet low lighting give place depressing feel . bedroom queen double clean absolutely tiny even new york standard wardrobe virtually space hang coat etc . bathroom miniscule 6'x4 ' ! ! walk shower not work . toilet also back two day . probably disappointing thing buffet breakfast serve communal mezzanine area . scrum morning try find chair land lobby specific designate seating area . last day open one meeting room three leak ceiling pot floor collect water . good fun dodge . lobby bar trendy well appoint beware price , £ 4 ( $ 8 ) small bottle beer £ 6 ( $ 12 ) small Gin Tonic . ( get six pack $ 3.95 ( £ 2 ) round corner ) .The owner obviously go great expense lobby bar refit , shame rest place scratch part ! spend around 40 night year hotel around world think give little experience expect . diappointe experience ! 
 Nov 13 2007 	 think twice 	 get back New York - first time , city every bit exciting hope ! dissapointment Empire Hotel . hotel look lovely lobby area do funky bar . inside lifts take different feel . lift tatty number difficult read . room superior double bedded room - ever think going get two double bed small room still allow people room get around never know . two drawer tiny wardrobe clothe . power point near usuable mirror hairdryer shower leak tiny bathroom floor day mean fix . room look onto Broadway - exciting think night realise double glazing . every hoot every toot ` could hear , one time night truck honk horn sound like Queen Mary come road . review tell breakfast worth stick around nearby great diner . the staff though lovely glad recommend place eat visit . it well worth buy ticket empire state building get , save we lot time . though still lot queue , cut big one . oyster bar grand central station amazing really good fun lunch time good meal Spice Market meat pack district - book go ! ! 
 Nov 2 2007 	 Great Hotel Great Location 	 stay Empire Hotel 4 night October 3rd 2007 . hotel location upper west side fantastic . Times Square within walk distance 15 minute , Central Park 5 minute away . lovely neighbourd location far away hustle bustle 5th Avenue Times Square . hotel great , staff friendly , room comfortable . upgrade superior king well worth . New York hotel large room huge , comfortable bed ! view great , can not ! hotel lobby great , bar expensive . find breakfast service disapointe four star hotel . offer free continental breakfast seem run first come first serve basis , get early might anything leave ! hotel location near Columbus Avenue great . explore Columbus last day find alot shop want , great place brunch . overall fabulous stay , mainly due get engage Tiffany 's ! recomend Empire Hotel young couple late 20 's . 
 Oct 27 2007 	 Great Hotel 	 Empire Hotel great location , bar & amp ; lobby area good vibe , 's quiet staff accommodate nice . complimentary breakfast well , whatever . location Lincoln Center & amp ; Central Park amazing . true room small , also stylish shower cool . will back . one drawback still renovate offer restuarant - spa & amp ; roof pool ... future even well . around corner extremely expensive ( like city ) mexican restuarant , Rosas . amazingly good food typical . 
 Oct 26 2007 	 5 night 	 really enjoy hotel . large scale boutique hotel complete frette sheet bath robe . recently renovate infrastructure problem ( AC , elevator , hot water ) room nicely lay , bed comfortable , small bathroom well appoint , shower nice . Doormen helpful , reception staff generally pleasant management great . location unbeatable . across Lincoln Center , block north Columbus Circle close Central Park . near subway line major taxi route . Pricey , not NYC . 
 Oct 11 2007 	 Hotel bad skip breakfast .... 	 encounter several problem stay newly renovate Empire . example , roof room start leak , plaster give way torrent water . move another room , give compensation ( significant ) trouble . staff friendly efficient , however . breakfast another problem . continental style breakfast fine , include room rate , regularly run ) cutlery b ) plate bowel c ) coffee . amusing watch guest drink milk bowel butter croissant pen . every spoon would appear , would quickly pounce . finally give go Starbucks next door . unfortunately , efficiency hotel staff extend breakfast room . 
 Oct 8 2007 	 please Empire ... 	 stay Empire Hotel past weekend please everything . hotel beautifully decorate - modern chic . service great - bell hop staff helpful accommodating . room small , expect NYC ? decor room trendy nice job utilize space . could not ask well location . not look crazy , Time Square location , prove perfect . step away Lincoln Center Central Park . overall would definitely recommend hotel anyone look stay area Manhattan . would definitely go back ! ! 
 Oct 5 2007 	 Relaxing Empire 	 first time Upper West Side hotel . NYC one night fly Europe , go straight meeting look somewhere quieter Midtown good night sleep . the hotel great - staff attentive , overly . decor lobby / bar area kitsch , nicely do , room small side , adequate price area town . the room decor fantastic , particularly like shower wooden non - slip mat . another nice touch iPod clock / radio room . would recommend single traveller ( room could small couple ) . 
 Oct 3 2007 	 great hotel low Central Park West 
 Oct 3 2007 	 Fab - tastic ! 
 Sep 28 2007 	 Nice look lack atmosphere 
 Sep 27 2007 	 Chic Friendly 
 Sep 27 2007 	 Excellent Hotel Staff 
 Sep 25 2007 	 cool decor tiny room ! 
 Sep 22 2007 	 must stay different hotel 
 Sep 20 2007 	 nice staff ultra - small room closet ! 
 Sep 19 2007 	 recommend 
 Sep 13 2007 	 Loved Stay Return 
 Sep 13 2007 	 Zentral schön aber leider laut . 
 Nov 17 2009 	 hmmm zozo 
 Nov 1 2009 	 N.Y. sempre e solo Empire ! 
 Oct 17 2009 	 ? ? ? ? satc ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Oct 8 2009 	 fashion hotel vicino central park 
 Sep 28 2009 	 Cooles Hotel 
 Sep 16 2009 	 Gutes Hotel Top Lage 
 Sep 11 2009 	 ? ? ? ? ? 
 Aug 26 2009 	 Heel mooi ! 
 Aug 14 2009 	 ? ? ? ? ? ? ? ? 
 Jul 24 2009 	 Bel hôtel à recommander ! 
 Jul 18 2009 	 stylish und sauber aber eher ein Partyclub al ein Hotel ! 
 Jul 18 2009 	 Sehr schöne NY Hotel mittem I m Zentrum 
 Jun 17 2009 	 Hotel molto confortevole 
 Jun 17 2009 	 Meglio la volta precedente ... 
 Mar 18 2009 	 Il nostro Hotel ideale NY ! 
 Jan 29 2009 	 Super séjour ! 
 Jan 20 2009 	 Ottima Scelta 
 Jan 16 2009 	 vale lo que cuesta 
 Jan 6 2009 	 MET ? NY ? ? ? ? ? ? ? ? ? ? ? ? 
 Dec 29 2008 	 Très bon hôtel 
 Dec 16 2008 	 Perfekt 
 Nov 4 2008 	 Bon rapport qualité / prix pour New York 
 Oct 30 2008 	 Super Lage gute preis-/leistungsverhältni 
 Oct 27 2008 	 Buono 
 Oct 26 2008 	 Categoria excesiva . Habitaciones pequeñas 
 Oct 7 2008 	 ottimo hotel 
 Sep 1 2008 	 Perfekte Lage mitten New York wirklich zu empfehlen ! 
 Aug 27 2008 	 très bien 
 Aug 25 2008 	 Mejor de lo que ya esperaba 
 Aug 19 2008 	 Top - Hotel für NY - Verhältnisse 
 Jul 2 2008 	 Hervorragendes Ambiente mit 1A Service 
